"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.097811001939795,0.978824312331063,0.999442740629223,0.996099184404563,0.996936046863934,0.978824312331063,0.756209117327428,0.0621339737851048,0.987740437690885,0.987740293842913,-0.994148812925719,0.999442740629223,0.834493966879323,0.756209117327428,0.756209117327428,-0.997770962516893,0.998885637219444,0.999721409229175,0.999442740629223,0.0654726617846766,0.996099184404563,-0.05321489204001,0.247697708329692,0.109774869625086,0.988577164413985,0.999442896244121,0.996099184404563,0.996099184404563,0.999442740629223,0.978824312331063,-0.834493966879323,0.978824312331063,0.978824312331063,-0.998885637219444,0.834493966879323,0.999442740629223,0.834493966879323,0.999442740629223,0.98551142062719,0.990247995664676,0.978824312331063,0.247697708329692,-0.509611496912197,0.978824312331063,0.999442740629223,0.999442740629223,0.999721409229175,-0.990809913336439,0.756209117327428,0.290056489911843,0.290056489911843,0.978824312331063,-0.978545881068556,0.978824312331063,0.988297715750576,-0.290056489911843
"AXIN2",-0.097811001939795,1,-0.109509771467492,-0.097253729589824,-0.0994828189897079,-0.0986371102245609,-0.109509771467492,-0.0562614763854224,0.522440400482194,-0.103944976433885,-0.105612814839389,0.0986488934907232,-0.097253729589824,-0.0738482908910425,-0.0562614763854224,-0.0562614763854224,0.096696457239853,-0.0983643313902221,-0.0980876629434349,-0.097253729589824,-0.0142396690330955,-0.0994828189897079,-0.00416208353637457,-0.0259583129148043,-0.0117338790284652,-0.102538012888809,-0.0978070593863586,-0.0994828189897079,-0.0994828189897079,-0.097253729589824,-0.109509771467492,0.0738482908910425,-0.109509771467492,-0.109509771467492,0.0972497873824951,-0.0738482908910425,-0.097253729589824,-0.0738482908910425,-0.097253729589824,-0.105051595436584,-0.101992529018245,-0.109509771467492,-0.0259583129148043,0.028724918338568,-0.109509771467492,-0.097253729589824,-0.097253729589824,-0.0975303907881495,0.0969537848692895,-0.0562614763854224,-0.0242277834668061,-0.0242277834668061,-0.109509771467492,0.109229173362977,-0.109509771467492,-0.104494323432721,0.0242277834668061
"CD44",0.978824312331063,-0.109509771467492,1,0.978824312331063,0.982725125503803,0.975759605304542,1,0.7528632148407,0.051546178858711,0.989412689743487,0.990526751849285,-0.984675719632987,0.978824312331063,0.817219195174658,0.7528632148407,0.7528632148407,-0.980496089405094,0.979381428892612,0.978545573862314,0.978824312331063,0.0665894768703995,0.982725125503803,-0.0537735166461276,0.248815665593086,0.105876437615809,0.990248325885877,0.978266911535457,0.982725125503803,0.982725125503803,0.978824312331063,1,-0.817219195174658,1,1,-0.979381428892612,0.817219195174658,0.978824312331063,0.817219195174658,0.978824312331063,0.993312895857064,0.988576534471333,1,0.248815665593086,-0.506269626071187,1,0.978824312331063,0.978824312331063,0.979102832692311,-0.969632514378314,0.7528632148407,0.286154406077191,0.286154406077191,1,-0.999721409531928,1,0.989412085107017,-0.286154406077191
"CDC42",0.999442740629223,-0.097253729589824,0.978824312331063,1,0.996099184404563,0.996378788033937,0.978824312331063,0.75676637927234,0.0626912326367326,0.988297697580812,0.98829755321369,-0.994148812925719,1,0.835051226250099,0.75676637927234,0.75676637927234,-0.99832822188767,0.998885637219444,0.999164150053079,1,0.0660299254817506,0.996099184404563,-0.0526576314578802,0.248254978602931,0.110332133992745,0.988577164413985,0.998885637219444,0.996099184404563,0.996099184404563,1,0.978824312331063,-0.835051226250099,0.978824312331063,0.978824312331063,-0.999442896244121,0.835051226250099,1,0.835051226250099,1,0.98551142062719,0.990247995664676,0.978824312331063,0.248254978602931,-0.510168759397897,0.978824312331063,1,1,0.999721409229175,-0.990252653727719,0.75676637927234,0.289499230021916,0.289499230021916,0.978824312331063,-0.978545881068556,0.978824312331063,0.988854974775253,-0.289499230021916
"Csl",0.996099184404563,-0.0994828189897079,0.982725125503803,0.996099184404563,1,0.993035235053958,0.982725125503803,0.755094593437605,0.0604621972302215,0.987740437690885,0.987183034472136,-0.994706072534439,0.996099184404563,0.832822188766993,0.755094593437605,0.755094593437605,-0.994427406292233,0.996656601120735,0.995820594996505,0.996099184404563,0.0660299254817506,1,-0.0537721526221398,0.248254978602931,0.108660340889767,0.988019905583988,0.99554208307138,1,1,0.996099184404563,0.982725125503803,-0.832822188766993,0.982725125503803,0.982725125503803,-0.99554208307138,0.832822188766993,0.996099184404563,0.832822188766993,0.996099184404563,0.988297715750576,0.989690736055955,0.982725125503803,0.248254978602931,-0.508496971940795,0.982725125503803,0.996099184404563,0.996099184404563,0.996377854172601,-0.986909096075396,0.755094593437605,0.29061374980177,0.29061374980177,0.982725125503803,-0.982446693484205,0.982725125503803,0.988297715750576,-0.29061374980177
"Csn",0.996936046863934,-0.0986371102245609,0.975759605304542,0.996378788033937,0.993035235053958,1,0.975759605304542,0.753138787680187,0.0612984141933024,0.984677269941804,0.984676352604009,-0.991085252331491,0.996378788033937,0.831430174354941,0.753138787680187,0.753138787680187,-0.994707011543948,0.995820910724853,0.997214327897601,0.996378788033937,0.0624134735044514,0.993035235053958,-0.055726004134853,0.244641412544801,0.108945078153906,0.985511284480356,0.997492686176545,0.993035235053958,0.993035235053958,0.996378788033937,0.975759605304542,-0.831430174354941,0.975759605304542,0.975759605304542,-0.995820910724852,0.831430174354941,0.996378788033937,0.831430174354941,0.996378788033937,0.982446707111312,0.987184438855911,0.975759605304542,0.244641412544801,-0.506551107930017,0.975759605304542,0.996378788033937,0.996378788033937,0.996657069262285,-0.993871547671192,0.753138787680187,0.292003898952748,0.292003898952748,0.975759605304542,-0.975480786735803,0.975759605304542,0.9852329995308,-0.292003898952748
"DELTA",0.978824312331063,-0.109509771467492,1,0.978824312331063,0.982725125503803,0.975759605304542,1,0.7528632148407,0.051546178858711,0.989412689743487,0.990526751849285,-0.984675719632987,0.978824312331063,0.817219195174658,0.7528632148407,0.7528632148407,-0.980496089405094,0.979381428892612,0.978545573862314,0.978824312331063,0.0665894768703995,0.982725125503803,-0.0537735166461276,0.248815665593086,0.105876437615809,0.990248325885877,0.978266911535457,0.982725125503803,0.982725125503803,0.978824312331063,1,-0.817219195174658,1,1,-0.979381428892612,0.817219195174658,0.978824312331063,0.817219195174658,0.978824312331063,0.993312895857064,0.988576534471333,1,0.248815665593086,-0.506269626071187,1,0.978824312331063,0.978824312331063,0.979102832692311,-0.969632514378314,0.7528632148407,0.286154406077191,0.286154406077191,1,-0.999721409531928,1,0.989412085107017,-0.286154406077191
"DSH",0.756209117327428,-0.0562614763854224,0.7528632148407,0.75676637927234,0.755094593437605,0.753138787680187,0.7528632148407,1,0.0757884855190277,0.753982635200568,0.755094593437605,-0.754817216380328,0.75676637927234,0.921715914966133,1,1,-0.758438165107074,0.755649522834753,0.755929290651145,0.75676637927234,0.00893023469586298,0.755094593437605,-0.0301005950054423,0.16664600897884,0.037630424570533,0.755925094700832,0.755649522834753,0.755094593437605,0.755094593437605,0.75676637927234,0.7528632148407,-0.921715914966133,0.7528632148407,0.7528632148407,-0.756764046032373,0.921715914966133,0.75676637927234,0.921715914966133,0.75676637927234,0.753420476439511,0.754817216380328,0.7528632148407,0.16664600897884,-0.75343447199928,0.7528632148407,0.75676637927234,0.75676637927234,0.756486552401375,-0.747004366417396,1,0.190577241388289,0.190577241388289,0.7528632148407,-0.752583506359725,0.7528632148407,0.755092261235942,-0.190577241388289
"Destcompl",0.0621339737851048,0.522440400482194,0.051546178858711,0.0626912326367326,0.0604621972302215,0.0612984141933024,0.051546178858711,0.0757884855190277,1,0.0571185420642537,0.0554468675655715,-0.0612980340469721,0.0626912326367326,0.0671493034497549,0.0757884855190277,0.0757884855190277,-0.064363009191616,0.0615768319582271,0.0618554003841059,0.0626912326367326,-0.0103105333147595,0.0604621972302215,-0.0136521728329779,0.0181094813842551,0.00501413247695466,0.057397606017365,0.0621340904637557,0.0604621972302215,0.0604621972302215,0.0626912326367326,0.051546178858711,-0.0671493034497549,0.051546178858711,0.051546178858711,-0.0626913489692844,0.0671493034497549,0.0626912326367326,0.0671493034497549,0.0626912326367326,0.0560042469029403,0.0579544795095444,0.051546178858711,0.0181094813842551,-0.0771797731157465,0.051546178858711,0.0626912326367326,0.0626912326367326,0.0624126590410529,-0.0618562247482842,0.0757884855190277,0.0214550292153962,0.0214550292153962,0.051546178858711,-0.0518248756872427,0.051546178858711,0.056561505408469,-0.0214550292153962
"EGR1",0.987740437690885,-0.103944976433885,0.989412689743487,0.988297697580812,0.987740437690885,0.984677269941804,0.989412689743487,0.753982635200568,0.0571185420642537,1,0.996099336039791,-0.988576206196,0.988297697580812,0.825020549832186,0.753982635200568,0.753982635200568,-0.989969477250594,0.987740911112005,0.987462006212571,0.988297697580812,0.0649131295128862,0.987740437690885,-0.053770805294348,0.247137097042488,0.109215222682204,0.98690630733839,0.987183651568178,0.987740437690885,0.987740437690885,0.988297697580812,0.989412689743487,-0.825020549832186,0.989412689743487,0.989412689743487,-0.988855430199659,0.825020549832186,0.988297697580812,0.825020549832186,0.988297697580812,0.989969949287314,0.980774564405806,0.989412689743487,0.247137097042488,-0.507380901147451,0.989412689743487,0.988297697580812,0.988297697580812,0.988019265907817,-0.978552045188657,0.753982635200568,0.287271544969937,0.287271544969937,0.989412689743487,-0.989134411435435,0.989412689743487,0.998328842444724,-0.287271544969937
