"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.111290769137015,0.974532377138594,1,0.993898419358635,0.99867387912806,0.974532377138594,-0.817482647858757,0.0274566732310114,0.987266724706914,0.987796893636155,-0.991245542910751,1,0.82835892901071,0.817482647858757,0.817482647858757,-0.997877840194121,0.99893899047455,1,1,0.0367369718235451,0.994694813484279,-0.0818529234563114,0.219522901084447,0.11234866579301,0.984878893277691,1,0.994429278902513,0.994429278902513,0.99973474733866,0.974532377138594,-0.82835892901071,0.974532377138594,0.974532377138594,-0.998143304099866,0.82835892901071,1,0.82835892901071,1,0.983817778338645,0.986470365304561,0.974532377138594,0.219522901084447,-0.82835892901071,0.974532377138594,1,1,1,-0.995229885874586,0.817482647858757,0.325385344842083,0.325385344842083,0.974532377138594,-0.974532377138594,0.974532377138594,0.988062350840286,-0.325385344842083
"AXIN2",-0.111290769137015,1,-0.126677464446372,-0.111290769137015,-0.113677862333177,-0.11155459041556,-0.126677464446372,0.0969683179934715,0.564133371356453,-0.117129178952419,-0.117128123908943,0.112616711305937,-0.111290769137015,-0.0892713887066576,-0.0969683179934715,-0.0969683179934715,0.10916748228237,-0.111289783739402,-0.111290769137015,-0.111290769137015,-0.00226159412725632,-0.114472280737229,0.000120981499922404,-0.0263995961455949,-0.00464321898320889,-0.120046817973344,-0.111290769137015,-0.114207466676743,-0.114207466676743,-0.111556561547089,-0.126677464446372,0.0892713887066576,-0.126677464446372,-0.126677464446372,0.11155459041556,-0.0892713887066576,-0.111290769137015,-0.0892713887066576,-0.111290769137015,-0.118452068694635,-0.121105919523857,-0.126677464446372,-0.0263995961455949,0.0892713887066576,-0.126677464446372,-0.111290769137015,-0.111290769137015,-0.111290769137015,0.11340763038416,-0.0969683179934715,-0.0229396163950444,-0.0229396163950444,-0.126677464446372,0.126677464446372,-0.126677464446372,-0.116863359066487,0.0229396163950444
"CD44",0.974532377138594,-0.126677464446372,1,0.974532377138594,0.979042311250488,0.973206277774778,1,-0.823849576426642,0.0126005745326617,0.986205571513916,0.986735741712741,-0.983286913567101,0.974532377138594,0.812972245612987,0.823849576426642,0.823849576426642,-0.974001958884458,0.974532534024672,0.974532377138594,0.974532377138594,0.0367369718235451,0.979838714785929,-0.0871587939785686,0.219522901084447,0.105451191397347,0.989654079621583,0.974532377138594,0.979573178113098,0.979573178113098,0.974267113723172,1,-0.812972245612987,1,1,-0.976389727943938,0.812972245612987,0.974532377138594,0.812972245612987,0.974532377138594,0.990715253705159,0.988062091173291,1,0.219522901084447,-0.812972245612987,1,0.974532377138594,0.974532377138594,0.974532377138594,-0.969762252259097,0.823849576426642,0.325915925471432,0.325915925471432,1,-1,1,0.986470622058988,-0.325915925471432
"CDC42",1,-0.111290769137015,0.974532377138594,1,0.993898419358635,0.99867387912806,0.974532377138594,-0.817482647858757,0.0274566732310114,0.987266724706914,0.987796893636155,-0.991245542910751,1,0.82835892901071,0.817482647858757,0.817482647858757,-0.997877840194121,0.99893899047455,1,1,0.0367369718235451,0.994694813484279,-0.0818529234563114,0.219522901084447,0.11234866579301,0.984878893277691,1,0.994429278902513,0.994429278902513,0.99973474733866,0.974532377138594,-0.82835892901071,0.974532377138594,0.974532377138594,-0.998143304099866,0.82835892901071,1,0.82835892901071,1,0.983817778338645,0.986470365304561,0.974532377138594,0.219522901084447,-0.82835892901071,0.974532377138594,1,1,1,-0.995229885874586,0.817482647858757,0.325385344842083,0.325385344842083,0.974532377138594,-0.974532377138594,0.974532377138594,0.988062350840286,-0.325385344842083
"Csl",0.993898419358635,-0.113677862333177,0.979042311250488,0.993898419358635,1,0.992572092973948,0.979042311250488,-0.820931921301066,0.0255997574515403,0.987532334092302,0.98806236176184,-0.989919073045392,0.993898419358635,0.828624241771652,0.820931921301066,0.820931921301066,-0.991776123409282,0.993898423223331,0.993898419358635,0.993898419358635,0.0343503754490307,0.999204454548016,-0.0837081540195549,0.21713576068073,0.109430570607531,0.985144432957356,0.993898419358635,0.99946956591333,0.99946956591333,0.993633234591738,0.979042311250488,-0.828624241771652,0.979042311250488,0.979042311250488,-0.993102667815439,0.828624241771652,0.993898419358635,0.828624241771652,0.993898419358635,0.987266344559039,0.985143897119524,0.979042311250488,0.21713576068073,-0.828624241771652,0.979042311250488,0.993898419358635,0.993898419358635,0.993898419358635,-0.989127459806158,0.820931921301066,0.325118708505266,0.325118708505266,0.979042311250488,-0.979042311250488,0.979042311250488,0.988327889399733,-0.325118708505266
"Csn",0.99867387912806,-0.11155459041556,0.973206277774778,0.99867387912806,0.992572092973948,1,0.973206277774778,-0.816157943168376,0.027191679488239,0.985941456320767,0.98647120412221,-0.989919218766494,0.99867387912806,0.827032742428782,0.816157943168376,0.816157943168376,-0.997612449074107,0.997612449074107,0.99867387912806,0.99867387912806,0.0359441346500244,0.993367853870825,-0.0821127636446475,0.218728435913129,0.111022451345707,0.983553416614595,0.99867387912806,0.993102530458598,0.993102530458598,0.998408837263328,0.973206277774778,-0.827032742428782,0.973206277774778,0.973206277774778,-0.996816552519353,0.827032742428782,0.99867387912806,0.827032742428782,0.99867387912806,0.982491038856442,0.985144045193076,0.973206277774778,0.218728435913129,-0.827032742428782,0.973206277774778,0.99867387912806,0.99867387912806,0.99867387912806,-0.996554111146145,0.816157943168376,0.325646665287573,0.325646665287573,0.973206277774778,-0.973206277774778,0.973206277774778,0.98673687148867,-0.325646665287573
"DELTA",0.974532377138594,-0.126677464446372,1,0.974532377138594,0.979042311250488,0.973206277774778,1,-0.823849576426642,0.0126005745326617,0.986205571513916,0.986735741712741,-0.983286913567101,0.974532377138594,0.812972245612987,0.823849576426642,0.823849576426642,-0.974001958884458,0.974532534024672,0.974532377138594,0.974532377138594,0.0367369718235451,0.979838714785929,-0.0871587939785686,0.219522901084447,0.105451191397347,0.989654079621583,0.974532377138594,0.979573178113098,0.979573178113098,0.974267113723172,1,-0.812972245612987,1,1,-0.976389727943938,0.812972245612987,0.974532377138594,0.812972245612987,0.974532377138594,0.990715253705159,0.988062091173291,1,0.219522901084447,-0.812972245612987,1,0.974532377138594,0.974532377138594,0.974532377138594,-0.969762252259097,0.823849576426642,0.325915925471432,0.325915925471432,1,-1,1,0.986470622058988,-0.325915925471432
"DSH",-0.817482647858757,0.0969683179934715,-0.823849576426642,-0.817482647858757,-0.820931921301066,-0.816157943168376,-0.823849576426642,1,-0.0423122904027022,-0.819603450457257,-0.821195822154418,0.819870766913158,-0.817482647858757,-0.989124891784432,-1,-1,0.815361440575673,-0.816953171709447,-0.817482647858757,-0.817482647858757,-0.00914078223467949,-0.82172969464082,0.0728439730064682,-0.166462735403616,-0.0608824804287976,-0.822521920572333,-0.817482647858757,-0.821463712494072,-0.821463712494072,-0.817216894906873,-0.823849576426642,0.989124891784432,-0.823849576426642,-0.823849576426642,0.817749673966085,-0.989124891784432,-0.817482647858757,-0.989124891784432,-0.817482647858757,-0.820933135561502,-0.82146249849502,-0.823849576426642,-0.166462735403616,0.989124891784432,-0.823849576426642,-0.817482647858757,-0.817482647858757,-0.817482647858757,0.812717506735529,-1,-0.26490749361936,-0.26490749361936,-0.823849576426642,0.823849576426642,-0.823849576426642,-0.820399607913081,0.26490749361936
"Destcompl",0.0274566732310114,0.564133371356453,0.0126005745326617,0.0274566732310114,0.0255997574515403,0.027191679488239,0.0126005745326617,-0.0423122904027022,1,0.0221505481987093,0.0221507328296539,-0.0266609069851604,0.0274566732310114,0.0494756219579934,0.0423122904027022,0.0423122904027022,-0.0295791654418099,0.0274568669720168,0.0274566732310114,0.0274566732310114,-0.00305235602397193,0.0248041962884703,-0.0234811459209896,0.018436704757076,0.0126009843813076,0.0192324731776215,0.0274566732310114,0.025069381466531,0.025069381466531,0.0271912916701304,0.0126005745326617,-0.0494756219579934,0.0126005745326617,0.0126005745326617,-0.027722253993666,0.0494756219579934,0.0274566732310114,0.0494756219579934,0.0274566732310114,0.0208247854231149,0.0176411359493893,0.0126005745326617,0.018436704757076,-0.0494756219579934,0.0126005745326617,0.0274566732310114,0.0274566732310114,0.0274566732310114,-0.0253356509078794,0.0423122904027022,0.0335610391647706,0.0335610391647706,0.0126005745326617,-0.0126005745326617,0.0126005745326617,0.0224159276036103,-0.0335610391647706
"EGR1",0.987266724706914,-0.117129178952419,0.986205571513916,0.987266724706914,0.987532334092302,0.985941456320767,0.986205571513916,-0.819603450457257,0.0221505481987093,1,0.995755524100588,-0.988593486911894,0.987266724706914,0.820400765006544,0.819603450457257,0.819603450457257,-0.986736860288609,0.986736860288609,0.987266724706914,0.987266724706914,0.0367329674617498,0.988329578463139,-0.0850438039797015,0.219521253240256,0.108634448216887,0.984348002459757,0.987266724706914,0.988063760914416,0.988063760914416,0.987001184597381,0.986205571513916,-0.820400765006544,0.986205571513916,0.986205571513916,-0.98912491321124,0.820400765006544,0.987266724706914,0.820400765006544,0.987266724706914,0.988063760914416,0.975859653076788,0.986205571513916,0.219521253240256,-0.820400765006544,0.986205571513916,0.987266724706914,0.987266724706914,0.987266724706914,-0.982499973257909,0.819603450457257,0.325921540066049,0.325921540066049,0.986205571513916,-0.986205571513916,0.986205571513916,0.999204169118063,-0.325921540066049
