"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.0953855573788131,0.966230005111348,1,0.990977353513217,0.998453209178902,0.966230005111348,0.971643353253042,0.00103319526938122,0.982987373422326,0.983500897908284,-0.986079399488323,1,0.997422148560893,0.972158950399007,0.972158950399007,-0.998195708520023,0.998195709958744,1,1,0.0340254873382964,0.992009076847066,-0.0886872781348807,0.206756269105314,0.114977215614922,0.980923048662238,0.999742234785536,0.992009076847066,0.992009076847066,1,0.966230005111348,-0.999484536048225,0.966230005111348,0.966230005111348,-0.997422544238237,1,1,0.998711040664955,1,0.977571834400094,0.982731479147822,0.966230005111348,0.206756269105314,-0.992266577574776,0.966230005111348,1,1,1,-0.994844556795075,0.972158950399007,0.333367719322855,0.333367719322855,0.966230005111348,-0.966230005111348,0.966230005111348,0.984275881359397,-0.333367719322855
"AXIN2",-0.0953855573788131,1,-0.121938417032745,-0.0953855573788131,-0.10079911528421,-0.0943543636008805,-0.121938417032745,-0.117040274626247,0.545764311888264,-0.10672956109284,-0.107759882714003,0.102088691332626,-0.0953855573788131,-0.0938386213188253,-0.117040274626247,-0.117040274626247,0.0940968302001253,-0.0966743405836785,-0.0953855573788131,-0.0953855573788131,-0.0100592227939134,-0.101830203109855,-0.0100558433488097,-0.0213997934448283,-0.00180519187059509,-0.109822122752252,-0.09512768299102,-0.101830203109855,-0.101830203109855,-0.0953855573788131,-0.121938417032745,0.0953854117801247,-0.121938417032745,-0.121938417032745,0.0969327169603003,-0.0953855573788131,-0.0953855573788131,-0.095127841199857,-0.0953855573788131,-0.110595455197971,-0.109564021108146,-0.121938417032745,-0.0213997934448283,0.0943540977607727,-0.121938417032745,-0.0953855573788131,-0.0953855573788131,-0.0953855573788131,0.0943547297741377,-0.117040274626247,-0.00618435263085216,-0.00618435263085216,-0.121938417032745,0.121938417032745,-0.121938417032745,-0.106471628142282,0.00618435263085216
"CD44",0.966230005111348,-0.121938417032745,1,0.966230005111348,0.973189474745083,0.964683213210851,1,0.993555064408029,-0.0244960361593435,0.981188115294507,0.982729118716651,-0.980153503674531,0.966230005111348,0.963651225921143,0.994070661913795,0.994070661913795,-0.968036268088453,0.967002307759893,0.966230005111348,0.966230005111348,0.0312168494107653,0.97422026362871,-0.0976997499333509,0.203934041130371,0.105958507005227,0.985306309649708,0.965971777863095,0.97422026362871,0.97422026362871,0.966230005111348,1,-0.965713614847673,1,1,-0.968810351009018,0.966230005111348,0.966230005111348,0.964941504486458,0.966230005111348,0.988657392208057,0.983501375861798,1,0.203934041130371,-0.958494716407263,1,0.966230005111348,0.966230005111348,0.966230005111348,-0.961076383282532,0.994070661913795,0.33618070938589,0.33618070938589,1,-1,1,0.980929364187121,-0.33618070938589
"CDC42",1,-0.0953855573788131,0.966230005111348,1,0.990977353513217,0.998453209178902,0.966230005111348,0.971643353253042,0.00103319526938122,0.982987373422326,0.983500897908284,-0.986079399488323,1,0.997422148560893,0.972158950399007,0.972158950399007,-0.998195708520023,0.998195709958744,1,1,0.0340254873382964,0.992009076847066,-0.0886872781348807,0.206756269105314,0.114977215614922,0.980923048662238,0.999742234785536,0.992009076847066,0.992009076847066,1,0.966230005111348,-0.999484536048225,0.966230005111348,0.966230005111348,-0.997422544238237,1,1,0.998711040664955,1,0.977571834400094,0.982731479147822,0.966230005111348,0.206756269105314,-0.992266577574776,0.966230005111348,1,1,1,-0.994844556795075,0.972158950399007,0.333367719322855,0.333367719322855,0.966230005111348,-0.966230005111348,0.966230005111348,0.984275881359397,-0.333367719322855
"Csl",0.990977353513217,-0.10079911528421,0.973189474745083,0.990977353513217,1,0.989430562846318,0.973189474745083,0.977056228362182,-0.0043836026491844,0.982731469968563,0.985305787734588,-0.985307101311941,0.990977353513217,0.988399104770265,0.977571825456748,0.977571825456748,-0.990204848555088,0.992266047436504,0.990977353513217,0.990977353513217,0.0327481075510688,0.998968938970846,-0.0920341217189544,0.205473002601615,0.108018422766987,0.981180749284201,0.990719389843846,0.998968938970846,0.998968938970846,0.990977353513217,0.973189474745083,-0.990461492051997,0.973189474745083,0.973189474745083,-0.989431880809801,0.990977353513217,0.990977353513217,0.989688592187684,0.990977353513217,0.979891723334911,0.979893796608676,0.973189474745083,0.205473002601615,-0.983243134338615,0.973189474745083,0.990977353513217,0.990977353513217,0.990977353513217,-0.985822698749173,0.977571825456748,0.335678094723866,0.335678094723866,0.973189474745083,-0.973189474745083,0.973189474745083,0.984019778558101,-0.335678094723866
"Csn",0.998453209178902,-0.0943543636008805,0.964683213210851,0.998453209178902,0.989430562846318,1,0.964683213210851,0.970096561815144,0.00206439672311331,0.981440577666815,0.981954107087185,-0.984532607022426,0.998453209178902,0.995875357945394,0.97061215896111,0.97061215896111,-0.996648916619526,0.996648919291846,0.998453209178902,0.998453209178902,0.033509830815137,0.990462285768968,-0.0881716721992993,0.206240657823781,0.113430420836017,0.979376258046739,0.998711041007603,0.990462285768968,0.990462285768968,0.998453209178902,0.964683213210851,-0.997937745432726,0.964683213210851,0.964683213210851,-0.99587575177234,0.998453209178902,0.998453209178902,0.997164249586857,0.998453209178902,0.976025043733195,0.981184684368918,0.964683213210851,0.206240657823781,-0.990719786753678,0.964683213210851,0.998453209178902,0.998453209178902,0.998453209178902,-0.996391349260972,0.97061215896111,0.332852079612463,0.332852079612463,0.964683213210851,-0.964683213210851,0.964683213210851,0.982729086580492,-0.332852079612463
"DELTA",0.966230005111348,-0.121938417032745,1,0.966230005111348,0.973189474745083,0.964683213210851,1,0.993555064408029,-0.0244960361593435,0.981188115294507,0.982729118716651,-0.980153503674531,0.966230005111348,0.963651225921143,0.994070661913795,0.994070661913795,-0.968036268088453,0.967002307759893,0.966230005111348,0.966230005111348,0.0312168494107653,0.97422026362871,-0.0976997499333509,0.203934041130371,0.105958507005227,0.985306309649708,0.965971777863095,0.97422026362871,0.97422026362871,0.966230005111348,1,-0.965713614847673,1,1,-0.968810351009018,0.966230005111348,0.966230005111348,0.964941504486458,0.966230005111348,0.988657392208057,0.983501375861798,1,0.203934041130371,-0.958494716407263,1,0.966230005111348,0.966230005111348,0.966230005111348,-0.961076383282532,0.994070661913795,0.33618070938589,0.33618070938589,1,-1,1,0.980929364187121,-0.33618070938589
"DSH",0.971643353253042,-0.117040274626247,0.993555064408029,0.971643353253042,0.977056228362182,0.970096561815144,0.993555064408029,1,-0.0201124239991099,0.981960555433587,0.982470893318324,-0.980410610625929,0.971643353253042,0.969064707034594,0.999484402648434,0.999484402648434,-0.973449420087431,0.971900257416523,0.971643353253042,0.971643353253042,0.0319864035712286,0.978087150885688,-0.0964122339693321,0.204705469975085,0.106215676406717,0.982985828125275,0.971385192002384,0.978087150885688,0.978087150885688,0.971643353253042,0.993555064408029,-0.971127095344325,0.993555064408029,0.993555064408029,-0.973707840600908,0.971643353253042,0.971643353253042,0.97035478745291,0.971643353253042,0.984790184780671,0.981181486774128,0.993555064408029,0.204705469975085,-0.963908332702594,0.993555064408029,0.971643353253042,0.971643353253042,0.971643353253042,-0.966489472881656,0.999484402648434,0.336441752080838,0.336441752080838,0.993555064408029,-0.993555064408029,0.993555064408029,0.981701870375931,-0.336441752080838
"Destcompl",0.00103319526938122,0.545764311888264,-0.0244960361593435,0.00103319526938122,-0.0043836026491844,0.00206439672311331,-0.0244960361593435,-0.0201124239991099,1,-0.00927087358023363,-0.0103100207216718,0.00463443002291962,0.00103319526938122,0.00257800329166188,-0.0201124239991099,-0.0201124239991099,-0.00284079051927662,-0.000258797245458083,0.00103319526938122,0.00103319526938122,-0.000199005796394674,-0.0054167992555689,-0.0218904839112757,0.00698971455090145,0.0126412223239189,-0.0128900164583094,0.00128999859638966,-0.0054167992555689,-0.0054167992555689,0.00103319526938122,-0.0244960361593435,-0.00103120131666475,-0.0244960361593435,-0.0244960361593435,-5.98145330784371e-06,0.00103319526938122,0.00103319526938122,0.00129199275530354,0.00103319526938122,-0.0131488141321028,-0.0131568243700634,-0.0244960361593435,0.00698971455090145,-0.001544808364949,-0.0244960361593435,0.00103319526938122,0.00103319526938122,0.00103319526938122,-0.00206838655385338,-0.0201124239991099,0.0355295517811641,0.0355295517811641,-0.0244960361593435,0.0244960361593435,-0.0244960361593435,-0.00901406361415055,-0.0355295517811641
"EGR1",0.982987373422326,-0.10672956109284,0.981188115294507,0.982987373422326,0.982731469968563,0.981440577666815,0.981188115294507,0.981960555433587,-0.00927087358023363,1,0.992783746540562,-0.984016958548201,0.982987373422326,0.980410579385154,0.982476154224357,0.982476154224357,-0.984790661880109,0.981700272901023,0.982987373422326,0.982987373422326,0.0324472485174711,0.983764257764888,-0.0943714733389768,0.205194670692853,0.11136359792235,0.978348185318606,0.982730140763784,0.983764257764888,0.983764257764888,0.982987373422326,0.981188115294507,-0.982472973451702,0.981188115294507,0.981188115294507,-0.985563755948517,0.982987373422326,0.982987373422326,0.981697875466142,0.982987373422326,0.982215871434793,0.967787002077513,0.981188115294507,0.205194670692853,-0.975256053054594,0.981188115294507,0.982987373422326,0.982987373422326,0.982987373422326,-0.977829768946941,0.982476154224357,0.335973575878282,0.335973575878282,0.981188115294507,-0.981188115294507,0.981188115294507,0.998195433564856,-0.335973575878282
