"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.125498087155868,0.975960919372127,1,0.99599351665989,0.99893174184552,0.975960919372127,0.788204594006052,-0.000516577014182707,0.986912426162523,0.986117911289806,-0.993322823653797,1,0.79808338971335,0.788204594006052,0.788204594006052,-0.997596130781256,0.998931596416539,1,1,0.0478186388852406,0.99599351665989,-0.0884406051225834,0.225455620237893,0.112169056633059,0.984776230317456,1,0.99599351665989,0.99599351665989,1,0.975960919372127,-0.79808338971335,0.975960919372127,0.975960919372127,-0.998664532954631,0.79808338971335,1,0.79808338971335,1,0.985311312310531,0.988781873047269,0.975960919372127,0.225455620237893,-0.797815135912612,0.975960919372127,1,1,1,-0.996797099619578,0.788204594006052,0.323502019571942,0.323502019571942,0.975960919372127,-0.975960919372127,0.975960919372127,0.987179789931788,-0.323502019571942
"AXIN2",-0.125498087155868,1,-0.139921844237693,-0.125498087155868,-0.127365799009448,-0.124967976218388,-0.139921844237693,-0.0990952772368004,0.529907139207479,-0.13111346980864,-0.133540647698899,0.126839780013287,-0.125498087155868,-0.0902742667291152,-0.0990952772368004,-0.0990952772368004,0.123096176798763,-0.125498087155868,-0.125498087155868,-0.125498087155868,-0.00134878714637751,-0.127365799009448,-0.00556060762392843,-0.0219402834253821,-0.0192115796503516,-0.134857082979941,-0.125498087155868,-0.127365799009448,-0.127365799009448,-0.125498087155868,-0.139921844237693,0.0902742667291152,-0.139921844237693,-0.139921844237693,0.124698814359347,-0.0902742667291152,-0.125498087155868,-0.0902742667291152,-0.125498087155868,-0.132190210596086,-0.132438813777815,-0.139921844237693,-0.0219402834253821,0.0905391810023495,-0.139921844237693,-0.125498087155868,-0.125498087155868,-0.125498087155868,0.124980496945773,-0.0990952772368004,-0.0286427650922777,-0.0286427650922777,-0.139921844237693,0.139921844237693,-0.139921844237693,-0.132451063019935,0.0286427650922777
"CD44",0.975960919372127,-0.139921844237693,1,0.975960919372127,0.979967440613275,0.974892722956447,1,0.795683322786862,-0.01493992660946,0.987446625953462,0.989857279014757,-0.982638827835006,0.975960919372127,0.785796902772017,0.795683322786862,0.795683322786862,-0.977830690573825,0.975960919372127,0.975960919372127,0.975960919372127,0.0467502476874824,0.979967440613275,-0.0921800340713826,0.224387219398379,0.110566467264045,0.991186614089143,0.975960919372127,0.979967440613275,0.979967440613275,0.975960919372127,1,-0.785796902772017,1,1,-0.977296489487138,0.785796902772017,0.975960919372127,0.785796902772017,0.975960919372127,0.990653288878405,0.987179263098796,1,0.224387219398379,-0.785528645903497,1,0.975960919372127,0.975960919372127,0.975960919372127,-0.972758224785856,0.795683322786862,0.322433599867367,0.322433599867367,1,-1,1,0.98878238753249,-0.322433599867367
"CDC42",1,-0.125498087155868,0.975960919372127,1,0.99599351665989,0.99893174184552,0.975960919372127,0.788204594006052,-0.000516577014182707,0.986912426162523,0.986117911289806,-0.993322823653797,1,0.79808338971335,0.788204594006052,0.788204594006052,-0.997596130781256,0.998931596416539,1,1,0.0478186388852406,0.99599351665989,-0.0884406051225834,0.225455620237893,0.112169056633059,0.984776230317456,1,0.99599351665989,0.99599351665989,1,0.975960919372127,-0.79808338971335,0.975960919372127,0.975960919372127,-0.998664532954631,0.79808338971335,1,0.79808338971335,1,0.985311312310531,0.988781873047269,0.975960919372127,0.225455620237893,-0.797815135912612,0.975960919372127,1,1,1,-0.996797099619578,0.788204594006052,0.323502019571942,0.323502019571942,0.975960919372127,-0.975960919372127,0.975960919372127,0.987179789931788,-0.323502019571942
"Csl",0.99599351665989,-0.127365799009448,0.979967440613275,0.99599351665989,1,0.994925409994528,0.979967440613275,0.790609570971834,-0.00238534637130075,0.987179757922016,0.986386024495829,-0.99252176326295,0.99599351665989,0.800488167172998,0.790609570971834,0.790609570971834,-0.995192326217201,0.99599351665989,0.99599351665989,0.99599351665989,0.0486204279632842,1,-0.0876409903511751,0.226258448422058,0.111367274814251,0.986646299389806,0.99599351665989,1,1,0.99599351665989,0.979967440613275,-0.800488167172997,0.979967440613275,0.979967440613275,-0.995192326217201,0.800488167172998,0.99599351665989,0.800488167172998,0.99599351665989,0.987715719742258,0.988514648396442,0.979967440613275,0.226258448422058,-0.80021984225897,0.979967440613275,0.99599351665989,0.99599351665989,0.99599351665989,-0.992791216858736,0.790609570971834,0.322703151302049,0.322703151302049,0.979967440613275,-0.979967440613275,0.979967440613275,0.987447193109939,-0.322703151302049
"Csn",0.99893174184552,-0.124967976218388,0.974892722956447,0.99893174184552,0.994925409994528,1,0.974892722956447,0.787668376144496,1.57662238546966e-05,0.985843777568252,0.985047704040265,-0.992254158595908,0.99893174184552,0.797547574348742,0.787668376144496,0.787668376144496,-0.997061937240229,0.997863341006005,0.99893174184552,0.99893174184552,0.0467492715398276,0.994925409994528,-0.0879030362078829,0.224384217528592,0.111101662506908,0.983707304129422,0.99893174184552,0.994925409994528,0.994925409994528,0.99893174184552,0.974892722956447,-0.797547574348742,0.974892722956447,0.974892722956447,-0.997596136954945,0.797547574348742,0.99893174184552,0.797547574348742,0.99893174184552,0.984242101364996,0.98771392602712,0.974892722956447,0.224384217528592,-0.797279463783657,0.974892722956447,0.99893174184552,0.99893174184552,0.99893174184552,-0.997864500756325,0.787668376144496,0.322428776622595,0.322428776622595,0.974892722956447,-0.974892722956447,0.974892722956447,0.986110999148695,-0.322428776622595
"DELTA",0.975960919372127,-0.139921844237693,1,0.975960919372127,0.979967440613275,0.974892722956447,1,0.795683322786862,-0.01493992660946,0.987446625953462,0.989857279014757,-0.982638827835006,0.975960919372127,0.785796902772017,0.795683322786862,0.795683322786862,-0.977830690573825,0.975960919372127,0.975960919372127,0.975960919372127,0.0467502476874824,0.979967440613275,-0.0921800340713826,0.224387219398379,0.110566467264045,0.991186614089143,0.975960919372127,0.979967440613275,0.979967440613275,0.975960919372127,1,-0.785796902772017,1,1,-0.977296489487138,0.785796902772017,0.975960919372127,0.785796902772017,0.975960919372127,0.990653288878405,0.987179263098796,1,0.224387219398379,-0.785528645903497,1,0.975960919372127,0.975960919372127,0.975960919372127,-0.972758224785856,0.795683322786862,0.322433599867367,0.322433599867367,1,-1,1,0.98878238753249,-0.322433599867367
"DSH",0.788204594006052,-0.0990952772368004,0.795683322786862,0.788204594006052,0.790609570971834,0.787668376144496,0.795683322786862,1,-0.00560900817109505,0.790605509981735,0.793002843904947,-0.788468738333135,0.788204594006052,0.9901178392216,1,1,-0.790607427663706,0.788204594006052,0.788204594006052,0.788204594006052,0.0122863405632967,0.790609570971834,-0.0651720653170394,0.162661933222108,0.0579595691686429,0.793274776765323,0.788204594006052,0.790609570971834,0.790609570971834,0.788204594006052,0.795683322786862,-0.9901178392216,0.795683322786862,0.795683322786862,-0.788470650832182,0.9901178392216,0.788204594006052,0.9901178392216,0.788204594006052,0.792204923811218,0.792480414768034,0.795683322786862,0.162661933222108,-0.989850992272123,0.795683322786862,0.788204594006052,0.788204594006052,0.788204594006052,-0.785526894632529,1,0.225433654761317,0.225433654761317,0.795683322786862,-0.795683322786862,0.795683322786862,0.791940116552626,-0.225433654761317
"Destcompl",-0.000516577014182707,0.529907139207479,-0.01493992660946,-0.000516577014182707,-0.00238534637130075,1.57662238546966e-05,-0.01493992660946,-0.00560900817109505,1,-0.00612841674092873,-0.00854243061101101,0.00185484768187915,-0.000516577014182707,0.00320793080228749,-0.00560900817109505,-0.00560900817109505,-0.00188638466804899,-0.000516577014182707,-0.000516577014182707,-0.000516577014182707,-0.00561457987304777,-0.00238534637130075,-0.0232173172570863,0.00212102082092319,-0.00426519561995397,-0.00986962339218057,-0.000516577014182707,-0.00238534637130075,-0.00238534637130075,-0.000516577014182707,-0.01493992660946,-0.00320793080228749,-0.01493992660946,-0.01493992660946,-0.000283792383688787,0.00320793080228749,-0.000516577014182707,0.00320793080228749,-0.000516577014182707,-0.00720048993465863,-0.00745931917687033,-0.01493992660946,0.00212102082092319,-0.00294176323953894,-0.01493992660946,-0.000516577014182707,-0.000516577014182707,-0.000516577014182707,0.000523991946861635,-0.00560900817109505,0.0216093824865969,0.0216093824865969,-0.01493992660946,0.01493992660946,-0.01493992660946,-0.00746482624128651,-0.0216093824865969
"EGR1",0.986912426162523,-0.13111346980864,0.987446625953462,0.986912426162523,0.987179757922016,0.985843777568252,0.987446625953462,0.790605509981735,-0.00612841674092873,1,0.99439528552028,-0.988247648616565,0.986912426162523,0.791403629097968,0.790605509981735,0.790605509981735,-0.988781961880442,0.986912426162523,0.986912426162523,0.986912426162523,0.0464816916715638,0.987179757922016,-0.090839474972481,0.224115641401917,0.110835076559865,0.983440046630314,0.986912426162523,0.987179757922016,0.987179757922016,0.986912426162523,0.987446625953462,-0.791403629097968,0.987446625953462,0.987446625953462,-0.988247762794543,0.791403629097968,0.986912426162523,0.791403629097968,0.986912426162523,0.988248266297572,0.977297335881273,0.987446625953462,0.224115641401917,-0.791135588654555,0.987446625953462,0.986912426162523,0.986912426162523,0.986912426162523,-0.983707937622284,0.790605509981735,0.323761919142056,0.323761919142056,0.987446625953462,-0.987446625953462,0.987446625953462,0.998130345472745,-0.323761919142056
