"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.129926463117879,0.97377775003138,0.999213352002163,0.995804362950935,0.996592711561914,0.97377775003138,0.82063946912941,0.139370857168021,0.986890751722638,0.98793872897521,-0.99370992854262,0.999213352002163,0.833225431987553,0.82063946912941,0.82063946912941,-1,0.997639987243251,0.999737806921801,0.999213352002163,0.0436508220329065,0.996066622484338,-0.0837741636091769,0.224066949566456,0.11577780714721,0.986104634007127,0.99868917042325,0.996066622484338,0.996066622484338,0.999213352002163,0.97377775003138,-0.833225431987553,0.97377775003138,0.97377775003138,-0.999213352002164,0.833225431987553,0.999213352002163,0.833225431987553,0.999213352002163,0.984790935444681,0.985315842646548,0.97377775003138,0.224066949566456,-0.832700114727657,0.97377775003138,0.999213352002163,0.999213352002163,0.999737806921801,-0.993445967113867,0.82063946912941,0.323713040510456,0.323713040510456,0.97377775003138,-0.97377775003138,0.97377775003138,0.98793872897521,-0.323713040510456
"AXIN2",-0.129926463117879,1,-0.152998749330267,-0.13018769787737,-0.132024294913729,-0.132279763455699,-0.152998749330267,-0.117852453146883,0.730706246275316,-0.140932444960448,-0.141458755814504,0.132539233773551,-0.13018769787737,-0.105791648470285,-0.117852453146883,-0.117852453146883,0.129926463117879,-0.129138781402432,-0.13018769787737,-0.13018769787737,-0.0242346338847637,-0.132285530827245,-0.0237483928188071,-0.0404991364311182,-0.00197577796475542,-0.14224268878744,-0.130185736300164,-0.132285530827245,-0.132285530827245,-0.13018769787737,-0.152998749330267,0.105791648470285,-0.152998749330267,-0.152998749330267,0.130712156114839,-0.105791648470285,-0.13018769787737,-0.105791648470285,-0.13018769787737,-0.141987030259235,-0.141468587310544,-0.152998749330267,-0.0404991364311182,0.105793540083983,-0.152998749330267,-0.13018769787737,-0.13018769787737,-0.13018769787737,0.131755302729845,-0.117852453146883,-0.0132166975361171,-0.0132166975361171,-0.152998749330267,0.152998749330267,-0.152998749330267,-0.14040983537258,0.0132166975361171
"CD44",0.97377775003138,-0.152998749330267,1,0.973515266789211,0.976924486040579,0.97036838845863,1,0.831125486757897,0.116293665118357,0.985315689172606,0.985839764143075,-0.9795472778942,0.973515266789211,0.818537901483598,0.831125486757897,0.831125486757897,-0.97377775003138,0.972990810499173,0.973515266789211,0.973515266789211,0.0420719097540682,0.97718646081948,-0.0869168750894761,0.222490170438557,0.106340234399938,0.987676051991214,0.972466043181784,0.97718646081948,0.97718646081948,0.973515266789211,1,-0.818537901483598,1,1,-0.97403972307925,0.818537901483598,0.973515266789211,0.818537901483598,0.973515266789211,0.988986548620607,0.987415275428185,1,0.222490170438557,-0.818013166293144,1,0.973515266789211,0.973515266789211,0.974039723079249,-0.967221635788139,0.831125486757897,0.322658215843052,0.322658215843052,1,-1,1,0.984790847596026,-0.322658215843052
"CDC42",0.999213352002163,-0.13018769787737,0.973515266789211,1,0.996066622484338,0.995805576178563,0.973515266789211,0.82142527081689,0.139108328415214,0.98662799966384,0.987676115544426,-0.993971501538124,1,0.834011376127526,0.82142527081689,0.82142527081689,-0.999213352002163,0.998426634375574,0.998951089583716,1,0.0444361286123861,0.996328813543005,-0.0829864565051822,0.224852762303409,0.116565138134502,0.985841812462752,0.997902313953613,0.996328813543005,0.996328813543005,1,0.973515266789211,-0.834011376127526,0.973515266789211,0.973515266789211,-0.999475544791858,0.834011376127526,1,0.834011376127526,1,0.984528596166747,0.986102825191849,0.973515266789211,0.224852762303409,-0.833486194322965,0.973515266789211,1,1,0.999475544791858,-0.992658829999481,0.82142527081689,0.323449301498185,0.323449301498185,0.973515266789211,-0.973515266789211,0.973515266789211,0.987676115544426,-0.323449301498185
"Csl",0.995804362950935,-0.132024294913729,0.976924486040579,0.996066622484338,1,0.992397052297851,0.976924486040579,0.823261771496611,0.137273040518763,0.985841835824713,0.986889815168974,-0.993185469403551,0.996066622484338,0.834798809404759,0.823261771496611,0.823261771496611,-0.995804362950935,0.996066622484338,0.995542167564701,0.996066622484338,0.0446997444223588,0.999737806921801,-0.0827252477112519,0.225115864382472,0.11367998746866,0.98662909253311,0.994493525584551,0.999737806921801,0.999737806921801,0.996066622484338,0.976924486040579,-0.834798809404759,0.976924486040579,0.976924486040579,-0.995542167564701,0.834798809404759,0.996066622484338,0.834798809404759,0.996066622484338,0.985839845933092,0.986889204159793,0.976924486040579,0.225115864382472,-0.834273488574544,0.976924486040579,0.996066622484338,0.996066622484338,0.996066622484338,-0.989250307849805,0.823261771496611,0.322664111629356,0.322664111629356,0.976924486040579,-0.976924486040579,0.976924486040579,0.986889815168974,-0.322664111629356
"Csn",0.996592711561914,-0.132279763455699,0.97036838845863,0.995805576178563,0.992397052297851,1,0.97036838845863,0.817225416821965,0.136484434557993,0.983479521517956,0.9845284738221,-0.990297763997395,0.995805576178563,0.829812417711378,0.817225416821965,0.817225416821965,-0.996592711561914,0.994232203089022,0.996854491571591,0.995805576178563,0.0433789535170644,0.992658829999481,-0.0814070730477886,0.22379892635223,0.113422451947935,0.982692914534844,0.997902716586168,0.992658829999481,0.992658829999481,0.995805576178563,0.97036838845863,-0.829812417711378,0.97036838845863,0.97036838845863,-0.995805576178564,0.829812417711378,0.995805576178563,0.829812417711378,0.995805576178563,0.981382599801843,0.981910406989945,0.97036838845863,0.22379892635223,-0.82928806811666,0.97036838845863,0.995805576178563,0.995805576178563,0.996330033875077,-0.996853238890617,0.817225416821965,0.321867326120125,0.321867326120125,0.97036838845863,-0.97036838845863,0.97036838845863,0.9845284738221,-0.321867326120125
"DELTA",0.97377775003138,-0.152998749330267,1,0.973515266789211,0.976924486040579,0.97036838845863,1,0.831125486757897,0.116293665118357,0.985315689172606,0.985839764143075,-0.9795472778942,0.973515266789211,0.818537901483598,0.831125486757897,0.831125486757897,-0.97377775003138,0.972990810499173,0.973515266789211,0.973515266789211,0.0420719097540682,0.97718646081948,-0.0869168750894761,0.222490170438557,0.106340234399938,0.987676051991214,0.972466043181784,0.97718646081948,0.97718646081948,0.973515266789211,1,-0.818537901483598,1,1,-0.97403972307925,0.818537901483598,0.973515266789211,0.818537901483598,0.973515266789211,0.988986548620607,0.987415275428185,1,0.222490170438557,-0.818013166293144,1,0.973515266789211,0.973515266789211,0.974039723079249,-0.967221635788139,0.831125486757897,0.322658215843052,0.322658215843052,1,-1,1,0.984790847596026,-0.322658215843052
"DSH",0.82063946912941,-0.117852453146883,0.831125486757897,0.82142527081689,0.823261771496611,0.817225416821965,0.831125486757897,1,0.111571491085622,0.824305180036714,0.825355143539486,-0.823779903772591,0.82142527081689,0.987412977977523,1,1,-0.82063946912941,0.820900810054942,0.820376349292994,0.82142527081689,0.010068501845168,0.823523113864681,-0.0853356980858809,0.162695280390515,0.0612421915411525,0.825615906974913,0.819325816431713,0.823523113864681,0.823523113864681,0.82142527081689,0.831125486757897,-0.987412977977523,0.831125486757897,0.831125486757897,-0.82142527081689,0.987412977977523,0.82142527081689,0.987412977977523,0.82142527081689,0.824833435339508,0.82693710740047,0.831125486757897,0.162695280390515,-0.986888955341723,0.831125486757897,0.82142527081689,0.82142527081689,0.820900810054942,-0.81407863731989,1,0.268102579711062,0.268102579711062,0.831125486757897,-0.831125486757897,0.831125486757897,0.824306218048585,-0.268102579711062
"Destcompl",0.139370857168021,0.730706246275316,0.116293665118357,0.139108328415214,0.137273040518763,0.136484434557993,0.116293665118357,0.111571491085622,1,0.128355106195499,0.127831150197212,-0.136745979786683,0.139108328415214,0.123634513030529,0.111571491085622,0.111571491085622,-0.139370857168021,0.140157237316851,0.139108328415214,0.139108328415214,-0.00774354881401694,0.137010510611939,-0.0460152818133757,0.0263484773287956,0.0203258246336474,0.127043724073309,0.138583298631481,0.137010510611939,0.137010510611939,0.139108328415214,0.116293665118357,-0.123634513030529,0.116293665118357,0.116293665118357,-0.138583873964395,0.123634513030529,0.139108328415214,0.123634513030529,0.139108328415214,0.127307803862574,0.127834184994194,0.116293665118357,0.0263484773287956,-0.123634988874231,0.116293665118357,0.139108328415214,0.139108328415214,0.139108328415214,-0.13700889149718,0.111571491085622,0.0766935898987552,0.0766935898987552,0.116293665118357,-0.116293665118357,0.116293665118357,0.128880063065807,-0.0766935898987552
"EGR1",0.986890751722638,-0.140932444960448,0.985315689172606,0.98662799966384,0.985841835824713,0.983479521517956,0.985315689172606,0.824305180036714,0.128355106195499,1,0.997377836424442,-0.986364113650329,0.98662799966384,0.824829676916884,0.824305180036714,0.824305180036714,-0.986890751722638,0.985054624951434,0.98662799966384,0.98662799966384,0.0441642853634517,0.986103541426371,-0.0832417056110273,0.224584851206135,0.112112007833193,0.985577333677016,0.985578239179754,0.986103541426371,0.986103541426371,0.98662799966384,0.985315689172606,-0.824829676916884,0.985315689172606,0.985315689172606,-0.987152457901309,0.824829676916884,0.98662799966384,0.824829676916884,0.98662799966384,0.987938690827866,0.974831007515792,0.985315689172606,0.224584851206135,-0.824305475617674,0.985315689172606,0.98662799966384,0.98662799966384,0.987152457901309,-0.980332757162828,0.824305180036714,0.322128207258136,0.322128207258136,0.985315689172606,-0.985315689172606,0.985315689172606,0.998951217087328,-0.322128207258137
"ERK",0.98793872897521,-0.141458755814504,0.985839764143075,0.987676115544426,0.986889815168974,0.9845284738221,0.985839764143075,0.825355143539486,0.127831150197212,0.997377836424442,1,-0.987413476253629,0.987676115544426,0.825879361643005,0.825355143539486,0.825355143539486,-0.98793872897521,0.986102743969554,0.987676115544426,0.987676115544426,0.0436425531531552,0.987151658352802,-0.0842925917296493,0.224061937815015,0.112110615290788,0.988199941486816,0.986626633578944,0.987151658352802,0.987151658352802,0.987676115544426,0.985839764143075,-0.825879361643005,0.985839764143075,0.985839764143075,-0.98820057273605,0.825879361643005,0.987676115544426,0.825879361643005,0.987676115544426,0.987413569722583,0.976402913233873,0.985839764143075,0.224061937815015,-0.825354883948916,0.985839764143075,0.987676115544426,0.987676115544426,0.98820057273605,-0.98138171574207,0.825355143539486,0.323179867773145,0.323179867773145,0.985839764143075,-0.985839764143075,0.985839764143075,0.998426622474661,-0.323179867773145
"Ecadherin",-0.99370992854262,0.132539233773551,-0.9795472778942,-0.993971501538124,-0.993185469403551,-0.990297763997395,-0.9795472778942,-0.823779903772591,-0.136745979786683,-0.986364113650329,-0.987413476253629,1,-0.993971501538124,-0.832171632946136,-0.823779903772591,-0.823779903772591,0.99370992854262,-0.992922582682973,-0.993447042110548,-0.993971501538124,-0.0404903063241764,-0.993447042110548,0.0890088498486288,-0.220912133273254,-0.11368680950182,-0.986101763982957,-0.99239701309601,-0.993447042110548,-0.993447042110548,-0.993971501538124,-0.9795472778942,0.832171632946136,-0.9795472778942,-0.9795472778942,0.993447042110549,-0.832171632946136,-0.993971501538124,-0.832171632946136,-0.993971501538124,-0.990561924923194,-0.986370821875313,-0.9795472778942,-0.220912133273254,0.831647688856932,-0.9795472778942,-0.993971501538124,-0.993971501538124,-0.993971501538124,0.98715099250159,-0.823779903772591,-0.329468134041307,-0.329468134041307,-0.9795472778942,0.9795472778942,-0.9795472778942,-0.987413476253629,0.329468134041307
"FOXC2",0.999213352002163,-0.13018769787737,0.973515266789211,1,0.996066622484338,0.995805576178563,0.973515266789211,0.82142527081689,0.139108328415214,0.98662799966384,0.987676115544426,-0.993971501538124,1,0.834011376127526,0.82142527081689,0.82142527081689,-0.999213352002163,0.998426634375574,0.998951089583716,1,0.0444361286123861,0.996328813543005,-0.0829864565051822,0.224852762303409,0.116565138134502,0.985841812462752,0.997902313953613,0.996328813543005,0.996328813543005,1,0.973515266789211,-0.834011376127526,0.973515266789211,0.973515266789211,-0.999475544791858,0.834011376127526,1,0.834011376127526,1,0.984528596166747,0.986102825191849,0.973515266789211,0.224852762303409,-0.833486194322965,0.973515266789211,1,1,0.999475544791858,-0.992658829999481,0.82142527081689,0.323449301498185,0.323449301498185,0.973515266789211,-0.973515266789211,0.973515266789211,0.987676115544426,-0.323449301498185
"FUS",0.833225431987553,-0.105791648470285,0.818537901483598,0.834011376127526,0.834798809404759,0.829812417711378,0.818537901483598,0.987412977977523,0.123634513030529,0.824829676916884,0.825879361643005,-0.832171632946136,0.834011376127526,1,0.987412977977523,0.987412977977523,-0.833225431987553,0.83348691669995,0.832962457272375,0.834011376127526,0.0100712955665165,0.835060294982678,-0.0853376126501414,0.162696860600876,0.0659610015924289,0.826665001661559,0.831912218584874,0.835060294982678,0.835060294982678,0.834011376127526,0.818537901483598,-1,0.818537901483598,0.818537901483598,-0.834011376127526,1,0.834011376127526,1,0.834011376127526,0.825357102997032,0.826935484789393,0.818537901483598,0.162696860600876,-0.999475675073498,0.818537901483598,0.834011376127526,0.834011376127526,0.83348691669995,-0.826665646215573,0.987412977977523,0.268105267058612,0.268105267058612,0.818537901483598,-0.818537901483598,0.818537901483598,0.825879361643005,-0.268105267058612
"Frizzled",0.82063946912941,-0.117852453146883,0.831125486757897,0.82142527081689,0.823261771496611,0.817225416821965,0.831125486757897,1,0.111571491085622,0.824305180036714,0.825355143539486,-0.823779903772591,0.82142527081689,0.987412977977523,1,1,-0.82063946912941,0.820900810054942,0.820376349292994,0.82142527081689,0.010068501845168,0.823523113864681,-0.0853356980858809,0.162695280390515,0.0612421915411525,0.825615906974913,0.819325816431713,0.823523113864681,0.823523113864681,0.82142527081689,0.831125486757897,-0.987412977977523,0.831125486757897,0.831125486757897,-0.82142527081689,0.987412977977523,0.82142527081689,0.987412977977523,0.82142527081689,0.824833435339508,0.82693710740047,0.831125486757897,0.162695280390515,-0.986888955341723,0.831125486757897,0.82142527081689,0.82142527081689,0.820900810054942,-0.81407863731989,1,0.268102579711062,0.268102579711062,0.831125486757897,-0.831125486757897,0.831125486757897,0.824306218048585,-0.268102579711062
"GLI",0.82063946912941,-0.117852453146883,0.831125486757897,0.82142527081689,0.823261771496611,0.817225416821965,0.831125486757897,1,0.111571491085622,0.824305180036714,0.825355143539486,-0.823779903772591,0.82142527081689,0.987412977977523,1,1,-0.82063946912941,0.820900810054942,0.820376349292994,0.82142527081689,0.010068501845168,0.823523113864681,-0.0853356980858809,0.162695280390515,0.0612421915411525,0.825615906974913,0.819325816431713,0.823523113864681,0.823523113864681,0.82142527081689,0.831125486757897,-0.987412977977523,0.831125486757897,0.831125486757897,-0.82142527081689,0.987412977977523,0.82142527081689,0.987412977977523,0.82142527081689,0.824833435339508,0.82693710740047,0.831125486757897,0.162695280390515,-0.986888955341723,0.831125486757897,0.82142527081689,0.82142527081689,0.820900810054942,-0.81407863731989,1,0.268102579711062,0.268102579711062,0.831125486757897,-0.831125486757897,0.831125486757897,0.824306218048585,-0.268102579711062
"GSK3",-1,0.129926463117879,-0.97377775003138,-0.999213352002163,-0.995804362950935,-0.996592711561914,-0.97377775003138,-0.82063946912941,-0.139370857168021,-0.986890751722638,-0.98793872897521,0.99370992854262,-0.999213352002163,-0.833225431987553,-0.82063946912941,-0.82063946912941,1,-0.997639987243251,-0.999737806921801,-0.999213352002163,-0.0436508220329065,-0.996066622484338,0.0837741636091769,-0.224066949566456,-0.11577780714721,-0.986104634007127,-0.99868917042325,-0.996066622484338,-0.996066622484338,-0.999213352002163,-0.97377775003138,0.833225431987553,-0.97377775003138,-0.97377775003138,0.999213352002164,-0.833225431987553,-0.999213352002163,-0.833225431987553,-0.999213352002163,-0.984790935444681,-0.985315842646548,-0.97377775003138,-0.224066949566456,0.832700114727657,-0.97377775003138,-0.999213352002163,-0.999213352002163,-0.999737806921801,0.993445967113867,-0.82063946912941,-0.323713040510456,-0.323713040510456,-0.97377775003138,0.97377775003138,-0.97377775003138,-0.98793872897521,0.323713040510456
"HEY1",0.997639987243251,-0.129138781402432,0.972990810499173,0.998426634375574,0.996066622484338,0.994232203089022,0.972990810499173,0.820900810054942,0.140157237316851,0.985054624951434,0.986102743969554,-0.992922582682973,0.998426634375574,0.83348691669995,0.820900810054942,0.820900810054942,-0.997639987243251,1,0.997377723959289,0.998426634375574,0.043911667129152,0.995804358334863,-0.0829864565051822,0.224328304606895,0.116565138134502,0.984792894833774,0.996328946273586,0.995804358334863,0.995804358334863,0.998426634375574,0.972990810499173,-0.83348691669995,0.972990810499173,0.972990810499173,-0.997902179167432,0.83348691669995,0.998426634375574,0.83348691669995,0.998426634375574,0.983479685101326,0.985578371065597,0.972990810499173,0.224328304606895,-0.832961736085496,0.972990810499173,0.998426634375574,0.998426634375574,0.997902179167431,-0.99108545690994,0.820900810054942,0.322924836769126,0.322924836769126,0.972990810499173,-0.972990810499173,0.972990810499173,0.986102743969554,-0.322924836769126
