"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.112040146515776,0.979677205298675,0.99947894360177,0.996351666112088,0.997915379684863,0.979677205298675,0.836874438912057,0.00527598695801259,0.988794756589654,0.989576790208349,-0.99270344475627,0.999739438270329,0.844165434956577,0.836874438912057,0.836874438912057,-0.998957751382886,0.998436961214444,0.999739438270329,0.99947894360177,0.0472783820569406,0.996612290053618,-0.0846572161855152,0.229152381891536,0.109847537773397,0.988535121238789,0.99947894360177,0.996612290053618,0.996612290053618,0.999218515941914,0.979677205298675,-0.844686622609809,0.979677205298675,0.979677205298675,-0.998697055531425,0.844686622609809,0.99947894360177,0.844425590374891,0.99947894360177,0.98540684288007,0.988013934824279,0.979677205298675,0.229152381891536,-0.843383213723521,0.979677205298675,0.99947894360177,0.99947894360177,1,-0.992442759098003,0.836874438912057,0.328708660628432,0.328708660628432,0.979677205298675,-0.979677205298675,0.979677205298675,0.9906187332154,-0.328708660628432
"AXIN2",-0.112040146515776,1,-0.12294060851028,-0.112049401173524,-0.11412517664164,-0.113073434367818,-0.12294060851028,-0.0900927366381255,0.536075403275112,-0.115935736458151,-0.118276784212183,0.109964364392931,-0.111784140859964,-0.0833527240752736,-0.0900927366381255,-0.0900927366381255,0.111006882783227,-0.11257994733085,-0.11230539920557,-0.112049401173524,-0.00774406302363535,-0.114390432587996,-0.00898322417116411,-0.0187619344204863,-0.00662145966728054,-0.117225099356769,-0.112049401173524,-0.114390432587996,-0.114390432587996,-0.112314669979111,-0.12294060851028,0.0838739787041827,-0.12294060851028,-0.12294060851028,0.111784140859964,-0.0838739787041827,-0.112049401173524,-0.0836179077683494,-0.112049401173524,-0.117243482442916,-0.117746352746797,-0.12294060851028,-0.0187619344204863,0.0836179077683494,-0.12294060851028,-0.112049401173524,-0.112049401173524,-0.112040146515776,0.11230539920557,-0.0900927366381255,-0.000482136340148646,-0.000482136340148646,-0.12294060851028,0.12294060851028,-0.12294060851028,-0.117243482442916,0.000482136340148646
"CD44",0.979677205298675,-0.12294060851028,1,0.979157448406216,0.982804311469413,0.977591310933292,1,0.83791397864314,-0.00563992160911569,0.986711519369182,0.989056411682318,-0.986454052759556,0.979417294010894,0.829574885032369,0.83791397864314,0.83791397864314,-0.980199820456693,0.979159141867313,0.979417294010894,0.979157448406216,0.047807486631016,0.983065590241605,-0.0887876945364673,0.229690202137362,0.106194266006319,0.990619299280707,0.979157448406216,0.983065590241605,0.983065590241605,0.978897668432348,1,-0.830096066492009,1,1,-0.97993847918671,0.830096066492009,0.979157448406216,0.829835697611515,0.979157448406216,0.994269161810887,0.99114047950164,1,0.229690202137362,-0.828793333347344,1,0.979157448406216,0.979157448406216,0.979677205298675,-0.972120701549472,0.83791397864314,0.328197492386939,0.328197492386939,1,-1,1,0.988014967731788,-0.328197492386939
"CDC42",0.99947894360177,-0.112049401173524,0.979157448406216,1,0.995830598069578,0.997394589794353,0.979157448406216,0.837396869106772,0.00527009554223371,0.989316454094024,0.99009862535448,-0.992703285646979,0.99973943743881,0.844686805997532,0.837396869106772,0.837396869106772,-0.998957612235283,0.998957744447617,0.999218244405887,1,0.0477980213048613,0.996091086208348,-0.0846651606626538,0.229670440120851,0.110369819139674,0.988536035378501,0.998957612235282,0.996091086208348,0.996091086208348,0.999739436571902,0.979157448406216,-0.845207995314224,0.979157448406216,0.979157448406216,-0.999218244405887,0.845207995314224,1,0.844946827100408,1,0.984886013066428,0.988014847300536,0.979157448406216,0.229670440120851,-0.843904447122115,0.979157448406216,1,1,0.99947894360177,-0.991921541944963,0.837396869106772,0.329228116244373,0.329228116244373,0.979157448406216,-0.979157448406216,0.979157448406216,0.991140301430391,-0.329228116244373
"Csl",0.996351666112088,-0.11412517664164,0.982804311469413,0.995830598069578,1,0.994267056450132,0.982804311469413,0.837395622459844,0.00319112662063343,0.987752379938284,0.989055602555117,-0.991139868099616,0.996091098684166,0.843644247303345,0.837395622459844,0.837395622459844,-0.995309405850693,0.995830991094729,0.996091098684166,0.995830598069578,0.0472783820569406,0.999739438270329,-0.0846572161855152,0.229152381891536,0.108805173509121,0.987492748409769,0.995830598069578,0.999739438270329,0.999739438270329,0.995570164215909,0.982804311469413,-0.844165434956577,0.982804311469413,0.982804311469413,-0.995048715945262,0.844165434956577,0.995830598069578,0.843904402049206,0.995830598069578,0.986970409980669,0.988013934824279,0.982804311469413,0.229152381891536,-0.842862025397836,0.982804311469413,0.995830598069578,0.995830598069578,0.996351666112088,-0.98879441951184,0.837395622459844,0.327666282561366,0.327666282561366,0.982804311469413,-0.982804311469413,0.982804311469413,0.989576355148334,-0.327666282561366
"Csn",0.997915379684863,-0.113073434367818,0.977591310933292,0.997394589794353,0.994267056450132,1,0.977591310933292,0.834788693160072,0.00423945264616751,0.98670977045734,0.987491668664897,-0.990619110733394,0.997654951279618,0.842080738016096,0.834788693160072,0.834788693160072,-0.996873399097357,0.996352874872211,0.998176141127185,0.997394589794353,0.0467587588275242,0.994527812194219,-0.0851705313255195,0.228634389075101,0.107761747607145,0.986449736058621,0.998436971188347,0.994527812194219,0.994527812194219,0.997134295176683,0.977591310933292,-0.842601924147454,0.977591310933292,0.977591310933292,-0.996612571584485,0.842601924147454,0.997394589794353,0.842341025802342,0.997394589794353,0.983321999627054,0.985928551165982,0.977591310933292,0.228634389075101,-0.841298652194725,0.977591310933292,0.997394589794353,0.997394589794353,0.997915379684863,-0.994527812194219,0.834788693160072,0.328189297477262,0.328189297477262,0.977591310933292,-0.977591310933292,0.977591310933292,0.9885338747436,-0.328189297477262
"DELTA",0.979677205298675,-0.12294060851028,1,0.979157448406216,0.982804311469413,0.977591310933292,1,0.83791397864314,-0.00563992160911569,0.986711519369182,0.989056411682318,-0.986454052759556,0.979417294010894,0.829574885032369,0.83791397864314,0.83791397864314,-0.980199820456693,0.979159141867313,0.979417294010894,0.979157448406216,0.047807486631016,0.983065590241605,-0.0887876945364673,0.229690202137362,0.106194266006319,0.990619299280707,0.979157448406216,0.983065590241605,0.983065590241605,0.978897668432348,1,-0.830096066492009,1,1,-0.97993847918671,0.830096066492009,0.979157448406216,0.829835697611515,0.979157448406216,0.994269161810887,0.99114047950164,1,0.229690202137362,-0.828793333347344,1,0.979157448406216,0.979157448406216,0.979677205298675,-0.972120701549472,0.83791397864314,0.328197492386939,0.328197492386939,1,-1,1,0.988014967731788,-0.328197492386939
"DSH",0.836874438912057,-0.0900927366381255,0.83791397864314,0.837396869106772,0.837395622459844,0.834788693160072,0.83791397864314,1,0.00687498918945342,0.836091225711669,0.838436172882788,-0.83687568389554,0.837135625167483,0.991663282701492,1,1,-0.837918054318006,0.836877156219585,0.836614440805671,0.837396869106772,0.0149749362924529,0.837656809529294,-0.0747066423871922,0.172884117163496,0.0556393660991453,0.837393247361019,0.836354498684307,0.837656809529294,0.837656809529294,0.83713698468766,0.83791397864314,-0.992184463347134,0.83791397864314,0.83791397864314,-0.836614440805671,0.992184463347134,0.837396869106772,0.991924439819299,0.837396869106772,0.836352239237845,0.836872067954082,0.83791397864314,0.172884117163496,-0.990882077183127,0.83791397864314,0.837396869106772,0.837396869106772,0.836874438912057,-0.829317859740309,1,0.258882554513852,0.258882554513852,0.83791397864314,-0.83791397864314,0.83791397864314,0.837915785315617,-0.258882554513852
"Destcompl",0.00527598695801259,0.536075403275112,-0.00563992160911569,0.00527009554223371,0.00319112662063343,0.00423945264616751,-0.00563992160911569,0.00687498918945342,1,0.00137573029402505,-0.000966772198475467,-0.00735496253380072,0.00553364902498652,0.0136271688982075,0.00687498918945342,0.00687498918945342,-0.00631252903801721,0.00474298696580216,0.00501243312656755,0.00527009554223371,0.00269942063771642,0.00292756953289166,-0.0229721627644477,0.0203737113766598,0.0152615422114006,8.15601749623318e-05,0.00527009554223371,0.00292756953289166,0.00292756953289166,0.00500654154040414,-0.00563992160911569,-0.0131059567161831,-0.00563992160911569,-0.00563992160911569,-0.00553364902498652,0.0131059567161831,0.00527009554223371,0.0133636259477309,0.00527009554223371,6.97441470455711e-05,-0.000439650768281532,-0.00563992160911569,0.0203737113766598,-0.0133636259477309,-0.00563992160911569,0.00527009554223371,0.00527009554223371,0.00527598695801259,-0.00501243312656755,0.00687498918945342,0.0292577036408991,0.0292577036408991,-0.00563992160911569,0.00563992160911569,-0.00563992160911569,6.97441470455711e-05,-0.0292577036408991
"EGR1",0.988794756589654,-0.115935736458151,0.986711519369182,0.989316454094024,0.987752379938284,0.98670977045734,0.986711519369182,0.836091225711669,0.00137573029402505,1,0.996091143277928,-0.986710504148291,0.989055571342024,0.835566032835717,0.836091225711669,0.836091225711669,-0.989837644083171,0.988274848429603,0.988534382202307,0.989316454094024,0.0506684101440296,0.98801319306259,-0.0822997812863441,0.23254496699118,0.106979457913907,0.985667740505117,0.988274074115731,0.98801319306259,0.98801319306259,0.98905621402549,0.986711519369182,-0.83608721825923,0.986711519369182,0.986711519369182,-0.990097949621459,0.83608721825923,0.989316454094024,0.835826379771433,0.989316454094024,0.985146210045914,0.980455898657149,0.986711519369182,0.23254496699118,-0.834784007579506,0.986711519369182,0.989316454094024,0.989316454094024,0.988794756589654,-0.981237734246263,0.836091225711669,0.325323716424156,0.325323716424156,0.986711519369182,-0.986711519369182,0.986711519369182,0.99817588014113,-0.325323716424156
"ERK",0.989576790208349,-0.118276784212183,0.989056411682318,0.99009862535448,0.989055602555117,0.987491668664897,0.989056411682318,0.838436172882788,-0.000966772198475467,0.996091143277928,1,-0.988013868087714,0.989837673754934,0.836869172916809,0.838436172882788,0.838436172882788,-0.990619814671172,0.989057159562581,0.98931648528767,0.99009862535448,0.0493662399507554,0.98931648528767,-0.0846413963586003,0.231243619658602,0.108281894477298,0.989055282056785,0.989056246721097,0.98931648528767,0.98931648528767,0.989838454859297,0.989056411682318,-0.837390357667874,0.989056411682318,0.989056411682318,-0.990880050689461,0.837390357667874,0.99009862535448,0.837129589106258,0.99009862535448,0.98697048253354,0.982801079908595,0.989056411682318,0.231243619658602,-0.83608721825923,0.989056411682318,0.99009862535448,0.99009862535448,0.989576790208349,-0.982019846745981,0.838436172882788,0.327670026366037,0.327670026366037,0.989056411682318,-0.989056411682318,0.989056411682318,0.997915391292052,-0.327670026366037
"Ecadherin",-0.99270344475627,0.109964364392931,-0.986454052759556,-0.992703285646979,-0.991139868099616,-0.990619110733394,-0.986454052759556,-0.83687568389554,-0.00735496253380072,-0.986710504148291,-0.988013868087714,1,-0.99296392801081,-0.839474912830616,-0.83687568389554,-0.83687568389554,0.993224479529338,-0.992703396198543,-0.992442734977886,-0.992703285646979,-0.0441497191281912,-0.99140034891204,0.0919625172752815,-0.226022056682279,-0.108806267752934,-0.990620787690363,-0.99218209176462,-0.99140034891204,-0.99140034891204,-0.992442709831218,-0.986454052759556,0.839996102147308,-0.986454052759556,-0.986454052759556,0.99296392801081,-0.839996102147308,-0.992703285646979,-0.839734927208942,-0.992703285646979,-0.992182682824385,-0.990620787690363,-0.986454052759556,-0.226022056682279,0.838692547230649,-0.986454052759556,-0.992703285646979,-0.992703285646979,-0.99270344475627,0.985146032516963,-0.83687568389554,-0.336003595305332,-0.336003595305332,-0.986454052759556,0.986454052759556,-0.986454052759556,-0.988534347945407,0.336003595305332
"FOXC2",0.999739438270329,-0.111784140859964,0.979417294010894,0.99973943743881,0.996091098684166,0.997654951279618,0.979417294010894,0.837135625167483,0.00553364902498652,0.989055571342024,0.989837673754934,-0.99296392801081,1,0.844426091388418,0.837135625167483,0.837135625167483,-0.999218244405887,0.998697318504559,0.999478807816511,0.99973943743881,0.0475381996521049,0.996351654715577,-0.0849218049973283,0.229411402803125,0.110108674301041,0.98827495112776,0.999218244405887,0.996351654715577,0.996351654715577,0.999478941903786,0.979417294010894,-0.844947279855682,0.979417294010894,0.979417294010894,-0.998957615633022,0.844947279855682,0.99973943743881,0.844686179640289,0.99973943743881,0.985146394938021,0.987753763899221,0.979417294010894,0.229411402803125,-0.843643801360854,0.979417294010894,0.99973943743881,0.99973943743881,0.999739438270329,-0.992182117247665,0.837135625167483,0.328968376851746,0.328968376851746,0.979417294010894,-0.979417294010894,0.979417294010894,0.990879483261253,-0.328968376851746
"FUS",0.844165434956577,-0.0833527240752736,0.829574885032369,0.844686805997532,0.843644247303345,0.842080738016096,0.829574885032369,0.991663282701492,0.0136271688982075,0.835566032835717,0.836869172916809,-0.839474912830616,0.844426091388418,1,0.991663282701492,0.991663282701492,-0.844165616680841,0.844166027718857,0.843904902921155,0.844686805997532,0.0149682636144919,0.843904902921155,-0.0731742221351304,0.172869995999828,0.0572063299371644,0.836348512938476,0.843644427364149,0.843904902921155,0.843904902921155,0.844426388636082,0.829574885032369,-0.999478815248935,0.829574885032369,0.829574885032369,-0.843904902921155,0.999478815248935,0.844686805997532,0.999739441242523,0.844686805997532,0.834262946045731,0.837390879963175,0.829574885032369,0.172869995999828,-0.99921825581901,0.829574885032369,0.844686805997532,0.844686805997532,0.844165434956577,-0.836608264379466,0.991663282701492,0.259394643158177,0.259394643158177,0.829574885032369,-0.829574885032369,0.829574885032369,0.837390062833877,-0.259394643158177
"Frizzled",0.836874438912057,-0.0900927366381255,0.83791397864314,0.837396869106772,0.837395622459844,0.834788693160072,0.83791397864314,1,0.00687498918945342,0.836091225711669,0.838436172882788,-0.83687568389554,0.837135625167483,0.991663282701492,1,1,-0.837918054318006,0.836877156219585,0.836614440805671,0.837396869106772,0.0149749362924529,0.837656809529294,-0.0747066423871922,0.172884117163496,0.0556393660991453,0.837393247361019,0.836354498684307,0.837656809529294,0.837656809529294,0.83713698468766,0.83791397864314,-0.992184463347134,0.83791397864314,0.83791397864314,-0.836614440805671,0.992184463347134,0.837396869106772,0.991924439819299,0.837396869106772,0.836352239237845,0.836872067954082,0.83791397864314,0.172884117163496,-0.990882077183127,0.83791397864314,0.837396869106772,0.837396869106772,0.836874438912057,-0.829317859740309,1,0.258882554513852,0.258882554513852,0.83791397864314,-0.83791397864314,0.83791397864314,0.837915785315617,-0.258882554513852
