"Nature","Strength","Type","Node"
"P",0.0666666666666666,"DA","TrCP,TrCP"
"P",0.226190476190476,"DA","TrCP,SUFU"
"P",0.13465777831975,"NF","TrCP,Patched"
"P",0.382686899064759,"DA","TrCP,GSK3"
"P",0.432100415923945,"DA","TrCP,RKIP"
"P",0.569073910265861,"DA","TrCP,cateninmemb"
"P",0.600290780732691,"NF","TrCP,miR200"
"P",0.798849943758604,"DA","TrCP,Ecadherin"
"P",0.646118326118326,"DA","TrCP,KLF4"
"N",0.687501415237997,"NF","TrCP,ZEB2"
"P",0.400105778075126,"TS","TrCP,Destcompl"
"P",0.526388404110917,"TS","TrCP,AXIN2"
"P",0.423738005840634,"TS","TrCP,Wnt"
"P",0.199188777704171,"TS","TrCP,HEY1"
"P",0.508785714285714,"TS","TrCP,FOXC2"
"P",0.396078431372549,"TS","TrCP,Frizzled"
"P",0.631921064886081,"TS","TrCP,SNAI2"
"P",0.333333333333334,"TS","TrCP,DSH"
"P",0.409315397246432,"TS","TrCP,RAF"
"P",0.617917962388601,"TS","TrCP,cateninnuc"
"P",0.509315397246432,"TS","TrCP,PI3K"
"P",0.292395300869877,"TS","TrCP,ILK"
"P",0.152233535895508,"NF","TrCP,SHH"
"P",0.536901604142983,"TS","TrCP,RAS"
"P",0.4,"TS","TrCP,SOSGRB2"
"P",0.331036168132943,"TS","TrCP,AKT"
"P",0.517976827094474,"TS","TrCP,MEK"
"P",0.343939393939394,"TS","TrCP,IKK"
"P",0.449337068160598,"TS","TrCP,CD44"
"P",0.263333333333333,"TS","TrCP,Csn"
"P",0.465357779475427,"TS","TrCP,ERK"
"P",0.524967320261438,"TS","TrCP,cMet"
"P",0.186075516755064,"NF","TrCP,Jagged"
"P",0.309315397246432,"NF","TrCP,DELTA"
"P",0.416666666666667,"TS","TrCP,NFB"
"P",0.266666666666667,"NF","TrCP,STAT"
"P",0.553160347057649,"TS","TrCP,TWIST1"
"P",0.121981721981722,"NF","TrCP,SMO"
"P",0.396078431372549,"TS","TrCP,SRC"
"P",0.207681912290608,"NF","TrCP,NOTCH"
"P",0.203463203463203,"TS","TrCP,FUS"
"P",0.334545454545455,"NF","TrCP,cfos"
"P",0.367375756464332,"NF","TrCP,CDC42"
"P",0.625784317908711,"TS","TrCP,TGF"
"P",0.184493506493506,"NF","TrCP,NOTCHic"
"P",0.540502481694432,"TS","TrCP,TCFLEF"
"P",0.72083474857133,"TS","TrCP,ZEB1"
"P",0.344611528822055,"TS","TrCP,PAK1"
"P",0.233333333333333,"TS","TrCP,LIV1"
"P",0.313333333333333,"TS","TrCP,EGR1"
"P",0.189826839826839,"TS","TrCP,Csl"
"P",0.633382357124397,"TS","TrCP,TGFR"
"P",0.255030679931249,"TS","TrCP,SMAD"
"P",0.399306661411214,"TS","TrCP,SNAI1"
"P",0.431661503108393,"TS","TrCP,GLI"
"P",0.506666666666666,"DA","SUFU,SUFU"
"P",0.536787379287379,"DA","SUFU,Patched"
"P",0.448764785345769,"DA","SUFU,GSK3"
"P",0.513899640182826,"DA","SUFU,RKIP"
"P",0.469980506822612,"DA","SUFU,cateninmemb"
"P",0.590143310114099,"DA","SUFU,miR200"
"P",0.58359195975458,"DA","SUFU,Ecadherin"
"P",0.6018025433029,"DA","SUFU,KLF4"
"N",0.657808849851909,"NF","SUFU,ZEB2"
"N",0.434434450694802,"NF","SUFU,Destcompl"
"N",0.54357161515821,"NF","SUFU,AXIN2"
"P",0.341708291708292,"NF","SUFU,Wnt"
"P",0.258132769971429,"TS","SUFU,HEY1"
"P",0.588320552233596,"TS","SUFU,FOXC2"
"P",0.317032967032967,"NF","SUFU,Frizzled"
"P",0.687227044445613,"TS","SUFU,SNAI2"
"P",0.338461538461538,"TS","SUFU,DSH"
"P",0.488576490248633,"TS","SUFU,RAF"
"P",0.416793463980396,"TS","SUFU,cateninnuc"
"P",0.388576490248633,"NF","SUFU,PI3K"
"P",0.145253456221198,"NF","SUFU,ILK"
"P",0.55230462066669,"TS","SUFU,SHH"
"P",0.506596292228831,"TS","SUFU,RAS"
"P",0.485827941947893,"TS","SUFU,SOSGRB2"
"P",0.337759242827566,"TS","SUFU,AKT"
"P",0.556396239419495,"TS","SUFU,MEK"
"P",0.367469387755102,"TS","SUFU,IKK"
"P",0.354107490949596,"TS","SUFU,CD44"
"P",0.235714285714286,"TS","SUFU,Csn"
"P",0.568954378954379,"TS","SUFU,ERK"
"P",0.335588972431078,"TS","SUFU,cMet"
"P",0.255731215691898,"NF","SUFU,Jagged"
"P",0.388576490248633,"NF","SUFU,DELTA"
"P",0.356857142857143,"TS","SUFU,NFB"
"P",0.183333333333333,"NF","SUFU,STAT"
"P",0.619936546158602,"TS","SUFU,TWIST1"
"P",0.618106060606061,"TS","SUFU,SMO"
"P",0.245238095238095,"TS","SUFU,SRC"
"P",0.370693876301353,"NF","SUFU,NOTCH"
"P",0.624166666666666,"TS","SUFU,FUS"
"P",0.426573426573426,"TS","SUFU,cfos"
"P",0.553235294117647,"TS","SUFU,CDC42"
"P",0.712203878736496,"TS","SUFU,TGF"
"P",0.382531882531882,"TS","SUFU,NOTCHic"
"P",0.453313840155945,"TS","SUFU,TCFLEF"
"P",0.705427897470957,"TS","SUFU,ZEB1"
"P",0.557857142857143,"TS","SUFU,PAK1"
