"","ZEB2","ZEB1","Wnt","TWIST1","TrCP","TGFR","TGF","TCFLEF","SUFU","STAT","SRC","SOSGRB2","SNAI2","SNAI1","SMO","SMAD","SHH","RKIP","RAS","RAF","PI3K","Patched","PAK1","NOTCHic","NOTCH","NFB","miR200","MEK","LOXL23","LIV1","KLF4","JAK","Jagged","ILK","IKK","HEY1","GSK3","GLI","FUS","Frizzled","FOXC2","ERK","EGR1","Ecadherin","DSH","Destcompl","DELTA","Csn","Csl","cMet","cfos","CDC42","CD44","cateninnuc","cateninmemb","AXIN2","AKT"
"ZEB2",-0.0511363304682179,-0.0511363304682179,0.0517016317016317,-0.127188015821109,0.1,-0.219097093382808,-0.226504500790215,0.0481882786207552,0.1,0.08,0.0666666666666667,-0.0689194139194139,-0.04968248855743,-0.16387755248478,-0.122857142857143,-0.138931883986848,-0.132280646183085,0.178599033816425,-0.0221774148598183,-0.0161688311688312,-0.0161688311688312,0.127735191637631,-0.194805194805195,-0.0964102564102564,-0.101328289197142,-0.123611111111111,0.0144245742824161,-0.164832567256063,0,0.1,-0.0523565158559132,0,-0.112054163837252,-0.137102615694165,-0.125833333333333,-0.137102615694165,0.0116867710629008,0.0466325072776686,-0.114285714285714,0.0593939393939394,-0.238646464646465,-0.156295981890209,-0.158333333333333,0.00533923316288449,0.0727272727272727,0.113690070013369,-0.0161688311688312,-0.111111111111111,-0.0897435897435897,0.0587719298245614,-0.153070175438596,-0.207532467532468,0.053655650754794,0.0435628714546314,-0.0424291147388132,0.0865836940836941,-0.12863707165109
"ZEB1",0.605258973615972,0.605258973615972,0.420975163048334,0.47067289568434,-0.133333333333333,0.459931413311956,0.495364484178098,0.475075905505538,-0.158333333333333,0.335897435897436,0.38223889931207,0.293879142300195,0.526812524817419,0.34729520228015,0.223106060606061,0.179052084573757,0.271016185510115,-0.333068736550361,0.451726742280417,0.420181000955496,0.420181000955496,-0.248596256684492,0.364176245210728,0.326838235294118,0.361548979095771,0.220701754385965,-0.624325691268721,0.365280297140883,0,0.266666666666667,-0.552877562600551,0,0.333846015388374,0.166552084573757,0.251849295369572,0.166552084573757,-0.385639653794579,0.450630335462127,0.195833333333333,0.384436701509872,0.465120137431803,0.322549019607843,0.216666666666667,-0.646399138431336,0.338095238095238,0.398728493830912,0.420181000955496,0.173333333333333,0.289583333333333,0.419493801272854,0.276666666666667,0.417799433616525,0.44911052601153,0.496763834848031,-0.642790595707617,0.479981250063862,0.284706438226714
"Wnt",0.304208512673362,0.304208512673362,0.25,0.222941176470588,-0.1,0.146666666666667,0.203188405797101,0.308270676691729,0,0.1,0.2,0.0939393939393939,0.340258620689655,0.104658385093168,0.05,0.0566487775790101,0.10974025974026,-0.12,0.150615174299385,0.118796992481203,0.118796992481203,-0.0954545454545455,0.1,0.142857142857143,0.192857142857143,0.0666666666666667,-0.306262626262626,0.119607843137255,0,0,-0.262745098039216,0,0.153259803921569,0.058974358974359,0.0866666666666667,0.058974358974359,-0.0729623824451411,0.286842105263158,0,0.3,0.176356275303644,0.0666666666666667,0.1,-0.402123915071669,0.2,-0.0233176107971793,0.118796992481203,0.1,0.1,0.25,0.0666666666666667,0.1,0.286842105263158,0.328800478016233,-0.334703389830508,0.31030303030303,0.136666666666667
"TWIST1",0.488073160880178,0.488073160880178,0.385254803675856,0.465609313137917,-0.2,0.485438871473354,0.523935454616862,0.446553304236338,-0.3,0.309523809523809,0.348412698412698,0.315754268614681,0.731234132410533,0.47968413689195,0.391555555555556,0.237967084996788,0.458591118009162,-0.461840770536423,0.452050268226609,0.42054341891154,0.42054341891154,-0.428541856925419,0.381818181818182,0.379145299145299,0.419711336881148,0.369230769230769,-0.496082171680117,0.477104295456357,0,0.266666666666667,-0.404315196998124,0,0.410423425501433,0.21981526981527,0.416849816849817,0.21981526981527,-0.402797009911764,0.418854803675856,0.355555555555556,0.348412698412698,0.536864045556844,0.431830663615561,0.28,-0.827198643993724,0.309523809523809,0.396894060148204,0.42054341891154,0.3,0.335555555555555,0.384582911178656,0.371304347826087,0.440438871473354,0.417916244511989,0.470445071651422,-0.658547729532138,0.461239889143115,0.460917613459986
"TrCP",-0.601332188733215,-0.601332188733215,-0.364990253411306,-0.394764539808018,0.0333333333333333,-0.424446142093201,-0.459965267776261,-0.427177771831237,0.0761904761904762,-0.28,-0.328148148148148,-0.225728822882288,-0.571153759850055,-0.348056318775632,-0.138556067588326,-0.108190817545656,-0.182543721909313,0.354596839624464,-0.380240400175838,-0.344785854721292,-0.344785854721292,0.159543721909313,-0.314285714285714,-0.212051282051282,-0.245018315018315,-0.120833333333333,0.613088570299678,-0.438397445345124,0,-0.2,0.55255945875618,0,-0.234377982276755,-0.0933521078682369,-0.157675438596491,-0.0933521078682369,0.336759199134199,-0.397673180240574,-0.10952380952381,-0.328148148148148,-0.43894914399738,-0.389064112011791,-0.28,0.652672775896189,-0.28,-0.384679021204463,-0.344785854721292,-0.0833333333333333,-0.17051282051282,-0.365985985985986,-0.336521739130435,-0.378991596638655,-0.398659253312719,-0.451210921002508,0.570959582011642,-0.432859001765963,-0.187305068226121
"TGFR",0.607720196655907,0.607720196655907,0.342264150943396,0.508042328042328,-0.233333333333333,0.55047619047619,0.599412360688956,0.426421053643345,-0.153333333333333,0.2,0.28,0.224788823911631,0.5580029177132,0.480266686919945,0.234367816091954,0.239198540333886,0.294431375413988,-0.453116883116883,0.443073593073593,0.397619047619048,0.397619047619048,-0.265617816091954,0.526666666666667,0.38816091954023,0.432045811626561,0.315476190476191,-0.615671680007053,0.518505624792575,0,0.1,-0.557068395626748,0,0.35132831258089,0.22603128054741,0.341791979949875,0.22603128054741,-0.410667646053855,0.387718696397942,0.203333333333333,0.28,0.580525441427758,0.474670008354219,0.376190476190476,-0.650684122011575,0.2,0.207724942343327,0.397619047619048,0.258333333333333,0.343333333333333,0.342264150943396,0.423558897243108,0.593333333333333,0.387959515181807,0.457976609198901,-0.56463636975545,0.410395000912242,0.374350119484758
"TGF",0.559795668354021,0.559795668354021,0.28,0.465185185185185,-0.2,0.593333333333333,0.55047619047619,0.387959515181807,-0.133333333333333,0.1,0.2,0.181578947368421,0.510732302149901,0.442803560076287,0.203333333333333,0.22603128054741,0.265617816091954,-0.411688311688312,0.397619047619048,0.34047619047619,0.34047619047619,-0.234367816091954,0.46,0.343333333333333,0.38816091954023,0.258333333333333,-0.567284583232859,0.474670008354219,0,0,-0.507068395626748,0,0.319691948944526,0.211515151515151,0.315476190476191,0.211515151515151,-0.375373528406796,0.342264150943396,0.153333333333333,0.2,0.534673913043478,0.423558897243108,0.333333333333333,-0.597430697354041,0.1,0.180323526772042,0.34047619047619,0.233333333333333,0.273333333333333,0.28,0.376190476190476,0.526666666666667,0.342264150943396,0.426421053643345,-0.513767308341776,0.356084656084656,0.341791979949875
"TCFLEF",0.576925793017898,0.576925793017898,0.240544286680189,0.431598083601667,-0.171428571428571,0.578068312908565,0.605975289652751,0.189859760856051,-0.183333333333333,0.170833333333333,0.205833333333333,0.200614156302779,0.485113736513818,0.436016761016761,0.24047619047619,0.185159955337675,0.282674701642444,-0.437425724388116,0.409350406364345,0.385339852274635,0.385339852274635,-0.261443932411674,0.507692307692308,0.370572293958234,0.3952389606249,0.271064935064935,-0.587983970514091,0.527721918035507,0,0.133333333333333,-0.440433218742042,0,0.282915750915751,0.175408521303258,0.290419773774612,0.175408521303258,-0.358607548212069,0.269294286680189,0.216666666666667,0.209509803921569,0.617388107293155,0.500511033681765,0.431428571428571,-0.605928945882194,0.174509803921569,0.321717226211244,0.385339852274635,0.235064935064935,0.345082097879802,0.236867816091954,0.472891986062718,0.547227191413238,0.265348828750182,0.209739019157042,-0.437125944524814,0.600627846409809,0.311071947687656
"SUFU",-0.563986127625245,-0.563986127625245,-0.379059829059829,-0.349643836064259,0.15,-0.566399271612038,-0.599338127627817,-0.326176548630012,0.253333333333333,-0.196666666666667,-0.241111111111111,-0.298969451601031,-0.524060201670025,-0.41662978124856,-0.324166666666667,-0.155646065920967,-0.369882512382512,0.423675573322112,-0.438560246231806,-0.412610879143199,-0.412610879143199,0.349419191919192,-0.481666666666667,-0.362424242424242,-0.391789321789322,-0.236857142857143,0.575591090136125,-0.464788148999448,0,-0.15,0.503944842555326,0,-0.287433395308792,-0.145253456221198,-0.271472527472527,-0.145253456221198,0.379948491516398,-0.406940869952022,-0.290833333333333,-0.344444444444444,-0.504674987502984,-0.431171127722852,-0.353846153846154,0.525471716374897,-0.3,-0.35214817519944,-0.412610879143199,-0.192857142857143,-0.323787878787879,-0.275091693635383,-0.393240093240093,-0.52490990990991,-0.302911242507563,-0.346504249602875,0.470776795199249,-0.43597673166823,-0.297647024116823
"STAT",0.442935269858347,0.442935269858347,-0.00146103896103896,0.0802251471666764,0,0.194856459330144,0.21176467189053,0.0224004833231963,0,-0.0571428571428571,-0.0196428571428571,-0.0069376026272578,0.104995176821802,0.148182485181735,0.045,0.0649619634627131,0.0628225972422309,-0.171240347490347,-0.0307617464785255,-0.044194582299421,-0.044194582299421,-0.0566279069767442,0.140909090909091,0.0204027556968733,0.0330241149201743,0.02,-0.458532927961468,0.207893738140417,0,0,-0.326728064963359,0,0.0675142417782127,0.0615136876006441,0.0342857142857143,0.0615136876006441,0.0427236315086783,0.0111440030557678,0.025,-0.0196428571428571,0.218786639400136,0.191764705882353,0.2,-0.205794746838038,-0.0571428571428571,-0.0634173280695643,-0.044194582299421,0,-0.00392156862745098,-0.00146103896103896,0.18,0.165909090909091,0.0113594738594739,0.0325315917856516,-0.0628629869659736,-0.0431294196000078,0.0427602905569007
"SRC",0.481079664570231,0.481079664570231,0,0.258219461697723,-0.1,0.369642857142857,0.400551948051948,0.0597137014314928,-0.0333333333333333,0,-0.05,0.00857142857142857,0.206242109014356,0.308263226544133,0.0533333333333333,0.113934329065908,0.0953812636165577,-0.405408927989573,0.21869085721019,0.191973299958281,0.191973299958281,-0.0718518518518519,0.333333333333333,0.143809523809524,0.168809523809524,0.15,-0.493078612209047,0.333142748237088,0,0,-0.354328165374677,0,0.109779202279202,0.109429824561404,0.157692307692308,0.109429824561404,-0.151900538485904,0.0333333333333333,0.0333333333333333,-0.05,0.40859943977591,0.316161616161616,0.3,-0.270745279196045,-0.1,-0.0805541841739517,0.191973299958281,0.15,0.12,0,0.327272727272727,0.345833333333333,0.0333333333333333,0.0795335212513127,-0.107755058714912,-0.027861385925902,0.168803418803419
"SOSGRB2",0.400588972431078,0.400588972431078,0.275,0.403571776155718,-0.2,0.343736263736264,0.39267243394903,0.369477936101977,-0.2,0.1,0.2,-0.0272222222222222,0.644913051988524,0.356393745557925,0.233333333333333,0.259196932100158,0.298701026608003,-0.381834795321637,0.332972480408238,0.285875706214689,0.285875706214689,-0.268468468468469,0.271428571428571,0.347552447552448,0.394031320791884,0.288888888888889,-0.410651126415904,0.359400959400959,0,0,-0.362017543859649,0,0.356722018270298,0.252903225806452,0.304678362573099,0.252903225806452,-0.31551015898842,0.330882352941176,0.2,0.2,0.370573870573871,0.323037323037323,0.276190476190476,-0.562785975489974,0.1,-0.0363130763964399,0.285875706214689,0.3,0.309090909090909,0.273913043478261,0.30952380952381,0.301428571428571,0.329795396419437,0.399343061342825,-0.493244190190831,0.34525,0.338011695906433
"SNAI2",0.378588839941263,0.378588839941263,0.373563197366014,0.448322008191805,-0.1,0.375493787258493,0.41151863197899,0.427956280172798,-0.2,0.305454545454545,0.341168831168831,0.323799864773496,0.710777486540221,0.37146790711633,0.301176470588235,0.112087517128288,0.365447812927988,-0.355166666666667,0.442051352058506,0.412827607766268,0.412827607766268,-0.335870348139256,0.276470588235294,0.376754385964912,0.41441672362725,0.275,-0.386587993124707,0.393614202437732,0,0.26,-0.286538461538462,0,0.401762028014479,0.0934272300469483,0.326724137931034,0.0934272300469483,-0.386470390385003,0.402974962071897,0.26,0.341168831168831,0.425495673461765,0.349019607843137,0.2,-0.808532723434613,0.305454545454545,0.385743987724154,0.412827607766268,0.2,0.332894736842105,0.373563197366014,0.288235294117647,0.333613445378151,0.40259545543053,0.44947920169572,-0.637471215494354,0.447100565604419,0.36889281262983
"SNAI1",0.636141536826696,0.636141536826696,0.397673180240574,0.423585052628531,-0.0833333333333333,0.459965267776261,0.491013654873035,0.451210921002508,-0.10952380952381,0.328148148148148,0.365985985985986,0.247238256844552,0.600975967163037,0.274390838348586,0.159543721909313,0.119383929476776,0.204485469482129,-0.38639600280438,0.408647625134787,0.380240400175838,0.380240400175838,-0.182543721909313,0.378991596638655,0.245018315018315,0.27603872318158,0.157675438596491,-0.649111625054721,0.475168745793555,0,0.28,-0.589631109846523,0,0.257907394041461,0.108190817545656,0.187305068226121,0.108190817545656,-0.358871410355321,0.426375191209496,0.138556067588326,0.364990253411306,0.469571761532323,0.438397445345124,0.336521739130435,-0.688077475635092,0.328148148148148,0.400641720052516,0.380240400175838,0.120833333333333,0.212051282051282,0.398659253312719,0.389064112011791,0.424446142093201,0.427177771831237,0.470962730723294,-0.603600634278863,0.464793733700695,0.217166179337232
