"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","ERK","EGR1","cfos","HEY1","SMAD","ILK","AKT","SHH","TWIST1","IKK","NFB","SMO","FUS","Csn","Jagged","NOTCH","NOTCHic","Csl","SOSGRB2","ZEB2","ZEB1","SNAI2","KLF4","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","miR200","GSK3","cateninnuc","TCFLEF","GLI","Wnt","CD44","Frizzled","cMet","SRC","DSH","STAT","Destcompl","AXIN2","TrCP","SUFU","LIV1","Patched","RKIP"
"TrCP",-0.436803694450753,-0.461628822790113,-0.423447004608295,-0.378285714285714,-0.314285714285714,-0.434161522040948,-0.341434253676082,-0.387398932112891,-0.28,-0.336521739130435,-0.100762305414457,-0.10874159234815,-0.0935900771966346,-0.183419448860625,-0.187480938054647,-0.404808168465012,-0.155968468468468,-0.120833333333333,-0.138556067588326,-0.10952380952381,-0.0833333333333333,-0.247793774188005,-0.249042477989846,-0.213369963369963,-0.17051282051282,-0.226388888888889,-0.595968646587021,-0.595968646587021,-0.59578324439961,0.548612088513566,0.590674423306074,-0.388505559189012,-0.345323741007194,-0.345323741007194,-0.345323741007194,0.660043330236984,0.60788034971448,0.331131146972063,-0.494791229681624,-0.461848085868914,-0.422716331433416,-0.38032502708559,-0.424213677266764,-0.333846153846154,-0.381672240802676,-0.333846153846154,-0.28,-0.28,-0.38875985355135,-0.454144817549394,0.0333333333333333,0.0761904761904762,-0.2,0.161056067588326,0.346234848484848
"SUFU",-0.531861482297837,-0.634269473555188,-0.592942942942943,-0.538888888888889,-0.483333333333333,-0.480876675659284,-0.437187803476278,-0.439077733860343,-0.345454545454545,-0.385454545454545,-0.161774876954831,-0.160774007694749,-0.147826349292545,-0.308859768721911,-0.392534560997939,-0.40702976278494,-0.278778467908903,-0.231159420289855,-0.339393939393939,-0.3,-0.183333333333333,-0.338893372933284,-0.427553979132927,-0.391668811668812,-0.34024024024024,-0.317002646788743,-0.58159448566201,-0.58159448566201,-0.602468713661432,0.509820816864295,0.54155440805352,-0.485615670744625,-0.44837913678678,-0.44837913678678,-0.44837913678678,0.568139004757235,0.591968647248531,0.371624004562822,-0.470065264491965,-0.436483730612591,-0.50468401118895,-0.461970443349754,-0.401328903654485,-0.417142857142857,-0.358471760797342,-0.314285714285714,-0.36,-0.257142857142857,-0.353595109585297,-0.513041610131162,0.15,0.253333333333333,-0.2,0.367300916138125,0.442318773267068
"GSK3",-0.307935274016034,-0.337711511427741,-0.308814173024699,-0.282498383551015,-0.24039312039312,-0.261127846335315,-0.220148402256073,-0.228347763347763,-0.163095238095238,-0.203095238095238,-0.0959822361546499,-0.0931110741976956,-0.0831110741976956,-0.22910845319723,-0.159329285254086,-0.341242679983399,-0.205182072829132,-0.19047619047619,-0.118758169934641,-0.101111111111111,-0.173809523809524,-0.221595130796698,-0.298549922102554,-0.270730373230373,-0.247516087516088,-0.182019230769231,-0.444461213891594,-0.444461213891594,-0.471880669990376,0.406830206830207,0.473636448478784,-0.37455019560112,-0.343808146131155,-0.343808146131155,-0.343808146131155,0.533491604007685,0.447934480189382,0.222669127083344,-0.466556420780172,-0.442908816452506,-0.413118215118215,-0.381784881784882,-0.413513212056901,-0.348451548451548,-0.38243213097582,-0.348451548451548,-0.312087912087912,-0.312087912087912,-0.251351901065887,-0.436871443968218,0.116666666666667,0.09,-0.242857142857143,0.138443209304719,0.240462276989794
"Patched",-0.384033613445378,-0.483333333333333,-0.433333333333333,-0.4,-0.3,-0.345454545454545,-0.325823451910409,-0.3,-0.1,-0.2,-0.105128205128205,-0.122222222222222,-0.1,-0.183333333333333,-0.3,-0.260666666666667,-0.15,-0.1,-0.333333333333333,-0.3,0,-0.232820512820513,-0.288888888888889,-0.233333333333333,-0.2,-0.25,-0.425974025974026,-0.425974025974026,-0.459867724867725,0.35,0.393879781420765,-0.363636363636364,-0.296969696969697,-0.296969696969697,-0.296969696969697,0.410757575757576,0.433818181818182,0.264827586206897,-0.358471760797342,-0.314285714285714,-0.36,-0.3,-0.257142857142857,-0.2,-0.2,-0.1,-0.2,-0.1,-0.271363636363636,-0.36,0,0.2,-0.1,0.253333333333333,0.288461538461538
"Ecadherin",-0.453989586572368,-0.445089242476652,-0.403762711864407,-0.355762711864407,-0.31,-0.413807204122685,-0.396504605097717,-0.371254012633323,-0.277777777777778,-0.322605363984674,-0.138333333333333,-0.126784347319093,-0.113881121512641,-0.383594991122325,-0.383316687857184,-0.502114798124463,-0.345663956639566,-0.294444444444444,-0.321645021645022,-0.278787878787879,-0.25,-0.445286452677757,-0.448195335024603,-0.40965874965875,-0.361010101010101,-0.316694214876033,-0.411215877531667,-0.411215877531667,-0.571043096945139,0.303218390804598,0.697609003262354,-0.473332499490839,-0.439848336594912,-0.439848336594912,-0.439848336594912,0.656544865009705,0.417173945049718,0.419027137736815,-0.524600701533074,-0.494696219534544,-0.463549783549784,-0.425454545454545,-0.462579431213376,-0.385454545454545,-0.424780388151175,-0.385454545454545,-0.34,-0.34,-0.407991706112363,-0.503020645375547,0.2,0.233333333333333,-0.293333333333333,0.355855547960811,0.38743390913038
"cateninmemb",-0.453989586572368,-0.445089242476652,-0.403762711864407,-0.355762711864407,-0.31,-0.413807204122685,-0.396504605097717,-0.371254012633323,-0.277777777777778,-0.322605363984674,-0.138333333333333,-0.126784347319093,-0.113881121512641,-0.383594991122325,-0.383316687857184,-0.502114798124463,-0.345663956639566,-0.294444444444444,-0.321645021645022,-0.278787878787879,-0.25,-0.445286452677757,-0.448195335024603,-0.40965874965875,-0.361010101010101,-0.316694214876033,-0.411215877531667,-0.411215877531667,-0.571043096945139,0.303218390804598,0.602962433457622,-0.473332499490839,-0.439848336594912,-0.439848336594912,-0.439848336594912,0.657781381599657,0.417173945049718,0.419027137736815,-0.524600701533074,-0.494696219534544,-0.463549783549784,-0.425454545454545,-0.462579431213376,-0.385454545454545,-0.424780388151175,-0.385454545454545,-0.34,-0.34,-0.407991706112363,-0.503020645375547,0.2,0.233333333333333,-0.293333333333333,0.355855547960811,0.38743390913038
"RKIP",-0.310839160839161,-0.333780327106426,-0.281203007518797,-0.228571428571429,-0.2,-0.241380471380471,-0.231324786324786,-0.195925925925926,-0.17,-0.17,-0.15970695970696,-0.158046558704453,-0.153879892037787,-0.167434715821813,-0.205804597701149,-0.387925696594427,-0.119047619047619,-0.0857142857142857,-0.14,-0.1,-0.1,-0.260506385506385,-0.216213151927438,-0.161111111111111,-0.111111111111111,-0.0645272601794341,-0.389978632478632,-0.389978632478632,-0.637122594532657,0.34775641025641,0.489065130411971,-0.124350338180125,-0.0775418275418275,-0.0775418275418275,-0.0775418275418275,0.552393190095112,0.398353510895884,0.21608875128999,-0.413326558265583,-0.375826558265583,-0.332865497076023,-0.268421052631579,-0.331111111111111,-0.2,-0.266666666666667,-0.2,-0.1,-0.1,-0.174208333333333,-0.344571428571429,0.1,0.1,0,0.181666666666667,0.236449782101956
"KLF4",-0.412267732267732,-0.403762711864407,-0.355762711864407,-0.31,-0.26,-0.371254012633323,-0.365365364591388,-0.322605363984674,-0.2,-0.277777777777778,-0.118690476190476,-0.113881121512641,-0.097376267143709,-0.345663956639566,-0.355855547960811,-0.463440764975292,-0.294444444444444,-0.25,-0.278787878787879,-0.233333333333333,-0.2,-0.414517221908526,-0.40965874965875,-0.361010101010101,-0.315555555555556,-0.292727272727273,-0.365250965250965,-0.365250965250965,-0.532736307339104,0.256666666666667,0.656997649550564,-0.439848336594912,-0.402348336594912,-0.402348336594912,-0.402348336594912,0.711990409564161,0.370543217286915,0.388977876653071,-0.494696219534544,-0.462579431213376,-0.425454545454545,-0.385454545454545,-0.424780388151175,-0.34,-0.385454545454545,-0.34,-0.293333333333333,-0.293333333333333,-0.386472718770591,-0.463133004926108,0.1,0.2,-0.233333333333333,0.321645021645022,0.346984470928133
"miR200",-0.113876364397081,-0.143197067527576,-0.122562146892655,-0.0988333333333333,-0.0708333333333333,-0.10047619047619,-0.0952147954621171,-0.0776190476190476,-0.0142857142857143,-0.0442857142857143,-0.0135593220338983,-0.0164616229132358,-0.01001001001001,-0.0691228070175439,-0.0726203266007735,-0.233851524819267,-0.0534365325077399,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.02,-0.122169686205886,-0.131995073891626,-0.111995073891626,-0.0869950738916256,-0.114664031620553,-0.364225717248531,-0.364225717248531,-0.330410248000476,0.344034608378871,0.418651491761637,-0.285785207700101,-0.262380952380952,-0.262380952380952,-0.262380952380952,0.444138175773117,0.297995809894206,0.222918225216916,-0.363598561381636,-0.346167368721085,-0.323260711692084,-0.299803921568627,-0.326884857510323,-0.273333333333333,-0.302834224598931,-0.276363636363636,-0.24,-0.24,-0.315376647722564,-0.355945196788853,0,0.02,-0.2,0.0586538461538462,0.0741353561692545
"ZEB2",-0.243616590846677,-0.229448148647841,-0.222663487880879,-0.20962000962001,-0.194805194805195,-0.170995120250959,-0.17058780607917,-0.159736842105263,-0.158333333333333,-0.153070175438596,-0.146449792038027,-0.139379278868097,-0.137142857142857,-0.132156565656566,-0.130334431466507,-0.128827951738591,-0.128156565656566,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.111111111111111,-0.109771268506328,-0.101298787165024,-0.0965929048120829,-0.0897435897435897,-0.0691456582633053,-0.0571105670285998,-0.0571105670285998,-0.0483060292363608,-0.0473013545594191,-0.0422571563323007,-0.028472663940633,-0.0225586854460094,-0.0225586854460094,-0.0225586854460094,0.00706332754527335,0.0206957735247209,0.0352118185963403,0.043458979738659,0.0496453540534593,0.0502279048139367,0.0568268895855103,0.0572742200328407,0.0623824451410658,0.0639408866995074,0.0696551724137931,0.0727272727272727,0.08,0.0866249266298909,0.0904287638779208,0.1,0.1,0.1,0.126560846560847,0.185989586932983
"Destcompl",-0.0131687477250787,-0.0384203335322919,-0.0306598013815158,-0.0228753702437913,-0.0281385281385281,-0.0768193474572928,0.013529202071173,-0.0678991596638655,-0.0714285714285714,-0.0596638655462185,0.00619814241486068,0.0129660260620013,0.0110521504639152,-0.0377636547849314,-0.0868225581340335,-0.0525760638154526,-0.0286727456940223,-0.00952380952380953,-0.080952380952381,-0.0666666666666667,-0.0166666666666667,-0.0937141741942679,-0.118204675982454,-0.111208791208791,-0.100952380952381,-0.055290780141844,0.172917846198745,0.172917846198745,-0.230477365346491,-0.190989677135954,0.11915693237858,-0.0880014240104135,-0.0871884158803322,-0.0871884158803322,-0.0871884158803322,0.0435229068699012,-0.172396346324002,-0.00132729957228738,-0.112583002257235,-0.111479822503829,-0.111607041539069,-0.107607041539069,-0.110692420929025,-0.102656546489564,-0.106656546489564,-0.102656546489564,-0.105882352941176,-0.105882352941176,-0.13154624941333,-0.231366739592546,0.05,0.0666666666666667,-0.1,0.086002886002886,-0.0454354469060351
"AXIN2",0.0729583192138258,0.0314191287179261,0.0349652280087063,0.0323565323565324,0.0349206349206349,0.070186976144423,0.122728794148507,0.0751515151515151,0.0933333333333333,0.0751515151515151,0.013153146265005,0.0151816401654284,0.0171896722939424,0.0636206896551724,-0.130560193533546,-0.0479464197774057,0.0716666666666667,0.0666666666666667,-0.118518518518519,-0.122222222222222,0.0666666666666667,-0.20820664936349,-0.0642302940449716,-0.0585964912280702,-0.0585964912280702,-0.073109243697479,0.227554549088523,0.227554549088523,-0.267252654346017,-0.237074829931973,0.240499246822573,0.0109467912414519,0.0158327847267939,0.0158327847267939,0.0158327847267939,0.0573759440082624,-0.238904522131764,-0.136935417523653,-0.233242356571816,-0.231366739592546,-0.228283383283383,-0.224437229437229,-0.227663035888842,-0.222619047619048,-0.224437229437229,-0.222619047619048,-0.214285714285714,-0.214285714285714,0.117192892443616,0.218160320155227,-0.1,0.133333333333333,-0.2,0.124970131421744,-0.156082604630699
