"","FOXC2","TGF","TGFR","CDC42","MEK","SOSGRB2","PAK1","ERK","EGR1","cfos","SNAI1","HEY1","SMAD","ILK","SHH","AKT","IKK","TWIST1","NFB","SMO","FUS","Jagged","Csn","NOTCH","NOTCHic","Csl","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.440328454342208,-0.461058163951124,-0.424446142093201,-0.378991596638655,-0.511291574551707,-0.447098459845985,-0.314285714285714,-0.456624907885041,-0.32,-0.393913043478261,-0.3515426182832,-0.103925243260723,-0.113184843830005,-0.0970558115719406,-0.185012857711782,-0.203508771929825,-0.170175438596491,-0.395851496329757,-0.133333333333333,-0.138556067588326,-0.10952380952381,-0.235940482276755,-0.0833333333333333,-0.254908424908425,-0.21974358974359,-0.178205128205128,0.55255945875618,-0.602618362366655,-0.602618362366655,-0.573481574632827,0.571071152398442,-0.414420822283089,-0.377148095010362,-0.377148095010362,-0.377148095010362,0.653433653413386,0.341021645021645,0.614103798726074,-0.451453633900203,-0.397673180240574,-0.427177771831237,-0.364990253411306,-0.398659253312719,-0.365985985985986,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.432859001765963,0.0333333333333333,0.0761904761904762,-0.2,-0.383963331565428,0.162012857711782,0.366709036819534
"SUFU",-0.504674987502984,-0.599338127627817,-0.566399271612038,-0.52490990990991,-0.515448782081211,-0.520015948963317,-0.481666666666667,-0.472470058676955,-0.369230769230769,-0.420745920745921,-0.417311212253671,-0.159337589248537,-0.157860176030481,-0.146543778801843,-0.370654713154713,-0.304177741721366,-0.275318681318681,-0.349643836064259,-0.236857142857143,-0.324166666666667,-0.290833333333333,-0.287908454691215,-0.192857142857143,-0.395649350649351,-0.36469696969697,-0.323787878787879,0.503944842555326,-0.563986127625245,-0.563986127625245,-0.524861051021882,0.47098276859156,-0.456676322515401,-0.42787885416097,-0.42787885416097,-0.42787885416097,0.525863882288303,0.381388596063689,0.575591090136125,-0.34669001488608,-0.406940869952022,-0.326280807724955,-0.379059829059829,-0.302911242507563,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.43597673166823,0.15,0.253333333333333,-0.15,-0.352087037506723,0.349419191919192,0.42737008205344
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.369230769230769,-0.366666666666667,-0.3,-0.3,-0.1,-0.2,-0.325268817204301,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.192857142857143,-0.15,-0.240740740740741,-0.1,-0.333333333333333,-0.3,-0.203597883597884,0,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,-0.433333333333333,-0.433333333333333,-0.416613026819923,0.354623655913978,-0.353846153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.397006472491909,0.305128205128205,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.298261738261738,0.253333333333333,0.302857142857143
"RKIP",-0.360492189802535,-0.37595015576324,-0.313333333333333,-0.246666666666667,-0.546881878209831,-0.529777777777778,-0.2,-0.472413793103448,-0.4,-0.4,-0.29680495998689,-0.221718931475029,-0.214301253617018,-0.207370560547711,-0.25648087431694,-0.321861471861472,-0.264285714285714,-0.420614973262032,-0.214285714285714,-0.173333333333333,-0.133333333333333,-0.297408844692376,-0.2,-0.358508158508159,-0.296969696969697,-0.233333333333333,0.375705404112865,-0.431705404112865,-0.431705404112865,-0.703238328379087,0.502273702273702,-0.282742257742258,-0.228896103896104,-0.228896103896104,-0.228896103896104,0.593586143407146,0.255673758865248,0.437280154392923,-0.403630753871815,-0.327692307692308,-0.368770702981229,-0.27,-0.326113360323887,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.342334739803094,0.2,0.1,0,-0.0021648380606598,0.225333333333333,0.376750700280112
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.419190326552364,-0.422648280220276,-0.307636363636364,-0.38115111086609,-0.281818181818182,-0.33475935828877,-0.358866098743407,-0.128084864208038,-0.115571042565884,-0.105159420289855,-0.345270828041656,-0.36976430976431,-0.33989417989418,-0.438126483368021,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.40494180459039,-0.376317269274404,-0.342296650717703,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.490083545210541,0.620598378586183,-0.429960670559586,-0.406496983408748,-0.406496983408748,-0.406496983408748,0.605247826870112,0.364883252109803,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359760642425169
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.419190326552364,-0.422648280220276,-0.307636363636364,-0.38115111086609,-0.281818181818182,-0.33475935828877,-0.358866098743407,-0.128084864208038,-0.115571042565884,-0.105159420289855,-0.345270828041656,-0.36976430976431,-0.33989417989418,-0.438126483368021,-0.302857142857143,-0.297916666666667,-0.266666666666667,-0.374562670817701,-0.26,-0.40494180459039,-0.376317269274404,-0.342296650717703,0.30464135021097,-0.388638186629104,-0.388638186629104,-0.490083545210541,0.524689773268335,-0.429960670559586,-0.406496983408748,-0.406496983408748,-0.406496983408748,0.606322543684083,0.364883252109803,0.39776370329443,-0.412360401528633,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.353637560332742,0.324798387096774,0.359760642425169
"GSK3",-0.249336823926787,-0.277259700356201,-0.258798161894662,-0.240331262939959,-0.268863305024296,-0.341578920228949,-0.203188405797101,-0.241590577751568,-0.159607843137255,-0.207755991285403,-0.155920362078097,-0.0920570435994903,-0.089881826016879,-0.0801366985805971,-0.149317582227162,-0.205348511641615,-0.189109195402299,-0.282422785661517,-0.174166666666667,-0.119417679095098,-0.10974025974026,-0.198022247573844,-0.136666666666667,-0.265516640222523,-0.247594562300445,-0.230112044817927,0.355779934444689,-0.386495678339303,-0.386495678339303,-0.414634283589435,0.417081341407924,-0.239566303860202,-0.217297396297177,-0.217297396297177,-0.217297396297177,0.488850526486709,0.0281919647707852,0.391420953758123,-0.38011204946489,-0.348815133468151,-0.366164681043837,-0.328532114600226,-0.348800478016233,-0.328800478016233,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.386047408568569,0.0866666666666667,0.0954545454545455,-0.25,-0.0148791048535711,0.133528108542951,0.189758311863575
"miR200",-0.117314338777753,-0.14362469293794,-0.124438646426312,-0.100245098039216,-0.107179962894249,-0.133120567375887,-0.0708333333333333,-0.0806493506493507,-0.0142857142857143,-0.0442857142857143,-0.102694157694158,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0691822601357549,-0.0727706057596822,-0.0557894736842105,-0.228397471649005,-0.0357894736842105,-0.0458333333333333,-0.0325,-0.113281131623112,-0.02,-0.129777072722719,-0.111133004926108,-0.0869950738916256,0.34836093857833,-0.370282258064516,-0.370282258064516,-0.314833511931918,0.406960753020097,-0.284501070324571,-0.264301569077689,-0.264301569077689,-0.264301569077689,0.440221966343664,0.226551407215886,0.303281447511538,-0.336645853368746,-0.306709178145798,-0.324221610944503,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315503569275578,0.0572257383966245,0.0821827674271767
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.38115111086609,-0.385806174957118,-0.263636363636364,-0.33475935828877,-0.2,-0.281818181818182,-0.33671420000923,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.33989417989418,-0.302857142857143,-0.412614379084967,-0.26,-0.266666666666667,-0.233333333333333,-0.354196538094589,-0.2,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,-0.354514963880289,-0.354514963880289,-0.4649781869926,0.592777865765671,-0.406496983408748,-0.377820512820513,-0.377820512820513,-0.377820512820513,0.673504886266412,0.348106210167198,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.341987979717644,0.297916666666667,0.328674500103071
"ZEB2",-0.238646464646465,-0.226504500790215,-0.219097093382808,-0.207532467532468,-0.201162228939777,-0.196282051282051,-0.194805194805195,-0.187747594793435,-0.183333333333333,-0.178070175438596,-0.164772407070909,-0.147697947214076,-0.140340334691073,-0.13851106639839,-0.133189737092176,-0.133081516095535,-0.130277777777778,-0.127432952231849,-0.123611111111111,-0.122857142857143,-0.114285714285714,-0.112880416125877,-0.111111111111111,-0.103994955863808,-0.0990769230769231,-0.0897435897435897,-0.0523565158559132,-0.0511363304682179,-0.0511363304682179,-0.0506823294430706,-0.0415318495285875,-0.0348060290886843,-0.0268831168831169,-0.0268831168831169,-0.0268831168831169,0.00660990479811509,0.0131939544745979,0.0144245742824161,0.0429072467767798,0.0461970445456684,0.0475825714521044,0.0517016317016317,0.0532163742690058,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0863063873152894,0.1,0.1,0.1,0.113506355467632,0.127735191637631,0.181497584541063
