"","ZEB2","ZEB1","Wnt","TWIST1","TrCP","TGFR","TGF","TCFLEF","SUFU","STAT","SRC","SOSGRB2","SNAI2","SNAI1","SMO","SMAD","SHH","RKIP","RAS","RAF","PI3K","Patched","PAK1","NOTCHic","NOTCH","NFB","miR200","MEK","LOXL23","LIV1","KLF4","JAK","Jagged","ILK","IKK","HEY1","GSK3","GLI","FUS","Frizzled","FOXC2","ERK","EGR1","Ecadherin","DSH","Destcompl","DELTA","Csn","Csl","cMet","cfos","CDC42","CD44","cateninnuc","cateninmemb","AXIN2","AKT"
"ZEB2",-0.0723361692608239,-0.0723361692608239,-0.0534498834498835,-0.150074622759232,0.1,-0.257637600494743,-0.261341304198447,-0.0404142986574417,0.125,-0.05,-0.0366666666666667,-0.124487179487179,-0.113231415291461,-0.183223089271107,-0.127857142857143,-0.149252154578503,-0.133311688311688,0.206070853462158,-0.0894750966378375,-0.090974025974026,-0.090974025974026,0.127857142857143,-0.251948051948052,-0.142051282051282,-0.145876418663304,-0.145833333333333,0.034569700240795,-0.21086863500214,0,-0.05,-0.0302554616937903,0,-0.132971539181386,-0.146203374090698,-0.143611111111111,-0.158607038123167,0.182661618057179,-0.0479452962939202,-0.125,-0.0457575757575758,-0.26645843045843,-0.209649122807018,-0.183333333333333,0.0263506808048768,-0.0590909090909091,-0.0420019462193802,-0.090974025974026,-0.133333333333333,-0.148717948717949,-0.0445614035087719,-0.209649122807018,-0.261038961038961,-0.0390058479532164,-0.0385961168392599,-0.0262063215669595,-0.0597845735477243,-0.144545690550363
"ZEB1",0.431046191513164,0.431046191513164,-0.0378607165192531,0.0117597455718529,-0.0666666666666667,0.142486666987995,0.146423674862011,-0.0458675103442572,-0.0916666666666667,-0.0435897435897436,-0.0606629143214509,0.0264327485380117,-0.110024571401602,0.0896272014962799,0.0837121212121212,0.127395071585819,0.0824561027905177,-0.107676656032555,-0.121514554234628,-0.119782270770061,-0.119782270770061,-0.0778297682709447,0.143869731800766,0.0486519607843137,0.0527841921892724,0.0814035087719298,-0.450515227196631,0.0790940658201607,0,-0.0666666666666667,-0.434390897135495,0,0.0918361411247195,0.126433533124281,0.0732067874604544,0.133820609442371,0.0416829916431903,-0.0457644965879816,0.0791666666666667,-0.0551684088269454,0.158221815492586,0.0830588235294118,0.1,-0.306876923676954,-0.0380952380952381,-0.158867384610786,-0.119782270770061,0.0866666666666667,0.0604166666666667,-0.0430158554979215,0.096,0.15111610861236,-0.0506547443868104,-0.0494878625947464,-0.134221464979119,-0.164222436849384,0.0674925017461687
"Wnt",0.294452415112386,0.294452415112386,0.075,0.107647058823529,-0.1,0.12,0.141739130434783,0.0486842105263158,0,0.1,0.1,0.0757575757575758,0.150775862068966,0.055175983436853,0.05,0.0566487775790101,0.062987012987013,-0.103333333333333,0.0344839371155161,0.0481203007518797,0.0481203007518797,-0.0772727272727273,0.1,0.114285714285714,0.130952380952381,0.0666666666666667,-0.298989898989899,0.107843137254902,0,0,-0.262745098039216,0,0.0404656862745098,0.058974358974359,0.0866666666666667,0.0656410256410257,0.022884012539185,0.0486842105263158,0,0.2,0.134655870445344,0.0666666666666667,0.1,-0.327133678018808,0.2,-0.162760939616121,0.0481203007518797,0.1,0.1,0.075,0.0666666666666667,0.1,0.0486842105263158,0.0480219588706867,-0.193474576271186,0.104242424242424,0.124166666666667
"TWIST1",0.0753174226858437,0.0753174226858437,-0.108228905597327,-0.106600513966075,-0.1,0.0369331243469175,0.0385276573765302,-0.10837571984698,0.0333333333333333,-0.119047619047619,-0.113492063492063,-0.0353732715288779,0.17431518551452,0.0277222982391407,-0.0182222222222222,0.112482149115812,-0.0183301917208389,-0.0568184524706264,-0.074227931533781,-0.0749128630406303,-0.0749128630406303,0.0168523592085236,0.0284848484848485,-0.0362962962962963,-0.0353529000698812,0.0423076923076923,-0.0907106173357091,0.0597694593394583,0,-0.133333333333333,-0.0890139670627476,0,-0.0132293229131835,0.114132314132314,0.0375457875457875,0.112404544607934,0.152324420677362,-0.108228905597327,-0.0222222222222222,-0.113492063492063,0.0661343907405423,0.0602669717772693,0.0933333333333333,-0.326356141655454,-0.119047619047619,-0.162596731002628,-0.0749128630406303,0.05,-0.0362962962962963,-0.109236744343127,0.0628985507246377,0.0319331243469175,-0.108835137917424,-0.10969831904192,-0.178186856392713,-0.161033590065848,0.0358508722915503
"TrCP",-0.466521045899058,-0.466521045899058,0.163664717348928,-0.0484962356484096,0.0333333333333333,-0.166603004838299,-0.166603004838299,0.161613395573792,0.0476190476190476,0.17,0.166296296296296,-0.0109185918591859,-0.0609896672670395,-0.128763392534276,-0.0277265745007681,-0.0694930875576037,-0.0299611424020026,0.179027933392574,0.0709995942205412,0.0691814124023593,0.0691814124023593,0.0289611424020026,-0.180952380952381,0.02,0.0221978021978022,-0.0458333333333333,0.483981089744004,-0.2076747727831,0,0.15,0.465446265938069,0,0.00415495057941377,-0.0714285714285714,-0.0353070175438596,-0.0710144927536232,-0.0684756493506493,0.161225692958684,-0.030952380952381,0.166296296296296,-0.191208957931364,-0.217008106116433,-0.24,0.382638689687556,0.17,0.204750777358334,0.0691814124023593,-0.0583333333333333,0.0153846153846154,0.163593593593594,-0.235652173913043,-0.171148459383754,0.161613395573792,0.161337533504826,0.2228772198311,0.203952349970567,-0.0297514619883041
"TGFR",0.531666799683725,0.531666799683725,-0.128625336927224,0.241640964808225,-0.233333333333333,0.388174603174603,0.390302262749071,-0.155208841142307,-0.153333333333333,-0.133333333333333,-0.153333333333333,0.0833008447043535,0.135126403507545,0.32697153476719,0.173448275862069,0.222782514619273,0.180792908630431,-0.344718614718615,0.0798350041771094,0.0839285714285714,0.0839285714285714,-0.173448275862069,0.482222222222222,0.232988505747126,0.232269081286695,0.286904761904762,-0.545207022306577,0.397544317414541,0,-0.1,-0.51824851985035,0,0.134002209131075,0.219579667644184,0.281641604010025,0.239313105651626,-0.127372113954825,-0.134431788540127,0.17,-0.134285714285714,0.413095757953837,0.400284043441938,0.376190476190476,-0.447121269030487,-0.114285714285714,-0.207120850729595,0.0839285714285714,0.258333333333333,0.243333333333333,-0.147672955974843,0.40250626566416,0.491746031746032,-0.154251903343264,-0.157423190123706,-0.249956060257198,-0.191182036317945,0.276990441219327
"TGF",0.516949818551649,0.516949818551649,-0.134285714285714,0.245555555555556,-0.2,0.491746031746032,0.388174603174603,-0.154251903343264,-0.133333333333333,-0.1,-0.133333333333333,0.0894736842105263,0.134200477581619,0.321366815003179,0.17,0.219579667644184,0.173448275862069,-0.343290043290043,0.0839285714285714,0.0892857142857143,0.0892857142857143,-0.173448275862069,0.46,0.243333333333333,0.232988505747126,0.258333333333333,-0.528491479784583,0.400284043441938,0,0,-0.489677091278922,0,0.134002209131075,0.211515151515151,0.286904761904762,0.231850419084462,-0.131528593172429,-0.128625336927224,0.153333333333333,-0.114285714285714,0.411785714285714,0.40250626566416,0.333333333333333,-0.439114454720436,-0.1,-0.204096657181208,0.0892857142857143,0.233333333333333,0.233333333333333,-0.153333333333333,0.376190476190476,0.482222222222222,-0.147672955974843,-0.155208841142307,-0.241180078732949,-0.184744268077601,0.281641604010025
"TCFLEF",0.492951045543151,0.492951045543151,-0.0750402212166918,0.19845560793151,-0.171428571428571,0.431246273106738,0.435882034696142,-0.18365318530267,-0.15,-0.0916666666666667,-0.0866666666666667,0.0685957316136957,0.164977270423677,0.307541584403509,0.143333333333333,0.161842971761056,0.157532818787519,-0.337898700463792,0.193534652050373,0.195505742720544,0.195505742720544,-0.151397849462366,0.435897435897436,0.227977044476327,0.229638174044433,0.220883116883117,-0.507331664319616,0.413643603782977,0,-0.0666666666666667,-0.385585370511841,0,0.0930062691940967,0.162034176349966,0.211205697528278,0.18424093634028,-0.189281803223342,-0.0744191032042694,0.143333333333333,-0.0793137254901961,0.4748513646854,0.416364692218351,0.421428571428571,-0.412381027674465,-0.0843137254901961,0.114576434361814,0.195505742720544,0.216883116883117,0.231898613103778,-0.0823931623931624,0.428745644599303,0.431246273106738,-0.0823931623931624,-0.184168649220196,-0.170797329068141,0.262842979242979,0.211205697528278
"SUFU",-0.492798029254757,-0.492798029254757,-0.0710470085470085,-0.126067900313421,0.15,-0.427411347517731,-0.430764404716942,0.0356107431234622,0.253333333333333,0.02,0.0422222222222222,-0.190117776959882,-0.237048002624488,-0.295654682473109,-0.258888888888889,-0.139128148912847,-0.264146094146094,0.33496668770601,-0.230656532162139,-0.234137544820367,-0.234137544820367,0.25989898989899,-0.431666666666667,-0.222424242424242,-0.224011544011544,-0.212857142857143,0.509626436638165,-0.370079062536876,0,0,0.465111034761079,0,-0.0823749683346741,-0.137511520737327,-0.216703296703297,-0.147289396477453,0.208824287641182,-0.0699317669113208,-0.253333333333333,-0.0652777777777778,-0.366177804398049,-0.373908849770919,-0.353846153846154,0.355418688100328,-0.0875,-0.143822626144455,-0.234137544820367,-0.192857142857143,-0.229242424242424,0.0373678532901834,-0.375058275058275,-0.431666666666667,0.0388716126886796,0.0368895155019789,0.23021221203088,-0.13043097357006,-0.216032155763699
"STAT",0.469759727452035,0.469759727452035,-0.0426948051948052,0.147041198015711,0,0.23136961722488,0.230886525437441,-0.0433149351524746,-0.05,-0.0142857142857143,-0.0517857142857143,0.155254515599343,0.0845151377377665,0.158837645047055,0.0433333333333333,0.0826753290021656,0.0407813679083488,-0.206155083655084,0.0637037362813723,0.0681813482216708,0.0681813482216708,-0.0363565891472868,0.240909090909091,0.0202967673555909,0.0212676411419986,0.07,-0.490616564453195,0.263655913978495,0,0.1,-0.363091701326995,0,0.00265898950360558,0.0792270531400966,0.0652380952380952,0.0813333333333333,-0.0666644414775256,-0.0485771581359817,0.05,-0.0517857142857143,0.243376959781868,0.273333333333333,0.233333333333333,-0.216285063244,-0.0142857142857143,0.0144101370537786,0.0681813482216708,0.05,0.0392156862745098,-0.0426948051948052,0.273333333333333,0.247159090909091,-0.0486777111777112,-0.0453411568449656,-0.0635937753258431,0.00430079724197372,0.0601533494753834
