"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","cfos","SNAI1","MEK","ERK","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","Csn","cateninmemb","FUS","TWIST1","Jagged","NOTCH","NOTCHic","Csl","HEY1","KLF4","Ecadherin","SOSGRB2","ZEB2","ZEB1","GSK3","SNAI2","miR200","RAS","RAF","PI3K","DELTA","GLI","cateninnuc","Wnt","TCFLEF","TrCP","SUFU","CD44","Frizzled","cMet","SRC","DSH","Patched","STAT","LIV1","AXIN2","Destcompl","RKIP"
"TrCP",-0.440588953901758,-0.462230233002292,-0.425866596638655,-0.378991596638655,-0.314285714285714,-0.28,-0.336521739130435,-0.349238329238329,-0.439064112011791,-0.389064112011791,-0.108190817545656,-0.0933521078682369,-0.183151978007021,-0.120833333333333,-0.157675438596491,-0.187864117841774,-0.138556067588326,-0.0833333333333333,0.588909016883771,-0.10952380952381,-0.398443740377725,-0.236127495162831,-0.247084249084249,-0.213369963369963,-0.17051282051282,-0.116666666666667,0.55255945875618,0.682725609897194,-0.226388888888889,-0.601864254047374,-0.601864254047374,0.339254791737953,-0.578231411724382,0.613510280569104,-0.384355537680753,-0.347991901317117,-0.347991901317117,-0.347991901317117,-0.4037123795404,-0.460109865490081,-0.370028169014084,-0.434721264453811,0.0333333333333333,0.0761904761904762,-0.404820274354801,-0.332,-0.371130434782609,-0.332,-0.28,0.160075054930098,-0.28,-0.2,-0.439479709066865,-0.388080400322097,0.355383430129193
"SUFU",-0.504668784029038,-0.599333403348565,-0.566399271612038,-0.52490990990991,-0.481666666666667,-0.353846153846154,-0.393240093240093,-0.416533606820989,-0.464788148999448,-0.431171127722852,-0.155646065920967,-0.145253456221198,-0.369731691919192,-0.236857142857143,-0.271472527472527,-0.297647024116823,-0.324166666666667,-0.192857142857143,0.472824405561374,-0.290833333333333,-0.349629853175125,-0.287138320542859,-0.391741511500548,-0.362424242424242,-0.323787878787879,-0.278787878787879,0.503944842555326,0.531978006074347,-0.298969451601031,-0.563986127625245,-0.563986127625245,0.379705663645214,-0.524320657156812,0.575591090136125,-0.438411066980821,-0.412568370351608,-0.412568370351608,-0.412568370351608,-0.406854563783375,-0.346582160566089,-0.379097909790979,-0.326118025544992,0.15,0.253333333333333,-0.302803418803419,-0.344444444444444,-0.275111111111111,-0.241111111111111,-0.3,0.349419191919192,-0.196666666666667,-0.15,-0.436026238764643,-0.351672666999211,0.423675573322112
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.1,-0.2,-0.325268817204301,-0.353846153846154,-0.3,-0.12,-0.1,-0.290833333333333,-0.1,-0.15,-0.192857142857143,-0.333333333333333,0,0.355589839488858,-0.3,-0.240740740740741,-0.203597883597884,-0.278787878787879,-0.233333333333333,-0.2,-0.1,0.355555555555556,0.40069696969697,-0.25,-0.433333333333333,-0.433333333333333,0.305128205128205,-0.416613026819923,0.440476190476191,-0.347596153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,-0.3,-0.275111111111111,-0.25,-0.241111111111111,0,0.2,-0.196666666666667,-0.2,-0.15,-0.1,-0.2,0.253333333333333,-0.1,-0.1,-0.321645021645022,-0.298261738261738,0.302857142857143
"Ecadherin",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.328877005347594,-0.358866098743407,-0.39515555800577,-0.364959479574398,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.302857142857143,-0.33989417989418,-0.368465608465608,-0.297916666666667,-0.26,0.62051702054729,-0.266666666666667,-0.438126483368021,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.30464135021097,0.605729727869084,-0.295863049562156,-0.388638186629104,-0.388638186629104,0.364662501557927,-0.489932869772056,0.39776370329443,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.377230529741969,-0.412090220772708,-0.353897196408636,-0.395541423035791,0.2,0.233333333333333,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,0.324798387096774,-0.296078431372549,-0.266666666666667,-0.427956280172798,-0.353576764764373,0.359011578754757
"cateninmemb",-0.41924629790368,-0.402404884196795,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.281818181818182,-0.328877005347594,-0.358866098743407,-0.39515555800577,-0.364959479574398,-0.115086781064673,-0.105159420289855,-0.345270828041656,-0.302857142857143,-0.33989417989418,-0.368465608465608,-0.297916666666667,-0.26,0.524607841885642,-0.266666666666667,-0.438126483368021,-0.374562670817701,-0.404198310166598,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.30464135021097,0.606801385052144,-0.295863049562156,-0.388638186629104,-0.388638186629104,0.364662501557927,-0.489932869772056,0.39776370329443,-0.421847156567827,-0.400897435897436,-0.400897435897436,-0.400897435897436,-0.377230529741969,-0.412090220772708,-0.353897196408636,-0.395541423035791,0.2,0.233333333333333,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,0.324798387096774,-0.296078431372549,-0.266666666666667,-0.427956280172798,-0.353576764764373,0.359011578754757
"GSK3",-0.248297986724631,-0.276552650719161,-0.259059178134305,-0.240331262939959,-0.203188405797101,-0.119607843137255,-0.164052287581699,-0.152918249482064,-0.214728979311023,-0.19187183645388,-0.0858436581849071,-0.0763983808235878,-0.14695742012047,-0.161666666666667,-0.176609195402299,-0.192126436781609,-0.119417679095098,-0.136666666666667,0.421564943774902,-0.10974025974026,-0.281801383954032,-0.196465895346334,-0.257459721477243,-0.239999404016926,-0.222268907563025,-0.192857142857143,0.355779934444689,0.497989062761562,-0.169217076293682,-0.385434015259636,-0.385434015259636,0.025238616521916,-0.41399005526614,0.39058416487333,-0.216057738639037,-0.196100888585099,-0.196100888585099,-0.196100888585099,-0.349531642090626,-0.381507415450955,-0.32933459775565,-0.367290547981075,0.0866666666666667,0.0954545454545455,-0.349512770203297,-0.30906432748538,-0.32961227269086,-0.30906432748538,-0.286842105263158,0.131218921331123,-0.286842105263158,-0.25,-0.38712222468414,-0.015738923964083,0.18030969030969
"miR200",-0.121665842339054,-0.149629404196127,-0.128610295915872,-0.102748226950355,-0.0708333333333333,-0.0142857142857143,-0.0442857142857143,-0.106340612157272,-0.109388251651025,-0.0823809523809524,-0.0167387848486693,-0.00989839396919043,-0.0711177041349455,-0.0357894736842105,-0.0570015948963317,-0.0746486537198612,-0.0467857142857143,-0.02,0.443644662505596,-0.0325,-0.236985221674877,-0.11776207485395,-0.134954393482001,-0.114708994708995,-0.0887830687830688,-0.0628571428571429,0.349245664053219,0.48159007900638,-0.117214076246334,-0.37187450039968,-0.37187450039968,0.235587582051895,-0.333937223273782,0.304691823482694,-0.299185058210128,-0.277179487179487,-0.277179487179487,-0.277179487179487,-0.324778032962875,-0.359084190721941,-0.305024946543122,-0.344994843642903,0,0.02,-0.328176661824722,-0.280434782608696,-0.30792349726776,-0.283333333333333,-0.25,0.058474025974026,-0.25,-0.2,-0.36287194817991,-0.329591614896188,0.0842444019118739
"RKIP",-0.292454212454212,-0.316456310679612,-0.265,-0.22,-0.2,-0.17,-0.17,-0.216842105263158,-0.226371814092954,-0.187241379310345,-0.156725110893631,-0.153754813863928,-0.205,-0.0857142857142857,-0.110714285714286,-0.154464285714286,-0.14,-0.1,0.477483985765125,-0.1,-0.368487452264048,-0.253680988680989,-0.205968253968254,-0.153968253968254,-0.111111111111111,-0.1,0.332663797226208,0.548694606806782,-0.0587301587301587,-0.371439307430289,-0.371439307430289,0.159064406474415,-0.621431123726756,0.380025159805282,-0.0894688644688645,-0.0466117216117216,-0.0466117216117216,-0.0466117216117216,-0.319441460794844,-0.378557556884674,-0.268421052631579,-0.3520382198681,0.1,0.1,-0.317687074829932,-0.2,-0.266666666666667,-0.2,-0.1,0.181666666666667,-0.1,0,-0.335459459459459,-0.0169391025641026,0.223809523809524
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.2,-0.281818181818182,-0.33671420000923,-0.364959479574398,-0.328877005347594,-0.105159420289855,-0.0906666666666667,-0.324798387096774,-0.26,-0.302857142857143,-0.33989417989418,-0.266666666666667,-0.2,0.592771731398492,-0.233333333333333,-0.412614379084967,-0.354196538094589,-0.376317269274404,-0.342296650717703,-0.305454545454545,-0.26,0.266666666666667,0.673797795937152,-0.28138936535163,-0.354514963880289,-0.354514963880289,0.348106210167198,-0.4649781869926,0.362568172568173,-0.400897435897436,-0.375897435897436,-0.375897435897436,-0.375897435897436,-0.353897196408636,-0.395541423035791,-0.326310989512084,-0.376344434328137,0.1,0.2,-0.353267511251214,-0.296078431372549,-0.326310989512084,-0.296078431372549,-0.266666666666667,0.297916666666667,-0.266666666666667,-0.233333333333333,-0.40259545543053,-0.341987979717644,0.328674500103071
"ZEB2",-0.219625338168091,-0.204157733474622,-0.19917239623122,-0.191596638655462,-0.185714285714286,-0.158333333333333,-0.147222222222222,-0.146586910626319,-0.145270322605631,-0.141959064327485,-0.1360757913389,-0.135756302521008,-0.120411941000176,-0.117777777777778,-0.115452196382429,-0.115452196382429,-0.113574660633484,-0.111111111111111,-0.107802167237108,-0.107692307692308,-0.102216605940622,-0.0944684198389436,-0.0803508150248051,-0.0779411764705882,-0.075,-0.0666666666666667,-0.0584329004329004,-0.0569449978518608,-0.0493976791849132,-0.0407544316071001,-0.0407544316071001,-0.020502494828989,-0.00503209128335576,0.00493610981942185,0.020028238374103,0.0232223415682062,0.0232223415682062,0.0232223415682062,0.0922251739405439,0.0947653498395087,0.0954509803921569,0.0976354404739498,0.1,0.1,0.100900746596399,0.101333333333333,0.104161616161616,0.110222222222222,0.113333333333333,0.117470764529588,0.122222222222222,0.133333333333333,0.142493252361673,0.162951019597723,0.164909090909091
