"","ZEB2","ZEB1","Wnt","TWIST1","TrCP","TGFR","TGF","TCFLEF","SUFU","STAT","SRC","SOSGRB2","SNAI2","SNAI1","SMO","SMAD","SHH","RKIP","RAS","RAF","PI3K","Patched","PAK1","NOTCHic","NOTCH","NFB","miR200","MEK","LOXL23","LIV1","KLF4","JAK","Jagged","ILK","IKK","HEY1","GSK3","GLI","FUS","Frizzled","FOXC2","ERK","EGR1","Ecadherin","DSH","Destcompl","DELTA","Csn","Csl","cMet","cfos","CDC42","CD44","cateninnuc","cateninmemb","AXIN2","AKT"
"ZEB2",-0.0340800605558491,-0.0340800605558491,0.10013986013986,0.138026765856005,0.1,0.0145083487940631,0.0171538514395657,0.110576284216017,0.1,0.1,0.106666666666667,0.0476190476190476,0.156763862842562,-0.129853664714725,-0.102857142857143,-0.114285714285714,-0.099509027557808,0.151819645732689,0.0288752468088657,0.026948051948052,0.026948051948052,0.100418118466899,0.0142857142857143,-0.0676923076923077,-0.0638671710802858,-0.111111111111111,-0.00161499123134682,-0.119179538145127,0,0.1,-0.0619721580147454,0,-0.069932712835995,-0.114285714285714,-0.104444444444444,-0.123826979472141,-0.0243035560721741,0.101057291332521,-0.1,0.0975757575757576,0.00352136752136752,-0.121618562535371,-0.133333333333333,-0.119043222585561,0.0909090909090909,0.156755822752508,0.026948051948052,-0.111111111111111,-0.0743589743589744,0.109298245614035,-0.128070175438597,0.0124675324675325,0.110224171539961,0.110836024475758,-0.134085186570507,0.139542716073604,-0.0997715472481828
"ZEB1",0.591831611666694,0.591831611666694,0.384362994728848,0.0666224541867032,-0.133333333333333,0.194733555388127,0.212843791608599,0.42386003467958,-0.158333333333333,0.32051282051282,0.352220137585991,0.199805068226121,0.360217527066046,0.321004076996053,0.206060606060606,0.150686156716304,0.242394427845548,-0.313058688571261,0.414693688899761,0.390284240080864,0.390284240080864,-0.225668449197861,0.143486590038314,0.30453431372549,0.332633487279209,0.210175438596491,-0.611641027027078,0.331863176988857,0,0.266666666666667,-0.545188592714237,0,0.297668704695822,0.142032310562458,0.234765602530917,0.160890430812711,-0.360027584066936,0.408074334935034,0.183333333333333,0.355516840882695,0.170699732180576,0.298823529411765,0.2,-0.522572154437741,0.323809523809524,0.367115289333799,0.390284240080864,0.173333333333333,0.277083333333333,0.381631902291874,0.26,0.17392137264701,0.405243013402985,0.43853713839778,-0.561470561617633,0.440420215557728,0.261908459673775
"Wnt",0.299330463892874,0.299330463892874,0.225,0.0291176470588235,-0.1,-0.00666666666666668,0.0194202898550725,0.240977443609023,0,0.1,0.2,0.0454545454545455,0.143793103448276,0.0820910973084886,0.05,0.0390777181474856,0.082034632034632,-0.111666666666667,0.111380724538619,0.0977443609022556,0.0977443609022556,-0.0772727272727273,-0.1,0.142857142857143,0.176190476190476,0.0666666666666667,-0.302626262626263,0.0996078431372549,0,0,-0.262745098039216,0,0.110980392156863,0.0367521367521367,0.0866666666666667,0.0456410256410256,-0.0500783699059561,0.230263157894737,0,0.3,0.000161943319838048,0.0466666666666667,0.1,-0.253979805927092,0.2,-0.0603153847351298,0.0977443609022556,0.1,0.1,0.225,0.0666666666666667,-0.0666666666666667,0.230263157894737,0.258858238311009,-0.228728813559322,0.265454545454545,0.124166666666667
"TWIST1",0.487455876929561,0.487455876929561,0.383149540517962,0.161701037012822,-0.2,0.395278213166144,0.419651789475939,0.433480793280848,-0.3,0.309523809523809,0.348412698412698,0.280218662598525,0.676862419174193,0.476220942746449,0.391555555555556,0.222385661989622,0.451910505282258,-0.460874586961544,0.446815655941231,0.418733464160409,0.418733464160409,-0.425802130898021,0.334545454545455,0.379145299145299,0.417824544428318,0.369230769230769,-0.495589560842679,0.471487641882123,0,0.266666666666667,-0.404315196998124,0,0.402327973580207,0.208854308854309,0.416849816849817,0.233618923449432,-0.40015716887848,0.411949540517962,0.355555555555556,0.348412698412698,0.39733902631502,0.429199084668192,0.28,-0.771101053171311,0.309523809523809,0.390861511869944,0.418733464160409,0.3,0.335555555555555,0.382455251604188,0.371304347826087,0.369028213166144,0.410969307829087,0.451249625943298,-0.630666175635934,0.456467242434984,0.459222698205749
"TrCP",-0.535850261044705,-0.535850261044705,-0.209571150097466,0.0514290419725202,0.0333333333333333,-0.0966004583651642,-0.108622316288662,-0.241295255651691,0.0476190476190476,-0.17,-0.188518518518519,-0.0571369636963696,-0.0429349273412842,-0.241200520877268,-0.073963133640553,-0.0537344256699095,-0.095605108949195,0.262422954577651,-0.21418387606336,-0.197365694245178,-0.197365694245178,0.082605108949195,-0.0761904761904762,-0.115641025641026,-0.132124542124542,-0.0708333333333333,0.550667899831829,-0.315858511422255,0,-0.15,0.509002862347125,0,-0.121784040558964,-0.0498634579279741,-0.0866228070175439,-0.0548718287914866,0.213858766233766,-0.227619930585271,-0.0642857142857143,-0.188518518518519,-0.0882887721951691,-0.295858511422255,-0.24,0.324954554016408,-0.17,-0.234369603122606,-0.197365694245178,-0.0583333333333333,-0.0987179487179487,-0.21014014014014,-0.270434782608696,-0.0859943977591036,-0.227961922318358,-0.250950428065484,0.309028444569802,-0.259053505592217,-0.0995857699805068
"TGFR",0.582205989779929,0.582205989779929,0.247277628032345,-0.181727955713721,-0.233333333333333,0.146309523809524,0.165458459979737,0.294429598868526,-0.153333333333333,0.166666666666667,0.206666666666667,0.084307992202729,0.192052624770431,0.423603883378622,0.203908045977011,0.197962068161816,0.239042226767972,-0.412727272727273,0.350104427736007,0.322619047619048,0.322619047619048,-0.222658045977011,0.193333333333333,0.344022988505747,0.369202844620855,0.301190476190476,-0.592159865533058,0.461182179192273,0,0.1,-0.54379199811122,0,0.276014652835585,0.190488758553275,0.31171679197995,0.215025453005764,-0.34594756548163,0.276309886096861,0.186666666666667,0.211428571428571,0.141215519813393,0.436524644945698,0.361904761904762,-0.394819723294417,0.171428571428571,0.11826969342965,0.322619047619048,0.258333333333333,0.323333333333333,0.24251572327044,0.39874686716792,0.226666666666667,0.271463091691493,0.311878668841954,-0.371119831644984,0.29878795104117,0.330321443142741
"TGF",0.546356933176155,0.546356933176155,0.211428571428571,-0.187777777777778,-0.2,0.226666666666667,0.146309523809524,0.271463091691493,-0.133333333333333,0.1,0.166666666666667,0.0657894736842105,0.169598921066727,0.400890019071837,0.186666666666667,0.190488758553275,0.222658045977011,-0.387012987012987,0.322619047619048,0.286904761904762,0.286904761904762,-0.203908045977011,0.16,0.323333333333333,0.344022988505747,0.258333333333333,-0.555502974037457,0.436524644945698,0,0,-0.502720569539791,0,0.256449435444281,0.182424242424242,0.301190476190476,0.204577691811734,-0.324676171838598,0.247277628032345,0.153333333333333,0.171428571428571,0.125931677018634,0.39874686716792,0.333333333333333,-0.366710694333599,0.1,0.10193904826836,0.286904761904762,0.233333333333333,0.273333333333333,0.206666666666667,0.361904761904762,0.193333333333333,0.24251572327044,0.294429598868526,-0.342482418250064,0.265740740740741,0.31171679197995
"TCFLEF",0.56515049618997,0.56515049618997,0.205822021116139,-0.0638396747184873,-0.171428571428571,0.28392489926939,0.298163309865416,0.134996458835206,-0.183333333333333,0.158333333333333,0.178333333333333,0.0910935052970981,0.317331050727234,0.411702832267686,0.222380952380952,0.148886896829535,0.251007510861063,-0.420695228911237,0.375212978265994,0.359575658949305,0.359575658949305,-0.23689708141321,0.261538461538462,0.351012274828631,0.3692847000778,0.263064935064935,-0.577099219388376,0.50057906089265,0,0.133333333333333,-0.433914247517189,0,0.244034389430747,0.144106782106782,0.275968160871387,0.171629523900149,-0.337244521138586,0.225697797513654,0.203333333333333,0.182745098039216,0.294623735360246,0.482891986062718,0.421428571428571,-0.448101219417613,0.162745098039216,0.292636776335573,0.359575658949305,0.235064935064935,0.335326000318827,0.201410256410256,0.462891986062718,0.270840787119857,0.220907111756168,0.14607893306201,-0.340506819857283,0.561620512820513,0.291185552175734
"SUFU",-0.548925036632493,-0.548925036632493,-0.338354700854701,0.0457889286706688,0.15,-0.40180659382787,-0.415021583965938,-0.265408354324675,0.253333333333333,-0.183333333333333,-0.211111111111111,-0.206238498343762,-0.35787191631622,-0.386708288605968,-0.306111111111111,-0.125525968812119,-0.33477613977614,0.402525656310634,-0.397100356115559,-0.380328204216825,-0.380328204216825,0.321262626262626,-0.358333333333333,-0.341060606060606,-0.360901875901876,-0.228857142857143,0.561789246914769,-0.429398642443397,0,-0.15,0.49587573486906,0,-0.244189731061637,-0.11836661546339,-0.25578021978022,-0.133336595306213,0.352709035983139,-0.355826819813809,-0.278333333333333,-0.315277777777778,-0.268464893516413,-0.404292259464673,-0.338461538461538,0.365471079626667,-0.2875,-0.317187005374517,-0.380328204216825,-0.192857142857143,-0.313787878787879,-0.23344120819849,-0.377855477855478,-0.382657657657658,-0.250734441281197,-0.277940323634138,0.366107258267427,-0.389429141082003,-0.273901025149347
"STAT",0.408920566612874,0.408920566612874,-0.0857142857142857,-0.185664851556906,0,-0.0465909090909091,-0.0480401844532279,-0.0803110664309402,0,-0.0857142857142857,-0.0857142857142857,-0.124178981937603,-0.156435552126518,0.0849190633608166,0.00666666666666667,0.0264312288300294,0.00168621801468066,-0.120749678249678,-0.116421845487204,-0.117168114143921,-0.117168114143921,-0.00434108527131783,-0.0590909090909091,-0.0301536830948596,-0.0330663044540829,0,-0.427008981586189,0.139709044908286,0,0,-0.307555951673599,0,-0.00704947634525099,0.0252818035426731,-0.00476190476190476,0.0226666666666667,0.103644859813084,-0.0831932773109244,0,-0.0857142857142857,-0.0342849352419905,0.14078431372549,0.166666666666667,-0.00158362535634722,-0.0857142857142857,-0.134570498205704,-0.117168114143921,0,-0.0274509803921569,-0.0857142857142857,0.146666666666667,-0.0465909090909091,-0.0831501831501832,-0.0778080866931572,0.0904037988057079,-0.131729055258467,-0.00984665052461663
