"","FOXC2","TGF","TGFR","CDC42","PAK1","EGR1","MEK","ERK","cfos","SNAI1","HEY1","SMAD","ILK","SHH","NFB","IKK","AKT","SMO","FUS","Csn","TWIST1","Jagged","cateninmemb","NOTCH","NOTCHic","Csl","SOSGRB2","KLF4","Ecadherin","ZEB2","ZEB1","SNAI2","GSK3","RAS","RAF","PI3K","DELTA","miR200","GLI","Wnt","cateninnuc","TCFLEF","CD44","Frizzled","cMet","DSH","SRC","TrCP","SUFU","STAT","LIV1","AXIN2","Patched","Destcompl","RKIP"
"TrCP",-0.394225168620855,-0.407521488476165,-0.379106187929717,-0.344257703081232,-0.295238095238095,-0.28,-0.400752640628838,-0.363419307295505,-0.327826086956522,-0.306831067083023,-0.0960652026927713,-0.10173920464243,-0.090126301416624,-0.151956306536952,-0.108333333333333,-0.134649122807018,-0.158723196881092,-0.115437788018433,-0.0928571428571428,-0.0833333333333333,-0.328036984754376,-0.187664238241309,0.424021470681973,-0.197142857142857,-0.170769230769231,-0.138461538461538,-0.188641364136414,0.538002081707,0.477265588874446,-0.577620392171983,-0.577620392171983,-0.477788323967757,0.267233766233766,-0.301752870648136,-0.2753892342845,-0.2753892342845,-0.2753892342845,0.590482438168314,-0.303590548186184,-0.279688109161793,-0.33690717621001,-0.322010624485872,-0.304232846708094,-0.250740740740741,-0.28047047047047,-0.21,-0.250740740740741,0.0333333333333333,0.0761904761904762,-0.21,-0.15,-0.332127830963225,0.133956306536952,-0.292097394246335,0.323687362361396
"SUFU",-0.482935808117882,-0.572916086803157,-0.547077822503354,-0.514099099099099,-0.481666666666667,-0.353846153846154,-0.45167980955215,-0.426573426573427,-0.393240093240093,-0.397357008335596,-0.158132769971429,-0.15379849086323,-0.145253456221198,-0.351642194142194,-0.236857142857143,-0.26378021978022,-0.284585588907737,-0.313055555555556,-0.290833333333333,-0.192857142857143,-0.313971766813153,-0.255905852418459,0.363739575164422,-0.366349206349206,-0.343333333333333,-0.313787878787879,-0.282885535517114,0.49915442339365,0.365457800594209,-0.554247234290726,-0.554247234290726,-0.475235950806635,0.352165132957957,-0.402808995770636,-0.383821653998485,-0.383821653998485,-0.383821653998485,0.566426233129978,-0.355702506910685,-0.33525641025641,-0.28052222987571,-0.266967242663434,-0.249847677446042,-0.308333333333333,-0.229546925566343,-0.275,-0.203333333333333,0.15,0.253333333333333,-0.17,-0.15,-0.385633008490432,0.334267676767677,-0.316157175562155,0.410530191458026
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.1,-0.353846153846154,-0.3,-0.2,-0.325268817204301,-0.105128205128205,-0.12,-0.1,-0.290833333333333,-0.1,-0.15,-0.192857142857143,-0.333333333333333,-0.3,0,-0.225925925925926,-0.188783068783069,0.280609318996416,-0.278787878787879,-0.233333333333333,-0.2,-0.25,0.355555555555556,0.279250269687163,-0.433333333333333,-0.433333333333333,-0.392153256704981,0.295604395604396,-0.335096153846154,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.440476190476191,-0.275,-0.25,-0.229546925566343,-0.203333333333333,-0.17,-0.2,-0.15,-0.2,-0.1,0,0.2,-0.1,-0.1,-0.303463203463203,0.253333333333333,-0.278041958041958,0.302857142857143
"Ecadherin",-0.405367759589991,-0.385069610229227,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.281818181818182,-0.388387819982726,-0.362897623904295,-0.328877005347594,-0.345862628049787,-0.128084864208038,-0.114118258062252,-0.105159420289855,-0.330782744898823,-0.302857142857143,-0.336190476190476,-0.360865800865801,-0.291666666666667,-0.266666666666667,-0.26,-0.412563965871886,-0.347875535916252,0.544149066831994,-0.386801629871217,-0.364868544369358,-0.337033492822967,-0.286826306761759,0.30210970464135,0.478110979268347,-0.382689072136712,-0.382689072136712,-0.456533440635946,0.346985376721056,-0.399201445941505,-0.384117647058824,-0.384117647058824,-0.384117647058824,0.392295345870765,-0.340209475289715,-0.324209475289715,-0.364438277452864,-0.353047054296935,-0.339223891158703,-0.305243958048336,-0.323504827613553,-0.284313725490196,-0.305243958048336,0.2,0.233333333333333,-0.284313725490196,-0.266666666666667,-0.395925516720563,0.314247311827957,-0.330547873482869,0.351184627749636
"cateninmemb",-0.405367759589991,-0.385069610229227,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.281818181818182,-0.388387819982726,-0.362897623904295,-0.328877005347594,-0.345862628049787,-0.128084864208038,-0.114118258062252,-0.105159420289855,-0.330782744898823,-0.302857142857143,-0.336190476190476,-0.360865800865801,-0.291666666666667,-0.266666666666667,-0.26,-0.412563965871886,-0.347875535916252,0.446655387134405,-0.386801629871217,-0.364868544369358,-0.337033492822967,-0.286826306761759,0.30210970464135,0.469539844374988,-0.382689072136712,-0.382689072136712,-0.456533440635946,0.346985376721056,-0.399201445941505,-0.384117647058824,-0.384117647058824,-0.384117647058824,0.392295345870765,-0.340209475289715,-0.324209475289715,-0.364438277452864,-0.353047054296935,-0.339223891158703,-0.305243958048336,-0.323504827613553,-0.284313725490196,-0.305243958048336,0.2,0.233333333333333,-0.284313725490196,-0.266666666666667,-0.395925516720563,0.314247311827957,-0.330547873482869,0.351184627749636
"GSK3",-0.227436406922331,-0.251707977423778,-0.237605413321214,-0.224016563146998,-0.194492753623188,-0.119607843137255,-0.198262972121331,-0.180649335757695,-0.160348583877996,-0.134059896961818,-0.0864721471021916,-0.0828349738478304,-0.0748889468613236,-0.13049464015904,-0.155416666666667,-0.165761494252874,-0.178582007073386,-0.106668063119676,-0.10021645021645,-0.136666666666667,-0.250310754045264,-0.169731808635246,0.320013912332706,-0.233664864547218,-0.219379150261503,-0.20609243697479,-0.152000550026642,0.348843004184554,0.356099854700091,-0.374140622122563,-0.374140622122563,-0.366576499741742,-0.00169300193539004,-0.181671210849559,-0.166755244463004,-0.166755244463004,-0.166755244463004,0.379807262481996,-0.299663745008099,-0.285512801611873,-0.318707269347642,-0.309957269347642,-0.299538747531079,-0.269172932330827,-0.285729223721556,-0.251315789473684,-0.269172932330827,0.0866666666666667,0.0954545454545455,-0.251315789473684,-0.225,-0.336708355670292,0.117097510972437,0.0183193100633042,0.166264262053736
"RKIP",-0.291408782788093,-0.313413440142412,-0.267619047619048,-0.22,-0.2,-0.17,-0.227666911225238,-0.187241379310345,-0.17,-0.214233560028769,-0.159581881533101,-0.156725110893631,-0.153754813863928,-0.202032786885246,-0.0857142857142857,-0.110714285714286,-0.156168831168831,-0.14,-0.1,-0.1,-0.357944147355912,-0.241565607567305,0.412715572715573,-0.202719502719503,-0.156565656565657,-0.111111111111111,-0.0613968253968254,0.332663797226208,0.451697677663361,-0.372663797226208,-0.372663797226208,-0.598305064988051,0.149881796690307,-0.0769258519258519,-0.0418831168831169,-0.0418831168831169,-0.0418831168831169,0.380952950808151,-0.288461538461538,-0.25,-0.332695562104964,-0.313102686786897,-0.28582995951417,-0.2,-0.247368421052632,-0.1,-0.2,0.1,0.1,-0.1,0,-0.309798406000938,0.184,0.000699164683294931,0.226050420168067
"miR200",-0.116581738045153,-0.142461902240266,-0.124438646426312,-0.100245098039216,-0.0708333333333333,-0.0142857142857143,-0.105819418676562,-0.0806493506493507,-0.0442857142857143,-0.101635956635957,-0.0134180790960452,-0.0164814660695039,-0.00989839396919043,-0.0680953036140158,-0.0357894736842105,-0.0557894736842105,-0.0727706057596822,-0.0458333333333333,-0.0325,-0.02,-0.225018519312998,-0.109619275953009,0.389121800238332,-0.128647129219894,-0.111133004926108,-0.0869950738916256,-0.114294003868472,0.34836093857833,0.409940607603567,-0.370282258064516,-0.370282258064516,-0.308461990654791,0.223777094441573,-0.280514767425104,-0.262809031764256,-0.262809031764256,-0.262809031764256,0.303281447511538,-0.300595573440644,-0.28630985915493,-0.323553403538679,-0.31446249444777,-0.303351383336659,-0.268,-0.288744641763625,-0.24,-0.270434782608696,0,0.02,-0.24,-0.2,-0.336565178822926,0.0572257383966245,-0.310144631866318,0.0821827674271767
"KLF4",-0.381797965539647,-0.362465631929047,-0.335636363636364,-0.307636363636364,-0.263636363636364,-0.2,-0.362897623904295,-0.328877005347594,-0.281818181818182,-0.327824653366242,-0.111306340718105,-0.105159420289855,-0.0906666666666667,-0.314247311827957,-0.26,-0.302857142857143,-0.336190476190476,-0.266666666666667,-0.233333333333333,-0.2,-0.393010893246187,-0.332543728135932,0.52530291298584,-0.364868544369358,-0.337033492822967,-0.305454545454545,-0.277615780445969,0.266666666666667,0.557663072744491,-0.351883384932921,-0.351883384932921,-0.437689370798499,0.334844096367855,-0.384117647058824,-0.365,-0.365,-0.365,0.36045177045177,-0.324209475289715,-0.305243958048336,-0.353047054296935,-0.339223891158703,-0.323504827613553,-0.284313725490196,-0.305243958048336,-0.266666666666667,-0.284313725490196,0.1,0.2,-0.266666666666667,-0.233333333333333,-0.378399743524687,0.291666666666667,-0.322719355309523,0.32459286745001
"ZEB2",-0.225639471639472,-0.211144094001237,-0.206382189239332,-0.20025974025974,-0.194805194805195,-0.158333333333333,-0.15550919982884,-0.153070175438596,-0.153070175438596,-0.152698612774935,-0.146407624633431,-0.137712371791726,-0.137102615694165,-0.124127336078556,-0.123611111111111,-0.121388888888889,-0.120454309449637,-0.117142857142857,-0.114285714285714,-0.111111111111111,-0.107875017528538,-0.0969420755506649,-0.0865536789335267,-0.0861168558217738,-0.0833846153846154,-0.0820512820512821,-0.0581501831501832,-0.055409950970417,-0.0551863014565367,-0.0449927121929574,-0.0449927121929574,-0.0235512897077072,-0.00713829708493694,-0.000203333426031498,0.00300865800865801,0.00300865800865801,0.00300865800865801,0.00873894157818875,0.0737978229721349,0.0765501165501165,0.0766721594853545,0.0791396919528869,0.0826608187134503,0.0842424242424242,0.0854385964912281,0.0909090909090909,0.0933333333333333,0.1,0.1,0.1,0.1,0.114801753711924,0.119581881533101,0.13676215916504,0.169468599033816
