"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.106032911268031,0.987448431591241,0.99754431968536,-0.992360439399115,0.997545799207566,0.987448431591241,0.872840759909706,0.0178720391930516,0.993450640161424,0.993996575791682,-0.990994672821317,0.998635586353675,0.875843569458735,0.872840759909706,0.872840759909706,-0.999181367742328,0.448214707540986,0.999727147058354,0.999454368179532,0.0470935961385992,0.993179592427648,-0.102194256192649,0.220374501240322,0.129217381863122,0.994542355168579,0.998909032367975,0.993180784429318,-0.993180784429318,0.99754431968536,0.987448431591241,-0.875843569458735,0.987448431591241,0.987448431591241,-0.999727147058354,0.875843569458735,0.999454368179532,0.875843569458735,0.99754431968536,0.99235923766099,0.99235923766099,0.987448431591241,0.220374501240322,-0.875571769169242,0.987448431591241,0.99754431968536,0.99754431968536,1,-0.995363845734329,0.872840759909706,0.335521986330331,0.335521986330331,0.987448431591241,-0.983354678456175,0.987448431591241,0.99317779146692,-0.335521986330331
"AXIN2",-0.106032911268031,1,-0.114209842702736,-0.104673478625352,0.108206190422354,-0.106317677960536,-0.114209842702736,-0.0907282924838975,0.539913882099629,-0.110399214565568,-0.109850101753727,0.103029415274359,-0.105215901014272,-0.0882706890655878,-0.0907282924838975,-0.0907282924838975,0.105212565622519,-0.0465551843063058,-0.105761689292261,-0.105490474808726,-0.00554725856553501,-0.109023252948151,0.00123522534743525,-0.023845707652754,-0.0189557016439544,-0.109304314451194,-0.106039647314637,-0.109020042643922,0.109020042643922,-0.104673478625352,-0.114209842702736,0.0882706890655878,-0.114209842702736,-0.114209842702736,0.105761689292261,-0.0882706890655878,-0.105490474808726,-0.0882706890655878,-0.104673478625352,-0.110395889056259,-0.108212739846129,-0.114209842702736,-0.023845707652754,0.0879962401896578,-0.114209842702736,-0.104673478625352,-0.104673478625352,-0.106032911268031,0.105775348790779,-0.0907282924838975,-0.0238677873667473,-0.0238677873667473,-0.114209842702736,0.110663855807505,-0.114209842702736,-0.11067044149292,0.0238677873667473
"CD44",0.987448431591241,-0.114209842702736,1,0.984994069709364,-0.992904895046779,0.984997286020857,1,0.874473490867787,0.00968689771517442,0.993451996689753,0.992905481283438,-0.987720918651848,0.986084459697751,0.87147228856597,0.874473490867787,0.874473490867787,-0.987720918651848,0.437305324303433,0.987176017719971,0.986903676977474,0.0459887093906039,0.993723599171806,-0.104924903639999,0.219273228517988,0.124847935769134,0.992359703247768,0.986359214636787,0.993723897511872,-0.993723897511872,0.984994069709364,1,-0.87147228856597,1,1,-0.987176017719971,0.87147228856597,0.986903676977474,0.87147228856597,0.984994069709364,0.995088593426119,0.990722369140757,1,0.219273228517988,-0.871200039856955,1,0.984994069709364,0.984994069709364,0.987448431591241,-0.98281620070586,0.874473490867787,0.335518257537832,0.335518257537832,1,-0.995906706538951,1,0.99372448017375,-0.335518257537832
"CDC42",0.99754431968536,-0.104673478625352,0.984994069709364,1,-0.989906088490977,0.995088534182027,0.984994069709364,0.875299950209161,0.0186899671804082,0.991540726420951,0.992087112218552,-0.989084978139214,0.998908585795456,0.878302990970472,0.875299950209161,0.875299950209161,-0.997271691349825,0.446847559476857,0.997271241080513,0.998089800311451,0.0490105830074536,0.991271246904321,-0.100283248653512,0.222289832429194,0.131675135364232,0.992632892814756,0.996452448301076,0.990727106119323,-0.990727106119323,1,0.984994069709364,-0.878302990970472,0.984994069709364,0.984994069709364,-0.997817022652161,0.878302990970472,0.998089800311451,0.878302990970472,1,0.989903989833739,0.994270234603366,0.984994069709364,0.222289832429194,-0.878031414760793,0.984994069709364,1,1,0.99754431968536,-0.992906122973778,0.875299950209161,0.33415973655569,0.33415973655569,0.984994069709364,-0.98090008347414,0.984994069709364,0.991268101662044,-0.33415973655569
"Csl",-0.992360439399115,0.108206190422354,-0.992904895046779,-0.989906088490977,1,-0.989909324555386,-0.992904895046779,-0.874473490867786,-0.0156904494014287,-0.991814660753795,-0.991268147176428,0.988812475292194,-0.990996470797739,-0.875838512851331,-0.874473490867786,-0.874473490867786,0.992632923533404,-0.440580020561627,-0.992088028819959,-0.991815691735374,-0.047080299116076,-0.998635594177077,0.101650238108426,-0.220364799952785,-0.125939491840475,-0.992905481283438,-0.991271237807917,-0.999181669333521,0.999181669333521,-0.989906088490977,-0.992904895046779,0.875838512851331,-0.992904895046779,-0.992904895046779,0.992088028819959,-0.875838512851331,-0.991815691735374,-0.875838512851331,-0.989906088490977,-0.994542815390449,-0.991268147176428,-0.992904895046779,-0.220364799952785,0.875566266418338,-0.992904895046779,-0.989906088490977,-0.989906088490977,-0.992360439399115,0.987728251311734,-0.874473490867786,-0.333880923430821,-0.333880923430821,-0.992904895046779,0.98881160000065,-0.992904895046779,-0.991541366893058,0.333880923430821
"Csn",0.997545799207566,-0.106317677960536,0.984997286020857,0.995088534182027,-0.989909324555386,1,0.984997286020857,0.870393065482907,0.0175974354126859,0.990996398400015,0.991543382758748,-0.988540938445405,0.99618085409378,0.873396414002179,0.870393065482907,0.870393065482907,-0.996727684577605,0.446298653947978,0.997818205393049,0.996999117924966,0.045744769991448,0.990729004355785,-0.101373876175076,0.219022090034655,0.127857121530588,0.992089165549723,0.998635872347319,0.99073123911126,-0.99073123911126,0.995088534182027,0.984997286020857,-0.873396414002179,0.984997286020857,0.984997286020857,-0.997272421626626,0.873396414002179,0.996999117924966,0.873396414002179,0.995088534182027,0.989906034385824,0.989906034385824,0.984997286020857,0.219022090034655,-0.873125132016739,0.984997286020857,0.995088534182027,0.995088534182027,0.997545799207566,-0.997816996318329,0.870393065482907,0.334163016519066,0.334163016519066,0.984997286020857,-0.980902985446751,0.984997286020857,0.990724070747325,-0.334163016519067
"DELTA",0.987448431591241,-0.114209842702736,1,0.984994069709364,-0.992904895046779,0.984997286020857,1,0.874473490867787,0.00968689771517442,0.993451996689753,0.992905481283438,-0.987720918651848,0.986084459697751,0.87147228856597,0.874473490867787,0.874473490867787,-0.987720918651848,0.437305324303433,0.987176017719971,0.986903676977474,0.0459887093906039,0.993723599171806,-0.104924903639999,0.219273228517988,0.124847935769134,0.992359703247768,0.986359214636787,0.993723897511872,-0.993723897511872,0.984994069709364,1,-0.87147228856597,1,1,-0.987176017719971,0.87147228856597,0.986903676977474,0.87147228856597,0.984994069709364,0.995088593426119,0.990722369140757,1,0.219273228517988,-0.871200039856955,1,0.984994069709364,0.984994069709364,0.987448431591241,-0.98281620070586,0.874473490867787,0.335518257537832,0.335518257537832,1,-0.995906706538951,1,0.99372448017375,-0.335518257537832
"DSH",0.872840759909706,-0.0907282924838975,0.874473490867787,0.875299950209161,-0.874473490867786,0.870393065482907,0.874473490867787,1,0.0151467706203963,0.873932318175782,0.873930522818529,-0.868200710473499,0.874206203226667,0.99699825535564,1,1,-0.873658498552409,0.369092645316449,0.872568864730181,0.873388593955987,0.0175898171906199,0.875837395327922,-0.0776387744456169,0.176689887484202,0.0702663226427636,0.872838965771753,0.871753566518712,0.8752907332855,-0.8752907332855,0.875299950209161,0.874473490867787,-0.99699825535564,0.874473490867787,0.874473490867787,-0.87311464422901,0.99699825535564,0.873388593955987,0.99699825535564,0.875299950209161,0.873930522818529,0.875022079865306,0.874473490867787,0.176689887484202,-0.996725476089897,0.874473490867787,0.875299950209161,0.875299950209161,0.872840759909706,-0.868212888081882,1,0.272204376296335,0.272204376296335,0.874473490867787,-0.870380761451609,0.874473490867787,0.8742042773603,-0.272204376296335
"Destcompl",0.0178720391930516,0.539913882099629,0.00968689771517442,0.0186899671804082,-0.0156904494014287,0.0175974354126859,0.00968689771517442,0.0151467706203963,1,0.0135058090550612,0.0140520934044037,-0.0214198490586671,0.0186904592312563,0.0176030397363694,0.0151467706203963,0.0151467706203963,-0.0186909568481557,-0.0154226655745826,0.018144680098217,0.0184173227403633,0.00587498517404115,0.0148720416861008,-0.00313704896078099,0.02633950992325,0.00395858579638097,0.0145978715620033,0.0178710525307153,0.0148725618558796,-0.0148725618558796,0.0186899671804082,0.00968689771517442,-0.0176030397363694,0.00968689771517442,0.00968689771517442,-0.018144680098217,0.0176030397363694,0.0184173227403633,0.0176030397363694,0.0186899671804082,0.0135063152468042,0.0151436497196028,0.00968689771517442,0.02633950992325,-0.0178761987726964,0.00968689771517442,0.0186899671804082,0.0186899671804082,0.0178720391930516,-0.0175969573752049,0.0151467706203963,0.0197861523667675,0.0197861523667675,0.00968689771517442,-0.0137799708501619,0.00968689771517442,0.013233172427133,-0.0197861523667675
"EGR1",0.993450640161424,-0.110399214565568,0.993451996689753,0.991540726420951,-0.991814660753795,0.990996398400015,0.993451996689753,0.873932318175782,0.0135058090550612,1,0.997817031429963,-0.989357333837115,0.992632002477942,0.873660451951146,0.873932318175782,0.873932318175782,-0.994269350789721,0.443302651082547,0.993177782830281,0.993450779833007,0.0460020037305901,0.992633813863615,-0.104377371911935,0.219282927123033,0.12976316124002,0.992905017037887,0.992359652045008,0.992635005905928,-0.992635005905928,0.991540726420951,0.993451996689753,-0.873660451951146,0.993451996689753,0.993451996689753,-0.993723563182621,0.873660451951146,0.993450779833007,0.873660451951146,0.991540726420951,0.993450796414784,0.986901443892016,0.993451996689753,0.219282927123033,-0.873388650523639,0.993451996689753,0.991540726420951,0.991540726420951,0.993450640161424,-0.988814428831614,0.873932318175782,0.336067765707228,0.336067765707228,0.993451996689753,-0.989358244895911,0.993451996689753,0.999727147403729,-0.336067765707229
