"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.0623037432407135,0.810439437548988,0.998556760319807,0.943471085075413,0.995911208180617,0.810439437548988,0.739715224993719,0.0546156336755431,0.807793304812584,0.810198895852907,-0.933124648051696,0.998797233414179,0.802028219371135,0.739715224993719,0.739715224993719,-0.967284120186198,0.986529761818413,0.999518997264926,0.998556760319807,0.0514666073557667,0.943711153370737,-0.0445052023340579,0.218179121497844,0.0967121069884351,0.810198895852907,0.998556760319807,0.943711153370737,0.943711153370737,0.998316115206115,0.810439437548988,-0.802028219371135,0.810198895852907,0.810439437548988,-0.809236836063423,0.802028219371135,0.998556760319807,0.802028219371135,0.998556760319807,0.874187734014411,0.998316344732501,0.810439437548988,0.218179121497844,-0.801788563998364,0.810439437548988,0.998556760319807,0.998556760319807,1,-0.991099342085148,0.739715224993719,0.273271648527123,0.273271648527123,0.810439437548988,-0.811882900686152,0.810439437548988,0.808996186175694,-0.273271648527123
"AXIN2",-0.0623037432407135,1,-0.169592809786103,-0.0608602237529211,-0.0909310887182378,-0.0625439131401144,-0.169592809786103,-0.0955004959637258,0.566517606445631,-0.166946686738522,-0.168871156229803,0.0714448117738503,-0.0611008647180653,-0.0538861873859758,-0.0955004959637258,-0.0955004959637258,0.0353613864402888,-0.0656721436034361,-0.062303576664866,-0.0608602237529211,-0.01202465266059,-0.0911715284734426,-0.0127491234554471,-0.0305486130277907,-0.00721852671875111,-0.169352273602623,-0.062784694302181,-0.0911715284734426,-0.0911715284734426,-0.0611008647180653,-0.169592809786103,0.0538861873859758,-0.169352273602623,-0.169592809786103,0.167908997491408,-0.0538861873859758,-0.0608602237529211,-0.0538861873859758,-0.0608602237529211,-0.122684006319899,-0.061100703960832,-0.169592809786103,-0.0305486130277907,0.0536457739280406,-0.169592809786103,-0.0608602237529211,-0.0608602237529211,-0.0623037432407135,0.0611008647180653,-0.0955004959637258,-0.0125082299552683,-0.0125082299552683,-0.169592809786103,0.168149439473156,-0.169592809786103,-0.168149439473156,0.0125082299552683
"CD44",0.810439437548988,-0.169592809786103,1,0.808995767437713,0.865050015487677,0.806349486875971,1,0.785420804642895,-0.0425688887390666,0.99591051990609,0.999278350870581,-0.876352423756907,0.809236460731412,0.723126628112273,0.785420804642895,0.785420804642895,-0.842674849880624,0.821026090710566,0.80995800538513,0.808995767437713,0.0278876559874024,0.865289970565406,-0.0974286701192669,0.195563667825222,0.0587054073973343,0.999759469579794,0.808995767437713,0.865289970565406,0.865289970565406,0.808755342022199,1,-0.723126628112273,0.999759469579794,1,-0.998316346485979,0.723126628112273,0.808995767437713,0.723126628112273,0.808995767437713,0.936252090462479,0.809236239947186,1,0.195563667825222,-0.722887044850253,1,0.808995767437713,0.808995767437713,0.810439437548988,-0.801538561384002,0.785420804642895,0.280487896973869,0.280487896973869,1,-0.998556756979344,1,0.998075637393118,-0.280487896973869
"CDC42",0.998556760319807,-0.0608602237529211,0.808995767437713,1,0.943472183562791,0.994467381167051,0.808995767437713,0.741157736112478,0.0560611401216501,0.806349748476133,0.808755342022199,-0.932643343680805,0.999759469579794,0.803473452550859,0.741157736112478,0.741157736112478,-0.965841079071856,0.987492793221544,0.998075524105166,1,0.052425334946698,0.943712136371445,-0.0440245938349127,0.219138822232954,0.0981573059306573,0.808755342022199,0.997113286157749,0.943712136371445,0.943712136371445,0.999759469579794,0.808995767437713,-0.803473452550859,0.808755342022199,0.808995767437713,-0.807793514041746,0.803473452550859,1,0.803473452550859,1,0.872744479647735,0.999759469301445,0.808995767437713,0.219138822232954,-0.803233913459578,0.808995767437713,1,1,0.998556760319807,-0.98965597668632,0.741157736112478,0.273271123017649,0.273271123017649,0.808995767437713,-0.810438998764988,0.808995767437713,0.807552281247633,-0.273271123017648
"Csl",0.943471085075413,-0.0909310887182378,0.865050015487677,0.943472183562791,1,0.939384733055691,0.865050015487677,0.754395295462809,0.0279039597653144,0.862403336736759,0.864808923392049,-0.921821891762913,0.943712165685587,0.794083634096483,0.754395295462809,0.754395295462809,-0.928555587136027,0.95549700643434,0.942991065967238,0.943472183562791,0.0372893365532438,0.999759470832359,-0.0606204382297114,0.204479183202748,0.0724075919882508,0.864808923392049,0.942028830776132,0.999759470832359,0.999759470832359,0.943231048354529,0.865050015487677,-0.794083634096483,0.864808923392049,0.865050015487677,-0.863845773162728,0.794083634096483,0.943472183562791,0.794083634096483,0.943472183562791,0.901372890239092,0.943232255759946,0.865050015487677,0.204479183202748,-0.793843453978534,0.865050015487677,0.943472183562791,0.943472183562791,0.943471085075413,-0.934570936395482,0.754395295462809,0.270147536339226,0.270147536339226,0.865050015487677,-0.865051232528496,0.865050015487677,0.86360787790429,-0.270147536339226
"Csn",0.995911208180617,-0.0625439131401144,0.806349486875971,0.994467381167051,0.939384733055691,1,0.806349486875971,0.735623890709425,0.0538993232367919,0.803703637693222,0.806109236041983,-0.929035070109284,0.994708146584891,0.797943742912235,0.735623890709425,0.735623890709425,-0.963676930016265,0.982442672233238,0.996391860904044,0.994467381167051,0.0483304363693659,0.939624512856286,-0.0423414604736352,0.215045517371072,0.0945516934396244,0.806109236041983,0.997354100772541,0.939624512856286,0.939624512856286,0.994227026915138,0.806349486875971,-0.797943742912235,0.806109236041983,0.806349486875971,-0.805147755804151,0.797943742912235,0.994467381167051,0.797943742912235,0.994467381167051,0.870098851082815,0.994226673019292,0.806349486875971,0.215045517371072,-0.797704373907818,0.806349486875971,0.994467381167051,0.994467381167051,0.995911208180617,-0.995189266254643,0.735623890709425,0.27062429762196,0.27062429762196,0.806349486875971,-0.807792370501226,0.806349486875971,0.804905647220624,-0.27062429762196
"DELTA",0.810439437548988,-0.169592809786103,1,0.808995767437713,0.865050015487677,0.806349486875971,1,0.785420804642895,-0.0425688887390666,0.99591051990609,0.999278350870581,-0.876352423756907,0.809236460731412,0.723126628112273,0.785420804642895,0.785420804642895,-0.842674849880624,0.821026090710566,0.80995800538513,0.808995767437713,0.0278876559874024,0.865289970565406,-0.0974286701192669,0.195563667825222,0.0587054073973343,0.999759469579794,0.808995767437713,0.865289970565406,0.865289970565406,0.808755342022199,1,-0.723126628112273,0.999759469579794,1,-0.998316346485979,0.723126628112273,0.808995767437713,0.723126628112273,0.808995767437713,0.936252090462479,0.809236239947186,1,0.195563667825222,-0.722887044850253,1,0.808995767437713,0.808995767437713,0.810439437548988,-0.801538561384002,0.785420804642895,0.280487896973869,0.280487896973869,1,-0.998556756979344,1,0.998075637393118,-0.280487896973869
"DSH",0.739715224993719,-0.0955004959637258,0.785420804642895,0.741157736112478,0.754395295462809,0.735623890709425,0.785420804642895,1,0.00554750243184094,0.781331662630843,0.784699502950163,-0.753666864175422,0.74091757879901,0.9377102603589,1,1,-0.771951247113903,0.744048872532835,0.739233254872025,0.741157736112478,-0.00146851252755114,0.754635022934726,-0.0714494330425118,0.146964834976962,0.0255116211316139,0.78518062299578,0.738271014251798,0.754635022934726,0.754635022934726,0.74091757879901,0.785420804642895,-0.9377102603589,0.78518062299578,0.785420804642895,-0.783738157522139,0.9377102603589,0.741157736112478,0.9377102603589,0.741157736112478,0.766417851916711,0.741397936593881,0.785420804642895,0.146964834976962,-0.9374710258726,0.785420804642895,0.741157736112478,0.741157736112478,0.739715224993719,-0.730814057841052,1,0.221790464546012,0.221790464546012,0.785420804642895,-0.783976821476727,0.785420804642895,0.783495700554095,-0.221790464546012
"Destcompl",0.0546156336755431,0.566517606445631,-0.0425688887390666,0.0560611401216501,0.0279039597653144,0.0538993232367919,-0.0425688887390666,0.00554750243184094,1,-0.0399237369252613,-0.0418482242352867,-0.0536555296616327,0.0558195067485,0.0442538333728184,0.00554750243184094,0.00554750243184094,-0.0873297478241127,0.0526848060132007,0.0546177738456396,0.0560611401216501,-0.00429791505070415,0.0276644402452898,-0.0252546818880038,0.00988813844126114,0.00864460431691529,-0.042329346062793,0.0536555296616327,0.0276644402452898,0.0276644402452898,0.0558195067485,-0.0425688887390666,-0.0442538333728184,-0.042329346062793,-0.0425688887390666,0.0408880260017559,0.0442538333728184,0.0560611401216501,0.0442538333728184,0.0560611401216501,0.00337514114577931,0.0558216546343136,-0.0425688887390666,0.00988813844126114,-0.0444933771070806,-0.0425688887390666,0.0560611401216501,0.0560611401216501,0.0546156336755431,-0.0548572630934873,0.00554750243184094,0.0447515800010839,0.0447515800010839,-0.0425688887390666,0.0411234915370747,-0.0425688887390666,-0.0411234915370747,-0.0447515800010839
"EGR1",0.807793304812584,-0.166946686738522,0.99591051990609,0.806349748476133,0.862403336736759,0.803703637693222,0.99591051990609,0.781331662630843,-0.0399237369252613,1,0.996632170886975,-0.872744130347539,0.806590385223449,0.720479558310815,0.781331662630843,0.781331662630843,-0.839066350192853,0.818379609537148,0.807311985894559,0.806349748476133,0.0300545227540189,0.86264334962747,-0.095744473694819,0.197730013187572,0.0589450673180238,0.996151052442258,0.806349748476133,0.86264334962747,0.86264334962747,0.806109266778731,0.99591051990609,-0.720479558310815,0.996151052442258,0.99591051990609,-0.996632289742487,0.720479558310815,0.806349748476133,0.720479558310815,0.806349748476133,0.932643595841836,0.806109158112887,0.99591051990609,0.197730013187572,-0.720239915856995,0.99591051990609,0.806349748476133,0.806349748476133,0.807793304812584,-0.798892490107964,0.781331662630843,0.278323116857744,0.278323116857744,0.99591051990609,-0.994467388210346,0.99591051990609,0.997835223462457,-0.278323116857744
