"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,-0.0916014878226205,0.957936979565461,1,0.999738691582007,0.997647944452137,0.957936979565461,0.821505345983755,0.0150559204878237,0.976479204279088,0.97674115075532,-0.984845261475328,1,0.836142338367473,0.821505345983755,0.821505345983755,-0.997909256600437,0.999216004250819,1,1,0.056596287924749,1,-0.0772073053060437,0.234314193668964,0.107798932238711,0.974392754893938,0.999738691582007,1,1,1,0.957936979565461,-0.836142338367473,0.957936979565461,0.957936979565461,-0.997647951038317,0.836142338367473,1,0.836142338367473,1,0.971520488182816,0.979356357887957,0.957936979565461,0.234314193668964,-0.836142338367473,0.957936979565461,1,1,1,-0.992682398101529,0.821505345983755,0.336190875377113,0.336190875377113,0.957936979565461,-0.957936979565461,0.957936979565461,0.977002830553376,-0.336190875377113
"AXIN2",-0.0916014878226205,1,-0.119049547921275,-0.0916014878226205,-0.0913399214154094,-0.0913403820799531,-0.119049547921275,-0.0908216122018811,0.547377043089345,-0.104668959835328,-0.109112583090408,0.0968309825972944,-0.0916014878226205,-0.0798456541748085,-0.0908216122018811,-0.0908216122018811,0.0900334526554185,-0.0918630612186795,-0.0916014878226205,-0.0916014878226205,-0.0142416679103728,-0.0916014878226205,0.000393388612636435,-0.0309669162946581,0.00509578613665888,-0.108330778463997,-0.0913399214154094,-0.0916014878226205,-0.0916014878226205,-0.0916014878226205,-0.119049547921275,0.0798456541748085,-0.119049547921275,-0.119049547921275,0.0934306321158467,-0.0798456541748085,-0.0916014878226205,-0.0798456541748085,-0.0916014878226205,-0.106502413687733,-0.103364262008494,-0.119049547921275,-0.0309669162946581,0.0798456541748085,-0.119049547921275,-0.0916014878226205,-0.0916014878226205,-0.0916014878226205,0.0910788094335531,-0.0908216122018811,-0.0152901973998708,-0.0152901973998708,-0.119049547921275,0.119049547921275,-0.119049547921275,-0.107806170741269,0.0152901973998708
"CD44",0.957936979565461,-0.119049547921275,1,0.957936979565461,0.957677151368794,0.955583324712732,1,0.834820418459403,-0.0113108154858563,0.977274417022771,0.981191068210955,-0.973084145622562,0.957936979565461,0.820182564377023,0.834820418459403,0.834820418459403,-0.960027815930076,0.957151454235302,0.957936979565461,0.957936979565461,0.0584447628869583,0.957936979565461,-0.0863387098519012,0.23617631494396,0.0976074565862436,0.983537072526773,0.957677151368794,0.957936979565461,0.957936979565461,0.957936979565461,1,-0.820182564377023,1,1,-0.960290693254563,0.820182564377023,0.957936979565461,0.820182564377023,0.957936979565461,0.986410403349805,0.978573516107298,1,0.23617631494396,-0.820182564377023,1,0.957936979565461,0.957936979565461,0.957936979565461,-0.950619052289307,0.834820418459403,0.336963350730425,0.336963350730425,1,-1,1,0.980405904880688,-0.336963350730425
"CDC42",1,-0.0916014878226205,0.957936979565461,1,0.999738691582007,0.997647944452137,0.957936979565461,0.821505345983755,0.0150559204878237,0.976479204279088,0.97674115075532,-0.984845261475328,1,0.836142338367473,0.821505345983755,0.821505345983755,-0.997909256600437,0.999216004250819,1,1,0.056596287924749,1,-0.0772073053060437,0.234314193668964,0.107798932238711,0.974392754893938,0.999738691582007,1,1,1,0.957936979565461,-0.836142338367473,0.957936979565461,0.957936979565461,-0.997647951038317,0.836142338367473,1,0.836142338367473,1,0.971520488182816,0.979356357887957,0.957936979565461,0.234314193668964,-0.836142338367473,0.957936979565461,1,1,1,-0.992682398101529,0.821505345983755,0.336190875377113,0.336190875377113,0.957936979565461,-0.957936979565461,0.957936979565461,0.977002830553376,-0.336190875377113
"Csl",0.999738691582007,-0.0913399214154094,0.957677151368794,0.999738691582007,1,0.997386707172302,0.957677151368794,0.821245298426027,0.0153158423795409,0.976218063822707,0.976480213559345,-0.984584652223428,0.999738691582007,0.835882406125908,0.821245298426027,0.821245298426027,-0.997647951038317,0.999477450714667,0.999738691582007,0.999738691582007,0.0563340851986546,0.999738691582007,-0.0769467814164477,0.234051474029898,0.108060294605645,0.974132295403255,0.999477315578045,0.999738691582007,0.999738691582007,0.999738691582007,0.957677151368794,-0.835882406125908,0.957677151368794,0.957677151368794,-0.997386577890224,0.835882406125908,0.999738691582007,0.835882406125908,0.999738691582007,0.971260235710332,0.979095688365797,0.957677151368794,0.234051474029898,-0.835882406125908,0.957677151368794,0.999738691582007,0.999738691582007,0.999738691582007,-0.992421099679092,0.821245298426027,0.335930337792763,0.335930337792763,0.957677151368794,-0.957677151368794,0.957677151368794,0.976741960837687,-0.335930337792763
"Csn",0.997647944452137,-0.0913403820799531,0.955583324712732,0.997647944452137,0.997386707172302,1,0.955583324712732,0.819151942410723,0.015318685496149,0.974126971487448,0.974388701868916,-0.982492460207521,0.997647944452137,0.833788807446481,0.819151942410723,0.819151942410723,-0.995557198053895,0.996863875904612,0.997647944452137,0.997647944452137,0.0568584952506102,0.997647944452137,-0.0753771057924959,0.234576930047417,0.105969538872234,0.972039791904889,0.997909393057893,0.997647944452137,0.997647944452137,0.997647944452137,0.955583324712732,-0.833788807446481,0.955583324712732,0.955583324712732,-0.995295963629937,0.833788807446481,0.997647944452137,0.833788807446481,0.997647944452137,0.969167299771181,0.97700362187073,0.955583324712732,0.234576930047417,-0.833788807446481,0.955583324712732,0.997647944452137,0.997647944452137,0.997647944452137,-0.995034511454334,0.819151942410723,0.334360695823648,0.334360695823648,0.955583324712732,-0.955583324712732,0.955583324712732,0.974650309563439,-0.334360695823648
"DELTA",0.957936979565461,-0.119049547921275,1,0.957936979565461,0.957677151368794,0.955583324712732,1,0.834820418459403,-0.0113108154858563,0.977274417022771,0.981191068210955,-0.973084145622562,0.957936979565461,0.820182564377023,0.834820418459403,0.834820418459403,-0.960027815930076,0.957151454235302,0.957936979565461,0.957936979565461,0.0584447628869583,0.957936979565461,-0.0863387098519012,0.23617631494396,0.0976074565862436,0.983537072526773,0.957677151368794,0.957936979565461,0.957936979565461,0.957936979565461,1,-0.820182564377023,1,1,-0.960290693254563,0.820182564377023,0.957936979565461,0.820182564377023,0.957936979565461,0.986410403349805,0.978573516107298,1,0.23617631494396,-0.820182564377023,1,0.957936979565461,0.957936979565461,0.957936979565461,-0.950619052289307,0.834820418459403,0.336963350730425,0.336963350730425,1,-1,1,0.980405904880688,-0.336963350730425
"DSH",0.821505345983755,-0.0908216122018811,0.834820418459403,0.821505345983755,0.821245298426027,0.819151942410723,0.834820418459403,1,-0.00556932865715743,0.825684528317461,0.827510781950954,-0.824631666439795,0.821505345983755,0.9853640201672,1,1,-0.823596149359352,0.820720047191494,0.821505345983755,0.821505345983755,0.0302135601135715,0.821505345983755,-0.0670031058316666,0.182328380713715,0.0547460777832454,0.828289350761419,0.821245298426027,0.821505345983755,0.821505345983755,0.821505345983755,0.834820418459403,-0.9853640201672,0.834820418459403,0.834820418459403,-0.822290698685848,0.9853640201672,0.821505345983755,0.9853640201672,0.821505345983755,0.829594636701906,0.828552718026458,0.834820418459403,0.182328380713715,-0.9853640201672,0.834820418459403,0.821505345983755,0.821505345983755,0.821505345983755,-0.814187534169167,1,0.271105484543384,0.271105484543384,0.834820418459403,-0.834820418459403,0.834820418459403,0.827248473815569,-0.271105484543384
"Destcompl",0.0150559204878237,0.547377043089345,-0.0113108154858563,0.0150559204878237,0.0153158423795409,0.015318685496149,-0.0113108154858563,-0.00556932865715743,1,0.00303695508407165,-0.00140169423126862,-0.0103659294973788,0.0150559204878237,0.00541021634546933,-0.00556932865715743,-0.00556932865715743,-0.0171466638873867,0.0147959988965885,0.0150559204878237,0.0150559204878237,0.0050800357826679,0.0150559204878237,-0.00589906938380413,0.0160507894812486,0.0218253259556834,-0.00113056406519941,0.0153158423795409,0.0150559204878237,0.0150559204878237,0.0150559204878237,-0.0113108154858563,-0.00541021634546933,-0.0113108154858563,-0.0113108154858563,-0.0137477869717733,0.00541021634546933,0.0150559204878237,0.00541021634546933,0.0150559204878237,0.000703081469632562,0.00330814071343577,-0.0113108154858563,0.0160507894812486,-0.00541021634546933,-0.0113108154858563,0.0150559204878237,0.0150559204878237,0.0150559204878237,-0.0150559204878237,-0.00556932865715743,0.0155757646249924,0.0155757646249924,-0.0113108154858563,0.0113108154858563,-0.0113108154858563,-9.35693859043605e-05,-0.0155757646249924
"EGR1",0.976479204279088,-0.104668959835328,0.977274417022771,0.976479204279088,0.976218063822707,0.974126971487448,0.977274417022771,0.825684528317461,0.00303695508407165,1,0.989285131805619,-0.978048933181531,0.976479204279088,0.826208276709596,0.825684528317461,0.825684528317461,-0.978569953818817,0.975695035891261,0.976479204279088,0.976479204279088,0.0571207072300014,0.976479204279088,-0.0840005687892999,0.234839683219233,0.101526747393511,0.968118792184138,0.976218063822707,0.976479204279088,0.976479204279088,0.976479204279088,0.977274417022771,-0.826208276709596,0.977274417022771,0.977274417022771,-0.978831497177517,0.826208276709596,0.976479204279088,0.826208276709596,0.976479204279088,0.976222813465076,0.961060864824062,0.977274417022771,0.234839683219233,-0.826208276709596,0.977274417022771,0.976479204279088,0.976479204279088,0.976479204279088,-0.969161580890035,0.825684528317461,0.338802765644607,0.338802765644607,0.977274417022771,-0.977274417022771,0.977274417022771,0.995819007066531,-0.338802765644607
