"","AKT","AXIN2","CD44","CDC42","Csl","Csn","DELTA","DSH","Destcompl","EGR1","ERK","Ecadherin","FOXC2","FUS","Frizzled","GLI","GSK3","HEY1","IKK","ILK","JAK","Jagged","KLF4","LIV1","LOXL23","MEK","NFB","NOTCH","NOTCHic","PAK1","PI3K","Patched","RAF","RAS","RKIP","SHH","SMAD","SMO","SNAI1","SNAI2","SOSGRB2","SRC","STAT","SUFU","TCFLEF","TGF","TGFR","TWIST1","TrCP","Wnt","ZEB1","ZEB2","cMet","cateninmemb","cateninnuc","cfos","miR200"
"AKT",1,0.0833047096268486,0.536508423871051,0.914932602098436,0.868574668661611,0.99723983568526,0.999749080179728,0.551801682662032,0.159304199025426,0.923460098258977,0.924715065426886,-0.76488025561113,0.914932602098436,0.64867278618782,0.551801682662032,0.551801682662032,-1,0.874037620040228,1,0.917438524177664,0.0300916613379579,0.739785655734375,-0.0330785755512626,0.162838651052378,0.104876997989432,0.924715065426886,0.998996196377742,0.86882281342903,0.86882281342903,0.914932602098436,0.999749080179728,-0.64867278618782,0.999749080179728,0.999749080179728,-0.924965816730298,0.64867278618782,0.917438524177664,0.64867278618782,0.914932602098436,0.657458544270841,0.536256257367654,0.536508423871051,0.162838651052378,-0.64867278618782,0.536508423871051,0.914932602098436,0.914932602098436,0.914932602098436,-0.993476464246692,0.551801682662032,0.247439145539092,0.247439145539092,0.536508423871051,-0.538513595333702,0.536508423871051,0.92421281488976,-0.247439145539092
"AXIN2",0.0833047096268486,1,-0.164872740238356,0.00626828191174652,0.0100465099303238,0.0810469670511265,0.0835554122184131,-0.0853311714528723,0.597248336053295,0.0117832407680571,0.0105281410275491,0.0168138257661117,0.00626828191174652,-0.021086488742165,-0.0853311714528723,-0.0853311714528723,-0.0833047096268486,0.00501694107084172,0.0833047096268486,0.00877549991062047,-0.0112977184226051,-0.0564625582604541,-0.00927375652250183,-0.0240970084350828,-0.00677998014504426,0.0105281410275491,0.0823009246204217,0.00979517272333251,0.00979517272333251,0.00626828191174652,0.0835554122184131,0.021086488742165,0.0835554122184131,0.0835554122184131,-0.0102775502207239,-0.021086488742165,0.00877549991062047,-0.021086488742165,0.00626828191174652,-0.0921022496194817,-0.164622284813894,-0.164872740238356,-0.0240970084350828,0.021086488742165,-0.164872740238356,0.00626828191174652,0.00626828191174652,0.00626828191174652,-0.0772836241843964,-0.0853311714528723,-0.00125319588249517,-0.00125319588249517,-0.164872740238356,0.162866184702772,-0.164872740238356,0.0110307528414358,0.00125319588249517
"CD44",0.536508423871051,-0.164872740238356,1,0.621577905450023,0.667530840363807,0.533747529074558,0.536257708526888,0.787455181158431,-0.0587431804822091,0.610037957399973,0.611293246451761,-0.771644931075749,0.621577905450023,0.690587770692887,0.787455181158431,0.787455181158431,-0.536508423871051,0.660978122864251,0.536508423871051,0.619068669846053,0.0107817487283457,0.796739116132916,-0.141767253571092,0.163102961297578,0.0845602197921064,0.611293246451761,0.535504636841902,0.667780210456499,0.667780210456499,0.621577905450023,0.536257708526888,-0.690587770692887,0.536257708526888,0.536257708526888,-0.611543650981417,0.690587770692887,0.619068669846053,0.690587770692887,0.621577905450023,0.879046201826002,0.999749088711134,1,0.163102961297578,-0.690587770692887,1,0.621577905450023,0.621577905450023,0.621577905450023,-0.529983181057411,0.787455181158431,0.314432776432229,0.314432776432229,1,-0.997992582290884,1,0.610790299222821,-0.314432776432229
"CDC42",0.914932602098436,0.00626828191174652,0.621577905450023,1,0.893892626638313,0.912170774573969,0.914682241789163,0.6328675943234,0.0832866985339707,0.988464375179441,0.989720142986771,-0.848435198101161,1,0.725717432370161,0.6328675943234,0.6328675943234,-0.914932602098436,0.928483859496964,0.914932602098436,0.9974916761473,0.0524349798101754,0.824846592847308,-0.0453954447673654,0.19421633493697,0.155825467859105,0.989720142986771,0.913928812035179,0.894141424864461,0.894141424864461,1,0.914682241789163,-0.725717432370161,0.914682241789163,0.914682241789163,-0.989970073312084,0.725717432370161,0.9974916761473,0.725717432370161,1,0.736006406550835,0.621326491298227,0.621577905450023,0.19421633493697,-0.725717432370161,0.621577905450023,1,1,1,-0.90840570528337,0.6328675943234,0.287332922383849,0.287332922383849,0.621577905450023,-0.623082665646515,0.621577905450023,0.989216268149509,-0.287332922383849
"Csl",0.868574668661611,0.0100465099303238,0.667530840363807,0.893892626638313,1,0.865806027985559,0.868326561298778,0.635692932239185,0.0936535701458538,0.885905141783801,0.887163055799264,-0.827118408514387,0.893892626638313,0.707951999344908,0.635692932239185,0.635692932239185,-0.868574668661611,0.96087720198588,0.868574668661611,0.891397574926698,0.0266206335239513,0.870782880313525,-0.055252962618707,0.168912284630791,0.0903580651781923,0.887163055799264,0.867570868073583,0.999749082454827,0.999749082454827,0.893892626638313,0.868326561298778,-0.707951999344908,0.868326561298778,0.868326561298778,-0.887410855703738,0.707951999344908,0.891397574926698,0.707951999344908,0.893892626638313,0.752864868092386,0.667281783945388,0.667530840363807,0.168912284630791,-0.707951999344908,0.667530840363807,0.893892626638313,0.893892626638313,0.893892626638313,-0.862034108796943,0.635692932239185,0.268003824353705,0.268003824353705,0.667530840363807,-0.669542232666256,0.667530840363807,0.886654903144513,-0.268003824353705
"Csn",0.99723983568526,0.0810469670511265,0.533747529074558,0.912170774573969,0.865806027985559,1,0.996989101474832,0.549043508181478,0.15654923821463,0.920701194503278,0.921956339731127,-0.76211684392961,0.912170774573969,0.64591307102698,0.549043508181478,0.549043508181478,-0.99723983568526,0.871274288667281,0.99723983568526,0.914677801330837,0.0303451189992756,0.737022355463565,-0.0313274326167322,0.163092086865293,0.103122177453881,0.921956339731127,0.998243634851002,0.86605436448869,0.86605436448869,0.912170774573969,0.996989101474832,-0.64591307102698,0.996989101474832,0.996989101474832,-0.922206906289768,0.64591307102698,0.914677801330837,0.64591307102698,0.912170774573969,0.654698232462947,0.533495550784543,0.533747529074558,0.163092086865293,-0.64591307102698,0.533747529074558,0.912170774573969,0.912170774573969,0.912170774573969,-0.996236067804914,0.549043508181478,0.245680676476101,0.245680676476101,0.533747529074558,-0.535753065649267,0.533747529074558,0.921453723987953,-0.245680676476101
"DELTA",0.999749080179728,0.0835554122184131,0.536257708526888,0.914682241789163,0.868326561298778,0.996989101474832,1,0.551550043107975,0.159553331645453,0.923710645431878,0.924965552118803,-0.76463041153749,0.914682241789163,0.648421682132882,0.551550043107975,0.551550043107975,-0.999749080179728,0.873787762171228,0.999749080179728,0.917187788433738,0.0303417759552743,0.739535771362879,-0.0328257859527996,0.163088790652132,0.104625463220641,0.924965552118803,0.998745274945525,0.868574643844497,0.868574643844497,0.914682241789163,1,-0.648421682132882,1,1,-0.924714459358052,0.648421682132882,0.917187788433738,0.648421682132882,0.914682241789163,0.657207644077758,0.536507373131617,0.536257708526888,0.163088790652132,-0.648421682132882,0.536257708526888,0.914682241789163,0.914682241789163,0.914682241789163,-0.993225913890523,0.551550043107975,0.247188848280744,0.247188848280744,0.536257708526888,-0.538262756914937,0.536257708526888,0.924463425783109,-0.247188848280744
"DSH",0.551801682662032,-0.0853311714528723,0.787455181158431,0.6328675943234,0.635692932239185,0.549043508181478,0.551550043107975,1,0.000199000363259872,0.621312591680598,0.622566978501075,-0.685581320000585,0.6328675943234,0.903134889209433,1,1,-0.551801682662032,0.640657686875577,0.551801682662032,0.630352722081788,0.00399311969329269,0.722721327818182,-0.0993301882893789,0.140253308494472,0.0561932596301794,0.622566978501075,0.550797879039774,0.635941406976897,0.635941406976897,0.6328675943234,0.551550043107975,-0.903134889209433,0.551550043107975,0.551550043107975,-0.622818310151919,0.903134889209433,0.630352722081788,0.903134889209433,0.6328675943234,0.727723981441938,0.787203180582163,0.787455181158431,0.140253308494472,-0.903134889209433,0.787455181158431,0.6328675943234,0.6328675943234,0.6328675943234,-0.545281872534068,1,0.254465636159392,0.254465636159392,0.787455181158431,-0.785445546599189,0.787455181158431,0.622065869627848,-0.254465636159392
"Destcompl",0.159304199025426,0.597248336053295,-0.0587431804822091,0.0832866985339707,0.0936535701458538,0.15654923821463,0.159553331645453,0.000199000363259872,1,0.0877725151747549,0.0865158194374501,-0.0777902399422547,0.0832866985339707,0.0589343493337869,0.000199000363259872,0.000199000363259872,-0.159304199025426,0.0880730000642875,0.159304199025426,0.0857842925227036,-0.0196032861772692,0.0346268975357958,-0.0175046265626613,0.000717527262988969,0.00499407778441809,0.0865158194374501,0.158300380737337,0.0934004058310445,0.0934004058310445,0.0832866985339707,0.159553331645453,-0.0589343493337869,0.159553331645453,0.159553331645453,-0.0862667747044957,0.0589343493337869,0.0857842925227036,0.0589343493337869,0.0832866985339707,0.0105067192578247,-0.0584943468692232,-0.0587431804822091,0.000717527262988969,-0.0589343493337869,-0.0587431804822091,0.0832866985339707,0.0832866985339707,0.0832866985339707,-0.1527905790886,0.000199000363259872,0.0336355803499623,0.0336355803499623,-0.0587431804822091,0.0567398119669551,-0.0587431804822091,0.0870215614608068,-0.0336355803499623
"EGR1",0.923460098258977,0.0117832407680571,0.610037957399973,0.988464375179441,0.885905141783801,0.920701194503278,0.923710645431878,0.621312591680598,0.0877725151747549,1,0.998745252821481,-0.837912166962032,0.988464375179441,0.718185845466169,0.621312591680598,0.621312591680598,-0.923460098258977,0.920970953158175,0.923460098258977,0.990968901998332,0.0484068410326515,0.813319246134045,-0.0428566705448752,0.189686403632467,0.14778645423437,0.998745252821481,0.922456285944763,0.886152949284287,0.886152949284287,0.988464375179441,0.923710645431878,-0.718185845466169,0.923710645431878,0.923710645431878,-0.998494268490632,0.718185845466169,0.990968901998332,0.718185845466169,0.988464375179441,0.730987597040819,0.610287420653265,0.610037957399973,0.189686403632467,-0.718185845466169,0.610037957399973,0.988464375179441,0.988464375179441,0.988464375179441,-0.916939031541199,0.621312591680598,0.282324356631724,0.282324356631724,0.610037957399973,-0.61154071979503,0.610037957399973,0.999247167133109,-0.282324356631724
