Cycles,Edge_count
AXIN2,1
"Destcompl,cateninnuc,TCFLEF,AXIN2",4
"Destcompl,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc",8
"RAS,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc,TCFLEF",9
"SNAI1,GSK3,DSH,Frizzled,Wnt,GLI",6
"SNAI2,ERK,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc",9
"SNAI1,EGR1,cfos,ERK,GSK3",5
"MEK,SOSGRB2,ERK",3
"RAS,SOSGRB2,ERK,GSK3",4
"CD44,cMet,SOSGRB2,ERK,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc,TCFLEF",12
"RAS,SRC,cMet,SOSGRB2",4
"SNAI1,LIV1,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",8
"Ecadherin,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc",14
"SNAI1,ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,ERK,GSK3",9
"SMAD,ZEB2,KLF4,STAT,SRC,cMet,SOSGRB2,ERK",8
"SNAI1,miR200,ZEB2",3
"SNAI1,ZEB1,miR200",3
"Ecadherin,ZEB1,miR200,ZEB2,KLF4",5
"SMAD,ZEB1,miR200,ZEB2",4
"SMAD,TGFR,SOSGRB2,ERK",4
"TGF,TGFR,SOSGRB2,ERK,GSK3,DSH,Frizzled,Wnt,GLI",9
"SNAI1,PAK1,CDC42,TGFR,SOSGRB2,ERK,GSK3",7
"Jagged,SMAD,ERK,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc,TCFLEF",11
"SHH,SMAD,ERK,GSK3,DSH,Frizzled,Wnt,GLI",8
"SNAI1,SMAD,ERK,GSK3",4
"AKT,ILK,SMAD,ERK,GSK3",5
"Ecadherin,HEY1,SMAD,ERK,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc",11
"SNAI1,Csl,HEY1,SMAD",4
"Jagged,NOTCH,NOTCHic,Csl,HEY1,SMAD",6
"RAS,DELTA,NOTCH,NOTCHic,Csl,HEY1,SMAD,ERK,GSK3",9
"SNAI1,RKIP,ERK,GSK3",4
"MEK,RKIP,ERK",3
"RAS,RAF,MEK,ERK,GSK3",5
"SNAI1,TrCP,Csn,GSK3",4
"TWIST1,NFB,Csn,GSK3,DSH,Frizzled,Wnt,GLI,SUFU,cateninnuc,TCFLEF",11
"AKT,IKK,NFB,Csn,GSK3",5
"RAS,PI3K,AKT,GSK3",4
"TWIST1,TGF,GLI,SUFU,cateninnuc,TCFLEF",6
"SNAI1,TGF,GLI",3
"Ecadherin,SNAI1,GLI,SUFU,cateninnuc",5
"TWIST1,SNAI1,GLI,SUFU,cateninnuc,TCFLEF",6
"TWIST1,FOXC2,SNAI1",3
"Ecadherin,FOXC2,SNAI1",3
"FUS,SMO,Patched,SHH,GLI,SUFU",6
"cateninmemb,Ecadherin,cateninnuc",3
"TWIST1,Ecadherin,cateninnuc,TCFLEF",4
"SNAI2,Ecadherin,cateninnuc",3
"TWIST1,SNAI2,cateninnuc,TCFLEF",4
SNAI2,1
Destcompl,1
