"Nature","Strength","Type","Node"
"P",1.62004482086453,"DA","miR200c,miR200c"
"P",1.61305275154897,"DA","miR200c,miR200b"
"P",1.62004482086453,"DA","miR200c,miR200a"
"P",1.61992245654187,"DA","miR200c,miR141"
"P",1.29047713373162,"DA","miR200c,miR101"
"P",1.47152189081741,"DA","miR200c,miR34a"
"P",1.02889562403645,"TS","miR200c,SNAI1"
"P",1.42496065601517,"TS","miR200c,TGFbeta"
"P",1.43590723415947,"TS","miR200c,SNAI2"
"P",1.8023220689218,"TS","miR200c,ZEB1"
"P",1.48589148774502,"TS","miR200c,GSC"
"P",1.30255569828072,"TS","miR200c,TWIST1"
"P",1.42016112752453,"TS","miR200c,TWIST2"
"P",1.82302301596786,"TS","miR200c,ZEB2"
"P",1.60606068223342,"DA","miR200b,miR200b"
"P",1.61305275154897,"DA","miR200b,miR200a"
"P",1.61293038722631,"DA","miR200b,miR141"
"P",1.27937059554916,"DA","miR200b,miR101"
"P",1.46248448320063,"DA","miR200b,miR34a"
"P",1.01902976526067,"TS","miR200b,SNAI1"
"P",1.51535797947166,"TS","miR200b,TGFbeta"
"P",1.62785629761395,"TS","miR200b,SNAI2"
"P",1.79564692001928,"TS","miR200b,ZEB1"
"P",1.47545270370591,"TS","miR200b,GSC"
"P",1.2927510636381,"TS","miR200b,TWIST1"
"P",1.41061060712186,"TS","miR200b,TWIST2"
"P",1.81732062589556,"TS","miR200b,ZEB2"
"P",1.62004482086453,"DA","miR200a,miR200a"
"P",1.61992245654187,"DA","miR200a,miR141"
"P",1.29047713373162,"DA","miR200a,miR101"
"P",1.47152189081741,"DA","miR200a,miR34a"
"P",1.02889562403645,"TS","miR200a,SNAI1"
"P",1.42496065601517,"TS","miR200a,TGFbeta"
"P",1.43590723415947,"TS","miR200a,SNAI2"
"P",1.8023220689218,"TS","miR200a,ZEB1"
"P",1.48589148774502,"TS","miR200a,GSC"
"P",1.30255569828072,"TS","miR200a,TWIST1"
"P",1.42016112752453,"TS","miR200a,TWIST2"
"P",1.82302301596786,"TS","miR200a,ZEB2"
"P",1.6198000922192,"DA","miR141,miR141"
"P",1.29015792353013,"DA","miR141,miR101"
"P",1.47178620475743,"DA","miR141,miR34a"
"P",1.03118891364912,"TS","miR141,SNAI1"
"P",1.42440581530899,"TS","miR141,TGFbeta"
"P",1.43553782557861,"TS","miR141,SNAI2"
"P",1.80230157143583,"TS","miR141,ZEB1"
"P",1.48565734985903,"TS","miR141,GSC"
"P",1.30188161055984,"TS","miR141,TWIST1"
"P",1.41965361248986,"TS","miR141,TWIST2"
"P",1.62293255255882,"TS","miR141,ZEB2"
"P",1.02246416367483,"DA","miR101,miR101"
"P",1.17911299196218,"DA","miR101,miR34a"
"P",0.82618731386932,"TS","miR101,SNAI1"
"P",1.18339030114076,"TS","miR101,TGFbeta"
"P",1.37239208419432,"TS","miR101,SNAI2"
"P",1.37697994186993,"TS","miR101,ZEB1"
"P",1.14776706622985,"TS","miR101,GSC"
"P",0.991801464679129,"TS","miR101,TWIST1"
"P",1.14355851235763,"TS","miR101,TWIST2"
"P",1.30797410343637,"TS","miR101,ZEB2"
"P",1.26276097721852,"DA","miR34a,miR34a"
"P",0.9635501026807,"TS","miR34a,SNAI1"
"P",1.24705254928396,"TS","miR34a,TGFbeta"
"P",1.35850705022947,"TS","miR34a,SNAI2"
"P",1.64603923832704,"TS","miR34a,ZEB1"
"P",1.22824464472236,"TS","miR34a,GSC"
"P",1.17020029700432,"TS","miR34a,TWIST1"
"P",1.42953925134619,"TS","miR34a,TWIST2"
"P",1.37566936770047,"TS","miR34a,ZEB2"
"P",0.41231845511221,"DA","SNAI1,SNAI1"
"P",0.915268562772177,"DA","SNAI1,TGFbeta"
"P",1.00629287923154,"DA","SNAI1,SNAI2"
"P",1.10911888242939,"DA","SNAI1,ZEB1"
"P",0.906720924481032,"DA","SNAI1,GSC"
"P",0.746072909236044,"DA","SNAI1,TWIST1"
"P",0.960912314839982,"DA","SNAI1,TWIST2"
"P",1.0441854552068,"DA","SNAI1,ZEB2"
"P",1.25951686470368,"DA","TGFbeta,TGFbeta"
"P",1.52065654743903,"DA","TGFbeta,SNAI2"
"P",1.49181036103042,"DA","TGFbeta,ZEB1"
"P",1.32981308692797,"DA","TGFbeta,GSC"
"P",1.184208737441,"DA","TGFbeta,TWIST1"
"P",1.31832605170223,"DA","TGFbeta,TWIST2"
"P",1.51055348224387,"DA","TGFbeta,ZEB2"
"P",1.63573326290648,"DA","SNAI2,SNAI2"
"P",1.51801402442847,"DA","SNAI2,ZEB1"
"P",1.38050451093684,"DA","SNAI2,GSC"
"P",1.39168988720584,"DA","SNAI2,TWIST1"
"P",1.60930127396517,"DA","SNAI2,TWIST2"
"P",1.44707300099003,"DA","SNAI2,ZEB2"
