"Nature","Strength","Type","Node"
"P",1.63319538184055,"DA","miR200c,miR200c"
"P",1.62591807780681,"DA","miR200c,miR200b"
"P",1.63319538184055,"DA","miR200c,miR200a"
"P",1.6312210871542,"DA","miR200c,miR141"
"P",1.41380550559474,"DA","miR200c,miR101"
"P",1.49062495119304,"DA","miR200c,miR34a"
"P",1.04384794143358,"TS","miR200c,SNAI1"
"P",1.44374508942775,"TS","miR200c,TGFbeta"
"P",1.39512925561513,"TS","miR200c,FOXC2"
"P",1.45054064751678,"TS","miR200c,SNAI2"
"P",1.81453357293933,"TS","miR200c,ZEB1"
"P",1.50791157394033,"TS","miR200c,GSC"
"P",1.43722977248522,"TS","miR200c,TWIST2"
"P",1.32906687433948,"TS","miR200c,TWIST1"
"P",1.83857845953585,"TS","miR200c,ZEB2"
"P",1.61864077377307,"DA","miR200b,miR200b"
"P",1.62591807780681,"DA","miR200b,miR200a"
"P",1.62394378312046,"DA","miR200b,miR141"
"P",1.4020762791742,"DA","miR200b,miR101"
"P",1.48114057666721,"DA","miR200b,miR34a"
"P",1.03483077619067,"TS","miR200b,SNAI1"
"P",1.53348567332402,"TS","miR200b,TGFbeta"
"P",1.38931993008899,"TS","miR200b,FOXC2"
"P",1.64212758777384,"TS","miR200b,SNAI2"
"P",1.80757037256851,"TS","miR200b,ZEB1"
"P",1.49710681613203,"TS","miR200b,GSC"
"P",1.42721360168079,"TS","miR200b,TWIST2"
"P",1.31879236498033,"TS","miR200b,TWIST1"
"P",1.83266145035559,"TS","miR200b,ZEB2"
"P",1.63319538184055,"DA","miR200a,miR200a"
"P",1.6312210871542,"DA","miR200a,miR141"
"P",1.41380550559474,"DA","miR200a,miR101"
"P",1.49062495119304,"DA","miR200a,miR34a"
"P",1.04384794143358,"TS","miR200a,SNAI1"
"P",1.44374508942775,"TS","miR200a,TGFbeta"
"P",1.39512925561513,"TS","miR200a,FOXC2"
"P",1.45054064751678,"TS","miR200a,SNAI2"
"P",1.81453357293933,"TS","miR200a,ZEB1"
"P",1.50791157394033,"TS","miR200a,GSC"
"P",1.43722977248522,"TS","miR200a,TWIST2"
"P",1.32906687433948,"TS","miR200a,TWIST1"
"P",1.83857845953585,"TS","miR200a,ZEB2"
"P",1.62924679246784,"DA","miR141,miR141"
"P",1.41021776274649,"DA","miR141,miR101"
"P",1.48810002673927,"DA","miR141,miR34a"
"P",1.0471534412793,"TS","miR141,SNAI1"
"P",1.44166695927138,"TS","miR141,TGFbeta"
"P",1.39368026695053,"TS","miR141,FOXC2"
"P",1.44793601673232,"TS","miR141,SNAI2"
"P",1.81265393186957,"TS","miR141,ZEB1"
"P",1.50576219410291,"TS","miR141,GSC"
"P",1.43414217037768,"TS","miR141,TWIST2"
"P",1.32600752297686,"TS","miR141,TWIST1"
"P",1.63705517765276,"TS","miR141,ZEB2"
"P",1.14411534261533,"DA","miR101,miR101"
"P",1.31520013288854,"DA","miR101,miR34a"
"P",0.901649199605691,"TS","miR101,SNAI1"
"P",1.3225580174497,"TS","miR101,TGFbeta"
"P",1.11619886107121,"TS","miR101,FOXC2"
"P",1.49091892300837,"TS","miR101,SNAI2"
"P",1.48510753778516,"TS","miR101,ZEB1"
"P",1.18941158435889,"TS","miR101,GSC"
"P",1.27563704174193,"TS","miR101,TWIST2"
"P",1.15148600783334,"TS","miR101,TWIST1"
"P",1.41760584762339,"TS","miR101,ZEB2"
"P",1.28838817599256,"DA","miR34a,miR34a"
"P",0.99105417004763,"TS","miR34a,SNAI1"
"P",1.27245320663675,"TS","miR34a,TGFbeta"
"P",1.3342024498767,"TS","miR34a,FOXC2"
"P",1.379124335228,"TS","miR34a,SNAI2"
"P",1.66341769497072,"TS","miR34a,ZEB1"
"P",1.26283487103666,"TS","miR34a,GSC"
"P",1.45290806496039,"TS","miR34a,TWIST2"
"P",1.22129276568351,"TS","miR34a,TWIST1"
