"Nature","Strength","Type","Node"
"P",1.61955958832415,"DA","miR200c,miR200c"
"P",1.61262439234261,"DA","miR200c,miR200b"
"P",1.61955958832415,"DA","miR200c,miR200a"
"P",1.61642126830538,"DA","miR200c,miR141"
"P",1.46863347566782,"DA","miR200c,miR34a"
"P",1.25937382558531,"DA","miR200c,miR101"
"P",1.03007027584847,"TS","miR200c,SNAI1"
"P",1.42514676634318,"TS","miR200c,TGFbeta"
"P",1.38267658001752,"TS","miR200c,FOXC2"
"P",1.43043347467213,"TS","miR200c,SNAI2"
"P",1.79782979443537,"TS","miR200c,ZEB1"
"P",1.49394823838544,"TS","miR200c,GSC"
"P",1.41951371192187,"TS","miR200c,TWIST2"
"P",1.307487012904,"TS","miR200c,TWIST1"
"P",1.8270660881275,"TS","miR200c,ZEB2"
"P",1.60568919636107,"DA","miR200b,miR200b"
"P",1.61262439234261,"DA","miR200b,miR200a"
"P",1.60948607232384,"DA","miR200b,miR141"
"P",1.45986820569281,"DA","miR200b,miR34a"
"P",1.24852827531347,"DA","miR200b,miR101"
"P",1.02044748002373,"TS","miR200b,SNAI1"
"P",1.515751267517,"TS","miR200b,TGFbeta"
"P",1.37717157702803,"TS","miR200b,FOXC2"
"P",1.62251419086636,"TS","miR200b,SNAI2"
"P",1.79121456331572,"TS","miR200b,ZEB1"
"P",1.4836231228912,"TS","miR200b,GSC"
"P",1.41010591784734,"TS","miR200b,TWIST2"
"P",1.2978217762334,"TS","miR200b,TWIST1"
"P",1.82140926961553,"TS","miR200b,ZEB2"
"P",1.61955958832415,"DA","miR200a,miR200a"
"P",1.61642126830538,"DA","miR200a,miR141"
"P",1.46863347566782,"DA","miR200a,miR34a"
"P",1.25937382558531,"DA","miR200a,miR101"
"P",1.03007027584847,"TS","miR200a,SNAI1"
"P",1.42514676634318,"TS","miR200a,TGFbeta"
"P",1.38267658001752,"TS","miR200a,FOXC2"
"P",1.43043347467213,"TS","miR200a,SNAI2"
"P",1.79782979443537,"TS","miR200a,ZEB1"
"P",1.49394823838544,"TS","miR200a,GSC"
"P",1.41951371192187,"TS","miR200a,TWIST2"
"P",1.307487012904,"TS","miR200a,TWIST1"
"P",1.8270660881275,"TS","miR200a,ZEB2"
"P",1.61328294828661,"DA","miR141,miR141"
"P",1.46525617674238,"DA","miR141,miR34a"
"P",1.25622449014412,"DA","miR141,miR101"
"P",1.03253698183864,"TS","miR141,SNAI1"
"P",1.42294211818738,"TS","miR141,TGFbeta"
"P",1.38041144727473,"TS","miR141,FOXC2"
"P",1.4270722727346,"TS","miR141,SNAI2"
"P",1.79488359370687,"TS","miR141,ZEB1"
"P",1.48977645195323,"TS","miR141,GSC"
"P",1.41515303831158,"TS","miR141,TWIST2"
"P",1.30296659170889,"TS","miR141,TWIST1"
"P",1.62469728695,"TS","miR141,ZEB2"
"P",1.2584040512809,"DA","miR34a,miR34a"
"P",1.15009322517596,"DA","miR34a,miR101"
"P",0.964704282465894,"TS","miR34a,SNAI1"
"P",1.24723810439746,"TS","miR34a,TGFbeta"
"P",1.31614713223948,"TS","miR34a,FOXC2"
"P",1.35179671132817,"TS","miR34a,SNAI2"
"P",1.63818453361842,"TS","miR34a,ZEB1"
"P",1.24135487573422,"TS","miR34a,GSC"
"P",1.42769247669886,"TS","miR34a,TWIST2"
"P",1.19108527066952,"TS","miR34a,TWIST1"
"P",1.37794368038966,"TS","miR34a,ZEB2"
"P",0.976772054308282,"DA","miR101,miR101"
"P",0.801948534848959,"TS","miR101,SNAI1"
"P",1.15785695886887,"TS","miR101,TGFbeta"
"P",0.996199921891174,"TS","miR101,FOXC2"
"P",1.34149796815546,"TS","miR101,SNAI2"
"P",1.33834273757711,"TS","miR101,ZEB1"
"P",1.13209952750275,"TS","miR101,GSC"
"P",1.11999694073535,"TS","miR101,TWIST2"
"P",0.971630448880237,"TS","miR101,TWIST1"
"P",1.17616572346277,"TS","miR101,ZEB2"
