"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","TWIST1","FOXC2","SNAI1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.77089828191223,0.77089828191223,0.762433872236608,0.769421574211035,0.701981086297952,0.53053505855954,-0.276822512488618,-0.43674913685141,-0.465380205585609,-0.634963531503498,-0.688023032612875,-0.729575952111008,-0.832560273855584,-0.799935616217462,-0.836432038657301
"miR200b",0.77089828191223,0.77089828191223,0.762433872236608,0.769421574211035,0.701981086297952,0.53053505855954,-0.276822512488618,-0.43674913685141,-0.465380205585609,-0.634963531503498,-0.688023032612875,-0.729575952111008,-0.832560273855584,-0.799935616217462,-0.836432038657301
"miR200a",0.77089828191223,0.77089828191223,0.762433872236608,0.769421574211035,0.701981086297952,0.53053505855954,-0.276822512488618,-0.43674913685141,-0.465380205585609,-0.634963531503498,-0.688023032612875,-0.729575952111008,-0.832560273855584,-0.799935616217462,-0.836432038657301
"miR141",0.77089828191223,0.77089828191223,0.762433872236608,0.769421574211035,0.701981086297952,0.53053505855954,-0.276822512488618,-0.43674913685141,-0.465380205585609,-0.634963531503498,-0.688023032612875,-0.729575952111008,-0.832560273855584,-0.799935616217462,-0.836432038657301
"miR101",0.708255644897509,0.708255644897509,0.697294231723065,0.705384166119322,0.588486511184175,0.499232607358715,-0.277612772165179,-0.448148946167793,-0.37688289785252,-0.544537734102899,-0.600738990060309,-0.580449929792043,-0.761924910875986,-0.643828947719874,-0.768897546756254
"miR34a",0.724397611710305,0.724397611710305,0.71547633798363,0.722522365269181,0.623841905821822,0.570382196674141,-0.427505870701233,-0.505688126675193,-0.465859964437758,-0.778314289176132,-0.736262842160539,-0.593092770256283,-0.781092829969596,-0.658908189782181,-0.685872645239567
"GSC",-0.425966665592446,-0.425966665592446,-0.406344275403408,-0.430535338707048,-0.360629764549428,-0.273056365236201,0.0636112493641962,0.269990148768245,0.239788077198928,0.278623151260267,0.255631900633079,0.353188478624681,0.461085011713765,0.387130492064439,0.450523936497099
"TGFbeta",-0.507143766294096,-0.507143766294096,-0.595988480345011,-0.506775430883265,-0.506929247568964,-0.453955571304504,0.259785691787485,0.369552924314752,0.37197454380476,0.560124900774332,0.598894040007406,0.60370410365868,0.552396044044487,0.555252790501295,0.553540056875483
"SNAI1",-0.526876343844238,-0.526876343844238,-0.516438648165642,-0.528357349426895,-0.487280117369027,-0.433432280440914,0.252769469134783,0.388814640177598,0.202103861903586,0.472226068234831,0.517481672659992,0.435116334678197,0.568897605891053,0.480534906225721,0.564336409932328
"FOXC2",-0.828157475696257,-0.828157475696257,-0.821718100099104,-0.827103335262558,-0.767069683996389,-0.516786207593884,0.335932673138323,0.45576823248211,0.473790470726494,0.698002703554588,0.661592733690263,0.671191380232536,0.897691005193465,0.750036788988832,0.70078761577706
"SNAI2",-0.680640096783273,-0.680640096783273,-0.872363697440113,-0.678592713194873,-0.597568318237616,-0.740383212465631,0.485097992189639,0.476082597625771,0.469478065528855,0.838836241701779,0.798722328941756,0.736353906596819,0.743391743260819,0.809397436924345,0.748694906513603
"ZEB1",-0.899109964135246,-0.899109964135246,-0.891532101649091,-0.897691005193465,-0.829633568470876,-0.571895406878134,0.369506960730174,0.503713015392575,0.514340989851213,0.76395014842452,0.723161914876904,0.750036788988832,0.864853762783956,0.825879133348676,0.768853837216102
"TWIST1",-0.734952737187519,-0.734952737187519,-0.725198992721729,-0.732521110609286,-0.628987886860161,-0.558239454426863,0.396731474119827,0.574297397041553,0.393951911348339,0.680856091537117,0.739453380701039,0.600542631757969,0.792310886150339,0.667627702873358,0.798315743156397
"TWIST2",-0.735755981274078,-0.735755981274078,-0.726210872948575,-0.733316796972711,-0.635298930595178,-0.577611793502067,0.524119458063326,0.495436393679633,0.476627609831535,0.6855059881801,0.743371201511694,0.601410053301848,0.793139222851567,0.668540953605741,0.799174758157844
"ZEB2",-0.912237560842343,-0.912237560842343,-0.904946224259343,-0.710964868771963,-0.652434938973588,-0.493248651976969,0.22905591688068,0.417320533989651,0.447156566514379,0.581150758052106,0.639162644268824,0.759390954343488,0.779936306728277,0.837446975046791,0.883698198310603
