"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.836714512468224,0.798624651937249,0.874325773078024,0.605145631260168,0.51528708507816,0.830417180524571,0.453605008264504,0.676170394344414,0.470636244051709,0,-0.669805938861839,0,0,-0.900173730888003,-0.901154242464084,-0.900173730888003,-0.726702947471537,-0.519655491707782,0.45827501319836,0.752840684863131,0.495429760849859,-0.87790001587372
"ZEB1",0.729002035716437,0.87861429843431,0.854445941679988,0.781234216106893,0.586558324423019,0.81985977910726,0.527483708257179,0.750601054580965,0.532204825318003,0,-0.842269094249318,0,0,-0.888635141754818,-0.887711908818866,-0.888635141754818,-0.90902539055283,-0.591176146915776,0.532218013554002,0.744713576535119,0.562022406495277,-0.858029802672192
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.772241621399617,0.800280078057513,0.673990881725867,0.6943253674934,0.666685959532197,0.664183930795927,0.614884151803961,0.758777712427655,0.487181277374613,0,-0.641381358230432,0,0,-0.727722559334962,-0.722195012267332,-0.727722559334962,-0.738468188770888,-0.587781838475435,0.535869954127228,0.597351830200025,0.530082211275201,-0.778870550597956
"TWIST1",0.770539644368346,0.799914684698976,0.769878939611229,0.690286792929149,0.544986926325682,0.66318514434706,0.592797286944773,0.755670772936741,0.405027555101827,0,-0.63546425961737,0,0,-0.726680539094977,-0.721139096122463,-0.726680539094977,-0.738037702825261,-0.569016882122664,0.516845697538136,0.596237759040676,0.610639924351945,-0.773998174888543
"TGFbeta",0.451593308570167,0.600049427519718,0.562605988214325,0.617264928543468,0.489435243474208,0.543082172435194,0.446595237476307,0.672442364239238,0.414017093503238,0,-0.549203678760376,0,0,-0.479785161446045,-0.59551123518526,-0.479785161446045,-0.549651415540138,-0.507817080752905,0.465150612263012,0.588673254580125,0.472483179960163,-0.572025580304015
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.719760909990386,0.751366358515196,0.828135179552146,0.848578613287449,0.640244520940453,0.804711499594948,0.584305211697091,0.815819662965169,0.480991185219824,0,-0.604714434985199,0,0,-0.672532571639056,-0.868547348258533,-0.672532571639056,-0.684740663970741,-0.751812317428326,0.695762512276725,0.732786807318181,0.514429172879366,-0.831925034991524
"SNAI1",0.545765443942638,0.573792253653037,0.548191844763193,0.478310271030427,0.350164588764718,0.477493119897153,0.316343599229008,0.528068183838365,0.209345121894696,0,-0.491477157213967,0,0,-0.521341267589297,-0.513688345808036,-0.521341267589297,-0.531912794280471,-0.440456487174314,0.406071005358662,0.432291833631724,0.412473915982975,-0.552976992101203
"miR9",-0.870117621812722,-0.726702947471537,-0.805244773923283,-0.533784498294,-0.453605008264504,-0.752840684863131,-0.39219342406811,-0.607715507005531,-0.426558819267363,0,0.601621290636277,0,0,0.826636196944062,0.827913824345617,0.826636196944062,0.650548562400522,0.45827501319836,-0.395721821708998,-0.67056848377168,-0.437934121448408,0.708319247614602
