"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","FOXC2","SNAI1","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.788362476073879,0.788362476073879,0.784917699954807,0.776104823490134,0.71527213601978,0.564272203139905,-0.00229584248136215,-0.495558729601009,-0.556838757551212,-0.663560348189825,-0.734990456548289,-0.741069871219435,-0.840869893099139,-0.814437287634261,-0.871490404284326
"miR200b",0.788362476073879,0.788362476073879,0.784917699954807,0.776104823490134,0.71527213601978,0.564272203139905,-0.00229584248136215,-0.495558729601009,-0.556838757551212,-0.663560348189825,-0.734990456548289,-0.741069871219435,-0.840869893099139,-0.814437287634261,-0.871490404284326
"miR200a",0.788362476073879,0.788362476073879,0.784917699954807,0.776104823490134,0.71527213601978,0.564272203139905,-0.00229584248136215,-0.495558729601009,-0.556838757551212,-0.663560348189825,-0.734990456548289,-0.741069871219435,-0.840869893099139,-0.814437287634261,-0.871490404284326
"miR141",0.788362476073879,0.788362476073879,0.784917699954807,0.776104823490134,0.71527213601978,0.564272203139905,-0.00229584248136215,-0.495558729601009,-0.556838757551212,-0.663560348189825,-0.734990456548289,-0.741069871219435,-0.840869893099139,-0.814437287634261,-0.871490404284326
"miR101",0.68444446877585,0.68444446877585,0.677717356078371,0.668491077169243,0.56156904877425,0.498332399066931,0.0918540030690225,-0.376264040505507,-0.414445355794711,-0.533588888317422,-0.600577078337015,-0.560454534354286,-0.722352443727138,-0.622160405323163,-0.760718946945227
"miR34a",0.698315657347973,0.698315657347973,0.694358806340519,0.682551370441621,0.595566786776377,0.567872752540951,0.105639125785657,-0.463658489154616,-0.542840032688827,-0.766111099597843,-0.733698087354692,-0.572273643534732,-0.737786976241293,-0.635509232096592,-0.675974818537219
"SNAI1",-0.466508675110277,-0.466508675110277,-0.465134475026041,-0.447498489952483,-0.428771020135585,-0.412457704272252,-0.0756090134188725,0.183130336814779,0.320656846505285,0.435250709767157,0.49078811141027,0.385804995425173,0.482210184174002,0.424815237174875,0.528403676020553
"TGFbeta",-0.555604536993747,-0.555604536993747,-0.651694356201369,-0.538398726526693,-0.545414877414711,-0.518605239582973,0.00192205289149627,0.424098777807286,0.501352907101354,0.62240214847032,0.685774284125309,0.64008284851621,0.588891495792701,0.598077944341208,0.630283494921173
"FOXC2",-0.828746530643001,-0.828746530643001,-0.825790273542199,-0.819408491726475,-0.765219670934071,-0.531433226644627,-0.105188214911535,0.488502538831913,0.526686509505139,0.707609946948544,0.683273149236865,0.670288073222448,0.889483565679124,0.750002469635799,0.714088140606757
"SNAI2",-0.667979090691611,-0.667979090691611,-0.863613671684243,-0.654564062692131,-0.582072389997056,-0.746244457312495,-0.0475205966707404,0.475008676903196,0.634269197187409,0.836854758168698,0.807485017916146,0.726514966320315,0.716856536660321,0.797503872031693,0.749748484500085
"GSC",-0.706521837068423,-0.706521837068423,-0.700589579875263,-0.692223169862673,-0.612399141783936,-0.557727098003706,0.0754785202764963,0.469819389483045,0.617578919116359,0.568494083078093,0.631132884055779,0.577296329713041,0.748665011245135,0.641815369369791,0.783867202484456
"ZEB1",-0.900752387836294,-0.900752387836294,-0.897259439870575,-0.889483565679124,-0.828438627742571,-0.590246787975164,-0.108579901500568,0.531073117453146,0.585683462728152,0.775775799318807,0.748840196216369,0.750002469635799,0.856348568461176,0.826438581991036,0.784865413266721
"TWIST2",-0.713955718646619,-0.713955718646619,-0.708831720479813,-0.698525862995341,-0.610666335311212,-0.577774097252512,-0.0186032967044168,0.477090475537998,0.656067417743966,0.676368273749959,0.744625870845418,0.583589998799029,0.755496021044224,0.648674573830012,0.792732592476887
"TWIST1",-0.714383227462493,-0.714383227462493,-0.708786884060529,-0.699640778868307,-0.605690154895873,-0.559076077888725,0.0250592568722808,0.395044701652015,0.534480184546388,0.672595919640458,0.74164646420672,0.583430251297586,0.756888570448439,0.648988747715081,0.792758088430996
"ZEB2",-0.925332325690431,-0.925332325690431,-0.922347051842517,-0.715525099020026,-0.662851863025414,-0.522143436901776,-0.000314336347331125,0.473220505635929,0.518198549694171,0.60434920183993,0.679398900785377,0.766892538137591,0.786153822313097,0.84778765154907,0.911553581637336
