"","miR200b","miR200c","miR200a","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.815576794391512,0.811915940078941,0.811915940078941,0.810035435921393,0.740695874791951,0.575335724685968,-0.503644689178379,-0.541564616685673,-0.566403164638539,-0.703509393050792,-0.809935522053088,-0.756167285291459,-0.883090530122593,-0.83607795320462,-0.888008770378775
"miR200b",0.815576794391512,0.811915940078941,0.811915940078941,0.810035435921393,0.740695874791951,0.575335724685968,-0.503644689178379,-0.541564616685673,-0.566403164638539,-0.703509393050792,-0.809935522053088,-0.756167285291459,-0.883090530122593,-0.83607795320462,-0.888008770378775
"miR200a",0.815576794391512,0.811915940078941,0.811915940078941,0.810035435921393,0.740695874791951,0.575335724685968,-0.503644689178379,-0.541564616685673,-0.566403164638539,-0.703509393050792,-0.809935522053088,-0.756167285291459,-0.883090530122593,-0.83607795320462,-0.888008770378775
"miR141",0.815576794391512,0.811915940078941,0.811915940078941,0.810035435921393,0.740695874791951,0.575335724685968,-0.503644689178379,-0.541564616685673,-0.566403164638539,-0.703509393050792,-0.809935522053088,-0.756167285291459,-0.883090530122593,-0.83607795320462,-0.888008770378775
"miR101",0.727614469018407,0.724105349387207,0.724105349387207,0.720622198398555,0.602942589156798,0.442646319746745,-0.391993861454119,-0.491289197141799,-0.437663436269903,-0.599644166941915,-0.619227514537693,-0.590134924365913,-0.78306374776701,-0.658292039992307,-0.791568253510434
"miR34a",0.742136955046975,0.737034911603693,0.737034911603693,0.734630499632353,0.635621584532755,0.590576982120515,-0.478558501208896,-0.540114403824518,-0.561583454654533,-0.825331842301648,-0.835353686158613,-0.601077868527497,-0.798403561960612,-0.670857440433666,-0.70450457311935
"SNAI1",-0.533771654131528,-0.526871780025361,-0.526871780025361,-0.527862820577073,-0.484886655142355,-0.34774827720161,0.190691824367538,0.401300770189743,0.34101802688448,0.510241392142392,0.509557550654018,0.4353049293345,0.571848853036905,0.483854491613566,0.56857472066115
"TGFbeta",-0.704937869181511,-0.599679672559208,-0.599679672559208,-0.597643009389883,-0.58991160496503,-0.534015044189452,0.438719109167751,0.501039195538894,0.520028454186833,0.685643605425592,0.792838537595192,0.673903635387398,0.65666167946281,0.638469545101154,0.66190825612088
"FOXC2",-0.846714327951023,-0.844054198699205,-0.844054198699205,-0.842754465986865,-0.782539274004813,-0.541221579451751,0.49322777840373,0.509601100897923,0.531295861947414,0.736343153111326,0.742688448642169,0.678627729692386,0.920053105192455,0.763183805146316,0.723838860187346
"SNAI2",-0.898113962614238,-0.694596351949431,-0.694596351949431,-0.692138818442673,-0.611130909066669,-0.764288031467229,0.485174679448973,0.518657488913397,0.645954747628732,0.882387593673059,0.892159719298787,0.744115575103431,0.762644249528068,0.82159815719622,0.768989172623844
"ZEB1",-0.925039419907897,-0.921780900799623,-0.921780900799623,-0.920053105192455,-0.851676958847137,-0.605167967909289,0.5383390014319,0.568060000400142,0.593828887880134,0.812705622280498,0.820114083406989,0.763183805146316,0.894260744670133,0.844711043644963,0.799122704690773
"GSC",-0.74808429708195,-0.744340966666812,-0.744340966666812,-0.742288429433012,-0.65244440356304,-0.578085493017166,0.485604111940392,0.622425803315815,0.636400263867079,0.628597472564119,0.740692439722848,0.605263164363894,0.807371029158103,0.676559646487808,0.812566109012893
"TWIST2",-0.754392185581867,-0.750282672353153,-0.750282672353153,-0.747324753420829,-0.649039200379074,-0.601663889994171,0.492117849776182,0.535295194629966,0.674409247571877,0.734862207006574,0.847442690167429,0.610174204191006,0.812872064095012,0.681883060080826,0.820195339154691
"TWIST1",-0.754340271229945,-0.750496385614454,-0.750496385614454,-0.74751903031538,-0.643390928236808,-0.562467604162268,0.409498339640354,0.616298836003634,0.554689792527782,0.733366551410264,0.847511866482622,0.609923970276303,0.813156120026044,0.681657271289832,0.820527191419162
"ZEB2",-0.944550701790399,-0.941748999648172,-0.941748999648172,-0.740362595027051,-0.681319575286038,-0.531440138038968,0.477881289997723,0.502609817964438,0.523559703386556,0.634069842855519,0.739608507174268,0.776503971631052,0.817561480892679,0.861337210290469,0.921765786302217
