"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","TWIST1","FOXC2","SNAI1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.754369677111754,0.754369677111754,0.744395577272361,0.752924532110637,0.685390078632044,0.509832560322626,-0.0472540928057464,-0.378303775466265,-0.44381387112404,-0.615982179315872,-0.657162977692284,-0.72213973159768,-0.810292719314429,-0.78800568474937,-0.814130307148055
"miR200b",0.754369677111754,0.754369677111754,0.744395577272361,0.752924532110637,0.685390078632044,0.509832560322626,-0.0472540928057464,-0.378303775466265,-0.44381387112404,-0.615982179315872,-0.657162977692284,-0.72213973159768,-0.810292719314429,-0.78800568474937,-0.814130307148055
"miR200a",0.754369677111754,0.754369677111754,0.744395577272361,0.752924532110637,0.685390078632044,0.509832560322626,-0.0472540928057464,-0.378303775466265,-0.44381387112404,-0.615982179315872,-0.657162977692284,-0.72213973159768,-0.810292719314429,-0.78800568474937,-0.814130307148055
"miR141",0.754369677111754,0.754369677111754,0.744395577272361,0.752924532110637,0.685390078632044,0.509832560322626,-0.0472540928057464,-0.378303775466265,-0.44381387112404,-0.615982179315872,-0.657162977692284,-0.72213973159768,-0.810292719314429,-0.78800568474937,-0.814130307148055
"miR101",0.622936087390213,0.622936087390213,0.607653279708351,0.620006679264784,0.508447969405873,0.404969266506966,-0.021586745234127,-0.26561631416173,-0.294689980380181,-0.448628978583652,-0.476061175230284,-0.518581805167306,-0.664248471154363,-0.569998965919606,-0.671191490602079
"miR34a",0.640011583940291,0.640011583940291,0.628045232664593,0.638685147778297,0.545332713612583,0.487746589522025,-0.0572142451494709,-0.343336935640395,-0.391832041540831,-0.6918737103034,-0.62544208034411,-0.533454969327847,-0.684488500566547,-0.586735274150771,-0.58787417642193
"SNAI1",-0.348129463779659,-0.348129463779659,-0.336278124051211,-0.354645114419095,-0.330867950594156,-0.285704500632041,0.00876586181681887,0.16943485829257,0.082053424372711,0.302972814020454,0.318803196007913,0.294733772121668,0.377073980857409,0.320229503734694,0.359467984578893
"TGFbeta",-0.485628031059842,-0.485628031059842,-0.572918386615464,-0.485297360868435,-0.485807970414247,-0.428958533091437,0.046513628274284,0.303737482364744,0.347735522020578,0.536414751145348,0.563465512149072,0.591807216683746,0.525394440022146,0.538664672965607,0.526437763173492
"FOXC2",-0.806234950145142,-0.806234950145142,-0.797940979863463,-0.805183728429708,-0.745233316015021,-0.489680091977864,0.0376753979331725,0.38497586762159,0.44623681828286,0.672988906300981,0.622085400809629,0.660425980947613,0.868881254086205,0.733885880211464,0.671988295979608
"SNAI2",-0.628277122408761,-0.628277122408761,-0.816875130736176,-0.626074731689551,-0.547127039905158,-0.682368401695021,0.106968434505176,0.349606709926308,0.415189112672691,0.781237709196245,0.71950210055683,0.703124400888741,0.680313001884509,0.766069305813168,0.685955158239237
"GSC",-0.650841151536153,-0.650841151536153,-0.636440873283367,-0.65004079382668,-0.563500090593966,-0.471259475912981,0.0400379209232403,0.409628793927217,0.390338379754815,0.4944335833805,0.517319422006757,0.540189428923225,0.697394138199005,0.595193372514101,0.699404377748832
"TWIST2",-0.660124168603475,-0.660124168603475,-0.647021451691884,-0.657710415598591,-0.563678772110855,-0.49788809649807,0.0631021653683903,0.323738735053141,0.404189900247872,0.604315141757722,0.637563094444403,0.548201171138943,0.705657187338008,0.60381356906319,0.711523704700382
"TWIST1",-0.660874885698633,-0.660874885698633,-0.647374996286654,-0.6584880717466,-0.55936789402846,-0.478338477519279,0.0159062367946315,0.386264646169625,0.323444842598967,0.599148150584717,0.632375716878814,0.548203179524418,0.706740911513974,0.604293437250864,0.712481529063554
"ZEB1",-0.870303500142537,-0.870303500142537,-0.860632421720495,-0.868881254086205,-0.801425540201963,-0.538112907458921,0.0417556894679117,0.421436112859502,0.481185728885233,0.731715962949601,0.675270812749332,0.733885880211464,0.828531968647618,0.803347777965639,0.73257647029955
"ZEB2",-0.901958472888549,-0.901958472888549,-0.893490423541382,-0.700749612058069,-0.641775320385537,-0.47919201309061,0.0388889587908841,0.372082707376845,0.43147728234804,0.568972740209822,0.616931253685635,0.75607594919891,0.764904471188815,0.830965582324196,0.868589244817107
