"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.922349280292947,0.84469369803499,0.90863745627526,0.61476893127266,0.521784056581648,0.868586029126704,0.456712332310925,0.686838473349469,0.477170939941395,0,-0.689930144793014,0,0,-0.953571704597839,-0.945143162175217,-0.953571704597839,-0.763132921890253,-0.525191898070221,0.460864945776086,0.781989087660717,0.501682985765006,-0.909868464214376
"ZEB1",0.799938016192295,0.92525263445436,0.883326142014524,0.790290306068256,0.591777363802659,0.853794365736845,0.529798670268924,0.75968079698962,0.537162187043485,0,-0.861725126658041,0,0,-0.935672837522914,-0.925856875641938,-0.935672837522914,-0.946665075227933,-0.595575355021106,0.534088085372086,0.770310395557663,0.56681120618568,-0.884756084831425
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.821469869904954,0.853581380148554,0.697183987147151,0.702863813818122,0.670534192544476,0.695504774903977,0.616853772812086,0.76700168354735,0.490683359354325,0,-0.655244953885225,0,0,-0.769535579601667,-0.75572388459592,-0.769535579601667,-0.783878645309078,-0.591031290590228,0.537378718993955,0.621999997437988,0.533271189002524,-0.800493737651489
"TWIST1",0.82186487265953,0.85228852674356,0.792947709703449,0.698023747822254,0.549212326957636,0.694818600200828,0.595159955597079,0.764714388034845,0.408917554363157,0,-0.642620064576095,0,0,-0.769297261780245,-0.755759160825089,-0.769297261780245,-0.78254880635032,-0.572718597830398,0.518820527396894,0.621456946658843,0.614316768918103,-0.795402904648351
"TGFbeta",0.661968830779865,0.702160000914801,0.641486516545327,0.650861143483148,0.516229604461163,0.653496033380639,0.46687465367946,0.709871602164503,0.438095940868545,0,-0.588969565036241,0,0,-0.621002349610821,-0.705166505644115,-0.621002349610821,-0.639762774473663,-0.532594157881964,0.483690140798866,0.687817118031387,0.499280474344666,-0.645366429943361
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.769951710052694,0.797960717092086,0.849871061692027,0.855846248820473,0.643446947598421,0.832702894826373,0.585193177329683,0.82238778358767,0.483612714665644,0,-0.620291807078346,0,0,-0.710678406599141,-0.899051594540608,-0.710678406599141,-0.723103999495691,-0.754389799283958,0.696322225190342,0.753091063735655,0.51709868913833,-0.852001081446688
"SNAI1",0.561932453081186,0.519236349141295,0.542233122860497,0.459631473302544,0.33281952598112,0.497156448105008,0.298471493616752,0.514329647815977,0.1934917256125,0,-0.39925634077447,0,0,-0.545790913964448,-0.526965889444827,-0.545790913964448,-0.473040303236315,-0.426198688110114,0.391417925177249,0.447533922447864,0.399941357399464,-0.544312311127927
"miR9",-0.943835737611098,-0.763132921890253,-0.83248291705771,-0.539518799624424,-0.456712332310925,-0.781989087660717,-0.393644150492743,-0.614387111481764,-0.43082966489023,0,0.615380235343776,0,0,0.869807617952316,0.863204380198411,0.869807617952316,0.677341886688586,0.460864945776086,-0.396798449612403,-0.691459839749853,-0.441141858086523,0.73359572671297
"miR34a",-0.705501660605454,-0.840824476692945,-0.683936830558167,-0.793410076695536,-0.557444852556938,-0.685059588934281,-0.504733999034008,-0.756550934163243,-0.47734023019731,0,0.641530791586859,0,0,0.757186821264829,0.743243484263489,0.757186821264829,0.773134878786448,0.581305366101104,-0.52881873827901,-0.613689650885076,-0.538063807430975,0.686846606525906
"miR30c",-0.772772539013851,-0.602057063989667,-0.63942830708297,-0.639754623444651,-0.505688401619694,-0.656147824026849,-0.456025602984882,-0.711775097025295,-0.367208999837508,0,0.464906355571993,0,0,0.725303036126675,0.71006175660469,0.725303036126675,0.538747313344037,0.530271031239738,-0.480959321698312,-0.58982897545925,-0.47384783404498,0.643853770973044
"miR205",-0.931112318502621,-0.952268855435261,-0.817725149397842,-0.724691594282481,-0.538658219706783,-0.774307963442242,-0.476511922985848,-0.697887444881739,-0.504417936136114,0,0.798749599127438,0,0,0.860275224853797,0.852647021508431,0.860275224853797,0.868837762403137,0.542428370080603,-0.479620212708287,-0.686228493243566,-0.519370773042716,0.818925550274273
