"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.918308906147763,0.814713109583268,0.715086569124569,0.611436961715494,0.521561722496392,0.858467602237401,0.457105819224699,0.684921958401101,0.477518824887701,0,-0.679711258814372,0,0,-0.939833455018592,-0.93456200616289,-0.939833455018592,-0.738634754326986,-0.525118516472535,0.461239625936859,0.774588777454329,0.50178945321177,-0.903742077970645
"ZEB1",0.794279237717326,0.89016614619686,0.663088161028866,0.785530323027624,0.590864229269438,0.840608523727056,0.529836091387844,0.75668311012688,0.537027599266951,0,-0.849192075520929,0,0,-0.918881489528436,-0.912773333398059,-0.918881489528436,-0.91740870608618,-0.594911594971922,0.53420437703551,0.760456242710996,0.566394181459626,-0.877011874909788
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.81147532369176,0.805372858451922,0.433567235788223,0.695519681954185,0.667912076146812,0.674242975606876,0.615415595559497,0.760959773098718,0.489079826354439,0,-0.64399021447215,0,0,-0.744263406781195,-0.73563300129453,-0.744263406781195,-0.741777312316952,-0.588804326988423,0.536291654105264,0.604395714321245,0.531347584466172,-0.788815530736915
"TWIST1",0.811467774927771,0.80539689245298,0.528382411043754,0.691628211521502,0.546357234043657,0.673904303026227,0.593422449747586,0.758078605521396,0.407115412469147,0,-0.638330033332316,0,0,-0.744141224168613,-0.735348881926883,-0.744141224168613,-0.74166398226508,-0.570162623472491,0.517341744662613,0.603889064014357,0.612053951084475,-0.784531830770885
"TGFbeta",0.655011158712723,0.651072020492687,0.340922550323697,0.64727079687609,0.517330365084793,0.63183917094265,0.469002279914603,0.70740558566832,0.439886145622521,0,-0.586718022009584,0,0,-0.595233377759615,-0.686268115216897,-0.595233377759615,-0.59369899368767,-0.533521882041742,0.485531394526879,0.668699531012341,0.500461884756816,-0.637040142971061
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.762776907322122,0.757381650331893,0.21756340903483,0.850306497936951,0.64201338478736,0.816231436871721,0.585091843561567,0.818546369562573,0.483230562849143,0,-0.607906713816174,0,0,-0.690782614334739,-0.883471001031252,-0.690782614334739,-0.688678099823984,-0.753323337274762,0.696427604929927,0.740626896510579,0.516230034937397,-0.843039576082397
"SNAI1",0.572805783232518,0.577324716588396,0.384355964867736,0.479151071492299,0.351027934709983,0.484484383294669,0.316719288971895,0.529588904580338,0.210665306322725,0,-0.493292882558337,0,0,-0.532765481285531,-0.522956566058193,-0.532765481285531,-0.534215490556171,-0.441176256128344,0.406368938447855,0.437213335765496,0.413365136407007,-0.559832382040793
"miR9",-0.941251493818577,-0.738634754326986,-0.665281853160828,-0.537290620252079,-0.457105819224699,-0.774588777454329,-0.394083187847638,-0.613593489370855,-0.431568898525403,0,0.608484717855553,0,0,0.859992703879456,0.855754010564137,0.859992703879456,0.659117526124961,0.461239625936859,-0.397227467882148,-0.687553884118791,-0.441539751568513,0.729574092756109
