"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.916083595900388,0.812449027318059,0.899939874251766,0.609847061191458,0.519573653708188,0.858808018339787,0.455594908485852,0.682753509501464,0.474493697739204,0,-0.677303765644896,0,0,-0.938205775306345,-0.938205775306345,-0.938205775306345,-0.737016501366502,-0.523369328319213,0.459982195884988,0.774950089203221,0.499450625486546,-0.901736343442754
"ZEB1",0.79105706315228,0.886901320829794,0.871943410582441,0.783107626016902,0.588043956907427,0.840544217854233,0.527667558128179,0.753571232063442,0.533185516664674,0,-0.845739439123618,0,0,-0.916403205327657,-0.916403205327657,-0.916403205327657,-0.914937179752373,-0.592381278866135,0.532323017417886,0.760590053697274,0.563114623852354,-0.874077468065591
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.803462167837914,0.797393851594519,0.677476296931499,0.689311550239669,0.661199154587244,0.671223875859545,0.6098250831618,0.753676012467069,0.481608303883388,0,-0.636318755228381,0,0,-0.737539388886722,-0.737539388886722,-0.737539388886722,-0.735086794809769,-0.58269467920692,0.531279269786213,0.602270419866826,0.524149522102967,-0.781726588068727
"TWIST1",0.80380255204635,0.797828435936862,0.774373968026072,0.685784568658934,0.539593562275945,0.671167856985448,0.587669691130571,0.751161671236875,0.399441781298164,0,-0.631180449551531,0,0,-0.737746801033917,-0.737746801033917,-0.737746801033917,-0.735327248570441,-0.564156607855403,0.51234614013427,0.601988160088648,0.605061127735951,-0.777779432348424
"TGFbeta",0.640831965043454,0.637883369578092,0.620624958389727,0.637350835348378,0.506008101784996,0.524645478769955,0.458998797398643,0.695866166098375,0.428124247586032,0,-0.574972749397365,0,0,-0.583437494413626,-0.583437494413626,-0.583437494413626,-0.582334220598441,-0.523776515054592,0.477173360543508,0.562994007185904,0.488624390820729,-0.625877067160067
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.742053456964784,0.73646249533612,0.819387733818294,0.830987159220107,0.614877526125791,0.603516452788653,0.560945562352873,0.797008337891753,0.456154900152885,0,-0.583917303600502,0,0,-0.672956377654323,-0.672956377654323,-0.672956377654323,-0.670760041685771,-0.732640860087698,0.678536349924565,0.530647740630668,0.488577174222685,-0.823083975042215
"SNAI1",0.565775506595646,0.570209492453446,0.549285438665143,0.473728632611739,0.34600127290037,0.482461103460376,0.312597568256878,0.523445080165666,0.205323656146865,0,-0.486434941556567,0,0,-0.52661779125927,-0.52661779125927,-0.52661779125927,-0.528061094559883,-0.436341873010333,0.402390068870104,0.435847246177578,0.407803988203073,-0.553581336289749
"miR9",-0.939622818315763,-0.737016501366502,-0.826676068764438,-0.536322969759128,-0.455594908485852,-0.774950089203221,-0.393348791401025,-0.612104441601069,-0.429438998029447,0,0.606750863975313,0,0,0.858940485344577,0.858940485344577,0.858940485344577,0.658077035045612,0.459982195884988,-0.396614303959132,-0.687910983057969,-0.439816890546787,0.728212218394293
"miR34a",-0.685949483020782,-0.781450937446871,-0.663243136819259,-0.779086742770849,-0.547534944622781,-0.658726617061247,-0.497233939170012,-0.742578017627878,-0.46767227428043,0,0.621795638695291,0,0,0.72282385885132,0.72282385885132,0.72282385885132,0.721068822474802,0.572519080406863,-0.522369214105016,-0.591823623505859,-0.528213606035009,0.66745231911932
"miR30c",-0.750273842987321,-0.638997651347127,-0.619008923285506,-0.628167555638753,-0.493522683370734,-0.627436589211446,-0.446246610060426,-0.695505795336857,-0.355299051852486,0,0.532813331870319,0,0,0.687703905873043,0.687703905873043,0.687703905873043,0.582852316093626,0.519641280124561,-0.47271330559213,-0.565287638540486,-0.461867273309231,0.624340397615116
