"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","FOXC2","CDH1"
"ZEB2",0.920917591267961,0.817198701602235,0.904880588527617,0.613266120245086,0.524373069069813,0.859088413681958,0.458599831485105,0.687960410169638,0.472715207405846,0,-0.683081843007264,0,0,-0.941265299081934,-0.936108393381727,-0.941265299081934,-0.739999014986626,-0.527212689961924,0.462106102367758,0.774751445134463,0.50294932208702,-0.906366507958131
"ZEB1",0.801584316877737,0.897402477100409,0.882856493123728,0.791918486402199,0.599253860493458,0.844294056038758,0.536450835544698,0.765051167018811,0.534284526634513,0,-0.857778566294741,0,0,-0.924209375157933,-0.918391825883311,-0.924209375157933,-0.922685315843944,-0.602464318212831,0.53995801745674,0.762795443642828,0.572778891127338,-0.884562320643218
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.903997757904734,0.89976537690296,0.786528235929988,0.795285759562946,0.691820539768629,0.745322491688538,0.630602727846592,0.868125780857003,0.517252278068856,0,-0.762660984984856,0,0,-0.826174069659432,-0.820439003845049,-0.826174069659432,-0.824560739576664,-0.6997595290691,0.638136536676877,0.663593138937126,0.660246276363216,-0.88827404222206
"TWIST1",0.817773070103151,0.811534443366624,0.788129648729057,0.697006647472937,0.554618997700025,0.676831163195807,0.599155148855715,0.765256768862656,0.405097845349682,0,-0.646179627571388,0,0,-0.748525345467242,-0.739997468713154,-0.748525345467242,-0.745985757978508,-0.576407595789282,0.521397184926793,0.605419031742596,0.616602029814409,-0.790992535861874
"TGFbeta",0.659460420034137,0.655269420633665,0.636999880851675,0.650506248984861,0.521410445880856,0.633380199954923,0.471023932166944,0.712038678111187,0.432073110771995,0,-0.592259068058287,0,0,-0.598016373462188,-0.689203330836735,-0.598016373462188,-0.596371070333816,-0.536678729621146,0.486862743627649,0.669150555230904,0.50022296716241,-0.641444040403188
"TCF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1
"SNAI2",0.794509813558057,0.789562838976188,0.874743802622132,0.882526213229215,0.683357472740377,0.838242279191802,0.621470906879795,0.85512041346931,0.514834420364296,0,-0.646952264172744,0,0,-0.717519616186864,-0.91133193314951,-0.717519616186864,-0.715626687121141,-0.79143861084977,0.729733077167427,0.75761019707661,0.553061612343302,-0.876936561794566
"SNAI1",0.575470427510018,0.579917242305837,0.558547915862391,0.481006843919155,0.34610789408002,0.485112116682726,0.311547816088306,0.532616871797984,0.191155421287153,0,-0.495801292114891,0,0,-0.534349651452461,-0.524667770765391,-0.534349651452461,-0.535728676657813,-0.44026789661632,0.404912641081638,0.437184602667119,0.41054759026235,-0.562412843456066
"miR9",-0.942761383048921,-0.739999014986626,-0.829701429276699,-0.537997394049572,-0.458599831485105,-0.774751445134463,-0.39421626984127,-0.615286154970088,-0.426554078123698,0,0.610507571091561,0,0,0.860601378558552,0.856414743357491,0.860601378558552,0.659675329539041,0.462106102367758,-0.397009524936379,-0.6874734887819,-0.441511205637768,0.731017373524322
