"","miR200c","miR200a","miR200b","miR141","miR101","TWIST2","SNAI1","TWIST1","FOXC2","SNAI2","miR34a","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.592630459132897,0.592630459132897,0.555286295092058,0.5573598625096,0.239064686864715,-0.024171024386832,-0.199636050847291,-0.22438069017441,-0.296771593423034,-0.299800381907702,-0.319956320483592,-0.580248451075951,-0.611589852446967,-0.646147946979738,-0.661593636766339
"miR200b",0.592630459132897,0.592630459132897,0.555286295092058,0.5573598625096,0.239064686864715,-0.024171024386832,-0.199636050847291,-0.22438069017441,-0.296771593423034,-0.299800381907702,-0.319956320483592,-0.580248451075951,-0.611589852446967,-0.646147946979738,-0.661593636766339
"miR200a",0.592630459132897,0.592630459132897,0.555286295092058,0.5573598625096,0.239064686864715,-0.024171024386832,-0.199636050847291,-0.22438069017441,-0.296771593423034,-0.299800381907702,-0.319956320483592,-0.580248451075951,-0.611589852446967,-0.646147946979738,-0.661593636766339
"miR141",0.592630459132897,0.592630459132897,0.555286295092058,0.5573598625096,0.239064686864715,-0.024171024386832,-0.199636050847291,-0.22438069017441,-0.296771593423034,-0.299800381907702,-0.319956320483592,-0.580248451075951,-0.611589852446967,-0.646147946979738,-0.661593636766339
"miR101",0.531204067342108,0.531204067342108,0.494264005581608,0.499566021879172,0.235388243252,-0.00514963548670783,-0.139942411684285,-0.147176421412987,-0.272354412609403,-0.246051047861573,-0.276798204513223,-0.518369746685413,-0.462005687705246,-0.49053891313145,-0.592274077000583
"miR34a",0.566009741851996,0.566009741851996,0.533186221064783,0.536260739622324,0.339949102071798,-0.295806848028211,-0.253849532245355,-0.30719270926351,-0.351708673098699,-0.421660657069867,-0.246506443843057,-0.557652812019148,-0.491040518140208,-0.523650625107329,-0.528354782775987
"FOXC2",-0.463975876606515,-0.463975876606515,-0.415174322322397,-0.423485029590706,0.0546810297511348,-0.246599701608632,-0.030948387295755,-0.0304298473689399,0.00368502683581286,-0.0616377571297063,0.357768142608534,0.436305268588581,0.406539740908248,0.425585514971457,0.332689816765747
"ZEB1",-0.478052240053462,-0.478052240053462,-0.427771657820792,-0.436305268588581,0.04748205360552,-0.247130534831926,-0.0284591754481884,-0.0222453680093605,0.0126786259720818,-0.0560872017508037,0.364421081107836,0.347004892134269,0.425585514971457,0.442207179825254,0.346079519272743
"SNAI1",-0.414260482373382,-0.414260482373382,-0.38650363349385,-0.395950481739973,-0.265943960183902,0.119524597616018,0.0478254471252932,0.168813053722447,0.279645934834612,0.290616551724993,0.148072724734339,0.41046624179636,0.362012562925182,0.384040453156464,0.452548406628318
"TGFbeta",-0.486320984159148,-0.486320984159148,-0.557016862353243,-0.46238033305095,-0.355192207034853,0.255923828275557,0.268105162812158,0.331134106660878,0.367314069292572,0.456647506295372,0.143858279897943,0.485275513293742,0.609115578076799,0.544085249626131,0.543281774475122
"GSC",-0.554731393276375,-0.554731393276375,-0.517519823526439,-0.523851366819456,-0.292961423060654,0.0335421946351976,0.227125652617506,0.346693273729508,0.40586905290253,0.274773464314326,0.265559954979282,0.544017344777505,0.481735982272271,0.512492836233214,0.617117428886024
"SNAI2",-0.558506003804599,-0.558506003804599,-0.726931929121774,-0.529457036550255,-0.538033617100728,0.377626691364015,0.276485690003809,0.418611264444202,0.355812939637821,0.51538834778744,0.25859271914578,0.556971881967016,0.667112293771705,0.709182486317917,0.626895240682729
"TWIST1",-0.566139278907912,-0.566139278907912,-0.530471606990674,-0.53435563671872,-0.304981233725129,0.147315723564228,0.16393057423699,0.274676383600903,0.409474407254003,0.395813915484764,0.291892054290147,0.555557763854218,0.490587178204061,0.522815014799077,0.630256609352267
"TWIST2",-0.580605072186403,-0.580605072186403,-0.54641381025903,-0.549823606594166,-0.342142139124627,0.185377746699281,0.259480239463173,0.413721505298536,0.343448964913363,0.422637183566556,0.26227713400527,0.572191877203406,0.502441178518378,0.536465297540262,0.64481585601006
"ZEB2",-0.781401502821391,-0.781401502821391,-0.747573756830138,-0.548597181630534,-0.259564572185487,0.0201069441470405,0.226687373588479,0.253236377298076,0.31293439824211,0.315237847599569,0.344444624820376,0.577978909686434,0.683470587557615,0.72858399903577,0.755437465782451
