"","miR34a","miR141","miR200b","miR101","miR200c","miR200a","ZEB2","GSC","SNAI1","TGFbeta","FOXC2","TWIST1","TWIST2","SNAI2","ZEB1"
"miR34a",0.600501660376674,0.692353949739569,0.619007258168969,0.562882864230804,0.60439015647594,0.60439015647594,-0.427194954054741,-0.525890689573396,-0.454995208140851,-0.575654366863967,-0.517471514054423,-0.536473754473238,-0.76687116138544,-0.724152453619305,-0.742108364841743
"miR101",0.537982393796962,0.642863163731992,0.53557171011267,0.473158843406744,0.512305391306549,0.512305391306549,-0.389904777777603,-0.452948501034186,-0.348998417875414,-0.494951351189889,-0.444491299869586,-0.386268459252828,-0.510997549971279,-0.565107292536543,-0.686725109946663
"miR200c",0.666289202881743,0.720031298454575,0.581770183629307,0.523066916090469,0.525745904719995,0.525745904719995,-0.340210075964364,-0.572146659696578,-0.452801551601199,-0.619091724617681,-0.488443577092201,-0.511167529463915,-0.62089136004526,-0.67838252343484,-0.77096713228159
"miR200b",0.666289202881743,0.720031298454575,0.581770183629307,0.523066916090469,0.525745904719995,0.525745904719995,-0.340210075964364,-0.572146659696578,-0.452801551601199,-0.619091724617681,-0.488443577092201,-0.511167529463915,-0.62089136004526,-0.67838252343484,-0.77096713228159
"miR200a",0.666289202881743,0.720031298454575,0.581770183629307,0.523066916090469,0.525745904719995,0.525745904719995,-0.340210075964364,-0.572146659696578,-0.452801551601199,-0.619091724617681,-0.488443577092201,-0.511167529463915,-0.62089136004526,-0.67838252343484,-0.77096713228159
"miR141",0.666289202881743,0.720031298454575,0.581770183629307,0.523066916090469,0.525745904719995,0.525745904719995,-0.340210075964364,-0.572146659696578,-0.452801551601199,-0.619091724617681,-0.488443577092201,-0.511167529463915,-0.62089136004526,-0.67838252343484,-0.77096713228159
"ZEB2",-0.394332747445357,-0.392000003468444,-0.329526576669144,-0.324539270240891,-0.28832093965398,-0.28832093965398,0.112506781102933,0.245562172022089,0.279065563989915,0.291132274016304,0.297664271796304,0.312063912251734,0.373659862952833,0.415994408095703,0.430083226067247
"SNAI1",-0.460203463252019,-0.494723941952637,-0.426407402332486,-0.420616277490965,-0.415205917310456,-0.415205917310456,0.33015092277514,0.36726740276778,0.187674428280987,0.398931974561137,0.390492006128887,0.328179287818837,0.455320536610519,0.499506498934583,0.527402409597841
"TGFbeta",-0.555614199825675,-0.555985075600536,-0.583777126013726,-0.516050159994502,-0.470278958055914,-0.470278958055914,0.392880227647395,0.598740398671241,0.417801176657759,0.545304249739189,0.480509889017708,0.497631821647763,0.626853235488268,0.679596516627381,0.601911924230478
"FOXC2",-0.752013755026883,-0.805450380038057,-0.722600793418873,-0.518304597449567,-0.699993942767066,-0.699993942767066,0.403829115760714,0.603378376407588,0.472266850392306,0.661578409617307,0.490334300685162,0.511377701400291,0.696246783961399,0.662881516829962,0.866678901732614
"TWIST1",-0.585840924230145,-0.678674949755739,-0.580616532292828,-0.537463105540869,-0.55459412568956,-0.55459412568956,0.420925565081389,0.488603785843539,0.370934898046964,0.53491033059811,0.575723328342888,0.51014216387911,0.653559998854737,0.710566295509728,0.726515015301796
"SNAI2",-0.56584224761859,-0.637399045561268,-0.747374400626923,-0.729449896839584,-0.523455775844109,-0.523455775844109,0.42875829374143,0.642895775129692,0.453343801409195,0.699346629227393,0.489104916123676,0.615230445332071,0.822276139441479,0.780847614369407,0.692072044486169
"ZEB1",-0.807874712566557,-0.866678901732614,-0.773766051565531,-0.5718448346899,-0.748187878372667,-0.748187878372667,0.440635027119942,0.661578409617307,0.507555573098574,0.722723716418766,0.540157698541258,0.564932274552809,0.758393885506361,0.719745741374422,0.825431339161496
"GSC",-0.593695968221145,-0.672927485911016,-0.578021409953734,-0.536093815503775,-0.55850251951465,-0.55850251951465,0.442970043928844,0.489738783179502,0.445204321008909,0.53681642459667,0.581534477768189,0.593307460869377,0.549881635420669,0.599623706787477,0.720492110691751
"TWIST2",-0.592537714463313,-0.680090826465881,-0.585949066374129,-0.556925275416426,-0.559767276790114,-0.559767276790114,0.449959548646787,0.492630780958125,0.453361023360985,0.539565537362795,0.495891021687153,0.632556277166609,0.658403315061141,0.714262608468854,0.728066182449663
