"","miR200c","miR200a","miR200b","miR141","miR34a","miR101","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR200c",0.806987539980997,0.806987539980997,0.800235569120447,0.805369458997686,0.736570919971987,0.565017948319884,-0.497033763459796,-0.534748393428744,-0.538923210465102,-0.672711062238887,-0.739207901563352,-0.751872331133986,-0.876466881680843,-0.829679317233481,-0.880673899962473
"miR200b",0.806987539980997,0.806987539980997,0.800235569120447,0.805369458997686,0.736570919971987,0.565017948319884,-0.497033763459796,-0.534748393428744,-0.538923210465102,-0.672711062238887,-0.739207901563352,-0.751872331133986,-0.876466881680843,-0.829679317233481,-0.880673899962473
"miR200a",0.806987539980997,0.806987539980997,0.800235569120447,0.805369458997686,0.736570919971987,0.565017948319884,-0.497033763459796,-0.534748393428744,-0.538923210465102,-0.672711062238887,-0.739207901563352,-0.751872331133986,-0.876466881680843,-0.829679317233481,-0.880673899962473
"miR141",0.806987539980997,0.806987539980997,0.800235569120447,0.805369458997686,0.736570919971987,0.565017948319884,-0.497033763459796,-0.534748393428744,-0.538923210465102,-0.672711062238887,-0.739207901563352,-0.751872331133986,-0.876466881680843,-0.829679317233481,-0.880673899962473
"miR101",0.715569173080665,0.715569173080665,0.70520891508723,0.712510765973693,0.595470493656618,0.505191419552966,-0.381589391514569,-0.480699328714082,-0.418461112443067,-0.557724826318139,-0.614177194439279,-0.582231434929213,-0.772660098285951,-0.648177832589333,-0.780106263416452
"miR34a",0.714430961372354,0.714430961372354,0.705563066130764,0.712370308498886,0.592601404728375,0.54198266625532,-0.373062982616099,-0.482334079834477,-0.510461336841338,-0.670891653651395,-0.727018610300941,-0.582432009588306,-0.772163883521464,-0.648024929291639,-0.677217745397239
"SNAI1",-0.527278813239428,-0.527278813239428,-0.516960530399656,-0.528633113354143,-0.487198673975912,-0.430350996123626,0.196681966763793,0.400889188409143,0.335047498974863,0.480174333192332,0.519831879296651,0.432718581714907,0.571299141563363,0.479578250970893,0.567019486579351
"TGFbeta",-0.594150334160933,-0.594150334160933,-0.684887437752856,-0.592515646661383,-0.58550591682154,-0.52926553170137,0.433832007442342,0.495040105430671,0.503892579544862,0.650109509403763,0.703631695014308,0.667831971350682,0.649683581967943,0.630682330189544,0.653914638068024
"FOXC2",-0.841995172528545,-0.841995172528545,-0.83660857074251,-0.84085173659788,-0.780842927819712,-0.529995852769165,0.486881937822377,0.504681143544846,0.51608310009662,0.614082619353572,0.685223882135772,0.676683461163212,0.9168035271076,0.759923252144439,0.720112584995239
"SNAI2",-0.689639184189556,-0.689639184189556,-0.882053032297587,-0.687445824235878,-0.606659118639347,-0.749323927119889,0.478175654580235,0.511694774529697,0.628259437065299,0.850893141630223,0.814777114595452,0.739773199564824,0.756024601353817,0.815246418565852,0.761646086527472
"ZEB1",-0.918314397363969,-0.918314397363969,-0.911904006194764,-0.9168035271076,-0.848689268355455,-0.590265064279872,0.530680956152346,0.561608245917049,0.575474918706315,0.685223882135772,0.753017849257892,0.759923252144439,0.889536847973036,0.840064540610902,0.793777365789926
"GSC",-0.736208111623122,-0.736208111623122,-0.726413123052299,-0.73453238469748,-0.645250474614737,-0.56396786405523,0.475846704884589,0.612458612147276,0.613133400823603,0.584245231790652,0.64297242834776,0.597766317034444,0.797349613901105,0.66678398667787,0.801587448641547
"TWIST1",-0.74274145396867,-0.74274145396867,-0.733636472842041,-0.740141471341475,-0.636627562276966,-0.565169518060976,0.399974691855023,0.60668119423086,0.535308601271871,0.69433872788576,0.753827480305935,0.602805439568627,0.803606507082984,0.672451713937721,0.810025223565604
"TWIST2",-0.743003367750989,-0.743003367750989,-0.734060934049426,-0.740406833885488,-0.64263442874915,-0.58429214234369,0.483213971675822,0.526332648335057,0.654251898418639,0.697517689307471,0.756852739173109,0.603395837277956,0.803795287907138,0.672959714123976,0.810201167843848
"ZEB2",-0.938828255431104,-0.938828255431104,-0.933274586250658,-0.737592419187256,-0.678767378225319,-0.521365413547248,0.472634973993928,0.49756769828751,0.505394587552664,0.610425812676971,0.681174493785962,0.773975423553661,0.813444587584412,0.857595689170976,0.917172165876315
