"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.897446072056453,-1,-1,-1,-1,-0.897446072056453,-1,-1,-1,-0.909063954638122,-0.904456229608675,1,0.909063954638122,0.897446072056453,0.916074123377311,0.897446072056453,0.0528073117821417,0.223841317053213,0.971158434053425,0.018905697123314
"FOXC2",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"GSC",-0.897446072056453,0.897446072056453,1,0.897446072056453,0.897446072056453,0.897446072056453,0.897446072056453,1,0.897446072056453,0.897446072056453,0.897446072056453,0.988382316454522,0.992989342205393,-0.897446072056453,-0.988382316454522,-1,-0.981371647473141,-1,-0.15054488077377,-0.180572386206656,-0.926287736283286,-0.0497608392661843
"KLF8",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"SNAI1",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"SNAI2",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"TCF3",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"TGF-beta",-0.897446072056453,0.897446072056453,1,0.897446072056453,0.897446072056453,0.897446072056453,0.897446072056453,1,0.897446072056453,0.897446072056453,0.897446072056453,0.988382316454522,0.992989342205393,-0.897446072056453,-0.988382316454522,-1,-0.981371647473141,-1,-0.15054488077377,-0.180572386206656,-0.926287736283286,-0.0497608392661843
"TWIST1",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
"TWIST2",-1,1,0.897446072056453,1,1,1,1,0.897446072056453,1,1,1,0.909063954638122,0.904456229608675,-1,-0.909063954638122,-0.897446072056453,-0.916074123377311,-0.897446072056453,-0.0528073117821417,-0.223841317053213,-0.971158434053425,-0.018905697123314
