states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'1010000100111100000111',1,0.002766666666666667,0.0005249338582674541,0.30864197530864196,,,,0.006866666666666667,0.0009177266598624134,0.30864197530864196
'1010000100111100000011',1,0.0013666666666666664,0.00033993463423951894,0.32098765432098764,,,,0.0057,0.0005354126134736336,0.32098765432098764
'0111111111111000000001',1,0.07683333333333332,0.0030575952787916336,0.024691358024691357,0.0679,0.003256787783486466,0.024691358024691357,0.0731,0.0015895492023421847,0.024691358024691357
'1000000000000111111111',1,0.0794,0.0014696938456699037,0.024691358024691357,0.07043333333333333,0.0009977753031397178,0.024691358024691357,0.0811,0.0031155523854794445,0.024691358024691357
'0111111111111000001101',1,0.037366666666666666,0.0007133644853010899,0.08641975308641975,0.056466666666666665,0.0012657891697365016,0.08641975308641975,0.029666666666666664,0.0010873004286866732,0.08641975308641975
'1000000000000111110010',1,0.036033333333333334,0.001271045064329174,0.08641975308641975,0.05386666666666667,0.0011085526098877265,0.08641975308641975,0.0295,0.00042426406871192926,0.08641975308641975
'1000000000000111111110',1,0.07906666666666666,0.0017172329163188383,0.024691358024691357,0.06836666666666667,0.00018856180831641807,0.024691358024691357,0.07566666666666666,0.0008339997335464539,0.024691358024691357
'1000000000000111110110',1,0.06373333333333334,0.002389328124994326,0.04938271604938271,0.06813333333333332,0.0028335294049804563,0.04938271604938271,0.04883333333333333,0.0012657891697365016,0.04938271604938271
'1000000000000111110111',1,0.06676666666666667,0.0017326921891156037,0.04938271604938271,0.06706666666666666,0.0015923427883328277,0.04938271604938271,0.056633333333333334,0.0006236095644623216,0.04938271604938271
'0111111111111000001001',1,0.060566666666666664,0.003809053542402482,0.04938271604938271,0.07010000000000001,0.0011775681155103772,0.04938271604938271,0.049600000000000005,0.002111871208194288,0.04938271604938271
'0111111111111000000100',1,0.05146666666666666,0.002610661899893503,0.06172839506172839,0.058533333333333326,0.0014817407180595253,0.06172839506172839,0.05253333333333334,0.0025368396787253927,0.06172839506172839
'0111111111111000000000',1,0.08343333333333332,0.0005185449728701367,0.024691358024691357,0.06916666666666667,0.0008993825042154725,0.024691358024691357,0.08303333333333333,0.0007133644853010931,0.024691358024691357
'1000000000000111111010',1,0.049800000000000004,0.0012328828005937966,0.06172839506172839,0.05586666666666667,0.0024087802353519538,0.06172839506172839,0.04816666666666667,0.00140079342596338,0.06172839506172839
'0111111111111000001000',1,0.06973333333333333,0.0024984439601924676,0.04938271604938271,0.06793333333333333,0.002286676384818997,0.04938271604938271,0.056400000000000006,0.0020607442021431666,0.04938271604938271
'0111111111111000001100',1,0.04563333333333333,0.0011671427600007719,0.08641975308641975,0.055799999999999995,0.0015577761927397234,0.08641975308641975,0.034333333333333334,0.0015173075568988058,0.08641975308641975
'1000000000000111110011',1,0.043366666666666664,0.001508494466531302,0.08641975308641975,0.054266666666666664,0.0018116904322268259,0.08641975308641975,0.034333333333333334,0.001271045064329174,0.08641975308641975
'1000000000000111111011',1,0.05276666666666666,0.0011323525167642023,0.06172839506172839,0.056433333333333335,0.0021853044537445015,0.06172839506172839,0.0489,0.00042426406871193083,0.06172839506172839
'1010000100111100000110',1,0.0027333333333333337,0.00026246692913372703,0.2839506172839506,,,,0.0119,0.0009092121131323907,0.2839506172839506
'0111111111111000000101',1,0.0524,0.0012192894105447938,0.06172839506172839,0.059666666666666666,0.003390509630653711,0.06172839506172839,0.046933333333333334,0.002135935912480107,0.06172839506172839
'0101111011000011111001',1,0.0039000000000000003,0.0004546060565661951,0.2839506172839506,,,,0.0123,0.0013063945294843615,0.2839506172839506
'0101111011100011111001',1,0.0032333333333333333,0.000579271573232759,0.2839506172839506,,,,0.008333333333333333,0.0008806563209081937,0.2839506172839506
'1010000100111100000010',1,0.0017,8.164965809277255e-5,0.2962962962962963,,,,0.006633333333333334,0.0006128258770283411,0.2962962962962963
'0101111011000011111100',1,0.0011666666666666665,0.00020548046676563254,0.32098765432098764,,,,0.005866666666666666,0.0008956685895029601,0.32098765432098764
'0101111011110001011101',1,0.0029,0.0006377042156569664,0.30864197530864196,,,,0.0009000000000000001,0.00021602468994692863,0.30864197530864196
'0101111011100011111000',1,0.0012333333333333335,0.00024944382578492944,0.30864197530864196,,,,0.004,0.0004966554808583781,0.30864197530864196
'1010000100011100000010',1,0.0012666666666666666,0.00032998316455372216,0.2962962962962963,,,,0.0047,0.0005354126134736337,0.2962962962962963
'0101111011100011111100',1,0.0007333333333333333,0.0001699673171197595,0.32098765432098764,,,,0.0039000000000000003,8.164965809277265e-5,0.32098765432098764
'1010000100011100000011',1,0.0008666666666666666,0.00026246692913372703,0.32098765432098764,,,,0.003933333333333334,0.000771722460186015,0.32098765432098764
'1010000100011100000110',1,0.002166666666666666,0.00026246692913372703,0.2839506172839506,,,,0.008433333333333333,0.0004784233364802442,0.2839506172839506
'0101111011000011111101',1,0.0017666666666666666,0.0003299831645537222,0.2962962962962963,,,,0.005066666666666666,0.0015542057635833022,0.2962962962962963
