"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.899458866143128,-1,-1,-1,-1,-0.899458866143128,-1,-1,-1,-0.909873191385745,-0.906670107786213,1,0.909873191385745,0.899458866143128,0.917084130639588,0.899458866143128,0.0496847759418145,0.221350974443928,0.969957908937815,0.0162150180434386
"FOXC2",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"GSC",-0.899458866143128,0.899458866143128,1,0.899458866143128,0.899458866143128,0.899458866143128,0.899458866143128,1,0.899458866143128,0.899458866143128,0.899458866143128,0.989585439238412,0.992790202185041,-0.899458866143128,-0.989585439238412,-1,-0.982375334276986,-1,-0.143413355493335,-0.178881059306323,-0.929501903916326,-0.0478615561456054
"KLF8",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"SNAI1",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"SNAI2",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"TCF3",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"TGF-beta",-0.899458866143128,0.899458866143128,1,0.899458866143128,0.899458866143128,0.899458866143128,0.899458866143128,1,0.899458866143128,0.899458866143128,0.899458866143128,0.989585439238412,0.992790202185041,-0.899458866143128,-0.989585439238412,-1,-0.982375334276986,-1,-0.143413355493335,-0.178881059306323,-0.929501903916326,-0.0478615561456054
"TWIST1",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
"TWIST2",-1,1,0.899458866143128,1,1,1,1,0.899458866143128,1,1,1,0.909873191385745,0.906670107786213,-1,-0.909873191385745,-0.899458866143128,-0.917084130639588,-0.899458866143128,-0.0496847759418145,-0.221350974443928,-0.969957908937815,-0.0162150180434386
