"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.924256079721541,-1,-1,-1,-1,-0.924256079721541,-1,-1,-1,-0.943292740682714,-0.924256079721541,1,0.943292740682714,0.0409773618549557,0.943292740682714,0.924256079721541,0.0511973697904621,0.231548750225385,0.982767333078171,0.00891894613781566
"FOXC2",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"GSC",-0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.980964327643497,1,-0.924256079721541,-0.980964327643497,-0.1115115074683,-0.980964327643497,-1,-0.121330629307553,-0.220727636625973,-0.941488892046675,-0.0461904584546088
"KLF8",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"SNAI1",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"SNAI2",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"TCF3",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"TGF-beta",-0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.924256079721541,1,0.924256079721541,0.924256079721541,0.924256079721541,0.980964327643497,1,-0.924256079721541,-0.980964327643497,-0.1115115074683,-0.980964327643497,-1,-0.121330629307553,-0.220727636625973,-0.941488892046675,-0.0461904584546088
"TWIST1",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
"TWIST2",-1,1,0.924256079721541,1,1,1,1,0.924256079721541,1,1,1,0.943292740682714,0.924256079721541,-1,-0.943292740682714,-0.0409773618549557,-0.943292740682714,-0.924256079721541,-0.0511973697904621,-0.231548750225385,-0.982767333078171,-0.00891894613781566
