"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.893295057633862,-1,-1,-1,-1,-0.893295057633862,-1,-1,-1,-0.909510094286612,-0.893295057633862,1,0.909510094286612,0.893295057633862,0.909510094286612,0.893295057633862,0.0360125573051424,0.222362752129112,0.975572595050812,0.0293059701865092
"FOXC2",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"GSC",-0.893295057633862,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.983782315905589,1,-0.893295057633862,-0.983782315905589,-1,-0.983782315905589,-1,-0.134666494262994,-0.195317251397544,-0.917718803199947,-0.069973772881723
"KLF8",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"SNAI1",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"SNAI2",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"TCF3",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"TGF-beta",-0.893295057633862,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.983782315905589,1,-0.893295057633862,-0.983782315905589,-1,-0.983782315905589,-1,-0.134666494262994,-0.195317251397544,-0.917718803199947,-0.069973772881723
"TWIST1",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"TWIST2",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"VIM",-1,1,0.893295057633861,1,1,1,1,0.893295057633861,1,1,1,0.909510094286612,0.893295057633861,-1,-0.909510094286612,-0.893295057633862,-0.909510094286612,-0.893295057633862,-0.0360125573051424,-0.222362752129112,-0.975572595050812,-0.0293059701865092
"ZEB1",-0.909510094286612,0.909510094286612,0.983782315905589,0.909510094286612,0.909510094286612,0.909510094286612,0.909510094286612,0.983782315905589,0.909510094286612,0.909510094286612,0.909510094286612,1,0.983782315905589,-0.909510094286612,-1,-0.983782315905589,-1,-0.983782315905589,-0.118454407228169,-0.17910076136873,-0.933934261839073,-0.0537532294862278
"ZEB2",-0.893295057633862,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.893295057633861,1,0.893295057633861,0.893295057633861,0.893295057633861,0.983782315905589,1,-0.893295057633862,-0.983782315905589,-1,-0.983782315905589,-1,-0.134666494262994,-0.195317251397544,-0.917718803199947,-0.069973772881723
"miR-101",1,-1,-0.893295057633862,-1,-1,-1,-1,-0.893295057633862,-1,-1,-1,-0.909510094286612,-0.893295057633862,1,0.909510094286612,0.893295057633862,0.909510094286612,0.893295057633862,0.0360125573051424,0.222362752129112,0.975572595050812,0.0293059701865092
"miR-141",0.909510094286612,-0.909510094286612,-0.983782315905589,-0.909510094286612,-0.909510094286612,-0.909510094286612,-0.909510094286612,-0.983782315905589,-0.909510094286612,-0.909510094286612,-0.909510094286612,-1,-0.983782315905589,0.909510094286612,1,0.983782315905589,1,0.983782315905589,0.118454407228169,0.17910076136873,0.933934261839073,0.0537532294862278
"miR-200a",0.893295057633862,-0.893295057633862,-1,-0.893295057633862,-0.893295057633862,-0.893295057633862,-0.893295057633862,-1,-0.893295057633862,-0.893295057633862,-0.893295057633862,-0.983782315905589,-1,0.893295057633862,0.983782315905589,1,0.983782315905589,1,0.134666494262994,0.195317251397544,0.917718803199947,0.069973772881723
"miR-200b",0.909510094286612,-0.909510094286612,-0.983782315905589,-0.909510094286612,-0.909510094286612,-0.909510094286612,-0.909510094286612,-0.983782315905589,-0.909510094286612,-0.909510094286612,-0.909510094286612,-1,-0.983782315905589,0.909510094286612,1,0.983782315905589,1,0.983782315905589,0.118454407228169,0.17910076136873,0.933934261839073,0.0537532294862278
"miR-200c",0.893295057633862,-0.893295057633862,-1,-0.893295057633862,-0.893295057633862,-0.893295057633862,-0.893295057633862,-1,-0.893295057633862,-0.893295057633862,-0.893295057633862,-0.983782315905589,-1,0.893295057633862,0.983782315905589,1,0.983782315905589,1,0.134666494262994,0.195317251397544,0.917718803199947,0.069973772881723
