"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.892438700982139,-1,-1,-1,-1,-0.892438700982139,-1,-1,-1,-0.903858370511313,-0.900049761418402,1,0.903858370511313,0.892438700982139,0.911468918227715,0.892438700982139,0.0527737068841067,0.218032882977249,0.968953457167614,0.0147223800960545
"FOXC2",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"GSC",-0.892438700982139,0.892438700982139,1,0.892438700982139,0.892438700982139,0.892438700982139,0.892438700982139,1,0.892438700982139,0.892438700982139,0.892438700982139,0.988583844319675,0.992388640746746,-0.892438700982139,-0.988583844319675,-1,-0.980971934833056,-1,-0.152726210776346,-0.177369428897947,-0.92348508321973,-0.0485730647925757
"KLF8",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"SNAI1",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"SNAI2",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"TCF3",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"TGF-beta",-0.892438700982139,0.892438700982139,1,0.892438700982139,0.892438700982139,0.892438700982139,0.892438700982139,1,0.892438700982139,0.892438700982139,0.892438700982139,0.988583844319675,0.992388640746746,-0.892438700982139,-0.988583844319675,-1,-0.980971934833056,-1,-0.152726210776346,-0.177369428897947,-0.92348508321973,-0.0485730647925757
"TWIST1",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"TWIST2",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"VIM",-1,1,0.892438700982139,1,1,1,1,0.892438700982139,1,1,1,0.903858370511313,0.900049761418402,-1,-0.903858370511313,-0.892438700982139,-0.911468918227715,-0.892438700982139,-0.0527737068841067,-0.218032882977249,-0.968953457167614,-0.0147223800960545
"ZEB1",-0.903858370511313,0.903858370511313,0.988583844319675,0.903858370511313,0.903858370511313,0.903858370511313,0.903858370511313,0.988583844319675,0.903858370511313,0.903858370511313,0.903858370511313,1,0.980973047516001,-0.903858370511313,-1,-0.988583844319675,-0.992388662122411,-0.988583844319675,-0.141312112863931,-0.165949415228212,-0.934903860224494,-0.0371557440031429
"ZEB2",-0.900049761418402,0.900049761418402,0.992388640746746,0.900049761418402,0.900049761418402,0.900049761418402,0.900049761418402,0.992388640746746,0.900049761418402,0.900049761418402,0.900049761418402,0.980973047516001,1,-0.900049761418402,-0.980973047516001,-0.992388640746746,-0.988583835160052,-0.992388640746746,-0.145113941073944,-0.184981756845726,-0.915873506106287,-0.0521785526996204
"miR-101",1,-1,-0.892438700982139,-1,-1,-1,-1,-0.892438700982139,-1,-1,-1,-0.903858370511313,-0.900049761418402,1,0.903858370511313,0.892438700982139,0.911468918227715,0.892438700982139,0.0527737068841067,0.218032882977249,0.968953457167614,0.0147223800960545
"miR-141",0.903858370511313,-0.903858370511313,-0.988583844319675,-0.903858370511313,-0.903858370511313,-0.903858370511313,-0.903858370511313,-0.988583844319675,-0.903858370511313,-0.903858370511313,-0.903858370511313,-1,-0.980973047516001,0.903858370511313,1,0.988583844319675,0.992388662122411,0.988583844319675,0.141312112863931,0.165949415228212,0.934903860224494,0.0371557440031429
"miR-200a",0.892438700982139,-0.892438700982139,-1,-0.892438700982139,-0.892438700982139,-0.892438700982139,-0.892438700982139,-1,-0.892438700982139,-0.892438700982139,-0.892438700982139,-0.988583844319675,-0.992388640746746,0.892438700982139,0.988583844319675,1,0.980971934833056,1,0.152726210776346,0.177369428897947,0.92348508321973,0.0485730647925757
