states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'0111111111111000001000',1,0.06580000000000001,0.0010230672835481883,0.04938271604938271,0.0662,0.001699019324983284,0.04938271604938271,0.05353333333333333,0.0014267289706021797,0.04938271604938271
'0101111011100011111001',1,0.005666666666666666,0.0007363574011458175,0.2839506172839506,,,,0.0194,0.0013490737563232034,0.2839506172839506
'0111111111111000001101',1,0.043399999999999994,0.00139522996909709,0.08641975308641975,0.05603333333333333,0.0038852999312222426,0.08641975308641975,0.03186666666666667,0.0012119772641798576,0.08641975308641975
'1000000000000111110111',1,0.06636666666666667,0.0011115554667022064,0.04938271604938271,0.06866666666666667,0.0040835714216302796,0.04938271604938271,0.053,0.001392838827718411,0.04938271604938271
'0111111111111000000000',1,0.07836666666666665,0.0017518244457961224,0.024691358024691357,0.07026666666666666,0.0007717224601860136,0.024691358024691357,0.07823333333333334,0.002468917891618825,0.024691358024691357
'1000000000000111110110',1,0.062233333333333335,0.001144066820115369,0.04938271604938271,0.06613333333333334,0.0016739839372652981,0.04938271604938271,0.04726666666666666,0.0030092450142112977,0.04938271604938271
'0111111111111000001100',1,0.043000000000000003,0.003476588366008646,0.08641975308641975,0.057966666666666666,0.0036745370078721763,0.08641975308641975,0.034833333333333334,0.0027716822007983195,0.08641975308641975
'0111111111111000000100',1,0.05366666666666667,0.0017172329163188354,0.06172839506172839,0.055933333333333335,0.0007408703590297633,0.06172839506172839,0.0537,0.0004966554808583792,0.06172839506172839
'0111111111111000000001',1,0.07786666666666667,0.0010338708279513892,0.024691358024691357,0.07053333333333332,0.0005249338582674521,0.024691358024691357,0.07256666666666667,0.0018263503375736969,0.024691358024691357
'1000000000000111111011',1,0.0536,0.0009092121131323906,0.06172839506172839,0.0598,0.001564182427553341,0.06172839506172839,0.05203333333333334,0.0010338708279513892,0.06172839506172839
'0101111011100011111100',1,0.0026666666666666666,0.00018856180831641273,0.32098765432098764,,,,0.010366666666666668,0.0009428090415820634,0.32098765432098764
'1000000000000111111110',1,0.0774,0.0005099019513592804,0.024691358024691357,0.06893333333333335,0.0030739045022396007,0.024691358024691357,0.07646666666666667,0.00192238278070616,0.024691358024691357
'1000000000000111110011',1,0.04466666666666667,0.0011025223605694156,0.08641975308641975,0.05603333333333333,0.0019293061504650393,0.08641975308641975,0.0357,0.001349073756323203,0.08641975308641975
'1000000000000111111111',1,0.07883333333333332,0.001717232916318838,0.024691358024691357,0.06836666666666666,0.0023442601296689686,0.024691358024691357,0.08126666666666667,0.0024225789747475525,0.024691358024691357
'1010000100011100000111',1,0.004733333333333333,0.0008219218670625299,0.30864197530864196,,,,0.011966666666666667,0.0006128258770283408,0.30864197530864196
'0111111111111000001001',1,0.061733333333333335,0.001855322673343432,0.04938271604938271,0.06563333333333334,0.002845268977716441,0.04938271604938271,0.04793333333333333,0.0022231109334044075,0.04938271604938271
'0111111111111000000101',1,0.05129999999999999,0.0014236104336041746,0.06172839506172839,0.05513333333333333,0.0011145502331533638,0.06172839506172839,0.04853333333333334,0.0011469767022723519,0.06172839506172839
'0101111011100011111000',1,0.0037333333333333333,0.00016996731711975941,0.30864197530864196,,,,0.012333333333333335,0.001327487183449325,0.30864197530864196
'1010000100011100000110',1,0.0064333333333333334,0.0006599663291074443,0.2839506172839506,,,,0.020166666666666666,0.0018696404883173535,0.2839506172839506
'1000000000000111111010',1,0.05293333333333333,0.0005906681715556456,0.06172839506172839,0.0592,0.0008981462390204989,0.06172839506172839,0.04933333333333334,0.002315647257727788,0.06172839506172839
'0101111011100011111101',1,0.0031,0.00021602468994692863,0.2962962962962963,,,,0.0105,0.0004082482904638627,0.2962962962962963
