states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'0111111111111000000100',0.07233333333333333,0.0018571184369578823,0.04878048780487805,0.07486666666666666,0.0014613540144521942,0.04878048780487805,0.061233333333333334,0.0007039570693980963,0.04878048780487805
'0111111111111000000000',0.06286666666666667,0.0022895899681432547,0.036585365853658534,0.04943333333333333,0.00200388511535855,0.036585365853658534,0.0714,0.0013952299690970903,0.036585365853658534
'0111111111111000001100',0.0587,0.0026993826454703796,0.07317073170731707,0.0752,0.002325224003546042,0.07317073170731707,0.04019999999999999,0.0023790754506740654,0.07317073170731707
'0111111111111000000101',0.06949999999999999,0.00112249721603218,0.04878048780487805,0.07533333333333334,0.0012229290885229433,0.04878048780487805,0.0572,0.0011860297916438131,0.04878048780487805
'1000000000000111111111',0.06483333333333333,0.002824102610663348,0.036585365853658534,0.05056666666666667,0.002329997615640171,0.036585365853658534,0.06993333333333333,0.0014055445761538715,0.036585365853658534
'1000000000000111110011',0.056499999999999995,0.003118760437524282,0.07317073170731707,0.07603333333333333,0.0020270394394014345,0.07317073170731707,0.039799999999999995,0.0015121728296284987,0.07317073170731707
'0111111111111000001101',0.04816666666666667,0.0016779617264870955,0.07317073170731707,0.07753333333333333,0.002499777767900358,0.07317073170731707,0.0357,0.0006480740698407864,0.07317073170731707
'1000000000000111110010',0.04963333333333333,0.00306847772609735,0.07317073170731707,0.07283333333333335,0.0013274871834493237,0.07317073170731707,0.03266666666666667,0.002641127705272041,0.07317073170731707
'0111111111111000001000',0.0534,0.0027820855486487103,0.06097560975609756,0.04736666666666667,0.001161416759345625,0.06097560975609756,0.05013333333333333,0.0004988876515698583,0.06097560975609756
'1000000000000111111010',0.067,0.001845715759987618,0.04878048780487805,0.07646666666666667,0.0015755069730795277,0.04878048780487805,0.05736666666666667,0.002013840995599094,0.04878048780487805
'0111111111111000000001',0.05960000000000001,0.0012832251036613434,0.036585365853658534,0.0497,0.002204540768504861,0.036585365853658534,0.0649,0.004257542327055206,0.036585365853658534
'1000000000000111110111',0.05146666666666666,0.002610661899893503,0.06097560975609756,0.04836666666666667,0.0016213848676020419,0.06097560975609756,0.04886666666666667,0.0015797327481430375,0.06097560975609756
'1000000000000111111011',0.0726,0.0024779023386727753,0.04878048780487805,0.07776666666666666,0.002215601247717847,0.04878048780487805,0.06246666666666667,0.0017307673314329568,0.04878048780487805
'1000000000000111111110',0.0609,0.0007348469228349547,0.036585365853658534,0.05129999999999999,0.0005099019513592781,0.036585365853658534,0.06443333333333333,0.0013097921802925703,0.036585365853658534
'0111111111111000001001',0.049666666666666665,0.00036817870057290794,0.06097560975609756,0.0494,0.001986621923433513,0.06097560975609756,0.04356666666666666,0.003880148908940939,0.06097560975609756
'1000000000000111110110',0.04823333333333333,0.0014383632673594263,0.06097560975609756,0.04783333333333333,0.0022395436042987756,0.06097560975609756,0.043833333333333335,0.001968643074697786,0.06097560975609756
'0101111011100011111100',0.005,0.0005887840577551896,0.3048780487804878,,,,0.015600000000000001,0.0008602325267042625,0.3048780487804878
'1010000100011100000110',0.002433333333333333,0.0002054804667656326,0.2926829268292683,,,,0.015233333333333335,0.0009672412085697938,0.2926829268292683
'1010000100001110100010',0.004066666666666666,0.00023570226039551604,0.2926829268292683,,,,0.0012333333333333335,0.00020548046676563257,0.2926829268292683
'0101111011100011111101',0.006433333333333333,0.00041096093353126513,0.2804878048780488,,,,0.017833333333333333,0.0003399346342395185,0.2804878048780488
'0101111011100011111000',0.0017000000000000001,0.0003559026084010438,0.3170731707317073,,,,0.0088,0.0006976149845485452,0.3170731707317073
'0101111011110001011101',0.004633333333333333,0.00016996731711975925,0.2926829268292683,,,,0.0010666666666666665,9.428090415820628e-5,0.2926829268292683
'1010000100011100000010',0.0057666666666666665,0.0008498365855987975,0.2804878048780488,,,,0.017166666666666667,0.0005436502143433363,0.2804878048780488
'1010000100011100000011',0.005766666666666667,0.0004714045207910317,0.3048780487804878,,,,0.014899999999999998,0.0007118052168020876,0.3048780487804878
'0101111011100011111001',0.0026333333333333334,4.714045207910329e-5,0.2926829268292683,,,,0.016033333333333333,0.0006649979114420001,0.2926829268292683
'1010000100011100000111',0.0015999999999999999,0.00021602468994692865,0.3170731707317073,,,,0.0082,0.0008602325267042625,0.3170731707317073
'0101111011100011111110',0.0021,0.00014142135623730956,0.32926829268292684,,,,,,
'1010000100011100000001',0.0018999999999999998,0.0005354126134736337,0.32926829268292684,,,,,,
'1010000100011100001001',0.00043333333333333337,0.00032998316455372216,0.35365853658536583,,,,,,
'0101111011100011111111',0.0033666666666666667,0.0006944222218666551,0.3048780487804878,,,,,,
'1010000100011100000000',0.0030000000000000005,0.0004898979485566357,0.3048780487804878,,,,,,
'1010000100011100001000',0.0013333333333333333,0.00023570226039551585,0.32926829268292684,,,,,,
'0001010001010001010001',,,0.4024390243902439,,,,,,
'0101111011100011110110',0.0002,0.0001414213562373095,0.35365853658536583,,,,,,
'0101111011100011110111',0.0010333333333333334,0.00012472191289246467,0.32926829268292684,,,,,,
'0101111011101011011110',0.0005,8.164965809277258e-5,0.36585365853658536,,,,,,
'1010000100010100100001',0.00023333333333333333,4.714045207910315e-5,0.36585365853658536,,,,,,
'1110101110101110101110',0.00023333333333333333,0.00018856180831641268,0.4024390243902439,,,,,,
'0101111011100011110100',,,,,,,0.005066666666666666,0.0004784233364802439,0.32926829268292684
'1010000100011100001010',,,,,,,0.0073,0.0008981462390204985,0.3048780487804878
'1010000100011100001110',,,,,,,0.005366666666666668,0.0005312459150169743,0.3170731707317073
'1010000100011100001011',,,,,,,0.005399999999999999,0.00035590260840104385,0.32926829268292684
'0101111011100011110101',,,,,,,0.005866666666666667,0.0005557777333511022,0.3048780487804878
'1010000100010100100111',,,,,,,0.0023333333333333335,0.00033993463423951894,0.32926829268292684
'0101111011100011110001',,,,,,,0.0051333333333333335,0.00030912061651652346,0.3170731707317073
'1000000000001110100010',,,,,,,0.0008333333333333334,4.714045207910314e-5,0.23170731707317074
'0101111011101011011000',,,,,,,0.002166666666666667,0.0001247219128924647,0.32926829268292684
'0111111111110001011101',,,,,,,0.0007666666666666667,0.00012472191289246472,0.23170731707317074
