"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-0.998995396636101,-0.904566527029687,-0.977296526197593,-0.998995396636101,-0.90316735463144,-0.998995396636101,-0.904566527029687,-0.998995396636101,-0.915221014158294,-0.99477595912554,-0.918026699522981,-0.907987691751914,0.977296526197593,0.918026699522981,0.903967446302073,0.913611863717894,0.903765709299061,0.0634894285044642,0.219011678540937,0.96644559363981,0.0176813516252854
"FOXC2",-0.998995396636101,1,0.905571829204613,0.976292199547719,1,0.902163765263217,1,0.905571829204613,1,0.914217349156963,0.995780601278443,0.919031883626808,0.906984024560479,-0.976292199547719,-0.919031883626808,-0.904169250990766,-0.912608118784728,-0.903565622825836,-0.0624844194374211,-0.218007603826218,-0.967450187148283,-0.0186859795344593
"GSC",-0.904566527029687,0.905571829204613,1,0.88185832014167,0.905571829204613,0.83182647154155,0.905571829204613,1,0.905571829204613,0.819770520262767,0.90979057328205,0.986538216325944,0.987744513509822,-0.88185832014167,-0.986538216325944,-0.997790323372029,-0.982118128937553,-0.995981813927138,-0.142459906528062,-0.180225096826296,-0.938121665709389,-0.0520394861965579
"KLF8",-0.977296526197593,0.976292199547719,0.88185832014167,1,0.976292199547719,0.925865697876996,0.976292199547719,0.88185832014167,0.976292199547719,0.937919877682775,0.972072490490122,0.895319350480361,0.889697776002427,-1,-0.895319350480361,-0.882061470392528,-0.895322531223031,-0.883467429378652,-0.0572635272819266,-0.24171257720539,-0.943742428745758,-0.0170785613823588
"SNAI1",-0.998995396636101,1,0.905571829204613,0.976292199547719,1,0.902163765263217,1,0.905571829204613,1,0.914217349156963,0.995780601278443,0.919031883626808,0.906984024560479,-0.976292199547719,-0.919031883626808,-0.904169250990766,-0.912608118784728,-0.903565622825836,-0.0624844194374211,-0.218007603826218,-0.967450187148283,-0.0186859795344593
"SNAI2",-0.90316735463144,0.902163765263217,0.83182647154155,0.925865697876996,0.902163765263217,1,0.902163765263217,0.83182647154155,0.902163765263217,0.987944467474949,0.906382169262108,0.829617731298449,0.844080815806849,-0.925865697876996,-0.829617731298449,-0.833231221538534,-0.84970720505365,-0.833834280364446,-0.0566688366722541,-0.315846938570712,-0.869613757272221,-0.0180833144116601
"TCF3",-0.998995396636101,1,0.905571829204613,0.976292199547719,1,0.902163765263217,1,0.905571829204613,1,0.914217349156963,0.995780601278443,0.919031883626808,0.906984024560479,-0.976292199547719,-0.919031883626808,-0.904169250990766,-0.912608118784728,-0.903565622825836,-0.0624844194374211,-0.218007603826218,-0.967450187148283,-0.0186859795344593
"TGF-beta",-0.904566527029687,0.905571829204613,1,0.88185832014167,0.905571829204613,0.83182647154155,0.905571829204613,1,0.905571829204613,0.819770520262767,0.90979057328205,0.986538216325944,0.987744513509822,-0.88185832014167,-0.986538216325944,-0.997790323372029,-0.982118128937553,-0.995981813927138,-0.142459906528062,-0.180225096826296,-0.938121665709389,-0.0520394861965579
"TWIST1",-0.998995396636101,1,0.905571829204613,0.976292199547719,1,0.902163765263217,1,0.905571829204613,1,0.914217349156963,0.995780601278443,0.919031883626808,0.906984024560479,-0.976292199547719,-0.919031883626808,-0.904169250990766,-0.912608118784728,-0.903565622825836,-0.0624844194374211,-0.218007603826218,-0.967450187148283,-0.0186859795344593
"TWIST2",-0.915221014158294,0.914217349156963,0.819770520262767,0.937919877682775,0.914217349156963,0.987944467474949,0.914217349156963,0.819770520262767,0.914217349156963,1,0.909996947975908,0.833233751961707,0.832025365922979,-0.937919877682775,-0.833233751961707,-0.821979346856465,-0.83765160108122,-0.823787887961488,-0.0506401720174238,-0.303791887972032,-0.881667388472782,-0.0116536745727508
