Cycles,Edge_count
ZEB2,1
"SNAI1,TWIST1,ZEB2",3
"TWIST2,TWIST1,ZEB2",3
"CDH1,TWIST1,ZEB2",3
"VIM,TWIST1,ZEB2",3
"SNAI1,GSC,TWIST1",3
"FOXC2,GSC,TWIST1",3
"ZEB1,GSC,TWIST1",3
"miR-141,TGF-beta,GSC,TWIST1,ZEB2",5
"SNAI1,TGF-beta,GSC",3
"SNAI2,TGF-beta,GSC,TWIST1",4
"miR-200a,TGF-beta,GSC,TWIST1,ZEB2",5
"miR-200b,TGF-beta,GSC,TWIST1,ZEB2",5
"miR-200c,TGF-beta,GSC,TWIST1,ZEB2",5
"FOXC2,ZEB1,TWIST1",3
"CDH1,ZEB1,TWIST1",3
"VIM,ZEB1,TWIST1",3
"miR-141,ZEB1,TWIST1,ZEB2",4
"miR-200b,ZEB1,TWIST1,ZEB2",4
"miR-200c,ZEB1,TWIST1,ZEB2",4
"miR-200a,ZEB1,TWIST1,ZEB2",4
ZEB1,1
"miR-101,ZEB1,TWIST1,ZEB2",4
"SNAI1,ZEB1,TWIST1",3
"miR-205,ZEB1,TWIST1,ZEB2",4
"TWIST2,ZEB1,TWIST1",3
"SNAI1,miR-34a,ZEB1",3
"SNAI2,miR-34a,ZEB1,TWIST1",4
"TWIST2,miR-34a,ZEB1",3
"CDH1,TCF3,TWIST1",3
"SNAI1,SNAI2,TWIST1",3
"miR-30c,SNAI2,TWIST1,ZEB2",4
"CDH1,SNAI2,TWIST1",3
"VIM,SNAI2,TWIST1",3
SNAI2,1
"TWIST2,SNAI2,TWIST1",3
"miR-101,SNAI2,TWIST1,ZEB2",4
"miR-200b,SNAI2,TWIST1,ZEB2",4
"SNAI1,FOXC2,TWIST1",3
"CDH1,miR-9,ZEB2",3
"CDH1,TWIST2,ZEB2",3
"SNAI1,TWIST2,ZEB2",3
"SNAI1,miR-30c,ZEB2",3
"miR-101,SNAI1,ZEB2",3
"CDH1,SNAI1,ZEB2",3
"VIM,SNAI1,ZEB2",3
SNAI1,1
"miR-101,KLF8,CDH1,ZEB2",4
