states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'11010001000000000111110110',1,0.022433333333333333,0.0011440668201153678,0.0707070707070707,,,,0.11986666666666668,0.0025486379804820405,0.0707070707070707
'11010001000000000111110010',1,0.016499999999999997,0.0003559026084010432,0.10101010101010101,,,,0.08059999999999999,0.0009899494936611664,0.10101010101010101
'00101110111111111000001001',1,0.020766666666666666,0.001007747763855398,0.0707070707070707,,,,0.12316666666666666,0.004094169295745132,0.0707070707070707
'00101110111111111000001101',1,0.014933333333333333,0.0005734883511361744,0.10101010101010101,,,,0.07886666666666667,0.0011115554667022064,0.10101010101010101
'00101110111111111000001000',1,0.021199999999999997,0.0002943920288775958,0.0707070707070707,,,,0.13236666666666666,0.003066304326420037,0.0707070707070707
'11010001000000000111110111',1,0.022933333333333333,0.0009568466729604884,0.0707070707070707,,,,0.12883333333333333,0.0036003086287459047,0.0707070707070707
'11010001000000000111110011',1,0.0174,0.001336662510384227,0.10101010101010101,,,,0.08879999999999999,0.0015641824275533416,0.10101010101010101
'10001010000100111100001110',1,0.0008333333333333334,0.00016996731711975952,0.3333333333333333,,,,0.024433333333333335,0.0008339997335464544,0.3333333333333333
'00101110111111111000001100',1,0.0173,0.002060744202143164,0.10101010101010101,,,,0.08836666666666666,0.0020270394394014363,0.10101010101010101
'00101110111111110001011101',1,0.0017666666666666666,0.00020548046676563254,0.2222222222222222,,,,0.007033333333333333,0.000664997911442,0.2222222222222222
'10001010010100111100001010',1,,,0.36363636363636365,,,,0.004233333333333333,0.0007760297817881876,0.36363636363636365
'11010001000000001110100010',1,0.0019666666666666665,0.0001247219128924647,0.2222222222222222,,,,0.0058,0.00029439202887759485,0.2222222222222222
'10001010000100111100001011',1,0.00023333333333333333,0.00012472191289246472,0.36363636363636365,,,,0.005033333333333333,0.0006236095644623237,0.36363636363636365
'01110101111011000011110100',1,0.0003,8.164965809277261e-5,0.36363636363636365,,,,0.004966666666666667,0.0005312459150169742,0.36363636363636365
'01110101111011000011110001',1,0.0008666666666666667,0.00016996731711975952,0.3333333333333333,,,,0.0247,0.0003559026084010432,0.3333333333333333
'00001110010100111000001111',1,,,0.35353535353535354,,,,0.0026666666666666666,0.00041899350299921784,0.35353535353535354
'10001010000100111100001010',1,0.00023333333333333336,0.00012472191289246472,0.3434343434343434,,,,0.009699999999999999,0.000535412613473634,0.3434343434343434
'01110101111011000011110101',1,0.00016666666666666666,9.428090415820633e-5,0.3434343434343434,,,,0.0097,0.0002160246899469287,0.3434343434343434
'01110101101011000011110101',1,,,0.36363636363636365,,,,0.0050999999999999995,0.0006683312551921141,0.36363636363636365
'11110001101011000111110000',1,,,0.35353535353535354,,,,0.0023333333333333335,0.00018856180831641257,0.35353535353535354
'00101100111111111000000001',1,0.07123333333333333,0.00194307888557196,0.050505050505050504,0.0704,0.0015513435037626767,0.050505050505050504,,,
'00101100111111111000000000',1,0.07246666666666667,0.002503774927761853,0.050505050505050504,0.07296666666666667,0.00012472191289246212,0.050505050505050504,,,
'00101100111111111000000101',1,0.0497,0.0011775681155103788,0.08080808080808081,0.05703333333333333,0.0037249906785863985,0.08080808080808081,,,
'11010011000000000111111110',1,0.07273333333333333,0.0008055363982396417,0.050505050505050504,0.07076666666666666,0.003252007926736274,0.050505050505050504,,,
'11010011000000000111111010',1,0.04903333333333334,0.0024957742063113184,0.08080808080808081,0.052300000000000006,0.0003741657386773931,0.08080808080808081,,,
'11010011000000000111111111',1,0.07286666666666666,0.002582419193099539,0.050505050505050504,0.07029999999999999,0.001232882800593796,0.050505050505050504,,,
'00101100111111111000000100',1,0.0499,0.0015297058540778353,0.08080808080808081,0.05403333333333333,0.003105192783422991,0.08080808080808081,,,
'11010011000000000111111011',1,0.04903333333333334,0.002098147330914162,0.08080808080808081,0.054433333333333334,0.003724095714249149,0.08080808080808081,,,
'00111111111111111000001001',0,0.020666666666666667,0.0019955506062794364,0.1414141414141414,,,,,,
'10001000000100010101100100',1,0.0004,0.0002449489742783178,0.3434343434343434,,,,,,
'11000000000000000111110010',0,0.014066666666666667,0.00044969125210773475,0.1717171717171717,,,,,,
'00111111111111111000001101',0,0.013466666666666668,0.0007760297817881873,0.1717171717171717,,,,,,
'01110111111011100011111000',1,0.0017,0.000282842712474619,0.31313131313131315,,,,,,
'11000001000000000111110110',0,0.0208,0.0008041558721209874,0.08080808080808081,,,,,,
'11000001000000000111110010',0,0.0133,0.00021602468994692817,0.1111111111111111,,,,,,
'00111111111111111000001000',0,0.0218,0.0002943920288775959,0.1414141414141414,,,,,,
