"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.808104024456662,"NF","miR205,miR200c"
"P",0.794687893516162,"NF","miR205,miR200b"
"P",0.808104024456662,"NF","miR205,miR200a"
"P",0.797887591451317,"NF","miR205,miR141"
"P",0.521471823280756,"NF","miR205,miR101"
"P",0.758332474810335,"NF","miR205,CDH1"
"P",0.757679766478488,"NF","miR205,miR34a"
"P",0.797887591451317,"NF","miR205,CLDN7"
"P",0.746369954384377,"DA","miR205,GRHL2"
"N",0.531301534036528,"NF","miR205,OVOL2"
"P",0.121490583115968,"NF","miR205,NP63"
"P",0.495509912436963,"NF","miR205,SNAI1"
"P",0.464690291727614,"NF","miR205,TCF3"
"P",0.46154933153395,"NF","miR205,KLF8"
"P",0.669168349154417,"NF","miR205,TGFbeta"
"P",0.504903385785292,"NF","miR205,FOXC2"
"P",0.865268602516736,"NF","miR205,ZEB1"
"P",0.627430231944262,"NF","miR205,SNAI2"
"P",0.599111354804506,"NF","miR205,GSC"
"P",0.522534898835824,"NF","miR205,TWIST1"
"P",0.67236541618912,"NF","miR205,TWIST2"
"P",0.89270061391382,"NF","miR205,ZEB2"
"P",1.57759599703353,"DA","miR200c,miR200c"
"P",1.56943725796169,"DA","miR200c,miR200b"
"P",1.57759599703353,"DA","miR200c,miR200a"
"P",1.57000999156699,"DA","miR200c,miR141"
"P",1.30169284139245,"DA","miR200c,miR101"
"P",1.36175461273871,"DA","miR200c,CDH1"
"P",1.45730168016608,"DA","miR200c,miR34a"
"P",1.32600278529956,"DA","miR200c,CLDN7"
"P",1.36101986250979,"DA","miR200c,GRHL2"
"P",0.948206404548072,"DA","miR200c,OVOL2"
"P",0.126202830022558,"NF","miR200c,NP63"
"P",1.03760643273102,"TS","miR200c,SNAI1"
"P",1.05269945715435,"TS","miR200c,TCF3"
"P",1.07242998340377,"TS","miR200c,KLF8"
"P",1.36121283466612,"TS","miR200c,TGFbeta"
"P",1.32965000341819,"TS","miR200c,FOXC2"
"P",1.70336875851417,"TS","miR200c,ZEB1"
"P",1.41415154403485,"TS","miR200c,SNAI2"
"P",1.42769325749539,"TS","miR200c,GSC"
"P",1.30801583254615,"TS","miR200c,TWIST1"
"P",1.40585319096476,"TS","miR200c,TWIST2"
"P",1.79514838519313,"TS","miR200c,ZEB2"
"P",1.56127851888985,"DA","miR200b,miR200b"
"P",1.56943725796169,"DA","miR200b,miR200a"
"P",1.56185125249514,"DA","miR200b,miR141"
"P",1.29721256377421,"DA","miR200b,miR101"
"P",1.56009305573279,"DA","miR200b,CDH1"
"P",1.45503214891025,"DA","miR200b,miR34a"
"P",1.52558689218359,"DA","miR200b,CLDN7"
"P",1.28473670745128,"DA","miR200b,GRHL2"
"P",0.978652550079559,"DA","miR200b,OVOL2"
"P",0.0426211654005009,"NF","miR200b,NP63"
"P",1.04230863851357,"TS","miR200b,SNAI1"
"P",1.25228356403837,"TS","miR200b,TCF3"
"P",1.27201409028779,"TS","miR200b,KLF8"
"P",1.46252144012844,"TS","miR200b,TGFbeta"
"P",1.31373915488899,"TS","miR200b,FOXC2"
"P",1.68647448572422,"TS","miR200b,ZEB1"
"P",1.61137230582717,"TS","miR200b,SNAI2"
"P",1.42311510429147,"TS","miR200b,GSC"
"P",1.30407412860281,"TS","miR200b,TWIST1"
"P",1.40280746357484,"TS","miR200b,TWIST2"
"P",1.78885984293254,"TS","miR200b,ZEB2"
"P",1.57759599703353,"DA","miR200a,miR200a"
"P",1.57000999156699,"DA","miR200a,miR141"
"P",1.30169284139245,"DA","miR200a,miR101"
"P",1.36175461273871,"DA","miR200a,CDH1"
"P",1.45730168016608,"DA","miR200a,miR34a"
"P",1.32600278529956,"DA","miR200a,CLDN7"
"P",1.36101986250979,"DA","miR200a,GRHL2"
"P",0.948206404548072,"DA","miR200a,OVOL2"
"P",0.126202830022558,"NF","miR200a,NP63"
"P",1.03760643273102,"TS","miR200a,SNAI1"
"P",1.05269945715435,"TS","miR200a,TCF3"
"P",1.07242998340377,"TS","miR200a,KLF8"
"P",1.36121283466612,"TS","miR200a,TGFbeta"
"P",1.32965000341819,"TS","miR200a,FOXC2"
"P",1.70336875851417,"TS","miR200a,ZEB1"
"P",1.41415154403485,"TS","miR200a,SNAI2"
"P",1.42769325749539,"TS","miR200a,GSC"
"P",1.30801583254615,"TS","miR200a,TWIST1"
"P",1.40585319096476,"TS","miR200a,TWIST2"
"P",1.79514838519313,"TS","miR200a,ZEB2"
"P",1.56242398610044,"DA","miR141,miR141"
"P",1.29538517105408,"DA","miR141,miR101"
"P",1.35772140529043,"DA","miR141,CDH1"
"P",1.45211391585328,"DA","miR141,miR34a"
"P",1.32316491350733,"DA","miR141,CLDN7"
"P",1.35188884822001,"DA","miR141,GRHL2"
"P",0.934644831575411,"DA","miR141,OVOL2"
"P",0.158417656109582,"NF","miR141,NP63"
"P",1.03790777042389,"TS","miR141,SNAI1"
"P",1.04986158536211,"TS","miR141,TCF3"
"P",1.06959211161153,"TS","miR141,KLF8"
"P",1.35766323591751,"TS","miR141,TGFbeta"
"P",1.31858588751148,"TS","miR141,FOXC2"
"P",1.6912400345772,"TS","miR141,ZEB1"
"P",1.40892382942355,"TS","miR141,SNAI2"
"P",1.42249652997241,"TS","miR141,GSC"
"P",1.30173265207705,"TS","miR141,TWIST1"
"P",1.39981841781518,"TS","miR141,TWIST2"
"P",1.58919910510348,"TS","miR141,ZEB2"
"P",0.904953855746216,"DA","miR101,miR101"
"P",1.38724573400239,"DA","miR101,CDH1"
"P",1.20889209232118,"DA","miR101,miR34a"
"P",1.38060299131397,"DA","miR101,CLDN7"
"P",0.998812792942004,"DA","miR101,GRHL2"
"P",0.913465621202155,"DA","miR101,OVOL2"
"P",0.244950787316597,"NF","miR101,NP63"
"P",0.783120669276343,"TS","miR101,SNAI1"
"P",1.06808897984528,"TS","miR101,TCF3"
"P",1.17097385840403,"TS","miR101,KLF8"
"P",1.17032766037341,"TS","miR101,TGFbeta"
"P",0.998532296532503,"TS","miR101,FOXC2"
"P",1.32476867123524,"TS","miR101,ZEB1"
"P",1.35260684114305,"TS","miR101,SNAI2"
