"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.80757535084522,"NF","miR205,miR200c"
"P",0.790393485889349,"NF","miR205,miR200b"
"P",0.80757535084522,"NF","miR205,miR200a"
"P",0.797507971021629,"NF","miR205,miR141"
"P",0.51638612067895,"NF","miR205,miR101"
"P",0.757499055747298,"NF","miR205,CDH1"
"P",0.757272743779045,"NF","miR205,miR34a"
"P",0.797507971021629,"NF","miR205,CLDN7"
"P",0.74633731794995,"DA","miR205,GRHL2"
"N",0.531538775429917,"NF","miR205,OVOL2"
"P",0.121459470122852,"NF","miR205,NP63"
"P",0.494940349731001,"NF","miR205,SNAI1"
"P",0.464260319489406,"NF","miR205,TCF3"
"P",0.457980405715394,"NF","miR205,KLF8"
"P",0.66847530187746,"NF","miR205,TGFbeta"
"P",0.504626273918433,"NF","miR205,FOXC2"
"P",0.864386779075218,"NF","miR205,ZEB1"
"P",0.612972109204756,"NF","miR205,SNAI2"
"P",0.598817501699004,"NF","miR205,GSC"
"P",0.521396837755935,"NF","miR205,TWIST1"
"P",0.664078357784936,"NF","miR205,TWIST2"
"P",0.891208613377532,"NF","miR205,ZEB2"
"P",1.57355646011265,"DA","miR200c,miR200c"
"P",1.55902755888852,"DA","miR200c,miR200b"
"P",1.57355646011265,"DA","miR200c,miR200a"
"P",1.56636216566688,"DA","miR200c,miR141"
"P",1.28989603718319,"DA","miR200c,miR101"
"P",1.35152813119485,"DA","miR200c,CDH1"
"P",1.45076264756403,"DA","miR200c,miR34a"
"P",1.32119785771299,"DA","miR200c,CLDN7"
"P",1.36160983557623,"DA","miR200c,GRHL2"
"P",0.946722240156796,"DA","miR200c,OVOL2"
"P",0.135406187984289,"NF","miR200c,NP63"
"P",1.04148530987818,"TS","miR200c,SNAI1"
"P",1.04709487308304,"TS","miR200c,TCF3"
"P",1.06263550269386,"TS","miR200c,KLF8"
"P",1.35387574091045,"TS","miR200c,TGFbeta"
"P",1.32787812652059,"TS","miR200c,FOXC2"
"P",1.69985797792572,"TS","miR200c,ZEB1"
"P",1.38303946902194,"TS","miR200c,SNAI2"
"P",1.42223847405458,"TS","miR200c,GSC"
"P",1.29947135661117,"TS","miR200c,TWIST1"
"P",1.3856622688784,"TS","miR200c,TWIST2"
"P",1.78996992789465,"TS","miR200c,ZEB2"
"P",1.54449865766438,"DA","miR200b,miR200b"
"P",1.55902755888852,"DA","miR200b,miR200a"
"P",1.55183326444274,"DA","miR200b,miR141"
"P",1.27597402479599,"DA","miR200b,miR101"
"P",1.54231002403751,"DA","miR200b,CDH1"
"P",1.43822267910942,"DA","miR200b,miR34a"
"P",1.51417191100738,"DA","miR200b,CLDN7"
"P",1.2846859983173,"DA","miR200b,GRHL2"
"P",0.973779984484273,"DA","miR200b,OVOL2"
"P",0.0279475744698755,"NF","miR200b,NP63"
"P",1.03136523602929,"TS","miR200b,SNAI1"
"P",1.24006892637743,"TS","miR200b,TCF3"
"P",1.25560955598825,"TS","miR200b,KLF8"
"P",1.44251697998032,"TS","miR200b,TGFbeta"
"P",1.30846616039261,"TS","miR200b,FOXC2"
"P",1.67861527628442,"TS","miR200b,ZEB1"
"P",1.57183537126238,"TS","miR200b,SNAI2"
"P",1.40826071716406,"TS","miR200b,GSC"
"P",1.28611038919581,"TS","miR200b,TWIST1"
"P",1.37287094011135,"TS","miR200b,TWIST2"
"P",1.77832196291393,"TS","miR200b,ZEB2"
"P",1.57355646011265,"DA","miR200a,miR200a"
"P",1.56636216566688,"DA","miR200a,miR141"
"P",1.28989603718319,"DA","miR200a,miR101"
"P",1.35152813119485,"DA","miR200a,CDH1"
"P",1.45076264756403,"DA","miR200a,miR34a"
"P",1.32119785771299,"DA","miR200a,CLDN7"
"P",1.36160983557623,"DA","miR200a,GRHL2"
"P",0.946722240156796,"DA","miR200a,OVOL2"
"P",0.135406187984289,"NF","miR200a,NP63"
"P",1.04148530987818,"TS","miR200a,SNAI1"
"P",1.04709487308304,"TS","miR200a,TCF3"
"P",1.06263550269386,"TS","miR200a,KLF8"
"P",1.35387574091045,"TS","miR200a,TGFbeta"
"P",1.32787812652059,"TS","miR200a,FOXC2"
"P",1.69985797792572,"TS","miR200a,ZEB1"
"P",1.38303946902194,"TS","miR200a,SNAI2"
"P",1.42223847405458,"TS","miR200a,GSC"
"P",1.29947135661117,"TS","miR200a,TWIST1"
"P",1.3856622688784,"TS","miR200a,TWIST2"
