"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.807369476103811,"NF","miR205,miR200c"
"P",0.790109154294669,"NF","miR205,miR200b"
"P",0.807369476103811,"NF","miR205,miR200a"
"P",0.796853819993679,"NF","miR205,miR141"
"P",0.444979019977412,"NF","miR205,miR101"
"P",0.755498584418826,"NF","miR205,CDH1"
"P",0.757312598978477,"NF","miR205,miR34a"
"P",0.796853819993679,"NF","miR205,CLDN7"
"P",0.743776049833317,"DA","miR205,GRHL2"
"N",0.528680789244965,"NF","miR205,OVOL2"
"P",0.119863698563013,"NF","miR205,NP63"
"P",0.490661688306589,"NF","miR205,SNAI1"
"P",0.4658364092238,"NF","miR205,TCF3"
"P",0.400391126298609,"NF","miR205,KLF8"
"P",0.667499188967766,"NF","miR205,TGFbeta"
"P",0.505294653214547,"NF","miR205,FOXC2"
"P",0.863736366054927,"NF","miR205,ZEB1"
"P",0.616141405224061,"NF","miR205,SNAI2"
"P",0.598028724095344,"NF","miR205,GSC"
"P",0.523632095626185,"NF","miR205,TWIST1"
"P",0.665484461118299,"NF","miR205,TWIST2"
"P",0.892062607468454,"NF","miR205,ZEB2"
"P",1.57091820584157,"DA","miR200c,miR200c"
"P",1.55681745135528,"DA","miR200c,miR200b"
"P",1.57091820584157,"DA","miR200c,miR200a"
"P",1.56333171891405,"DA","miR200c,miR141"
"P",1.1662285504374,"DA","miR200c,miR101"
"P",1.36123394261232,"DA","miR200c,CDH1"
"P",1.44502071217961,"DA","miR200c,miR34a"
"P",1.32786940712266,"DA","miR200c,CLDN7"
"P",1.37281247708596,"DA","miR200c,GRHL2"
"P",0.930872128275742,"DA","miR200c,OVOL2"
"P",0.229087449023501,"NF","miR200c,NP63"
"P",1.03133067851148,"TS","miR200c,SNAI1"
"P",1.05748996508613,"TS","miR200c,TCF3"
"P",0.961970390617165,"TS","miR200c,KLF8"
"P",1.34425543146883,"TS","miR200c,TGFbeta"
"P",1.32807318983885,"TS","miR200c,FOXC2"
"P",1.69797991715512,"TS","miR200c,ZEB1"
"P",1.39953726032624,"TS","miR200c,SNAI2"
"P",1.41914500794763,"TS","miR200c,GSC"
"P",1.29841304427873,"TS","miR200c,TWIST1"
"P",1.38337582992708,"TS","miR200c,TWIST2"
"P",1.78856007498012,"TS","miR200c,ZEB2"
"P",1.54271669686899,"DA","miR200b,miR200b"
"P",1.55681745135528,"DA","miR200b,miR200a"
"P",1.54923096442776,"DA","miR200b,miR141"
"P",1.15271406706994,"DA","miR200b,miR101"
"P",1.55397838342629,"DA","miR200b,CDH1"
"P",1.43423949783699,"DA","miR200b,miR34a"
"P",1.52273294497756,"DA","miR200b,CLDN7"
"P",1.29049825047072,"DA","miR200b,GRHL2"
"P",0.961331055016795,"DA","miR200b,OVOL2"
"P",0.0372634871908623,"NF","miR200b,NP63"
"P",1.02273487460035,"TS","miR200b,SNAI1"
"P",1.25235350294102,"TS","miR200b,TCF3"
"P",1.15683392847206,"TS","miR200b,KLF8"
"P",1.4355815561742,"TS","miR200b,TGFbeta"
"P",1.30850284058361,"TS","miR200b,FOXC2"
"P",1.67659470172535,"TS","miR200b,ZEB1"
"P",1.59032266438446,"TS","miR200b,SNAI2"
"P",1.4056445484143,"TS","miR200b,GSC"
"P",1.28646089893428,"TS","miR200b,TWIST1"
"P",1.37209946758217,"TS","miR200b,TWIST2"
"P",1.77735064375346,"TS","miR200b,ZEB2"
"P",1.57091820584157,"DA","miR200a,miR200a"
"P",1.56333171891405,"DA","miR200a,miR141"
"P",1.1662285504374,"DA","miR200a,miR101"
"P",1.36123394261232,"DA","miR200a,CDH1"
"P",1.44502071217961,"DA","miR200a,miR34a"
"P",1.32786940712266,"DA","miR200a,CLDN7"
"P",1.37281247708596,"DA","miR200a,GRHL2"
"P",0.930872128275742,"DA","miR200a,OVOL2"
"P",0.229087449023501,"NF","miR200a,NP63"
"P",1.03133067851148,"TS","miR200a,SNAI1"
"P",1.05748996508613,"TS","miR200a,TCF3"
"P",0.961970390617165,"TS","miR200a,KLF8"
"P",1.34425543146883,"TS","miR200a,TGFbeta"
"P",1.32807318983885,"TS","miR200a,FOXC2"
"P",1.69797991715512,"TS","miR200a,ZEB1"
"P",1.39953726032624,"TS","miR200a,SNAI2"
"P",1.41914500794763,"TS","miR200a,GSC"
"P",1.29841304427873,"TS","miR200a,TWIST1"
"P",1.38337582992708,"TS","miR200a,TWIST2"
"P",1.78856007498012,"TS","miR200a,ZEB2"
"P",1.55574523198654,"DA","miR141,miR141"
"P",1.1603335861737,"DA","miR141,miR101"
"P",1.35737820277905,"DA","miR141,CDH1"
"P",1.44044689630095,"DA","miR141,miR34a"
"P",1.32521385200393,"DA","miR141,CLDN7"
"P",1.36168945162114,"DA","miR141,GRHL2"
"P",0.917187110713262,"DA","miR141,OVOL2"
"P",0.258859439646747,"NF","miR141,NP63"
"P",1.03204751884042,"TS","miR141,SNAI1"
"P",1.05483440996739,"TS","miR141,TCF3"
"P",0.959314835498429,"TS","miR141,KLF8"
"P",1.34171625765427,"TS","miR141,TGFbeta"
"P",1.31666133804644,"TS","miR141,FOXC2"
"P",1.68549671793288,"TS","miR141,ZEB1"
"P",1.3945128505548,"TS","miR141,SNAI2"
"P",1.41431503939203,"TS","miR141,GSC"
"P",1.29257458549151,"TS","miR141,TWIST1"
"P",1.37777338096035,"TS","miR141,TWIST2"
"P",1.58252417563111,"TS","miR141,ZEB2"
"P",0.716177279320488,"DA","miR101,miR101"
"P",1.06777146991045,"DA","miR101,CDH1"
"P",1.03768945241739,"DA","miR101,miR34a"
"P",1.07933731448738,"DA","miR101,CLDN7"
"P",0.991021851716536,"DA","miR101,GRHL2"
"P",0.773526642037812,"DA","miR101,OVOL2"
"P",0.0216679863216737,"NF","miR101,NP63"
"P",0.677975156465537,"TS","miR101,SNAI1"
"P",0.766288047125624,"TS","miR101,TCF3"
"P",0.792471601168882,"TS","miR101,KLF8"
"P",1.00843662980317,"TS","miR101,TGFbeta"
"P",0.9241221629655,"TS","miR101,FOXC2"
"P",1.23574312416321,"TS","miR101,ZEB1"
"P",1.08961147109465,"TS","miR101,SNAI2"
"P",0.991798107881455,"TS","miR101,GSC"
"P",0.81885323408438,"TS","miR101,TWIST1"
"P",1.01795825443934,"TS","miR101,TWIST2"
"P",1.21358264520139,"TS","miR101,ZEB2"
"P",1.57707210812992,"DA","CDH1,CDH1"
"P",1.22774609449952,"DA","CDH1,miR34a"
"P",1.44172398355391,"DA","CDH1,CLDN7"
"P",1.12912216980809,"DA","CDH1,GRHL2"
"P",0.926414661906744,"DA","CDH1,OVOL2"
"P",0.0193313626039827,"NF","CDH1,NP63"
"P",1.0332640726432,"TS","CDH1,SNAI1"
"P",1.383985576271,"TS","CDH1,TCF3"
"P",1.19259884534079,"TS","CDH1,KLF8"
"P",1.35181011361304,"TS","CDH1,TGFbeta"
"P",1.22714434400015,"TS","CDH1,FOXC2"
"P",1.48747902639921,"TS","CDH1,ZEB1"
"P",1.7238215506741,"TS","CDH1,SNAI2"
"P",1.31639675542359,"TS","CDH1,GSC"
"P",1.40511974813505,"TS","CDH1,TWIST1"
"P",1.58358373339517,"TS","CDH1,TWIST2"
"P",1.5880496822892,"TS","CDH1,ZEB2"
"P",1.25595865856724,"DA","miR34a,miR34a"
"P",1.21003783929825,"DA","miR34a,CLDN7"
"P",1.28104151759002,"DA","miR34a,GRHL2"
"P",0.908892578200446,"DA","miR34a,OVOL2"
"P",0.225648968927695,"NF","miR34a,NP63"
"P",0.975458426128888,"TS","miR34a,SNAI1"
"P",1.01045992578796,"TS","miR34a,TCF3"
"P",0.892971545980747,"TS","miR34a,KLF8"
"P",1.20189612492916,"TS","miR34a,TGFbeta"
"P",1.28067942111742,"TS","miR34a,FOXC2"
"P",1.57239977365038,"TS","miR34a,ZEB1"
"P",1.36712935333178,"TS","miR34a,SNAI2"
"P",1.20130319941935,"TS","miR34a,GSC"
"P",1.20523593747874,"TS","miR34a,TWIST1"
"P",1.42720286166285,"TS","miR34a,TWIST2"
"P",1.35932546294418,"TS","miR34a,ZEB2"
"P",1.09468247202132,"DA","CLDN7,CLDN7"
"P",1.1653883076274,"DA","CLDN7,GRHL2"
"P",0.801868946071421,"DA","CLDN7,OVOL2"
"P",0.258859439646747,"NF","CLDN7,NP63"
"P",0.955506712042356,"TS","CLDN7,SNAI1"
"P",1.04479794596737,"TS","CLDN7,TCF3"
"P",0.867604471739733,"TS","CLDN7,KLF8"
"P",1.2307382931897,"TS","CLDN7,TGFbeta"
"P",1.21381277388833,"TS","CLDN7,FOXC2"
"P",1.46615949002013,"TS","CLDN7,ZEB1"
"P",1.49749855306336,"TS","CLDN7,SNAI2"
"P",1.29050868802844,"TS","CLDN7,GSC"
"P",1.29468204162698,"TS","CLDN7,TWIST1"
"P",1.46191613460604,"TS","CLDN7,TWIST2"
"P",1.3515391219713,"TS","CLDN7,ZEB2"
"P",1.0426090453923,"DA","GRHL2,GRHL2"
"P",0.724511590531992,"DA","GRHL2,OVOL2"
"P",0.348460620617344,"DA","GRHL2,NP63"
"P",0.8706128106556,"TS","GRHL2,SNAI1"
"P",0.837576237885236,"TS","GRHL2,TCF3"
