"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.79901573005205,"NF","miR205,miR200c"
"P",0.782120978668257,"NF","miR205,miR200b"
"P",0.788710469528536,"NF","miR205,miR200a"
"P",0.788710469528536,"NF","miR205,miR141"
"P",0.513038513699867,"NF","miR205,miR101"
"P",0.747610181821988,"NF","miR205,CDH1"
"P",0.748166640939559,"NF","miR205,miR34a"
"P",0.788710469528536,"NF","miR205,CLDN7"
"P",0.734708819713378,"DA","miR205,GRHL2"
"N",0.521762845441526,"NF","miR205,OVOL2"
"P",0.121568869056888,"NF","miR205,NP63"
"P",0.487130123422285,"NF","miR205,SNAI1"
"P",0.459918842399093,"NF","miR205,TCF3"
"P",0.455299776127746,"NF","miR205,KLF8"
"P",0.654003493302653,"NF","miR205,TGFbeta"
"P",0.497557701197102,"NF","miR205,FOXC2"
"P",0.853493371665768,"NF","miR205,ZEB1"
"P",0.607854529571128,"NF","miR205,SNAI2"
"P",0.586708938146826,"NF","miR205,GSC"
"P",0.515966989223071,"NF","miR205,TWIST1"
"P",0.658710955488961,"NF","miR205,TWIST2"
"P",0.881221994554573,"NF","miR205,ZEB2"
"P",1.55682760976646,"DA","miR200c,miR200c"
"P",1.54326737382533,"DA","miR200c,miR200b"
"P",1.54972669162721,"DA","miR200c,miR200a"
"P",1.54972669162721,"DA","miR200c,miR141"
"P",1.2767678549552,"DA","miR200c,miR101"
"P",1.34271455320191,"DA","miR200c,CDH1"
"P",1.43729079963644,"DA","miR200c,miR34a"
"P",1.31216693122177,"DA","miR200c,CLDN7"
"P",1.3455713310257,"DA","miR200c,GRHL2"
"P",0.936341545666629,"DA","miR200c,OVOL2"
"P",0.11778332923007,"NF","miR200c,NP63"
"P",1.02753040982628,"TS","miR200c,SNAI1"
"P",1.04236695591473,"TS","miR200c,TCF3"
"P",1.06055966640044,"TS","miR200c,KLF8"
"P",1.33719457191917,"TS","miR200c,TGFbeta"
"P",1.31588405952825,"TS","miR200c,FOXC2"
"P",1.68360323754068,"TS","miR200c,ZEB1"
"P",1.37760036533087,"TS","miR200c,SNAI2"
"P",1.40293178393916,"TS","miR200c,GSC"
