"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.807871521234435,"NF","miR205,miR200c"
"P",0.790577000954909,"NF","miR205,miR200b"
"P",0.807871521234435,"NF","miR205,miR200a"
"P",0.797798694809965,"NF","miR205,miR141"
"P",0.518731631080683,"NF","miR205,miR101"
"P",0.746751001736184,"NF","miR205,CDH1"
"P",0.757607389701134,"NF","miR205,miR34a"
"P",0.797798694809965,"NF","miR205,CLDN7"
"P",0.746744345006539,"DA","miR205,GRHL2"
"N",0.53195699791934,"NF","miR205,OVOL2"
"P",0.12148890048048,"NF","miR205,NP63"
"P",0.49577674464505,"NF","miR205,SNAI1"
"P",0.465100689994108,"NF","miR205,TCF3"
"P",0.459938214721712,"NF","miR205,KLF8"
"P",0.668756925980412,"NF","miR205,TGFbeta"
"P",0.505211927745154,"NF","miR205,FOXC2"
"P",0.864807800286916,"NF","miR205,ZEB1"
"P",0.614541583139302,"NF","miR205,SNAI2"
"P",0.598977525885189,"NF","miR205,GSC"
"P",0.522474768491699,"NF","miR205,TWIST1"
"P",0.664967609074102,"NF","miR205,TWIST2"
"P",0.891598359860148,"NF","miR205,ZEB2"
"P",1.57450936114115,"DA","miR200c,miR200c"
"P",1.5599257791803,"DA","miR200c,miR200b"
"P",1.57450936114115,"DA","miR200c,miR200a"
"P",1.56730994042481,"DA","miR200c,miR141"
"P",1.28370818436083,"DA","miR200c,miR101"
"P",1.34220452785154,"DA","miR200c,CDH1"
"P",1.45240257560304,"DA","miR200c,miR34a"
"P",1.32322587058975,"DA","miR200c,CLDN7"
"P",1.36086612112294,"DA","miR200c,GRHL2"
"P",0.949571717352516,"DA","miR200c,OVOL2"
"P",0.123295424142332,"NF","miR200c,NP63"
"P",1.04295632138542,"TS","miR200c,SNAI1"
"P",1.04979517913051,"TS","miR200c,TCF3"
"N",1.06661938619706,"NF","miR200c,KLF8"
"P",1.35588619370136,"TS","miR200c,TGFbeta"
"P",1.32892351536329,"TS","miR200c,FOXC2"
"P",1.70090664940226,"TS","miR200c,ZEB1"
"P",1.3870975655219,"TS","miR200c,SNAI2"
"P",1.42290882998599,"TS","miR200c,GSC"
"P",1.30189455253887,"TS","miR200c,TWIST1"
"P",1.38794309984666,"TS","miR200c,TWIST2"
"P",1.79098680314686,"TS","miR200c,ZEB2"
"P",1.54534219721946,"DA","miR200b,miR200b"
"P",1.5599257791803,"DA","miR200b,miR200a"
"P",1.55272635846397,"DA","miR200b,miR141"
"P",1.26289084238794,"DA","miR200b,miR101"
"P",1.53140902899816,"DA","miR200b,CDH1"
"P",1.43994161817904,"DA","miR200b,miR34a"
"P",1.51468740696336,"DA","miR200b,CLDN7"
"P",1.28203150227999,"DA","miR200b,GRHL2"
"P",0.97759032023231,"DA","miR200b,OVOL2"
"P",0.0481607071176876,"NF","miR200b,NP63"
"P",1.03258068503963,"TS","miR200b,SNAI1"
"P",1.24125671550412,"TS","miR200b,TCF3"
"N",1.25808092257067,"NF","miR200b,KLF8"
"P",1.44478863217048,"TS","miR200b,TGFbeta"
"P",1.30937781395396,"TS","miR200b,FOXC2"
"P",1.67944264029401,"TS","miR200b,ZEB1"
"P",1.57423201214536,"TS","miR200b,SNAI2"
"P",1.40874106005271,"TS","miR200b,GSC"
"P",1.28855407978131,"TS","miR200b,TWIST1"
"P",1.37518086532083,"TS","miR200b,TWIST2"
"P",1.77929732605721,"TS","miR200b,ZEB2"
"P",1.57450936114115,"DA","miR200a,miR200a"
"P",1.56730994042481,"DA","miR200a,miR141"
"P",1.28370818436083,"DA","miR200a,miR101"
"P",1.34220452785154,"DA","miR200a,CDH1"
"P",1.45240257560304,"DA","miR200a,miR34a"
"P",1.32322587058975,"DA","miR200a,CLDN7"
"P",1.36086612112294,"DA","miR200a,GRHL2"
"P",0.949571717352516,"DA","miR200a,OVOL2"
"P",0.123295424142332,"NF","miR200a,NP63"
"P",1.04295632138542,"TS","miR200a,SNAI1"
"P",1.04979517913051,"TS","miR200a,TCF3"
"N",1.06661938619706,"NF","miR200a,KLF8"
"P",1.35588619370136,"TS","miR200a,TGFbeta"
"P",1.32892351536329,"TS","miR200a,FOXC2"
"P",1.70090664940226,"TS","miR200a,ZEB1"
"P",1.3870975655219,"TS","miR200a,SNAI2"
"P",1.42290882998599,"TS","miR200a,GSC"
"P",1.30189455253887,"TS","miR200a,TWIST1"
"P",1.38794309984666,"TS","miR200a,TWIST2"
"P",1.79098680314686,"TS","miR200a,ZEB2"
"P",1.56011051970847,"DA","miR141,miR141"
"P",1.27888221122902,"DA","miR141,miR101"
"P",1.33872616781102,"DA","miR141,CDH1"
"P",1.44795356946906,"DA","miR141,miR34a"
"P",1.32077930531911,"DA","miR141,CLDN7"
"P",1.35182157967006,"DA","miR141,GRHL2"
"P",0.936105428082472,"DA","miR141,OVOL2"
"P",0.155745036301648,"NF","miR141,NP63"
"P",1.04381337732686,"TS","miR141,SNAI1"
"P",1.04734861385987,"TS","miR141,TCF3"
"N",1.06417282092642,"NF","miR141,KLF8"
"P",1.35314712776368,"TS","miR141,TGFbeta"
"P",1.31799547979783,"TS","miR141,FOXC2"
"P",1.68901229996644,"TS","miR141,ZEB1"
"P",1.38258137296491,"TS","miR141,SNAI2"
"P",1.41842337018465,"TS","miR141,GSC"
"P",1.29636802817092,"TS","miR141,TWIST1"
"P",1.38264606449284,"TS","miR141,TWIST2"
"P",1.58528945331082,"TS","miR141,ZEB2"
"P",1.01299323791421,"DA","miR101,miR101"
"P",1.29083961949349,"DA","miR101,CDH1"
"P",1.19071630574387,"DA","miR101,miR34a"
"P",1.35802903964914,"DA","miR101,CLDN7"
"P",0.989421679974881,"DA","miR101,GRHL2"
"P",0.908692949283129,"DA","miR101,OVOL2"
"P",0.25330445658365,"NF","miR101,NP63"
"P",0.862658549143295,"TS","miR101,SNAI1"
"P",1.03887075705343,"TS","miR101,TCF3"
"N",1.21691545557593,"NF","miR101,KLF8"
"P",1.15691863865502,"TS","miR101,TGFbeta"
"P",0.985050180935758,"TS","miR101,FOXC2"
"P",1.30758795217563,"TS","miR101,ZEB1"
"P",1.35994718469735,"TS","miR101,SNAI2"
"P",1.12954086226686,"TS","miR101,GSC"
"P",1.03543068516487,"TS","miR101,TWIST1"
"P",1.15594898686087,"TS","miR101,TWIST2"
"P",1.40546766150233,"TS","miR101,ZEB2"
"P",1.48755698186268,"DA","CDH1,CDH1"
"P",1.20200911362218,"DA","CDH1,miR34a"
"P",1.39226640522177,"DA","CDH1,CLDN7"
"P",1.10306245047845,"DA","CDH1,GRHL2"
"P",0.922813570759014,"DA","CDH1,OVOL2"
"P",0.0551559071927857,"NF","CDH1,NP63"
"P",1.00494625046571,"TS","CDH1,SNAI1"
"P",1.31875550265471,"TS","CDH1,TCF3"
"N",1.43699670618271,"NF","CDH1,KLF8"
"P",1.33365755803128,"TS","CDH1,TGFbeta"
"P",1.19735348416366,"TS","CDH1,FOXC2"
"P",1.46675290228412,"TS","CDH1,ZEB1"
"P",1.65094334097073,"TS","CDH1,SNAI2"
"P",1.29947913803545,"TS","CDH1,GSC"
"P",1.36638030082564,"TS","CDH1,TWIST1"
"P",1.55167651878707,"TS","CDH1,TWIST2"
"P",1.5661977834612,"TS","CDH1,ZEB2"
"P",1.2655283828068,"DA","miR34a,miR34a"
"P",1.20376203358561,"DA","miR34a,CLDN7"
"P",1.27426486095863,"DA","miR34a,GRHL2"
"P",0.929683592258846,"DA","miR34a,OVOL2"
"P",0.124207591561007,"NF","miR34a,NP63"
"P",0.990704942554985,"TS","miR34a,SNAI1"
"P",0.997764410937393,"TS","miR34a,TCF3"
"N",1.02965377416209,"NF","miR34a,KLF8"
"P",1.21520719177863,"TS","miR34a,TGFbeta"
"P",1.28442026673908,"TS","miR34a,FOXC2"
"P",1.57922288417916,"TS","miR34a,ZEB1"
"P",1.35014587902863,"TS","miR34a,SNAI2"
"P",1.20774836512024,"TS","miR34a,GSC"
"P",1.20794203607682,"TS","miR34a,TWIST1"
"P",1.43186158873576,"TS","miR34a,TWIST2"
"P",1.36625735215043,"TS","miR34a,ZEB2"
"P",1.08144809092975,"DA","CLDN7,CLDN7"
"P",1.14606832092842,"DA","CLDN7,GRHL2"
"P",0.812933602884788,"DA","CLDN7,OVOL2"
"P",0.155745036301648,"NF","CLDN7,NP63"
"P",0.946048920135634,"TS","CLDN7,SNAI1"
"P",1.01741121306745,"TS","CLDN7,TCF3"
"N",1.13546618408329,"NF","CLDN7,KLF8"
"P",1.2340548332067,"TS","CLDN7,TGFbeta"
"P",1.19546509877866,"TS","CLDN7,FOXC2"
"P",1.45875905558701,"TS","CLDN7,ZEB1"
"P",1.4653158619456,"TS","CLDN7,SNAI2"
"P",1.28886898666042,"TS","CLDN7,GSC"
"P",1.27541899934617,"TS","CLDN7,TWIST1"
"P",1.45032072428264,"TS","CLDN7,TWIST2"
"P",1.3438098047607,"TS","CLDN7,ZEB2"
"P",1.02374886867025,"DA","GRHL2,GRHL2"
"P",0.734465166509773,"DA","GRHL2,OVOL2"
"P",0.262770890366347,"DA","GRHL2,NP63"
"P",0.864949488511474,"TS","GRHL2,SNAI1"
"P",0.821243106505644,"TS","GRHL2,TCF3"
"N",0.811797430377667,"NF","GRHL2,KLF8"
"P",1.14624484061701,"TS","GRHL2,TGFbeta"
"P",1.0704743116494,"TS","GRHL2,FOXC2"
"P",1.43836630634674,"TS","GRHL2,ZEB1"
"P",1.03957895082847,"TS","GRHL2,SNAI2"
"P",1.21319372382319,"TS","GRHL2,GSC"
"P",1.03244131056604,"TS","GRHL2,TWIST1"
"P",1.09936034820383,"TS","GRHL2,TWIST2"
"P",1.17800091780071,"TS","GRHL2,ZEB2"
"P",0.365957322446004,"DA","OVOL2,OVOL2"
"N",0.205254113880027,"NF","OVOL2,NP63"
"P",0.732292396200033,"TS","OVOL2,SNAI1"
"P",0.718557415142934,"TS","OVOL2,TCF3"
"N",0.790748210580859,"NF","OVOL2,KLF8"
"P",0.808307274761529,"TS","OVOL2,TGFbeta"
"P",0.842732990644616,"TS","OVOL2,FOXC2"
"P",0.993270849125709,"TS","OVOL2,ZEB1"
"P",0.964696860267205,"TS","OVOL2,SNAI2"
"P",0.84445984131218,"TS","OVOL2,GSC"
"P",0.868899468808273,"TS","OVOL2,TWIST1"
"P",0.973457408574039,"TS","OVOL2,TWIST2"
"P",0.886694668787691,"TS","OVOL2,ZEB2"
"P",0.0431605180718802,"DA","NP63,NP63"
"P",0.0714712693886943,"NF","NP63,SNAI1"
"P",0.178879262285865,"NF","NP63,TCF3"
"P",0.257561817184561,"NF","NP63,KLF8"
"P",0.0972795224925434,"NF","NP63,TGFbeta"
