"Nature","Strength","Type","Node"
"P",0,"NF","miR205,miR205"
"P",0.747524929089061,"NF","miR205,miR200c"
"P",0.731287455425657,"NF","miR205,miR200b"
"P",0.747524929089061,"NF","miR205,miR200a"
"P",0.73973406398151,"NF","miR205,miR141"
"P",0.392993279116627,"NF","miR205,miR101"
"P",0.683622501503436,"NF","miR205,CDH1"
"P",0.73973406398151,"NF","miR205,CLDN7"
"P",0.695617540156268,"DA","miR205,GRHL2"
"N",0.49664838888724,"NF","miR205,OVOL2"
"P",0.661381577452966,"NF","miR205,miR34a"
"P",0.12148890048048,"NF","miR205,NP63"
"P",0.130784666018435,"NF","miR205,SNAI1"
"P",0.18658960793506,"NF","miR205,FOXC2"
"P",0.286563916406158,"NF","miR205,TCF3"
"P",0.350643945616408,"NF","miR205,KLF8"
"P",0.625469874817856,"NF","miR205,TGFbeta"
"P",0.793384950305904,"NF","miR205,ZEB1"
"P",0.544858911191078,"NF","miR205,SNAI2"
"P",0.566885523127648,"NF","miR205,GSC"
"P",0.324564822464392,"NF","miR205,TWIST1"
"P",0.600541892646004,"NF","miR205,TWIST2"
"P",0.813961417484079,"NF","miR205,ZEB2"
"P",1.4718379686276,"DA","miR200c,miR200c"
"P",1.45796011854528,"DA","miR200c,miR200b"
"P",1.4718379686276,"DA","miR200c,miR200a"
"P",1.46624681297395,"DA","miR200c,miR141"
"P",1.13660933163692,"DA","miR200c,miR101"
"P",1.26747359718019,"DA","miR200c,CDH1"
"P",1.25789512514552,"DA","miR200c,CLDN7"
"P",1.270429659548,"DA","miR200c,GRHL2"
"P",0.891124770567349,"DA","miR200c,OVOL2"
"P",1.00978155629479,"DA","miR200c,miR34a"
"P",0.11022348756861,"NF","miR200c,NP63"
"P",0.756290750205668,"TS","miR200c,SNAI1"
"P",1.10081180599389,"TS","miR200c,FOXC2"
"P",0.917796082371955,"TS","miR200c,TCF3"
"P",0.964171934144908,"TS","miR200c,KLF8"
"P",1.27896371804353,"TS","miR200c,TGFbeta"
"P",1.54922874671692,"TS","miR200c,ZEB1"
"P",1.29429299495891,"TS","miR200c,SNAI2"
"P",1.34562553767354,"TS","miR200c,GSC"
"P",1.11985100815378,"TS","miR200c,TWIST1"
"P",1.28632671676948,"TS","miR200c,TWIST2"
"P",1.6902871508567,"TS","miR200c,ZEB2"
"P",1.44408226846296,"DA","miR200b,miR200b"
"P",1.45796011854528,"DA","miR200b,miR200a"
"P",1.45236896289163,"DA","miR200b,miR141"
"P",1.12336093177863,"DA","miR200b,miR101"
"P",1.45901667145744,"DA","miR200b,CDH1"
"P",1.45159785210044,"DA","miR200b,CLDN7"
"P",1.19267249705484,"DA","miR200b,GRHL2"
"P",0.92018779164252,"DA","miR200b,OVOL2"
"P",1.00983076186757,"DA","miR200b,miR34a"
"P",0.0621687573595106,"NF","miR200b,NP63"
"P",0.74706921228716,"TS","miR200b,SNAI1"
"P",1.08373693870246,"TS","miR200b,FOXC2"
"P",1.11149880932688,"TS","miR200b,TCF3"
"P",1.15787466109983,"TS","miR200b,KLF8"
"P",1.36889080791661,"TS","miR200b,TGFbeta"
"P",1.53070320276777,"TS","miR200b,ZEB1"
"P",1.4840491988142,"TS","miR200b,SNAI2"
"P",1.3320890877461,"TS","miR200b,GSC"
"P",1.10760192886171,"TS","miR200b,TWIST1"
"P",1.27457063764464,"TS","miR200b,TWIST2"
"P",1.67885812795364,"TS","miR200b,ZEB2"
"P",1.4718379686276,"DA","miR200a,miR200a"
"P",1.46624681297395,"DA","miR200a,miR141"
"P",1.13660933163692,"DA","miR200a,miR101"
"P",1.26747359718019,"DA","miR200a,CDH1"
"P",1.25789512514552,"DA","miR200a,CLDN7"
"P",1.270429659548,"DA","miR200a,GRHL2"
"P",0.891124770567349,"DA","miR200a,OVOL2"
"P",1.00978155629479,"DA","miR200a,miR34a"
"P",0.11022348756861,"NF","miR200a,NP63"
"P",0.756290750205668,"TS","miR200a,SNAI1"
"P",1.10081180599389,"TS","miR200a,FOXC2"
"P",0.917796082371955,"TS","miR200a,TCF3"
"P",0.964171934144908,"TS","miR200a,KLF8"
"P",1.27896371804353,"TS","miR200a,TGFbeta"
"P",1.54922874671692,"TS","miR200a,ZEB1"
"P",1.29429299495891,"TS","miR200a,SNAI2"
"P",1.34562553767354,"TS","miR200a,GSC"
"P",1.11985100815378,"TS","miR200a,TWIST1"
"P",1.28632671676948,"TS","miR200a,TWIST2"
"P",1.6902871508567,"TS","miR200a,ZEB2"
"P",1.4606556573203,"DA","miR141,miR141"
"P",1.13276282873476,"DA","miR141,miR101"
"P",1.26458560877804,"DA","miR141,CDH1"
"P",1.25601658912178,"DA","miR141,CLDN7"
"P",1.26342545775676,"DA","miR141,GRHL2"
"P",0.878510421397994,"DA","miR141,OVOL2"
"P",1.01832507050849,"DA","miR141,miR34a"
"P",0.14315151085522,"NF","miR141,NP63"
"P",0.758444955487302,"TS","miR141,SNAI1"
"P",1.09422239581626,"TS","miR141,FOXC2"
"P",0.91591754634821,"TS","miR141,TCF3"
"P",0.962293398121163,"TS","miR141,KLF8"
"P",1.27718675246711,"TS","miR141,TGFbeta"
"P",1.54195410896963,"TS","miR141,ZEB1"
"P",1.29055674504652,"TS","miR141,SNAI2"
"P",1.34266629696752,"TS","miR141,GSC"
"P",1.11561374334638,"TS","miR141,TWIST1"
"P",1.28214426683796,"TS","miR141,TWIST2"
"P",1.48561714451446,"TS","miR141,ZEB2"
"P",0.86601863146606,"DA","miR101,miR101"
"P",1.2482107307767,"DA","miR101,CDH1"
"P",1.273461246696,"DA","miR101,CLDN7"
"P",0.866756224202298,"DA","miR101,GRHL2"
