"","miR200c","miR200a","miR200b","miR141","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.802813342204678,0.802813342204678,0.781913173513985,0.792771022406682,0.752579065808131,0.714656919517364,0.487440103099454,0.501815002505402,0,0,-0.485304253013535,-0.49784642917385,-0.509071328880472,-0.644979540893931,-0.575365323913959,-0.595115116443475,-0.857901579242032,-0.663117342375584,-0.884746646089757
"miR200c",0.782104383197162,0.782104383197162,0.764087385309562,0.775029653754492,0.720578043933871,0.707501245457917,0.542919150044182,0.501512262681145,0,0,-0.494277153144072,-0.530514434636016,-0.548220075970941,-0.627127554419795,-0.662448496461787,-0.688126098249419,-0.837835311967821,-0.753781065614301,-0.857150254186087
"miR200b",0.782104383197162,0.782104383197162,0.764087385309562,0.775029653754492,0.720578043933871,0.707501245457917,0.542919150044182,0.501512262681145,0,0,-0.494277153144072,-0.530514434636016,-0.548220075970941,-0.627127554419795,-0.662448496461787,-0.688126098249419,-0.837835311967821,-0.753781065614301,-0.857150254186087
"miR200a",0.782104383197162,0.782104383197162,0.764087385309562,0.775029653754492,0.720578043933871,0.707501245457917,0.542919150044182,0.501512262681145,0,0,-0.494277153144072,-0.530514434636016,-0.548220075970941,-0.627127554419795,-0.662448496461787,-0.688126098249419,-0.837835311967821,-0.753781065614301,-0.857150254186087
"miR141",0.782104383197162,0.782104383197162,0.764087385309562,0.775029653754492,0.720578043933871,0.707501245457917,0.542919150044182,0.501512262681145,0,0,-0.494277153144072,-0.530514434636016,-0.548220075970941,-0.627127554419795,-0.662448496461787,-0.688126098249419,-0.837835311967821,-0.753781065614301,-0.857150254186087
"miR101",0.705908576720866,0.705908576720866,0.687373404807204,0.700626699027828,0.592940349573093,0.643650010615489,0.496678742138072,0.468969808154001,0,0,-0.390775993709905,-0.485638638486267,-0.424521352630612,-0.531184232639333,-0.570236579806082,-0.541496866307511,-0.755264853968627,-0.598798722893973,-0.770092402095495
"miR34a",0.720445954186388,0.720445954186388,0.704192804335812,0.716203987391906,0.626809494082778,0.660813139525485,0.565857051396095,0.490752469112368,0,0,-0.476868556353008,-0.536355318651224,-0.552044504189013,-0.761144110911795,-0.701106397370116,-0.556303864585739,-0.772554511855433,-0.615594634048169,-0.684861229505821
"GRHL2",0.642001480124982,0.642001480124982,0.559940308912273,0.633167564027832,0.601494771331522,0.506178168970352,0.315332293514973,0.415897457774782,0.0255643985594236,0.0256676713686318,-0.355069619084556,-0.368085585210025,-0.342516688230823,-0.396343058311459,-0.36498677539062,-0.540011323955625,-0.678779557114124,-0.587688070215533,-0.506732255847048
"OVOL2",0.430232295073379,0.430232295073379,0.447941167675086,0.417251352944044,0.421572007106858,0.301882278868696,0.404663989661132,0.173698253780088,-0.0239818510068647,-0.0240487194947859,-0.330648635224807,-0.343327004749959,-0.345965679784165,-0.437812712014551,-0.448812045734437,-0.330512277196194,-0.451286563232202,-0.365873377322896,-0.385719216407386
"NP63",0.132363098747584,0.132363098747584,-0.0332391396264894,0.164220263525414,0.132575796875139,0.244536090360631,-0.24201859338337,0.186262744781387,0.0215631777425044,0.121464173607626,0.0630026719235949,0.0752127837411144,0.160000947005791,0.177142988597134,0.225203586641761,-0.0976423859591245,-0.170964680109471,-0.106059082369608,-0.0921657353411021
"SNAI1",-0.530545318045231,-0.530545318045231,-0.515577071299202,-0.531716555812893,-0.496598198202617,-0.493666383307488,-0.437423125863976,-0.381771059549365,0,0,0.213911233358694,0.416463363775355,0.35238778244432,0.467525368353144,0.50279225035024,0.416931164817554,0.571567895810337,0.45883491112299,0.569503761010445
"TGFbeta",-0.591069526414976,-0.591069526414976,-0.676546399973418,-0.588537868876458,-0.587894734110666,-0.54711347718364,-0.52755934146252,-0.421126420220871,0,0,0.442504306874384,0.502603384048089,0.517460262434697,0.633074443743768,0.675270998246362,0.645678994508551,0.641946302284183,0.602012404625344,0.650245714971665
"FOXC2",-0.785883339527539,-0.785883339527539,-0.762556264759203,-0.775063158511781,-0.735277053389576,-0.689915675574483,-0.469197668557038,-0.48212588599171,0,0,0.468904034701229,0.482521911525678,0.493796895295318,0.62519500332677,0.551744745074722,0.571930129752075,0.837504922782256,0.637148366361388,0.667999193520923
"ZEB1",-0.849261022954151,-0.849261022954151,-0.823638763967619,-0.837504922782256,-0.792161876942939,-0.745049099751021,-0.51825768644142,-0.520896639033887,0,0,0.506509828509806,0.531582256421364,0.545265745041151,0.681510087061899,0.602294515714652,0.637148366361388,0.796650908361547,0.699940503639023,0.729364021025312
"SNAI2",-0.681243664819427,-0.681243664819427,-0.866644326713396,-0.67675486047023,-0.604381447145095,-0.626125746423193,-0.741486024628592,-0.46622911385446,0,0,0.483625283484466,0.516070238448789,0.639184529522095,0.827799675345377,0.772571760143136,0.707094645513177,0.74013266072559,0.774175292081042,0.753324174156974
"GSC",-0.724973233788439,-0.724973233788439,-0.706810265184062,-0.720677531826809,-0.640930354174497,-0.662318133740825,-0.553643330196192,-0.494383469114665,0,0,0.481427325929214,0.616366682867522,0.624658366130901,0.559879808928547,0.594353900317158,0.558609122796751,0.777639061204249,0.618620336934872,0.790047202321794
"TWIST1",-0.730267439288711,-0.730267439288711,-0.712636604791854,-0.724942087016379,-0.631230819786087,-0.667083625004458,-0.552832843308133,-0.493921466235167,0,0,0.405957548923683,0.609686966916561,0.540662946870735,0.662710782677879,0.702624677416837,0.561226912167185,0.78242139220378,0.621606700219994,0.797416581186239
"TWIST2",-0.731940122333357,-0.731940122333357,-0.715031092105606,-0.726852434715959,-0.638337826017594,-0.67126924890349,-0.573605404512162,-0.498871042858195,0,0,0.48834848491093,0.529707179016557,0.663084392993506,0.668567948757476,0.708684715240458,0.564895652413907,0.784553603615304,0.625532382924444,0.798946773622699
"ZEB2",-0.921712173540427,-0.921712173540427,-0.906819234195349,-0.715916366225498,-0.668346565181403,-0.656718197290261,-0.504227819853234,-0.478511701613934,0,0,0.473349358042385,0.496806769360169,0.51238488953598,0.574866211171486,0.618146185934955,0.729544621769196,0.78476772663295,0.80264395951754,0.901268750703186
