"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.907868216528843,0.793066080812872,0.877111532424078,0.694470868871813,0.526939434716165,0.808995103224651,0.464158120123358,0.755545438889076,0.486699024671257,-0.484836059198903,0,0,-0.672496346570734,0,0,-0.927311190430024,-0.915902060182873,-0.927311190430024,-0.721874351371072,-0.639057240501823,0.576172669953718,0.73388066187744,-0.663964159059139,0.504573380723441,-0.721874351371072,-0.884102585436131
"ZEB1",0.738144955514106,0.806136091749485,0.785100519828075,0.706309027758626,0.560643932225482,0.707426967075256,0.506681339687364,0.648863097908264,0.517711629283648,-0.526756669077969,0,0,-0.797871210837015,0,0,-0.856436135368735,-0.835328568081771,-0.856436135368735,-0.844623871497669,-0.554714626261804,0.500504599298731,0.642529681553265,-0.752337909706488,0.539942344521358,-0.844623871497669,-0.794898909035029
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.810989854745859,0.799323998099874,0.676597985404132,0.700696624025243,0.682511177502689,0.636766848394553,0.629894015144324,0.759345059905046,0.501727631851957,-0.50772542679484,0,0,-0.647094580607877,0,0,-0.742920666480775,-0.730646712876294,-0.742920666480775,-0.73872732244923,-0.622121125188386,0.568615263046946,0.573381177114307,-0.682773299733277,0.540023769411238,-0.73872732244923,-0.786953157678496
"TWIST1",0.805956470563747,0.793511157169256,0.767676125035941,0.69388076071077,0.556402117667714,0.629593834741175,0.604221303751137,0.753237686195753,0.416103784378885,-0.495632534476883,0,0,-0.619683114127291,0,0,-0.738101815639611,-0.725528949039019,-0.738101815639611,-0.733550811519347,-0.606612284393773,0.553492175550838,0.567005355062156,-0.677354097216859,0.616922405203395,-0.733550811519347,-0.778376548703117
"TGFbeta",0.655801287270586,0.648562803087489,0.628518195980061,0.65567417734262,0.530111432995479,0.607205511411335,0.481230246453085,0.714348312963312,0.449005886619131,-0.423864590002472,0,0,-0.589260734153789,0,0,-0.595373213296536,-0.685471649406168,-0.595373213296536,-0.593075115711943,-0.561008148773381,0.511744295957908,0.648916904929566,-0.551981488981344,0.507229099203031,-0.593075115711943,-0.638672023042978
"TCF3",0.624451001686811,0.617943416817201,0.703155222943173,0.721424662654594,0.543064886457645,0.641762274162572,0.478425635041738,0.792902621337974,0.407946311508332,-0.384054669622454,0,0,-0.482318795098546,0,0,-0.545122216878839,-0.738641866394257,-0.545122216878839,-0.543225018819704,-0.665526114917789,0.600215037527804,0.563115459236074,-0.509170545660751,0.41625021140783,-0.543225018819704,-0.809899075758912
"SNAI2",0.764809236869026,0.75407855090529,0.834493174842172,0.855785511273098,0.661339484662061,0.784294272762301,0.603659560530509,0.818236088591525,0.49737887681346,-0.475221606712172,0,0,-0.612590756650941,0,0,-0.691511005377443,-0.880913289972628,-0.691511005377443,-0.687766168323121,-0.785708959672557,0.72741285726659,0.71454934909454,-0.637338894827369,0.527303903451102,-0.687766168323121,-0.843163969319039
"SNAI1",0.576397205249807,0.577481458629376,0.556700385691442,0.493658780166314,0.367173870498024,0.464009424848913,0.331876344311262,0.54463186244061,0.220998623765166,-0.384211964117691,0,0,-0.500285569832536,0,0,-0.53470829092215,-0.526191389369019,-0.53470829092215,-0.535833060783578,-0.470802943150953,0.434507680898012,0.420565352575354,-0.497761947547872,0.421876707417557,-0.535833060783578,-0.566571795753528
"OVOL2",-0.399742862846298,-0.462835241618404,-0.491252839903578,-0.466331052829675,-0.364943005470052,-0.380146965421036,-0.334321499022545,-0.492893055810553,-0.342985452133422,0.18061337842841,-0.0240169123358681,0,0.430224831649534,0,-0.0240799315280767,0.440891451347431,0.469986760261672,0.440891451347431,0.42661164536025,0.439443326893894,-0.407777166795733,-0.342630409488147,0.310834532151806,-0.354307122971585,0.42661164536025,0.50292461084768
"NP63",-0.0818105179138074,-0.165842377436283,0.0398951405755516,0.198208290750682,0.173946384135643,-0.0995623794925045,0.179165220196366,0.243074227796062,0.070994012596256,0.18382999273034,0.0215564857187253,0,0.127395917507907,0,0.121460974734962,0.126056217601717,-0.0471127744906663,0.126056217601717,0.160105167469657,-0.25499786838901,0.259438014770521,-0.0921849022622228,0.240967671138835,0.0837592775888532,0.160105167469657,-0.0654544522457689
"miR9",-0.627641772385486,-0.421868839249437,-0.430394728696937,-0.157350479872252,-0.131634490444076,-0.464775821418777,-0.0990044002796585,-0.172872142551154,-0.201378391812086,0.282211190559805,0,0,0.351854665549781,0,0,0.585412371360206,0.449419655864515,0.585412371360206,0.382966396805311,0.114369398186398,-0.0799067309442742,-0.425598636896752,0.356767798672301,-0.217576842125357,0.382966396805311,0.31247685237726
