"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.795410149473553,0.795410149473553,0.778509938043817,0.739673661614334,0.785765509062298,0.785765509062298,0.710436359568513,0.732745816363053,0.490443318930248,0.500303104547294,0,0,-0.425797099154398,-0.435144485007166,-0.459030455240125,-0.484153998618632,-0.437810488340098,-0.651542640395474,-0.59430716505162,-0.59988426669926,-0.848575908933107,-0.660656950799914,-0.874015547468529
"miR200c",0.754712138245083,0.754712138245083,0.741062185136914,0.698214149586007,0.748515353143979,0.748515353143979,0.685579772126104,0.676613550950018,0.519570720441947,0.487715430200473,0,0,-0.373556680717172,-0.433870665922262,-0.447100195090766,-0.479257181147723,-0.470862100435463,-0.613517030250549,-0.673315589540954,-0.664280183493268,-0.806866486187607,-0.735024752344336,-0.823581313372909
"miR200b",0.754712138245083,0.754712138245083,0.741062185136914,0.698214149586007,0.748515353143979,0.748515353143979,0.685579772126104,0.676613550950018,0.519570720441947,0.487715430200473,0,0,-0.373556680717172,-0.433870665922262,-0.447100195090766,-0.479257181147723,-0.470862100435463,-0.613517030250549,-0.673315589540954,-0.664280183493268,-0.806866486187607,-0.735024752344336,-0.823581313372909
"miR200a",0.754712138245083,0.754712138245083,0.741062185136914,0.698214149586007,0.748515353143979,0.748515353143979,0.685579772126104,0.676613550950018,0.519570720441947,0.487715430200473,0,0,-0.373556680717172,-0.433870665922262,-0.447100195090766,-0.479257181147723,-0.470862100435463,-0.613517030250549,-0.673315589540954,-0.664280183493268,-0.806866486187607,-0.735024752344336,-0.823581313372909
"miR141",0.754712138245083,0.754712138245083,0.741062185136914,0.698214149586007,0.748515353143979,0.748515353143979,0.685579772126104,0.676613550950018,0.519570720441947,0.487715430200473,0,0,-0.373556680717172,-0.433870665922262,-0.447100195090766,-0.479257181147723,-0.470862100435463,-0.613517030250549,-0.673315589540954,-0.664280183493268,-0.806866486187607,-0.735024752344336,-0.823581313372909
"miR101",0.705180402250928,0.705180402250928,0.691728159649208,0.636440630773627,0.699906842057421,0.699906842057421,0.644742448738354,0.582558054944228,0.513889082133235,0.47110029082456,0,0,-0.352710972684516,-0.371844138186036,-0.462511520385596,-0.415575792540433,-0.568049435165109,-0.555896072757552,-0.544327909765972,-0.610061482989335,-0.753525048444817,-0.60126642689951,-0.768049938429056
"CDH1",0.613992326337683,0.613992326337683,0.805805923150355,0.769824993289393,0.610538243242526,0.610538243242526,0.569841513831392,0.536000483217788,0.711534345623101,0.428527522692639,0,0,-0.412319833866122,-0.528179286245752,-0.446775114991964,-0.582123509353322,-0.654664622870683,-0.783768662842846,-0.639790730595378,-0.848545214868515,-0.677131110355199,-0.710439502001151,-0.687675379002156
"miR34a",0.721220407163741,0.721220407163741,0.709851228312302,0.662750340230654,0.716940139509229,0.716940139509229,0.663113350565466,0.619308456545108,0.58657629426525,0.493702545450502,0,0,-0.445880398306931,-0.500922932262435,-0.518600185585574,-0.547115841649663,-0.538675633539989,-0.780490940692424,-0.559591014073854,-0.735736381289249,-0.772702913084212,-0.619078490616885,-0.684874130092645
"CLDN7",0.540670032640891,0.540670032640891,0.734604716174746,0.804217966503086,0.538296718903573,0.538296718903573,0.50571464307205,0.473134258052225,0.654664622870683,0.382503617196239,0,0,-0.372438123593809,-0.46622381673946,-0.397220183395094,-0.528179286245752,-0.592155309802586,-0.717092638137624,-0.562031078610603,-0.787046801904059,-0.610538243242526,-0.639790730595378,-0.618770211003225
"GRHL2",0.637088515826352,0.637088515826352,0.558602662169931,0.523685569493717,0.628391873206138,0.628391873206138,0.503238221798119,0.586651203252313,0.324799784543301,0.414844192868861,0.0255409753580788,0.0256364332958402,-0.311708567773637,-0.290731222896029,-0.340498211837783,-0.326866259603353,-0.286964492496997,-0.406965754819006,-0.539553506348837,-0.393567533183191,-0.672420154719872,-0.586149070576624,-0.499809243889982
