"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.921079216717393,0.821813767105377,0.915616664572211,0.723530429811669,0.542991194184195,0.860293302369491,0.474932884157922,0.800770477237486,0.502058319569368,-0.737450077548378,0.063839336417344,0,-0.691972662397401,0,0.0557613034033766,-0.943417294562515,-0.938089838316595,-0.943417294562515,-0.743812858073496,-0.665176432755661,0.595069648703764,0.77559337793524,-0.68454345837437,0.517631936118177,-0.743812858073496,-0.919958983460856
"ZEB1",0.785205396550372,0.884506314778139,0.878852844022536,0.784299076649787,0.611142933315362,0.829904493147875,0.547588549663417,0.753025549465947,0.561332376344376,-0.895095355927409,0.0989381254846441,0,-0.855980156998202,0,0.0912620234967443,-0.911466536977428,-0.901717042856905,-0.911466536977428,-0.911233856433524,-0.625576273621018,0.559868928817265,0.750357669337378,-0.810949110402073,0.583098207890551,-0.911233856433524,-0.884175058947909
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.825987705372238,0.827067571666687,0.715444193637538,0.73096997299581,0.70066404836915,0.687214995802981,0.642981259222477,0.804389702773338,0.518692127875632,-0.755477183203069,0.0617912426217273,0,-0.667559155016154,0,0.0542485232051216,-0.759472875279208,-0.75351133023363,-0.759472875279208,-0.759959127450165,-0.649654145764837,0.589502851999694,0.614570142239562,-0.7028126680587,0.555221249728737,-0.759959127450165,-0.823065434229766
"TWIST1",0.826494655688285,0.827884082472211,0.814144303335971,0.730628199265242,0.579966638823711,0.687395650256064,0.621933412118521,0.804293602018289,0.43858664684457,-0.755571607616737,0.062863290105006,0,-0.662779279851912,0,0.0552266332030764,-0.76001436020954,-0.753810988688522,-0.76001436020954,-0.760615026785453,-0.639597335261663,0.579139016543085,0.614584814943141,-0.701006921407763,0.637028124095654,-0.760615026785453,-0.821644380408587
"TGFbeta",0.666988101991276,0.669911686847406,0.657570364311999,0.677499941055505,0.543276118188579,0.643376981786734,0.490503250574447,0.747171952554808,0.462241420575227,-0.608473169072054,0.0438691646449191,0,-0.606118773980101,0,0.0371644200483072,-0.607956787392575,-0.702229900407027,-0.607956787392575,-0.60928800304563,-0.580723534459396,0.526060913471949,0.677659926077882,-0.566686796206664,0.518488796836667,-0.60928800304563,-0.665521727683066
"TCF3",0.62768985223653,0.628550365781374,0.720461222980932,0.73210328445445,0.547790196686943,0.667077776533735,0.48042514862187,0.813555775486325,0.413681499561012,-0.548083520093254,0.0389288397084499,0,-0.488898519544928,0,0.0313034216482492,-0.549451538348743,-0.745941095090881,-0.549451538348743,-0.549873422942582,-0.675132266932964,0.605369117132902,0.581766288631277,-0.515768523519481,0.419901313350592,-0.549873422942582,-0.825447046874699
"SNAI2",0.77501244137391,0.775685664829683,0.865987643022491,0.879141712958416,0.674374472049544,0.826477998871846,0.6122572573129,0.855305277410955,0.510083982104959,-0.699618480701448,0.0553039727398926,0,-0.627741461434406,0,0.0477335842339974,-0.703203678142325,-0.897994758868501,-0.703203678142325,-0.703553508195587,-0.806929786844046,0.742503602877851,0.748210098994736,-0.652369559660919,0.537986842676911,-0.703553508195587,-0.872194001421618
"SNAI1",0.590894081512609,0.603187333827204,0.587964430596833,0.518371436174475,0.383022778783515,0.503300154234057,0.343718347081034,0.579411066381703,0.235782532818616,-0.558081160274607,0.0420207717035094,0,-0.518547309477395,0,0.0369220342480222,-0.551707462765613,-0.546642318100319,-0.551707462765613,-0.556535351556808,-0.493076619311608,0.451808521524656,0.45278857664796,-0.516748568139327,0.435662916188448,-0.556535351556808,-0.595640928730084
"OVOL2",-0.601447931328036,-0.784526034024245,-0.806599720579712,-0.733788095901729,-0.558567458506134,-0.740108342774267,-0.503904899678323,-0.80332884579205,-0.505020407666947,0.643191337801801,-0.17646093092348,0,0.675904600760483,0,-0.169261627414239,0.727233345798162,0.731167674306784,0.727233345798162,0.720249815961262,0.680384610646385,-0.623201495164913,-0.670324183958266,0.556006537954109,-0.527811007084371,0.720249815961262,0.814006983049524
"NP63",-0.0912611151025507,-0.179194188163448,0.021452797969496,0.180552152288252,0.161641073229081,-0.12568322042697,0.168708125809882,0.219840787422969,0.0610182181427847,0.301206837465463,-0.00924241897044887,0,0.138112367312061,0,0.0908897687360944,0.135615839000516,-0.033906592736299,0.135615839000516,0.171437988228477,-0.237824345976547,0.244316843136827,-0.115865266403545,0.247915689915019,0.0730398374653189,0.171437988228477,-0.0479610107900295
