"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.804473701414061,0.804473701414061,0.776943106722453,0.745451879799279,0.794839305526345,0.794839305526345,0.754406591628211,0.718482121075361,0.49311960048879,0.505944744322647,0,0,-0.459115292108708,-0.489886771183307,-0.501226015894925,-0.513421127947429,-0.440021158784053,-0.638093076620593,-0.569636873040195,-0.596840685253718,-0.859719866016277,-0.664755301981221,-0.884982066435487
"miR200c",0.779424209778036,0.779424209778036,0.750477186328478,0.718104402216553,0.773048294496913,0.773048294496913,0.718567857130149,0.707425401598082,0.542188355611577,0.502794313871256,0,0,-0.494634593046093,-0.494588269663363,-0.5299206708485,-0.546273973675224,-0.491743486910882,-0.607404233772219,-0.637106374894541,-0.686210734775517,-0.834709838864505,-0.750720779316922,-0.851776766769962
"miR200b",0.779424209778036,0.779424209778036,0.750477186328478,0.718104402216553,0.773048294496913,0.773048294496913,0.718567857130149,0.707425401598082,0.542188355611577,0.502794313871256,0,0,-0.494634593046093,-0.494588269663363,-0.5299206708485,-0.546273973675224,-0.491743486910882,-0.607404233772219,-0.637106374894541,-0.686210734775517,-0.834709838864505,-0.750720779316922,-0.851776766769962
"miR200a",0.779424209778036,0.779424209778036,0.750477186328478,0.718104402216553,0.773048294496913,0.773048294496913,0.718567857130149,0.707425401598082,0.542188355611577,0.502794313871256,0,0,-0.494634593046093,-0.494588269663363,-0.5299206708485,-0.546273973675224,-0.491743486910882,-0.607404233772219,-0.637106374894541,-0.686210734775517,-0.834709838864505,-0.750720779316922,-0.851776766769962
"miR141",0.779424209778036,0.779424209778036,0.750477186328478,0.718104402216553,0.773048294496913,0.773048294496913,0.718567857130149,0.707425401598082,0.542188355611577,0.502794313871256,0,0,-0.494634593046093,-0.494588269663363,-0.5299206708485,-0.546273973675224,-0.491743486910882,-0.607404233772219,-0.637106374894541,-0.686210734775517,-0.834709838864505,-0.750720779316922,-0.851776766769962
"miR101",0.701896258748756,0.701896258748756,0.673882042104075,0.625483486154252,0.697334629812535,0.697334629812535,0.589443398172255,0.642478884983974,0.488634882612697,0.469396286369602,0,0,-0.37622797146175,-0.38856689914109,-0.482971445723297,-0.422048165039001,-0.544652108866784,-0.517251786762405,-0.550324451075196,-0.538507255157197,-0.751031937086521,-0.595080212086491,-0.763590301763839
"CDH1",0.605426874643891,0.605426874643891,0.775735592916149,0.748949195044505,0.603095356375752,0.603095356375752,0.536766079085688,0.563178906278492,0.669295441342634,0.423818522391792,0,0,-0.522783786614931,-0.438251662542188,-0.459358762176609,-0.578342883560482,-0.615790216665335,-0.729248035257264,-0.763456883469939,-0.630682682342631,-0.668069446314948,-0.698778105547819,-0.675615381299858
"miR34a",0.708563588538742,0.708563588538742,0.675960905682628,0.63779953433731,0.705625426978601,0.705625426978601,0.616324712592334,0.653053518374995,0.539754894823703,0.486502752907314,0,0,-0.491781904281257,-0.467680412059743,-0.526648643817381,-0.538132277865064,-0.495489183391619,-0.720453562073788,-0.647132601022289,-0.54674818331783,-0.759741931786763,-0.603927675138815,-0.668339159008262
"CLDN7",0.534278540142904,0.534278540142904,0.70868188545982,0.785976265606098,0.53276291297159,0.53276291297159,0.473322370476416,0.500746675651605,0.615790216665335,0.379010861449086,0,0,-0.462619217399055,-0.395256632353663,-0.406147698194292,-0.522783786614931,-0.558585627185377,-0.66905713127074,-0.710037162327274,-0.555841283031411,-0.603095356375752,-0.630682682342631,-0.60867409742731
"GRHL2",0.644261486695004,0.644261486695004,0.557712666672292,0.528303260988914,0.635577128070581,0.635577128070581,0.603695537833324,0.509573034097474,0.326017224521918,0.41934944221787,0.0255409753580788,0.0256364332958402,-0.308402910458945,-0.358653311482557,-0.371099122452573,-0.347234634836077,-0.288606246926073,-0.397358572001394,-0.371613505706475,-0.54201106809991,-0.681066650241392,-0.589656538922596,-0.508257788591271
"OVOL2",0.436149074872285,0.436149074872285,0.454478847418819,0.490452968504935,0.423305840864069,0.423305840864069,0.426966132159197,0.308489558605298,0.412325583583278,0.179443615945874,-0.0240834337367673,-0.0241428552949085,-0.325348309837865,-0.336230376274904,-0.348722743359343,-0.353813887853835,-0.384412485747059,-0.438145338473685,-0.449093129308195,-0.339311879917853,-0.457504743323142,-0.37497036206071,-0.391188989282972
"NP63",0.127668258510248,0.127668258510248,-0.0401158192861278,-0.059420808250634,0.159724885581952,0.159724885581952,0.128147940152234,0.240753496917399,-0.240654041946896,0.183680132874162,0.0215802590359401,0.12148890048048,0.172942199390127,0.0671277409020212,0.079954093324137,0.167393001589163,0.245086850763168,0.184327344845704,0.224103015702133,-0.0935437443511966,-0.165922572348888,-0.101542306561285,-0.0865955734316653
"SNAI1",-0.514068771269446,-0.514068771269446,-0.48244546168039,-0.530069122613971,-0.516678362634512,-0.516678362634512,-0.481889555248393,-0.481630462473074,-0.408147156122159,-0.374303741663661,0,0,0.302316982600966,0.200478883167151,0.40220818313935,0.333523457189534,0.377762397949207,0.423748703965418,0.444342975492792,0.403067749767036,0.553945485102479,0.442163599810458,0.548012122134899
"TWIST1",-0.54001573339555,-0.54001573339555,-0.426407141250396,-0.512244151291554,-0.546421575664354,-0.546421575664354,-0.460797229607908,-0.509995429946246,-0.250334627007608,-0.382652669146688,0,0,0.34109914057224,0.242823485821474,0.428478041841377,0.272647172956009,0.220230558890295,0.241872060919536,0.229923728725391,0.399538473069353,0.583313132206019,0.438693485619137,0.569072595089378
"TCF3",-0.534278540142904,-0.534278540142904,-0.70868188545982,-0.785976265606098,-0.53276291297159,-0.53276291297159,-0.473322370476416,-0.500746675651605,-0.615790216665335,-0.379010861449086,0,0,0.462619217399055,0.395256632353663,0.406147698194292,0.522783786614931,0.558585627185377,0.66905713127074,0.710037162327274,0.555841283031411,0.603095356375752,0.630682682342631,0.60867409742731
