"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.77634403521844,0.77634403521844,0.768334171822803,0.741676111069783,0.79313511758904,0.79313511758904,0.753851425873005,0.716972187978793,0.517458650736001,0.504860700828187,0,0,-0.464540047123617,-0.493102195907166,-0.503428455266673,-0.520868040204627,-0.45953637775271,-0.663548774295349,-0.589022884179188,-0.611933127411796,-0.857302643458284,-0.653718964166492,-0.806723886751378
"miR200c",0.744924524100214,0.744924524100214,0.742608487267627,0.71609776965566,0.772037418168595,0.772037418168595,0.719140717109289,0.706528770186668,0.577083438891438,0.502153172856411,0,0,-0.504850307274476,-0.500072537814479,-0.534147302321725,-0.558335377597028,-0.522015177661655,-0.643564569969941,-0.675715875553441,-0.694462967527373,-0.833141870662898,-0.737269370690247,-0.758073371442501
"miR200b",0.744924524100214,0.744924524100214,0.742608487267627,0.71609776965566,0.772037418168595,0.772037418168595,0.719140717109289,0.706528770186668,0.577083438891438,0.502153172856411,0,0,-0.504850307274476,-0.500072537814479,-0.534147302321725,-0.558335377597028,-0.522015177661655,-0.643564569969941,-0.675715875553441,-0.694462967527373,-0.833141870662898,-0.737269370690247,-0.758073371442501
"miR200a",0.744924524100214,0.744924524100214,0.742608487267627,0.71609776965566,0.772037418168595,0.772037418168595,0.719140717109289,0.706528770186668,0.577083438891438,0.502153172856411,0,0,-0.504850307274476,-0.500072537814479,-0.534147302321725,-0.558335377597028,-0.522015177661655,-0.643564569969941,-0.675715875553441,-0.694462967527373,-0.833141870662898,-0.737269370690247,-0.758073371442501
"miR141",0.744924524100214,0.744924524100214,0.742608487267627,0.71609776965566,0.772037418168595,0.772037418168595,0.719140717109289,0.706528770186668,0.577083438891438,0.502153172856411,0,0,-0.504850307274476,-0.500072537814479,-0.534147302321725,-0.558335377597028,-0.522015177661655,-0.643564569969941,-0.675715875553441,-0.694462967527373,-0.833141870662898,-0.737269370690247,-0.758073371442501
"miR34a",0.660369435444804,0.660369435444804,0.665732158629466,0.636570307822805,0.704542886538272,0.704542886538272,0.617869237483891,0.65209210213662,0.591393163848381,0.485818775075317,0,0,-0.509806830778865,-0.476524371942098,-0.534421821051077,-0.557969617265287,-0.542681962250348,-0.775528150742005,-0.529417552099718,-0.727781075549871,-0.758002597215698,-0.583861855752066,-0.543242727298892
"GRHL2",0.623127281305477,0.623127281305477,0.551464460912567,0.525733973103363,0.6343903383128,0.6343903383128,0.603423094645494,0.508520903521702,0.344517824402424,0.418598749281816,0.0255409753580788,0.0256364332958402,-0.312787875691897,-0.361137781790501,-0.372982063251495,-0.353090783374422,-0.30350281493898,-0.416641379898409,-0.535930485741597,-0.402965416425793,-0.67937764089137,-0.581383015439984,-0.449705093724937
"CDH1",0.474709259645423,0.474709259645423,0.701842003283544,0.699660651769492,0.568671253442335,0.568671253442335,0.50922437496665,0.532191922756643,0.696959365209352,0.401093052635875,0,0,-0.522017596456893,-0.425463212564243,-0.445044191807673,-0.575218127665393,-0.642871823557512,-0.756669810317208,-0.562154870697606,-0.813308068930572,-0.627701270608753,-0.62195600415506,-0.417384576478023
"CLDN7",0.415700279325699,0.415700279325699,0.642601096276873,0.742677925004978,0.505126653361876,0.505126653361876,0.451375368344134,0.475785079267372,0.642871823557512,0.36060981677297,0,0,-0.46543482782185,-0.385836153789035,-0.395429519485551,-0.522017596456893,-0.585220206808891,-0.69642977662827,-0.497898934500397,-0.758034187450177,-0.568671253442335,-0.562154870697606,-0.368124929620905
"OVOL2",0.393498677130163,0.393498677130163,0.435489013587479,0.479411809563217,0.416109935330194,0.416109935330194,0.421843624801962,0.302103689445082,0.432391900124699,0.174870292960264,-0.0240834337367673,-0.0241428552949085,-0.330018290530012,-0.336236432141782,-0.347866456878888,-0.358530627771937,-0.402899560543856,-0.458860950294381,-0.32056946175015,-0.481971621446211,-0.448885213893364,-0.353402629739568,-0.288356181532159
