"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.470308403904428,0.687791795631572,0.717663974984774,0.628742997029113,0.471835908013297,0.657283248080786,0.422090020082402,0.672855955281515,0.433225720454465,-0.430536711529843,0,0,-0.597908843273224,0,0,-0.694463602534353,-0.725657948632206,-0.694463602534353,-0.634720275349939,-0.579620345333118,0.529658628268872,0.605445377289046,-0.587513267931259,0.451089396804515,-0.634720275349939,-0.734348875573351
"ZEB1",0.383675953383133,0.751265014383129,0.695354818623038,0.676218121584053,0.535166781212881,0.619753031574141,0.488528719112128,0.608830937038039,0.491760848465169,-0.500871047166117,0,0,-0.761795485880435,0,0,-0.705437108464686,-0.720916890306939,-0.705437108464686,-0.801214161980523,-0.527337230598442,0.480415594976266,0.570795948861115,-0.715146993130133,0.514880908027952,-0.801214161980523,-0.713413050819215
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.518840207681907,0.753288697583461,0.601129811363879,0.678818785397259,0.664936576140885,0.562035518969615,0.618554973758541,0.728084087000044,0.482766311631241,-0.487221117970773,0,0,-0.619641457032042,0,0,-0.612899143465723,-0.633375609178267,-0.612899143465723,-0.703071470747418,-0.602484182691553,0.555448822528874,0.513126927690515,-0.652414408062844,0.522762319251728,-0.703071470747418,-0.719472673078925
"TWIST1",0.512393037805548,0.750606580000748,0.695614201337538,0.675254868398609,0.541919908535813,0.557360363165014,0.595545926655692,0.723999998033772,0.400647421270075,-0.482128827646006,0,0,-0.612196678920959,0,0,-0.609512077374494,-0.629818767659595,-0.609512077374494,-0.700643908766604,-0.589517724033471,0.542575534121605,0.508703237049869,-0.64797264953847,0.602507955199489,-0.700643908766604,-0.714087260579811
"TGFbeta",0.411236824924161,0.615571666459887,0.56950530928223,0.641489196337908,0.519102351645758,0.548553882865502,0.475324982281294,0.691902745277475,0.436746793295067,-0.410850610976284,0,0,-0.572233075670601,0,0,-0.490672445003578,-0.607830733498319,-0.490672445003578,-0.56881719216489,-0.548069287096496,0.503954226609414,0.602961514390721,-0.531001797724615,0.49643103979534,-0.56881719216489,-0.58643355633852
"TCF3",0.293526824651812,0.563482006962951,0.614172130581401,0.69522288678566,0.521339958509168,0.551103934146587,0.46543482782185,0.754920897434685,0.384310279682207,-0.358961763356971,0,0,-0.449352124495582,0,0,-0.389852134927636,-0.624150362289198,-0.389852134927636,-0.502526735046922,-0.641756867747172,0.584939701900055,0.491886968404336,-0.47346666943495,0.394778936671781,-0.502526735046922,-0.730686571536069
"SNAI2",0.355913406853557,0.670649445193444,0.710791402543828,0.807606756056884,0.620573865825135,0.655451224892452,0.573244340979288,0.756529002709743,0.457206862791054,-0.432895993122695,0,0,-0.55589695008054,0,0,-0.486131263039069,-0.724940962234469,-0.486131263039069,-0.619340247645758,-0.742302094053026,0.694382146774055,0.605401456498614,-0.577229194860854,0.487426150527387,-0.619340247645758,-0.731056019471481
"SNAI1",0.376285956076637,0.552004863173399,0.508428885942319,0.48197573867467,0.358149021294504,0.416859999634948,0.326625766015252,0.526168416199915,0.210769895926047,-0.374588070391091,0,0,-0.485213930226955,0,0,-0.449887940055438,-0.463010824436997,-0.449887940055438,-0.51705684536858,-0.460085345836305,0.427875536733512,0.382741755633504,-0.48203729237057,0.413044690059915,-0.51705684536858,-0.523590826595771
"OVOL2",-0.205401514189298,-0.437881664738387,-0.445100315587816,-0.453241132303784,-0.353952064880412,-0.334528857727666,-0.326739993806389,-0.474000530812516,-0.3309831740965,0.169462218523275,-0.0240834337367673,0,0.414690920462136,0,-0.0241428552949085,0.358840337143943,0.410044362138511,0.358840337143943,0.407609888170437,0.427286906315023,-0.399348584478715,-0.305215448336132,0.294562734355695,-0.34333477160161,0.407609888170437,0.461768546450292
"NP63",-0.125380236649091,-0.17111761562281,0.0275743305395072,0.192858980095051,0.168876355711092,-0.112583059308545,0.174255016094801,0.236474421033759,0.0660817430160928,0.187006444475075,0.0215802590359401,0,0.132247136274824,0,0.12148890048048,0.147509281519948,-0.0310568886466342,0.147509281519948,0.165268033450108,-0.249649554113903,0.254655311008469,-0.10597436067958,0.245620152999699,0.0785671013483904,0.165268033450108,-0.0545256058239504
"miR9",-0.398387135511565,-0.366160986372678,-0.344306558375999,-0.124294450751392,-0.104443285814055,-0.3845696838132,-0.0782187366575684,-0.130134498579621,-0.173559899020157,0.252902976917709,0,0,0.312813991701392,0,0,0.460888681057715,0.34904083090119,0.460888681057715,0.336777058583703,0.0846517205437537,-0.0573409303510843,-0.356641435087319,0.315929541580382,-0.191063489855921,0.336777058583703,0.233165710270035
"miR34a",-0.422486109292241,-0.743419355963588,-0.594060200372816,-0.769053168542975,-0.552702255306021,-0.557179354970684,-0.506962842804939,-0.717714356450509,-0.470177640441021,0.479266830044235,0,0,0.609231107644169,0,0,0.610554559950393,0.629192231179465,0.610554559950393,0.694152181154022,0.585459030015527,-0.539182332105262,-0.509188357619587,0.642859185356501,-0.52920892774768,0.694152181154022,0.61180329322761
"miR30c",-0.489088646065255,-0.606817309903331,-0.553458860459624,-0.633842285599712,-0.503116733197851,-0.537086982479706,-0.459990459598304,-0.688090809794405,-0.358648643647167,0.412620068776727,0,0,0.522165694787405,0,0,0.573595931157981,0.594564647854131,0.573595931157981,0.560810933153191,0.537857670703006,-0.494337552213744,-0.492321220726363,0.525757267716333,-0.463885844338807,0.560810933153191,0.571658268724965
"miR205",-0.547685352665931,-0.809943410670873,-0.655316665372938,-0.635976785417997,-0.497744877721421,-0.580782881731866,-0.447483356367276,-0.575910484428477,-0.468904858950028,0.480336222568731,0,0,0.720630411677415,0,0,0.655148009211097,0.673519371969844,0.655148009211097,0.754597514346604,0.492458485144619,-0.441059774336684,-0.52697237546302,0.68300730294731,-0.480666429561094,0.754597514346604,0.671266376381773
"miR200c",-0.55426577160452,-0.798018536857001,-0.647255792950517,-0.623794646621409,-0.541839808178936,-0.681373043243413,-0.492815154615483,-0.667991613263643,-0.482427363391297,0.484172842901025,0,0,0.694998285921743,0,0,0.650825071484844,0.669352402001153,0.650825071484844,0.743864341147234,0.55910842988694,-0.508940928716233,-0.628736919254684,0.681572658102654,-0.517865700920865,0.743864341147234,0.663014628379992
"miR200b",0.00893214488407187,-0.549795804017596,-0.324714670490185,-0.4285738875055,-0.378153878579432,-0.382338626489995,-0.349295751185434,-0.448131038496962,-0.335830619424453,0.337289669061027,0,0,0.490962798441468,0,0,0.256725536647704,0.306132147392722,0.256725536647704,0.518048932637521,0.383131803593511,-0.35369482365763,-0.351385758568897,0.481836034906004,-0.359837113974558,0.518048932637521,0.345470742034936
"miR200a",-0.55426577160452,-0.798018536857001,-0.647255792950517,-0.623794646621409,-0.541839808178936,-0.681373043243413,-0.492815154615483,-0.667991613263643,-0.482427363391297,0.484172842901025,0,0,0.694998285921743,0,0,0.650825071484844,0.669352402001153,0.650825071484844,0.743864341147234,0.55910842988694,-0.508940928716233,-0.628736919254684,0.681572658102654,-0.517865700920865,0.743864341147234,0.663014628379992
"miR141",-0.55426577160452,-0.798018536857001,-0.647255792950517,-0.623794646621409,-0.541839808178936,-0.681373043243413,-0.492815154615483,-0.667991613263643,-0.482427363391297,0.484172842901025,0,0,0.694998285921743,0,0,0.650825071484844,0.669352402001153,0.650825071484844,0.743864341147234,0.55910842988694,-0.508940928716233,-0.628736919254684,0.681572658102654,-0.517865700920865,0.743864341147234,0.663014628379992
"miR101",-0.504970955159083,-0.724112098142882,-0.567543011421349,-0.544689511628744,-0.424371115509327,-0.538418431215856,-0.380371028214062,-0.592219547469715,-0.382516570466256,0.456337591526936,0,0,0.573561618632881,0,0,0.59361568938973,0.609727513655523,0.59361568938973,0.676675955629451,0.514837226966285,-0.570248344280265,-0.492283224246736,0.624154953648294,-0.477151747020896,0.676675955629451,0.584552836150626
"KLF8",0.293526824651812,0.563482006962951,0.614172130581401,0.69522288678566,0.521339958509168,0.551103934146587,0.46543482782185,0.754920897434685,0.384310279682207,-0.358961763356971,0,0,-0.449352124495582,0,0,-0.389852134927636,-0.624150362289198,-0.389852134927636,-0.502526735046922,-0.641756867747172,0.584939701900055,0.491886968404336,-0.47346666943495,0.394778936671781,-0.502526735046922,-0.730686571536069
"GSC",0.52127998380295,0.746959121414678,0.593809306898439,0.567607907652243,0.623595846078611,0.558697954334258,0.577767836878509,0.613461670598432,0.473821525711329,-0.482183840773843,0,0,-0.62218125775006,0,0,-0.612786890368043,-0.62887704147187,-0.612786890368043,-0.697360086723879,-0.57427050282553,0.527856129140909,0.510317955434428,-0.643340070540756,0.608053913793468,-0.697360086723879,-0.611083093490772
