states,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'01110101111011000011110101',0.0006333333333333333,4.714045207910318e-5,0.3333333333333333,,,,0.013433333333333334,0.0006018490028422596,0.3333333333333333
'11010001000000000111110010',0.015633333333333332,0.0017016332024133623,0.10101010101010101,,,,0.08086666666666666,0.0020949675149960862,0.10101010101010101
'10001010000100111100001110',0.0014333333333333333,0.00012472191289246477,0.32323232323232326,,,,0.0232,0.0005887840577551906,0.32323232323232326
'00101110111111111000001000',0.0228,0.0016329931618554523,0.0707070707070707,,,,0.12796666666666667,0.0016539514973406976,0.0707070707070707
'00101110111111111000001100',0.016833333333333332,0.0008993825042154695,0.10101010101010101,,,,0.09016666666666667,0.0022171052197754526,0.10101010101010101
'11010001000000000111110011',0.016399999999999998,0.00040824829046386195,0.10101010101010101,,,,0.08906666666666667,0.0036736297521056103,0.10101010101010101
'00101110111111111000001001',0.022266666666666667,0.0017441967269268173,0.0707070707070707,,,,0.12069999999999999,0.002404163056034265,0.0707070707070707
'00101110111111111000001101',0.016033333333333333,0.0005312459150169738,0.10101010101010101,,,,0.08163333333333334,0.0024239545283597126,0.10101010101010101
'11010001000000000111110111',0.0218,0.0005887840577551889,0.0707070707070707,,,,0.12786666666666666,0.001400793425963386,0.0707070707070707
'11010001000000000111110110',0.020166666666666666,0.0013474255287605162,0.0707070707070707,,,,0.12713333333333335,0.0018909139471577137,0.0707070707070707
'10001010000100111100001010',0.0005666666666666667,9.428090415820633e-5,0.3333333333333333,,,,0.0153,0.0009092121131323899,0.3333333333333333
'01110101111011000011110001',0.0011666666666666668,9.428090415820628e-5,0.32323232323232326,,,,0.02476666666666667,0.0008259674462242578,0.32323232323232326
'01110101111011000011110100',0.0002,0.0,0.35353535353535354,,,,0.0094,0.0006480740698407858,0.35353535353535354
'10001010000100111100001011',,,0.35353535353535354,,,,0.0106,0.0013490737563232047,0.35353535353535354
'11000000000000000111110011',0.014400000000000001,0.0005887840577551899,0.1717171717171717,0.053733333333333334,0.0027402351886086137,0.1717171717171717,,,
'11000000000000000111110111',0.02026666666666667,0.001948218559493661,0.1414141414141414,0.06563333333333332,0.0010208928554075736,0.1414141414141414,,,
'00101100111111111000000000',0.0767,0.0004546060565661909,0.04040404040404041,0.07316666666666667,0.0011440668201153665,0.04040404040404041,,,
'00101100111111111000000001',0.07416666666666667,0.002445858177045885,0.04040404040404041,0.0687,0.00447735040695573,0.04040404040404041,,,
'11010011000000000111111011',0.04923333333333333,0.000984321537348896,0.0707070707070707,0.05923333333333333,0.0024567367696917736,0.0707070707070707,,,
'00101100111111111000000101',0.05063333333333333,0.0009672412085697923,0.0707070707070707,0.056100000000000004,0.0010198039027185571,0.0707070707070707,,,
