"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.870870067353063,-0.998994235935701,0.287198805820021,-0.870870067353063,-0.999597768478566,-0.0190924409594202,0.583685742289373,-0.998994235935701,-0.99939654577285,-0.998994235935701,-0.870870067353063,-0.998994235935701,-0.998994235935701,-0.943880228074157,-0.870870067353063,-0.907679061048124,0.999597768478566,0.870870067353063,0.875297453014119,0.907679061048124,0.876097891845208,-0.0190924409594202,0.193718959314592,0.957757778007172,0.00685713707752131
"CLDN7",0.870870067353063,1,-0.869864039300475,0.416336877472734,-1,-0.870467220025358,0.083903485727159,0.712804898829894,-0.869864039300475,-0.871473841461397,-0.869864039300475,-1,-0.869864039300475,-0.869864039300475,-0.926987207292441,-1,-0.963191884190628,0.870467220025358,1,0.99557509184779,0.963191884190628,0.994770496345737,0.083903485727159,0.127308911422563,0.911098028011694,0.0302057472958189
"FOXC2",-0.998994235935701,-0.869864039300475,1,-0.286193798276651,0.869864039300475,0.999396553486753,0.01889017403248,-0.582679631510861,1,0.998390820846453,1,0.869864039300475,1,1,0.942874306660843,0.869864039300475,0.906672953295352,-0.999396553486753,-0.869864039300475,-0.874291334819359,-0.906672953295352,-0.875091922916591,0.01889017403248,-0.193917920073535,-0.958763543068562,-0.0070592804116285
"GRHL2",0.287198805820021,0.416336877472734,-0.286193798276651,1,-0.416336877472734,-0.286797903576075,0.667559851867704,0.703553048493988,-0.286193798276651,-0.287801553872482,-0.286193798276651,-0.416336877472734,-0.286193798276651,-0.286193798276651,-0.343321351403665,-0.416336877472734,-0.379529841903279,0.286797903576075,0.416336877472734,0.41191324491511,0.379529841903279,0.411106437607053,0.667559851867704,0.0299275993777328,0.327428718241117,0.011724493099987
"GSC",-0.870870067353063,-1,0.869864039300475,-0.416336877472734,1,0.870467220025358,-0.083903485727159,-0.712804898829894,0.869864039300475,0.871473841461397,0.869864039300475,1,0.869864039300475,0.869864039300475,0.926987207292441,1,0.963191884190628,-0.870467220025358,-1,-0.99557509184779,-0.963191884190628,-0.994770496345737,-0.083903485727159,-0.127308911422563,-0.911098028011694,-0.0302057472958189
"KLF8",-0.999597768478566,-0.870467220025358,0.999396553486753,-0.286797903576075,0.870467220025358,1,0.0194924426345237,-0.583282635816882,0.999396553486753,0.998994397710626,0.999396553486753,0.870467220025358,0.999396553486753,0.999396553486753,0.943477635643774,0.870467220025358,0.907276059845611,-1,-0.870467220025358,-0.874894417705885,-0.907276059845611,-0.875695171112991,0.0194924426345237,-0.193312341244906,-0.958160110921701,-0.00726142274752409
"NP63",-0.0190924409594202,0.083903485727159,0.01889017403248,0.667559851867704,-0.083903485727159,0.0194924426345237,1,0.371117957618793,0.01889017403248,0.0196969805567149,0.01889017403248,-0.083903485727159,0.01889017403248,0.01889017403248,-0.0229537207625165,-0.083903485727159,-0.0535327753898796,-0.0194924426345237,0.083903485727159,0.0794805053236126,0.0535327753898796,0.0786725074143662,1,-0.00689720192036644,0.0143000188211177,-0.00133455584370276
"OVOL2",0.583685742289373,0.712804898829894,-0.582679631510861,0.703553048493988,-0.712804898829894,-0.583282635816882,0.371117957618793,1,-0.582679631510861,-0.584289608021828,-0.582679631510861,-0.712804898829894,-0.582679631510861,-0.582679631510861,-0.639798395508199,-0.712804898829894,-0.675998991874117,0.583282635816882,0.712804898829894,0.708379518485202,0.675998991874117,0.707576313315335,0.371117957618793,0.0806027328898204,0.623911045333711,0.0157508244466611
"SNAI1",-0.998994235935701,-0.869864039300475,1,-0.286193798276651,0.869864039300475,0.999396553486753,0.01889017403248,-0.582679631510861,1,0.998390820846453,1,0.869864039300475,1,1,0.942874306660843,0.869864039300475,0.906672953295352,-0.999396553486753,-0.869864039300475,-0.874291334819359,-0.906672953295352,-0.875091922916591,0.01889017403248,-0.193917920073535,-0.958763543068562,-0.0070592804116285
"SNAI2",-0.99939654577285,-0.871473841461397,0.998390820846453,-0.287801553872482,0.871473841461397,0.998994397710626,0.0196969805567149,-0.584289608021828,0.998390820846453,1,0.998390820846453,0.871473841461397,0.998390820846453,0.998390820846453,0.94448388883046,0.871473841461397,0.908282915337695,-0.998994397710626,-0.871473841461397,-0.875901319413351,-0.908282915337695,-0.876701605006617,0.0196969805567149,-0.19432455899887,-0.957154356492709,-0.00745953306816342
"TCF3",-0.998994235935701,-0.869864039300475,1,-0.286193798276651,0.869864039300475,0.999396553486753,0.01889017403248,-0.582679631510861,1,0.998390820846453,1,0.869864039300475,1,1,0.942874306660843,0.869864039300475,0.906672953295352,-0.999396553486753,-0.869864039300475,-0.874291334819359,-0.906672953295352,-0.875091922916591,0.01889017403248,-0.193917920073535,-0.958763543068562,-0.0070592804116285
"TGF-beta",-0.870870067353063,-1,0.869864039300475,-0.416336877472734,1,0.870467220025358,-0.083903485727159,-0.712804898829894,0.869864039300475,0.871473841461397,0.869864039300475,1,0.869864039300475,0.869864039300475,0.926987207292441,1,0.963191884190628,-0.870467220025358,-1,-0.99557509184779,-0.963191884190628,-0.994770496345737,-0.083903485727159,-0.127308911422563,-0.911098028011694,-0.0302057472958189
