"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.861023985706417,-0.997593335288746,0.189733007209174,-0.861023985706417,-0.997593335288746,0.189733007209174,0.527480596243404,-0.997593335288746,-1,-0.997593335288746,-0.861023985706417,-0.997593335288746,-0.997593335288746,-0.941439385810833,-0.861023985706417,-0.904135602802031,0.997593335288746,0.861023985706417,0.867841383059925,0.904135602802031,0.866641878311916,0.189733007209174,0.206776404897711,0.953871871347875,0.00339894896036452
"CLDN7",0.861023985706417,1,-0.858614838060382,0.328655839235757,-1,-0.858614838060382,0.328655839235757,0.666449213000971,-0.858614838060382,-0.861023985706416,-0.858614838060382,-1,-0.858614838060382,-0.858614838060382,-0.919576525285335,-1,-0.956881078363765,0.858614838060382,1,0.993180650690591,0.956881078363765,0.994384046942101,0.328655839235757,0.129950285390857,0.902332396292922,0.0272228463244
"FOXC2",-0.997593335288746,-0.858614838060382,1,-0.18731972802646,0.858614838060382,1,-0.18731972802646,-0.525071317821704,1,0.997593335288745,1,0.858614838060382,1,1,0.939031538119948,0.858614838060382,0.90172756593784,-1,-0.858614838060382,-0.865432407490788,-0.901727565937839,-0.864232566203615,-0.18731972802646,-0.204368822816065,-0.956278032186015,-0.00580270664873378
"GRHL2",0.189733007209174,0.328655839235757,-0.18731972802646,1,-0.328655839235757,-0.18731972802646,1,0.662242535625123,-0.18731972802646,-0.189733007209174,-0.18731972802646,-0.328655839235757,-0.18731972802646,-0.18731972802646,-0.248261859434676,-0.328655839235757,-0.285565475267684,0.18731972802646,0.328655839235757,0.321841162128728,0.285565475267684,0.323033868881121,1,0.0158082611588777,0.231029311265738,0.00970826236130933
"GSC",-0.861023985706417,-1,0.858614838060382,-0.328655839235757,1,0.858614838060382,-0.328655839235757,-0.666449213000971,0.858614838060382,0.861023985706416,0.858614838060382,1,0.858614838060382,0.858614838060382,0.919576525285335,1,0.956881078363765,-0.858614838060382,-1,-0.993180650690591,-0.956881078363765,-0.994384046942101,-0.328655839235757,-0.129950285390857,-0.902332396292922,-0.0272228463244
"KLF8",-0.997593335288746,-0.858614838060382,1,-0.18731972802646,0.858614838060382,1,-0.18731972802646,-0.525071317821704,1,0.997593335288745,1,0.858614838060382,1,1,0.939031538119948,0.858614838060382,0.90172756593784,-1,-0.858614838060382,-0.865432407490788,-0.901727565937839,-0.864232566203615,-0.18731972802646,-0.204368822816065,-0.956278032186015,-0.00580270664873378
"NP63",0.189733007209174,0.328655839235757,-0.18731972802646,1,-0.328655839235757,-0.18731972802646,1,0.662242535625123,-0.18731972802646,-0.189733007209174,-0.18731972802646,-0.328655839235757,-0.18731972802646,-0.18731972802646,-0.248261859434676,-0.328655839235757,-0.285565475267684,0.18731972802646,0.328655839235757,0.321841162128728,0.285565475267684,0.323033868881121,1,0.0158082611588777,0.231029311265738,0.00970826236130933
"OVOL2",0.527480596243404,0.666449213000971,-0.525071317821704,0.662242535625123,-0.666449213000971,-0.525071317821704,0.662242535625123,1,-0.525071317821704,-0.527480596243404,-0.525071317821704,-0.666449213000971,-0.525071317821704,-0.525071317821704,-0.586030985661669,-0.666449213000971,-0.623334975568652,0.525071317821704,0.666449213000971,0.659630732211544,0.623334975568651,0.66083235550266,0.662242535625123,0.0731900946818706,0.568788088968587,0.0101756872494927
"SNAI1",-0.997593335288746,-0.858614838060382,1,-0.18731972802646,0.858614838060382,1,-0.18731972802646,-0.525071317821704,1,0.997593335288745,1,0.858614838060382,1,1,0.939031538119948,0.858614838060382,0.90172756593784,-1,-0.858614838060382,-0.865432407490788,-0.901727565937839,-0.864232566203615,-0.18731972802646,-0.204368822816065,-0.956278032186015,-0.00580270664873378
"SNAI2",-1,-0.861023985706416,0.997593335288745,-0.189733007209174,0.861023985706416,0.997593335288745,-0.189733007209174,-0.527480596243404,0.997593335288745,1,0.997593335288745,0.861023985706416,0.997593335288745,0.997593335288745,0.941439385810833,0.861023985706416,0.904135602802031,-0.997593335288745,-0.861023985706416,-0.867841383059924,-0.904135602802031,-0.866641878311916,-0.189733007209174,-0.206776404897711,-0.953871871347874,-0.00339894896036452
