"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.873653388220248,-0.99798841581985,0.290204900601947,-0.873653388220248,-0.998792859400886,-0.0149952780023543,0.578307969104267,-0.99798841581985,-0.998994068925145,-0.99798841581985,-0.873653388220248,-0.99798841581985,-0.99798841581985,-0.944473759102132,-0.873653388220248,-0.908662289889445,0.998792859400886,0.873653388220248,0.878481550261089,0.908662289889446,0.878281083623205,-0.0149952780023543,0.196866630216023,0.957951587882258,0.0051393986808666
"CLDN7",0.873653388220248,1,-0.871639725145909,0.416550443539568,-1,-0.872446235649955,0.0835846448085825,0.704656369151857,-0.871639725145909,-0.874658862685774,-0.871639725145909,-1,-0.871639725145909,-0.871639725145909,-0.92917958631956,-1,-0.964992373582236,0.872446235649955,1,0.995171433932147,0.964992373582236,0.995372550544208,0.0835846448085825,0.134098927684515,0.911676782998202,0.0256655952020278
"FOXC2",-0.99798841581985,-0.871639725145909,1,-0.288191825124937,0.871639725145909,0.999195560621051,0.0141919482254375,-0.576295896521482,1,0.996982317704023,1,0.871639725145909,1,1,0.942460013755994,0.871639725145909,0.906648090755047,-0.999195560621051,-0.871639725145909,-0.87646823246494,-0.906648090755047,-0.876267272299347,0.0141919482254375,-0.196465665425328,-0.959962872735341,-0.00594603766433597
"GRHL2",0.290204900601947,0.416550443539568,-0.288191825124937,1,-0.416550443539568,-0.288997764840066,0.667034300487981,0.711898085979229,-0.288191825124937,-0.291210536380824,-0.288191825124937,-0.416550443539568,-0.288191825124937,-0.288191825124937,-0.345730870646076,-0.416550443539568,-0.381542919463644,0.288997764840066,0.416550443539568,0.411721995554185,0.381542919463644,0.411922997666255,0.667034300487981,0.029074100061563,0.328228406350274,0.00513658521007125
"GSC",-0.873653388220248,-1,0.871639725145909,-0.416550443539568,1,0.872446235649955,-0.0835846448085825,-0.704656369151857,0.871639725145909,0.874658862685774,0.871639725145909,1,0.871639725145909,0.871639725145909,0.92917958631956,1,0.964992373582236,-0.872446235649955,-1,-0.995171433932147,-0.964992373582236,-0.995372550544208,-0.0835846448085825,-0.134098927684515,-0.911676782998202,-0.0256655952020278
"KLF8",-0.998792859400886,-0.872446235649955,0.999195560621051,-0.288997764840066,0.872446235649955,1,0.0149952780023543,-0.577100833342385,0.999195560621051,0.997786927348805,0.999195560621051,0.872446235649955,0.999195560621051,0.999195560621051,0.943266603551204,0.872446235649955,0.907455131162407,-1,-0.872446235649955,-0.87727440047596,-0.907455131162407,-0.877073929587029,0.0149952780023543,-0.195659498411834,-0.959158733856143,-0.00634653322123364
"NP63",-0.0149952780023543,0.0835846448085825,0.0141919482254375,0.667034300487981,-0.0835846448085825,0.0149952780023543,1,0.378933027839851,0.0141919482254375,0.0160015792359587,0.0141919482254375,-0.0835846448085825,0.0141919482254375,0.0141919482254375,-0.0276529711966873,-0.0835846448085825,-0.057026368432282,-0.0149952780023543,0.0835846448085825,0.078756571025705,0.057026368432282,0.0789570072923862,1,-0.00170854451161085,0.0141754474936666,-0.00754058728310479
"OVOL2",0.578307969104267,0.704656369151857,-0.576295896521482,0.711898085979229,-0.704656369151857,-0.577100833342385,0.378933027839851,1,-0.576295896521482,-0.579313838113424,-0.576295896521482,-0.704656369151857,-0.576295896521482,-0.576295896521482,-0.633837507633655,-0.704656369151857,-0.669650314479873,0.577100833342385,0.704656369151857,0.699827256443505,0.669650314479873,0.700029273134586,0.378933027839851,0.0821876866091848,0.616332757626147,0.0143912462676217
"SNAI1",-0.99798841581985,-0.871639725145909,1,-0.288191825124937,0.871639725145909,0.999195560621051,0.0141919482254375,-0.576295896521482,1,0.996982317704023,1,0.871639725145909,1,1,0.942460013755994,0.871639725145909,0.906648090755047,-0.999195560621051,-0.871639725145909,-0.87646823246494,-0.906648090755047,-0.876267272299347,0.0141919482254375,-0.196465665425328,-0.959962872735341,-0.00594603766433597
"SNAI2",-0.998994068925145,-0.874658862685774,0.996982317704023,-0.291210536380824,0.874658862685774,0.997786927348805,0.0160015792359587,-0.579313838113424,0.996982317704023,1,0.996982317704023,0.874658862685774,0.996982317704023,0.996982317704023,0.945479212425596,0.874658862685774,0.909667635910635,-0.997786927348805,-0.874658862685774,-0.879487107271327,-0.909667635910635,-0.879286522577829,0.0160015792359587,-0.197872915716048,-0.956945415899905,-0.00614581458768322
"TCF3",-0.99798841581985,-0.871639725145909,1,-0.288191825124937,0.871639725145909,0.999195560621051,0.0141919482254375,-0.576295896521482,1,0.996982317704023,1,0.871639725145909,1,1,0.942460013755994,0.871639725145909,0.906648090755047,-0.999195560621051,-0.871639725145909,-0.87646823246494,-0.906648090755047,-0.876267272299347,0.0141919482254375,-0.196465665425328,-0.959962872735341,-0.00594603766433597
"TGF-beta",-0.873653388220248,-1,0.871639725145909,-0.416550443539568,1,0.872446235649955,-0.0835846448085825,-0.704656369151857,0.871639725145909,0.874658862685774,0.871639725145909,1,0.871639725145909,0.871639725145909,0.92917958631956,1,0.964992373582236,-0.872446235649955,-1,-0.995171433932147,-0.964992373582236,-0.995372550544208,-0.0835846448085825,-0.134098927684515,-0.911676782998202,-0.0256655952020278
"TWIST1",-0.99798841581985,-0.871639725145909,1,-0.288191825124937,0.871639725145909,0.999195560621051,0.0141919482254375,-0.576295896521482,1,0.996982317704023,1,0.871639725145909,1,1,0.942460013755994,0.871639725145909,0.906648090755047,-0.999195560621051,-0.871639725145909,-0.87646823246494,-0.906648090755047,-0.876267272299347,0.0141919482254375,-0.196465665425328,-0.959962872735341,-0.00594603766433597
"TWIST2",-0.99798841581985,-0.871639725145909,1,-0.288191825124937,0.871639725145909,0.999195560621051,0.0141919482254375,-0.576295896521482,1,0.996982317704023,1,0.871639725145909,1,1,0.942460013755994,0.871639725145909,0.906648090755047,-0.999195560621051,-0.871639725145909,-0.87646823246494,-0.906648090755047,-0.876267272299347,0.0141919482254375,-0.196465665425328,-0.959962872735341,-0.00594603766433597
"VIM",-0.944473759102132,-0.92917958631956,0.942460013755994,-0.345730870646076,0.92917958631956,0.943266603551204,-0.0276529711966873,-0.633837507633655,0.942460013755994,0.945479212425596,0.942460013755994,0.92917958631956,0.942460013755994,0.942460013755994,1,0.92917958631956,0.964187261813414,-0.943266603551204,-0.92917958631956,-0.934008651540085,-0.964187261813414,-0.933806920722443,-0.0276529711966873,-0.174337848284016,-0.920931951092962,-0.0264713558761971
"ZEB1",-0.873653388220248,-1,0.871639725145909,-0.416550443539568,1,0.872446235649955,-0.0835846448085825,-0.704656369151857,0.871639725145909,0.874658862685774,0.871639725145909,1,0.871639725145909,0.871639725145909,0.92917958631956,1,0.964992373582236,-0.872446235649955,-1,-0.995171433932147,-0.964992373582236,-0.995372550544208,-0.0835846448085825,-0.134098927684515,-0.911676782998202,-0.0256655952020278
"ZEB2",-0.908662289889445,-0.964992373582236,0.906648090755047,-0.381542919463644,0.964992373582236,0.907455131162407,-0.057026368432282,-0.669650314479873,0.906648090755047,0.909667635910635,0.906648090755047,0.964992373582236,0.906648090755047,0.906648090755047,0.964187261813414,0.964992373582236,1,-0.907455131162407,-0.964992373582236,-0.969821530797124,-1,-0.969619682689794,-0.057026368432282,-0.1658886217495,-0.89880104885771,-0.0397510358508566
"miR-101",0.998792859400886,0.872446235649955,-0.999195560621051,0.288997764840066,-0.872446235649955,-1,-0.0149952780023543,0.577100833342385,-0.999195560621051,-0.997786927348805,-0.999195560621051,-0.872446235649955,-0.999195560621051,-0.999195560621051,-0.943266603551204,-0.872446235649955,-0.907455131162407,1,0.872446235649955,0.87727440047596,0.907455131162408,0.877073929587029,-0.0149952780023543,0.195659498411834,0.959158733856143,0.00634653322123365
"miR-141",0.873653388220248,1,-0.871639725145909,0.416550443539568,-1,-0.872446235649955,0.0835846448085825,0.704656369151857,-0.871639725145909,-0.874658862685774,-0.871639725145909,-1,-0.871639725145909,-0.871639725145909,-0.92917958631956,-1,-0.964992373582236,0.872446235649955,1,0.995171433932147,0.964992373582236,0.995372550544208,0.0835846448085825,0.134098927684515,0.911676782998202,0.0256655952020278
"miR-200a",0.878481550261089,0.995171433932147,-0.87646823246494,0.411721995554185,-0.995171433932147,-0.87727440047596,0.078756571025705,0.699827256443505,-0.87646823246494,-0.879487107271327,-0.87646823246494,-0.995171433932147,-0.87646823246494,-0.87646823246494,-0.934008651540085,-0.995171433932147,-0.969821530797124,0.87727440047596,0.995171433932147,1,0.969821530797124,0.990544070247393,0.078756571025705,0.138926817958086,0.906848042310769,0.0272741299847949
"miR-200b",0.908662289889446,0.964992373582236,-0.906648090755047,0.381542919463644,-0.964992373582236,-0.907455131162407,0.057026368432282,0.669650314479873,-0.906648090755047,-0.909667635910635,-0.906648090755047,-0.964992373582236,-0.906648090755047,-0.906648090755047,-0.964187261813414,-0.964992373582236,-1,0.907455131162408,0.964992373582236,0.969821530797124,1,0.969619682689794,0.057026368432282,0.1658886217495,0.89880104885771,0.0397510358508566
"miR-200c",0.878281083623205,0.995372550544208,-0.876267272299347,0.411922997666255,-0.995372550544208,-0.877073929587029,0.0789570072923862,0.700029273134586,-0.876267272299347,-0.879286522577829,-0.876267272299347,-0.995372550544208,-0.876267272299347,-0.876267272299347,-0.933806920722443,-0.995372550544208,-0.969619682689794,0.877073929587029,0.995372550544208,0.990544070247393,0.969619682689794,1,0.0789570072923862,0.138726662762577,0.90704945396912,0.0266720485027927
"miR-205",-0.0149952780023543,0.0835846448085825,0.0141919482254375,0.667034300487981,-0.0835846448085825,0.0149952780023543,1,0.378933027839851,0.0141919482254375,0.0160015792359587,0.0141919482254375,-0.0835846448085825,0.0141919482254375,0.0141919482254375,-0.0276529711966873,-0.0835846448085825,-0.057026368432282,-0.0149952780023543,0.0835846448085825,0.078756571025705,0.057026368432282,0.0789570072923862,1,-0.00170854451161085,0.0141754474936666,-0.00754058728310479
"miR-30c",0.196866630216023,0.134098927684515,-0.196465665425328,0.029074100061563,-0.134098927684515,-0.195659498411834,-0.00170854451161085,0.0821876866091848,-0.196465665425328,-0.197872915716048,-0.196465665425328,-0.134098927684515,-0.196465665425328,-0.196465665425328,-0.174337848284016,-0.134098927684515,-0.1658886217495,0.195659498411834,0.134098927684515,0.138926817958086,0.1658886217495,0.138726662762577,-0.00170854451161085,1,0.156429321993359,0.000702062034518889
"miR-34a",0.957951587882258,0.911676782998202,-0.959962872735341,0.328228406350274,-0.911676782998202,-0.959158733856143,0.0141754474936666,0.616332757626147,-0.959962872735341,-0.956945415899905,-0.959962872735341,-0.911676782998202,-0.959962872735341,-0.959962872735341,-0.920931951092962,-0.911676782998202,-0.89880104885771,0.959158733856143,0.911676782998202,0.906848042310769,0.89880104885771,0.90704945396912,0.0141754474936666,0.156429321993359,1,0.00695245885320553
"miR-9",0.0051393986808666,0.0256655952020278,-0.00594603766433597,0.00513658521007125,-0.0256655952020278,-0.00634653322123364,-0.00754058728310479,0.0143912462676217,-0.00594603766433597,-0.00614581458768322,-0.00594603766433597,-0.0256655952020278,-0.00594603766433597,-0.00594603766433597,-0.0264713558761971,-0.0256655952020278,-0.0397510358508566,0.00634653322123365,0.0256655952020278,0.0272741299847949,0.0397510358508566,0.0266720485027927,-0.00754058728310479,0.000702062034518889,0.00695245885320553,1
