"","CDH1","CLDN7","FOXC2","GRHL2","GSC","KLF8","NP63","OVOL2","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,0.896610046986579,-0.978635889011028,0.306114781312735,-0.896610046986579,-0.979643612784915,0.00105523563546781,0.601982711410283,-0.978635889011028,-0.982264280638284,-0.978635889011028,-0.896610046986579,-0.978635889011028,-0.978635889011028,-0.955056191200113,-0.896610046986579,-0.928450532646145,0.979643612784915,0.896610046986579,0.901245009271941,0.928853368264593,0.90084308689179,0.00105523563546781,0.18928806385841,0.944175711248908,-0.0252626863872337
"CLDN7",0.896610046986579,1,-0.875246313035769,0.409504204008423,-1,-0.876254274773391,0.0826669517443615,0.705364923891777,-0.875246313035769,-0.878876112144114,-0.875246313035769,-1,-0.875246313035769,-0.875246313035769,-0.931483099905663,-1,-0.967351855112808,0.876254274773391,1,0.995364568444596,0.967755719481171,0.995767662904917,0.0826669517443615,0.130627233505515,0.914143801509957,0.0172801588815759
"FOXC2",-0.978635889011028,-0.875246313035769,1,-0.284751463859588,0.87524631303577,0.998992277364085,0.0154712653769144,-0.580619435605564,1,0.996372820863516,1,0.87524631303577,1,1,0.943769236379037,0.87524631303577,0.907892651683353,-0.998992277364085,-0.875246313035769,-0.879881245384424,-0.907489217791759,-0.879479382009837,0.0154712653769144,-0.195737404960263,-0.961105417297952,0.0067204692245259
"GRHL2",0.306114781312735,0.409504204008423,-0.284751463859588,1,-0.409504204008423,-0.285759126999178,0.673142383154556,0.704150098355218,-0.284751463859588,-0.288379158700932,-0.284751463859588,-0.409504204008423,-0.284751463859588,-0.284751463859588,-0.340982766577513,-0.409504204008423,-0.37685546524886,0.285759126999178,0.409504204008423,0.404868847720417,0.377258787836311,0.405271940543479,0.673142383154556,0.0270181223397366,0.323649637584435,0.00159069892024583
"GSC",-0.896610046986579,-1,0.87524631303577,-0.409504204008423,1,0.876254274773391,-0.0826669517443614,-0.705364923891778,0.87524631303577,0.878876112144114,0.87524631303577,1,0.87524631303577,0.87524631303577,0.931483099905663,1,0.967351855112808,-0.876254274773391,-1,-0.995364568444596,-0.967755719481171,-0.995767662904917,-0.0826669517443614,-0.130627233505515,-0.914143801509956,-0.0172801588815759
"KLF8",-0.979643612784915,-0.876254274773391,0.998992277364085,-0.285759126999178,0.876254274773391,1,0.0164779532588027,-0.58162780605438,0.998992277364085,0.997380345471857,0.998992277364085,0.876254274773391,0.998992277364085,0.998992277364085,0.944776471599523,0.876254274773391,0.908900283513994,-1,-0.876254274773391,-0.880889176480466,-0.908496771317235,-0.880487390819111,0.0164779532588027,-0.194730948878011,-0.960098171331535,0.00652047891534792
"NP63",0.00105523563546781,0.0826669517443615,0.0154712653769144,0.673142383154556,-0.0826669517443614,0.0164779532588027,1,0.377283736352961,0.0154712653769144,0.0158682001081832,0.0154712653769144,-0.0826669517443614,0.0154712653769144,0.0154712653769144,-0.0250509981450386,-0.0826669517443614,-0.0564783187021633,-0.0164779532588027,0.0826669517443615,0.0780327169363769,0.0560775511319224,0.0784334670867649,1,0.00118598599952553,0.0149476491107075,-0.00721532206896557
"OVOL2",0.601982711410283,0.705364923891777,-0.580619435605564,0.704150098355218,-0.705364923891778,-0.58162780605438,0.377283736352961,1,-0.580619435605564,-0.584251559343364,-0.580619435605564,-0.705364923891778,-0.580619435605564,-0.580619435605564,-0.63685909192875,-0.705364923891778,-0.672722560182882,0.58162780605438,0.705364923891777,0.700730153691612,0.673127288510187,0.701132103645805,0.377283736352961,0.0765918670278847,0.619509406798884,0.00361224909024121
"SNAI1",-0.978635889011028,-0.875246313035769,1,-0.284751463859588,0.87524631303577,0.998992277364085,0.0154712653769144,-0.580619435605564,1,0.996372820863516,1,0.87524631303577,1,1,0.943769236379037,0.87524631303577,0.907892651683353,-0.998992277364085,-0.875246313035769,-0.879881245384424,-0.907489217791759,-0.879479382009837,0.0154712653769144,-0.195737404960263,-0.961105417297952,0.0067204692245259
"SNAI2",-0.982264280638284,-0.878876112144114,0.996372820863516,-0.288379158700932,0.878876112144114,0.997380345471857,0.0158682001081832,-0.584251559343364,0.996372820863516,1,0.996372820863516,0.878876112144114,0.996372820863516,0.996372820863516,0.947394620837296,0.878876112144114,0.91071425206928,-0.997380345471857,-0.878876112144114,-0.883510860076634,-0.911116540096023,-0.883109469421112,0.0158682001081832,-0.196148144803229,-0.957481025339063,0.00753600160959184
"TCF3",-0.978635889011028,-0.875246313035769,1,-0.284751463859588,0.87524631303577,0.998992277364085,0.0154712653769144,-0.580619435605564,1,0.996372820863516,1,0.87524631303577,1,1,0.943769236379037,0.87524631303577,0.907892651683353,-0.998992277364085,-0.875246313035769,-0.879881245384424,-0.907489217791759,-0.879479382009837,0.0154712653769144,-0.195737404960263,-0.961105417297952,0.0067204692245259
"TGF-beta",-0.896610046986579,-1,0.87524631303577,-0.409504204008423,1,0.876254274773391,-0.0826669517443614,-0.705364923891778,0.87524631303577,0.878876112144114,0.87524631303577,1,0.87524631303577,0.87524631303577,0.931483099905663,1,0.967351855112808,-0.876254274773391,-1,-0.995364568444596,-0.967755719481171,-0.995767662904917,-0.0826669517443614,-0.130627233505515,-0.914143801509956,-0.0172801588815759
"TWIST1",-0.978635889011028,-0.875246313035769,1,-0.284751463859588,0.87524631303577,0.998992277364085,0.0154712653769144,-0.580619435605564,1,0.996372820863516,1,0.87524631303577,1,1,0.943769236379037,0.87524631303577,0.907892651683353,-0.998992277364085,-0.875246313035769,-0.879881245384424,-0.907489217791759,-0.879479382009837,0.0154712653769144,-0.195737404960263,-0.961105417297952,0.0067204692245259
"TWIST2",-0.978635889011028,-0.875246313035769,1,-0.284751463859588,0.87524631303577,0.998992277364085,0.0154712653769144,-0.580619435605564,1,0.996372820863516,1,0.87524631303577,1,1,0.943769236379037,0.87524631303577,0.907892651683353,-0.998992277364085,-0.875246313035769,-0.879881245384424,-0.907489217791759,-0.879479382009837,0.0154712653769144,-0.195737404960263,-0.961105417297952,0.0067204692245259
"VIM",-0.955056191200113,-0.931483099905663,0.943769236379037,-0.340982766577513,0.931483099905663,0.944776471599523,-0.0250509981450386,-0.63685909192875,0.943769236379037,0.947394620837296,0.943769236379037,0.931483099905663,0.943769236379037,0.943769236379037,1,0.931483099905663,0.963320388014094,-0.944776471599523,-0.931483099905663,-0.936117768809676,-0.963722466492539,-0.935716634706648,-0.0250509981450386,-0.170558344047293,-0.925035594784243,-0.0132158887422412
"ZEB1",-0.896610046986579,-1,0.87524631303577,-0.409504204008423,1,0.876254274773391,-0.0826669517443614,-0.705364923891778,0.87524631303577,0.878876112144114,0.87524631303577,1,0.87524631303577,0.87524631303577,0.931483099905663,1,0.967351855112808,-0.876254274773391,-1,-0.995364568444596,-0.967755719481171,-0.995767662904917,-0.0826669517443614,-0.130627233505515,-0.914143801509956,-0.0172801588815759
"ZEB2",-0.928450532646145,-0.967351855112808,0.907892651683353,-0.37685546524886,0.967351855112808,0.908900283513994,-0.0564783187021633,-0.672722560182882,0.907892651683353,0.91071425206928,0.907892651683353,0.967351855112808,0.907892651683353,0.907892651683353,0.963320388014094,0.967351855112808,1,-0.908900283513994,-0.967351855112808,-0.971986948769831,-0.999596984793241,-0.97158475049124,-0.0564783187021633,-0.161272553369163,-0.902858834554457,-0.0285515444238432
"miR-101",0.979643612784915,0.876254274773391,-0.998992277364085,0.285759126999178,-0.876254274773391,-1,-0.0164779532588027,0.58162780605438,-0.998992277364085,-0.997380345471857,-0.998992277364085,-0.876254274773391,-0.998992277364085,-0.998992277364085,-0.944776471599523,-0.876254274773391,-0.908900283513994,1,0.876254274773391,0.880889176480466,0.908496771317235,0.880487390819111,-0.0164779532588027,0.194730948878011,0.960098171331535,-0.00652047891534792
"miR-141",0.896610046986579,1,-0.875246313035769,0.409504204008423,-1,-0.876254274773391,0.0826669517443615,0.705364923891777,-0.875246313035769,-0.878876112144114,-0.875246313035769,-1,-0.875246313035769,-0.875246313035769,-0.931483099905663,-1,-0.967351855112808,0.876254274773391,1,0.995364568444596,0.967755719481171,0.995767662904917,0.0826669517443615,0.130627233505515,0.914143801509957,0.0172801588815759
"miR-200a",0.901245009271941,0.995364568444596,-0.879881245384424,0.404868847720417,-0.995364568444596,-0.880889176480466,0.0780327169363769,0.700730153691612,-0.879881245384424,-0.883510860076634,-0.879881245384424,-0.995364568444596,-0.879881245384424,-0.879881245384424,-0.936117768809676,-0.995364568444596,-0.971986948769831,0.880889176480466,0.995364568444596,1,0.972390749407968,0.991132272344878,0.0780327169363769,0.135263698717574,0.909508343309133,0.0174801822065112
"miR-200b",0.928853368264593,0.967755719481171,-0.907489217791759,0.377258787836311,-0.967755719481171,-0.908496771317235,0.0560775511319224,0.673127288510187,-0.907489217791759,-0.911116540096023,-0.907489217791759,-0.967755719481171,-0.907489217791759,-0.907489217791759,-0.963722466492539,-0.967755719481171,-0.999596984793241,0.908496771317235,0.967755719481171,0.972390749407968,1,0.971988711024199,0.0560775511319224,0.160871845517045,0.902456446587168,0.0281454694127642
"miR-200c",0.90084308689179,0.995767662904917,-0.879479382009837,0.405271940543479,-0.995767662904917,-0.880487390819111,0.0784334670867649,0.701132103645805,-0.879479382009837,-0.883109469421112,-0.879479382009837,-0.995767662904917,-0.879479382009837,-0.879479382009837,-0.935716634706648,-0.995767662904917,-0.97158475049124,0.880487390819111,0.995767662904917,0.991132272344878,0.971988711024199,1,0.0784334670867649,0.134858461852638,0.909911511344796,0.0170801368109929
"miR-205",0.00105523563546781,0.0826669517443615,0.0154712653769144,0.673142383154556,-0.0826669517443614,0.0164779532588027,1,0.377283736352961,0.0154712653769144,0.0158682001081832,0.0154712653769144,-0.0826669517443614,0.0154712653769144,0.0154712653769144,-0.0250509981450386,-0.0826669517443614,-0.0564783187021633,-0.0164779532588027,0.0826669517443615,0.0780327169363769,0.0560775511319224,0.0784334670867649,1,0.00118598599952553,0.0149476491107075,-0.00721532206896557
"miR-30c",0.18928806385841,0.130627233505515,-0.195737404960263,0.0270181223397366,-0.130627233505515,-0.194730948878011,0.00118598599952553,0.0765918670278847,-0.195737404960263,-0.196148144803229,-0.195737404960263,-0.130627233505515,-0.195737404960263,-0.195737404960263,-0.170558344047293,-0.130627233505515,-0.161272553369163,0.194730948878011,0.130627233505515,0.135263698717574,0.160871845517045,0.134858461852638,0.00118598599952553,1,0.156825011818603,-0.00157836077961864
"miR-34a",0.944175711248908,0.914143801509957,-0.961105417297952,0.323649637584435,-0.914143801509956,-0.960098171331535,0.0149476491107075,0.619509406798884,-0.961105417297952,-0.957481025339063,-0.961105417297952,-0.914143801509956,-0.961105417297952,-0.961105417297952,-0.925035594784243,-0.914143801509956,-0.902858834554457,0.960098171331535,0.914143801509957,0.909508343309133,0.902456446587168,0.909911511344796,0.0149476491107075,0.156825011818603,1,-0.0024678912162898
"miR-9",-0.0252626863872337,0.0172801588815759,0.0067204692245259,0.00159069892024583,-0.0172801588815759,0.00652047891534792,-0.00721532206896557,0.00361224909024121,0.0067204692245259,0.00753600160959184,0.0067204692245259,-0.0172801588815759,0.0067204692245259,0.0067204692245259,-0.0132158887422412,-0.0172801588815759,-0.0285515444238432,-0.00652047891534792,0.0172801588815759,0.0174801822065112,0.0281454694127642,0.0170801368109929,-0.00721532206896557,-0.00157836077961864,-0.0024678912162898,1
