states,flag,Avg0,SD0,frust0,Avg1,SD1,frust1,Avg2,SD2,frust2
'11010001000000000111110011',1,0.018666666666666668,0.00032998316455372183,0.10101010101010101,,,,0.09196666666666665,0.0023012074125457606,0.10101010101010101
'11010001000000000111110110',1,0.021566666666666668,0.0005436502143433362,0.0707070707070707,,,,0.12223333333333335,0.00544813933579367,0.0707070707070707
'00101110111111111000001001',1,0.020966666666666665,0.0007760297817881873,0.0707070707070707,,,,0.1209,0.0013140268896284714,0.0707070707070707
'00101110111111111000001000',1,0.021500000000000002,0.0006531972647421812,0.0707070707070707,,,,0.12553333333333336,0.0024526629518862885,0.0707070707070707
'00101110111111111000001101',1,0.016633333333333333,0.0008806563209081933,0.10101010101010101,,,,0.0811,0.0025139610179953035,0.10101010101010101
'00101110111111111000001100',1,0.016700000000000003,0.0014854853303438136,0.10101010101010101,,,,0.0881,0.003207283377979978,0.10101010101010101
'11010001000000000111110111',1,0.021433333333333332,0.0009977753031397175,0.0707070707070707,,,,0.12876666666666667,0.0033079029946814077,0.0707070707070707
'11010001000000000111110010',1,0.01706666666666667,0.0015839472494022298,0.10101010101010101,,,,0.08026666666666667,0.0012762793146051067,0.10101010101010101
'01110101111011000011110001',1,0.0009000000000000001,0.000282842712474619,0.32323232323232326,,,,0.02463333333333333,0.0011085526098877265,0.32323232323232326
'10001010010100111100001010',1,0.00039999999999999996,8.164965809277262e-5,0.35353535353535354,,,,0.0046,0.00014142135623730948,0.35353535353535354
'10001010000100111100001110',1,0.0009333333333333333,0.00012472191289246472,0.32323232323232326,,,,0.02463333333333333,0.0012229290885229429,0.32323232323232326
'10001010000100111100001010',1,0.0006,0.00016329931618554522,0.3333333333333333,,,,0.0112,0.00028284271247461896,0.3333333333333333
'01110101101011000011110101',1,0.00043333333333333337,0.00020548046676563254,0.35353535353535354,,,,0.005233333333333333,0.00041899350299921774,0.35353535353535354
'11110001101011000111110000',1,0.0002666666666666666,4.714045207910315e-5,0.3434343434343434,,,,0.0023666666666666667,0.0002867441755680876,0.3434343434343434
'01110101111011000011110101',1,0.0003333333333333333,0.00012472191289246472,0.3333333333333333,,,,0.010333333333333333,0.0014522013940527982,0.3333333333333333
'10001010000100111100001011',1,,,0.35353535353535354,,,,0.005333333333333333,0.00012472191289246464,0.35353535353535354
'00001110010100111000001111',1,0.0003,0.00016329931618554522,0.3434343434343434,,,,0.002033333333333333,0.00020548046676563254,0.3434343434343434
'01110101111011000011110100',1,,,0.35353535353535354,,,,0.006933333333333333,0.00036817870057290897,0.35353535353535354
'11010011000000000111111110',1,0.07083333333333333,0.0006182412330330477,0.050505050505050504,0.06356666666666666,0.0014974051630144136,0.050505050505050504,,,
'11010011000000000111111111',1,0.07286666666666668,0.003013672547278855,0.050505050505050504,0.06293333333333333,0.0008219218670625312,0.050505050505050504,,,
'00101100111111111000000000',1,0.07153333333333334,0.002969100125552446,0.050505050505050504,0.06346666666666666,0.0020548046676563242,0.050505050505050504,,,
'11010011000000000111111010',1,0.04616666666666667,0.0009672412085697937,0.08080808080808081,0.056999999999999995,0.0010677078252031304,0.08080808080808081,,,
'00101100111111111000000001',1,0.07073333333333333,0.003461534662865914,0.050505050505050504,0.0639,0.0010984838035522737,0.050505050505050504,,,
'00101100111111111000000101',1,0.04716666666666667,0.0016519348924485153,0.08080808080808081,0.055866666666666676,0.0009877021593352716,0.08080808080808081,,,
'11010011000000000111111011',1,0.04763333333333333,0.0007133644853010899,0.08080808080808081,0.06189999999999999,0.0017663521732655674,0.08080808080808081,,,
'00101100111111111000000100',1,0.0472,0.0008602325267042645,0.08080808080808081,0.0573,0.001525341491819674,0.08080808080808081,,,
'01110111111011100011111100',1,0.0014,0.00024494897427831773,0.31313131313131315,,,,,,
'11000000000000000111110011',0,0.0161,0.00021602468994692738,0.1717171717171717,,,,,,
'00111110111111111000001001',0,0.021633333333333334,0.0006798692684790382,0.08080808080808081,,,,,,
'01110111111011100011111001',1,0.0026666666666666666,0.000679869268479038,0.2828282828282828,,,,,,
'11000001000000000111110110',0,0.021233333333333337,0.001096458946893236,0.08080808080808081,,,,,,
'00111110111111111000001100',0,0.014666666666666668,0.0017016332024133631,0.1111111111111111,,,,,,
'11000001000000000111110111',0,0.02223333333333333,0.001096458946893235,0.08080808080808081,,,,,,
'11000000000000000111110010',0,0.013466666666666668,0.0006798692684790377,0.1717171717171717,,,,,,
'11000001000000000111110011',0,0.014400000000000001,0.0005656854249492379,0.1111111111111111,,,,,,
'00111110111111111000001000',0,0.022099999999999998,0.001593737745050923,0.08080808080808081,,,,,,
'11000000000000000111110110',0,0.019799999999999998,0.0014236104336041754,0.1414141414141414,,,,,,
'10001000000100111100000111',1,0.0029999999999999996,0.00014142135623730967,0.30303030303030304,,,,,,
'00111110111111111000001101',0,0.013600000000000001,0.0005656854249492379,0.1111111111111111,,,,,,
'10001000000100010100100101',1,0.0018333333333333333,0.000339934634239519,0.3333333333333333,,,,,,
'00111111111111111000001001',0,0.020233333333333332,0.0009672412085697946,0.1414141414141414,,,,,,
'01110111111011100011111000',1,0.001,0.00021602468994692865,0.30303030303030304,,,,,,
'11000000000000000111110111',0,0.022500000000000003,0.0004082482904638634,0.1414141414141414,,,,,,
'00111111111111111000001100',0,0.014533333333333334,0.0004921607686744473,0.1717171717171717,,,,,,
'11000001000000000111110010',0,0.013766666666666668,0.0006599663291074445,0.1111111111111111,,,,,,
'01110111111011000011111011',1,0.0030000000000000005,0.0003559026084010437,0.30303030303030304,,,,,,
'00111111111111111000001000',0,0.022366666666666663,0.001084230397819373,0.1414141414141414,,,,,,
'10001000000100111100000100',1,0.0034333333333333334,0.00030912061651652346,0.30303030303030304,,,,,,
'01110111111011101011011000',1,0.0020666666666666663,0.00020548046676563257,0.31313131313131315,,,,,,
'10001000000100111100000010',1,0.0026,0.00014142135623730948,0.29292929292929293,,,,,,
'01110111111011101011011001',1,0.0007,0.0001414213562373095,0.31313131313131315,,,,,,
'10001000000100111100000101',1,0.0017000000000000001,8.164965809277255e-5,0.32323232323232326,,,,,,
'01110111111011000011111001',1,0.005399999999999999,0.00045460605656619534,0.2828282828282828,,,,,,
'10001000000100011100000011',1,0.0016666666666666668,0.0006236095644623236,0.31313131313131315,,,,,,
'01110111111011101011011010',1,0.002133333333333333,0.0001247219128924647,0.3333333333333333,,,,,,
'10001000000100010100100111',1,0.0022666666666666664,0.00023570226039551585,0.31313131313131315,,,,,,
